ID,filename,session,trial,visStimLeft,visStimRight,correctKey,leftCorrect,rightCorrect,secondStim,mod2Type,mod2Stim,frequency,rewardAccurate,stimPairLeft,stimPairRight,pCorrectLeft,pCorrectRight,key,reactionTime,choiceLeft,choiceRight,choiceAccurate,reward,chosenPair,otherPair,triplet,surprise,0A belief,1A belief,2A belief,3A belief,0B belief,1B belief,2B belief,3B belief,0C belief,1C belief,2C belief,3C belief,0D belief,1D belief,2D belief,3D belief,beliefPair,beliefOtherPair,beliefPairNorm,beliefOtherPairNorm,prob,lik,rewardPE,update2,rewardPEOP,update2OP,fitCBCbothPairsRW_CBCsimpleSigmoid_pwBelief_startBelief,fitCBCbothPairsRW_CBCsimpleSigmoid_pwBelief_alpha1,fitCBCbothPairsRW_CBCsimpleSigmoid_pwBelief_alpha2,fitCBCbothPairsRW_CBCsimpleSigmoid_pwBelief_beta,fit_CBCbothPairsRW_CBCsimpleSigmoid_pwBelief_NLL
CBC_1007,CBC_1007_MSI_AV_v3_Vset2_Aset1_2023-06-21_15h59.48.192.csv,1,1,0,1,z,0,1,3,aud,B,63,1,0B,1B,0,1,b,2.25464279999869,1,0,0,0,0B,1B,B01,2.77258872223978,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,-0.5,-0.164199272715328,-0.5,5.93103578888643e-08,0.5,0.328398545430655,1.18620715777729e-07,3.43347371042032,12.9031603965449
CBC_1007,CBC_1007_MSI_AV_v3_Vset2_Aset1_2023-06-21_15h59.48.192.csv,1,2,0,1,b,1,0,0,aud,A,63,1,0A,1A,1,0,z,1.56986979999965,0,1,0,0,1A,0A,A01,2.83321334405622,0.5,0.5,0.5,0.5,0.335800727284672,0.500000059310358,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,-0.5,-0.164199272715328,-0.5,5.93103578888643e-08,0.5,0.328398545430655,1.18620715777729e-07,3.43347371042032,12.9031603965449
CBC_1007,CBC_1007_MSI_AV_v3_Vset2_Aset1_2023-06-21_15h59.48.192.csv,1,3,2,3,z,0,1,2,aud,D,63,1,2D,3D,0,1,z,2.18656360000023,0,1,1,1,3D,2D,D23,2.89037175789616,0.500000059310358,0.335800727284672,0.5,0.5,0.335800727284672,0.500000059310358,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.164199272715328,0.5,-5.93103578888643e-08,0.5,0.328398545430655,1.18620715777729e-07,3.43347371042032,12.9031603965449
CBC_1007,CBC_1007_MSI_AV_v3_Vset2_Aset1_2023-06-21_15h59.48.192.csv,1,4,2,1,z,0,1,3,aud,B,9,1,2B,1B,0,1,b,2.28754330000083,1,0,0,0,2B,1B,B21,2.94443897916644,0.500000059310358,0.335800727284672,0.5,0.5,0.335800727284672,0.500000059310358,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.499999940689642,0.664199272715328,0.499999940689642,0.500000059310358,0.499999940689642,0.500000059310358,0.499999898179723,0.499999898179723,-0.499999940689642,-0.164199253237893,-0.499999940689642,5.93103508534272e-08,0.5,0.328398545430655,1.18620715777729e-07,3.43347371042032,12.9031603965449
CBC_1007,CBC_1007_MSI_AV_v3_Vset2_Aset1_2023-06-21_15h59.48.192.csv,1,5,0,2,b,1,0,0,aud,A,27,1,0A,2A,1,0,z,2.41652909999902,0,1,0,0,2A,0A,A02,2.99573227355399,0.500000059310358,0.335800727284672,0.5,0.5,0.335800727284672,0.500000118620709,0.33580068745175,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.499999940689642,0.664199272715328,0.499999940689642,0.500000059310358,0.499999940689642,0.500000059310358,0.499999898179723,0.499999898179723,-0.499999940689642,-0.164199253237893,-0.499999940689642,5.93103508534272e-08,0.5,0.328398545430655,1.18620715777729e-07,3.43347371042032,12.9031603965449
CBC_1007,CBC_1007_MSI_AV_v3_Vset2_Aset1_2023-06-21_15h59.48.192.csv,1,6,2,3,b,1,0,1,aud,C,63,1,2C,3C,1,0,b,2.19427229999928,1,0,1,1,2C,3C,C23,3.04452243772342,0.500000118620709,0.335800727284672,0.33580068745175,0.5,0.335800727284672,0.500000118620709,0.33580068745175,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.499999940689642,0.664199272715328,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.164199272715328,0.5,-5.93103578888643e-08,0.5,0.328398545430655,1.18620715777729e-07,3.43347371042032,12.9031603965449
CBC_1007,CBC_1007_MSI_AV_v3_Vset2_Aset1_2023-06-21_15h59.48.192.csv,1,7,1,3,z,0,1,2,aud,D,27,1,1D,3D,0,1,z,1.58380880000186,0,1,1,1,3D,1D,D13,3.09104245335832,0.500000118620709,0.335800727284672,0.33580068745175,0.5,0.335800727284672,0.500000118620709,0.33580068745175,0.5,0.5,0.5,0.664199272715328,0.499999940689642,0.5,0.5,0.499999940689642,0.664199272715328,0.664199272715328,0.335800727284672,0.664199272715328,0.335800727284672,0.755386065285117,0.755386065285117,0.335800727284672,0.110276470394843,0.335800727284672,-3.98329226291897e-08,0.5,0.328398545430655,1.18620715777729e-07,3.43347371042032,12.9031603965449
CBC_1007,CBC_1007_MSI_AV_v3_Vset2_Aset1_2023-06-21_15h59.48.192.csv,1,8,1,0,z,0,1,0,aud,A,63,1,1A,0A,0,1,b,1.65568639999947,1,0,0,0,1A,0A,A10,3.13549421592915,0.500000118620709,0.335800727284672,0.33580068745175,0.5,0.335800727284672,0.500000118620709,0.33580068745175,0.5,0.5,0.5,0.664199272715328,0.499999940689642,0.5,0.33580068745175,0.499999940689642,0.77447574311017,0.335800621456694,0.664199378543306,0.335800621456694,0.664199378543306,0.244613800433965,0.244613800433965,-0.335800621456694,-0.110276435641088,-0.335800621456694,3.98329100757991e-08,0.5,0.328398545430655,1.18620715777729e-07,3.43347371042032,12.9031603965449
CBC_1007,CBC_1007_MSI_AV_v3_Vset2_Aset1_2023-06-21_15h59.48.192.csv,1,9,2,0,b,1,0,1,aud,C,27,1,2C,0C,1,0,b,3.50904509999964,1,0,1,1,2C,0C,C20,3.17805383034795,0.664199418376216,0.225524185815605,0.33580068745175,0.5,0.335800727284672,0.500000118620709,0.33580068745175,0.5,0.5,0.5,0.664199272715328,0.499999940689642,0.5,0.33580068745175,0.499999940689642,0.77447574311017,0.664199272715328,0.335800727284672,0.664199272715328,0.335800727284672,0.755386065285117,0.755386065285117,0.335800727284672,0.110276470394843,0.335800727284672,-3.98329226291897e-08,0.5,0.328398545430655,1.18620715777729e-07,3.43347371042032,12.9031603965449
CBC_1007,CBC_1007_MSI_AV_v3_Vset2_Aset1_2023-06-21_15h59.48.192.csv,1,10,2,3,z,0,1,2,aud,D,63,1,2D,3D,0,1,z,1.15311800000018,0,1,1,1,3D,2D,D23,2.52572864430826,0.664199418376216,0.225524185815605,0.33580068745175,0.5,0.335800727284672,0.500000118620709,0.33580068745175,0.5,0.33580068745175,0.5,0.77447574311017,0.499999940689642,0.5,0.33580068745175,0.499999940689642,0.77447574311017,0.774475784547484,0.225524215452516,0.774475784547484,0.225524215452516,0.868162726081429,0.868162726081429,0.225524215452516,0.0740618243139962,0.225524215452516,-2.67518438621882e-08,0.5,0.328398545430655,1.18620715777729e-07,3.43347371042032,12.9031603965449
