ID,filename,session,trial,visStimLeft,visStimRight,correctKey,leftCorrect,rightCorrect,secondStim,mod2Type,mod2Stim,frequency,rewardAccurate,stimPairLeft,stimPairRight,pCorrectLeft,pCorrectRight,key,reactionTime,choiceLeft,choiceRight,choiceAccurate,reward,chosenPair,otherPair,triplet,surprise,0A belief,1A belief,2A belief,3A belief,0B belief,1B belief,2B belief,3B belief,0C belief,1C belief,2C belief,3C belief,0D belief,1D belief,2D belief,3D belief,beliefPairNorm,beliefOtherPairNorm,beliefPair,beliefOtherPair,lik,corrLik,rewardPE,update2,fit_percModel,fit_respModel,fit_startBelief,fit_alpha1,fit_nonDecisionTime,fit_weight,fit_startingBoundary,fit_startingPoint,fit_NLL
CBC_1024,CBC_1024_MSI_TV_v3_Vset3_Tset1_2023-07-05_15h02.58.307.csv,1,1,0,1,z,0,1,2,tac,B,63,1,0B,1B,0,1,b,1.60864320000019,1,0,0,0,0B,1B,B01,2.77258872223978,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0473329606250009,0.498824597322151,-0.5,-0.301375231553967,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.602750463107935,1.43077943518743,0.68452363062412,2.66947056049601,0.5,82.9545741286146
CBC_1024,CBC_1024_MSI_TV_v3_Vset3_Tset1_2023-07-05_15h02.58.307.csv,1,2,0,1,b,1,0,3,tac,A,63,1,0A,1A,1,0,b,3.02417049999985,1,0,1,1,0A,1A,A01,2.83321334405622,0.5,0.5,0.5,0.5,0.198624768446033,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.146409592654207,0.500773491428366,0.5,0.301375231553967,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.602750463107935,1.43077943518743,0.68452363062412,2.66947056049601,0.5,82.9545741286146
CBC_1024,CBC_1024_MSI_TV_v3_Vset3_Tset1_2023-07-05_15h02.58.307.csv,1,3,2,3,z,0,1,0,tac,D,63,1,2D,3D,0,1,b,2.47436069999912,1,0,0,0,2D,3D,D23,2.89037175789616,0.801375231553967,0.5,0.5,0.5,0.198624768446033,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.211556971986723,0.498873141052939,-0.5,-0.301375231553967,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.602750463107935,1.43077943518743,0.68452363062412,2.66947056049601,0.5,82.9545741286146
CBC_1024,CBC_1024_MSI_TV_v3_Vset3_Tset1_2023-07-05_15h02.58.307.csv,1,4,2,1,z,0,1,2,tac,B,9,1,2B,1B,0,1,b,2.57942209999965,1,0,0,0,2B,1B,B21,2.94443897916644,0.801375231553967,0.5,0.5,0.5,0.198624768446033,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.198624768446033,0.5,0.5,0.5,0.5,0.5,0.198106402324882,0.500348782732554,-0.5,-0.301375231553967,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.602750463107935,1.43077943518743,0.68452363062412,2.66947056049601,0.5,82.9545741286146
CBC_1024,CBC_1024_MSI_TV_v3_Vset3_Tset1_2023-07-05_15h02.58.307.csv,1,5,0,2,b,1,0,3,tac,A,27,1,0A,2A,1,0,b,3.19657709999956,1,0,1,1,0A,2A,A02,2.99573227355399,0.801375231553967,0.5,0.5,0.5,0.198624768446033,0.5,0.198624768446033,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.198624768446033,0.5,0.615791058661112,0.384208941338888,0.801375231553967,0.5,0.156820391318824,0.60421809053998,0.198624768446033,0.119721171165552,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.602750463107935,1.43077943518743,0.68452363062412,2.66947056049601,0.5,82.9545741286146
CBC_1024,CBC_1024_MSI_TV_v3_Vset3_Tset1_2023-07-05_15h02.58.307.csv,1,6,2,3,b,1,0,1,tac,C,63,1,2C,3C,1,0,z,5.15493020000031,0,1,0,0,3C,2C,C23,3.04452243772342,0.92109640271952,0.5,0.5,0.5,0.198624768446033,0.5,0.198624768446033,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.198624768446033,0.5,0.5,0.5,0.5,0.5,0.0334732316451725,0.500497442326445,-0.5,-0.301375231553967,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.602750463107935,1.43077943518743,0.68452363062412,2.66947056049601,0.5,82.9545741286146
CBC_1024,CBC_1024_MSI_TV_v3_Vset3_Tset1_2023-07-05_15h02.58.307.csv,1,7,1,3,z,0,1,0,tac,D,27,1,1D,3D,0,1,z,2.69876219999969,0,1,1,1,3D,1D,D13,3.09104245335832,0.92109640271952,0.5,0.5,0.5,0.198624768446033,0.5,0.198624768446033,0.5,0.5,0.5,0.5,0.198624768446033,0.5,0.5,0.198624768446033,0.5,0.5,0.5,0.5,0.5,0.182959957744566,0.500646605772791,0.5,0.301375231553967,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.602750463107935,1.43077943518743,0.68452363062412,2.66947056049601,0.5,82.9545741286146
CBC_1024,CBC_1024_MSI_TV_v3_Vset3_Tset1_2023-07-05_15h02.58.307.csv,1,8,1,0,z,0,1,3,tac,A,63,1,1A,0A,0,1,b,3.71164169999975,1,0,0,0,1A,0A,A10,3.13549421592915,0.92109640271952,0.5,0.5,0.5,0.198624768446033,0.5,0.198624768446033,0.5,0.5,0.5,0.5,0.198624768446033,0.5,0.5,0.198624768446033,0.801375231553967,0.351841014475275,0.648158985524725,0.5,0.92109640271952,0.0659439890427148,0.366894868539304,-0.5,-0.301375231553967,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.602750463107935,1.43077943518743,0.68452363062412,2.66947056049601,0.5,82.9545741286146
CBC_1024,CBC_1024_MSI_TV_v3_Vset3_Tset1_2023-07-05_15h02.58.307.csv,1,9,2,0,b,1,0,1,tac,C,27,1,2C,0C,1,0,b,3.97409349999998,1,0,1,1,2C,0C,C20,3.17805383034795,0.92109640271952,0.198624768446033,0.5,0.5,0.198624768446033,0.5,0.198624768446033,0.5,0.5,0.5,0.5,0.198624768446033,0.5,0.5,0.198624768446033,0.801375231553967,0.5,0.5,0.5,0.5,0.0757372893768048,0.499895938211469,0.5,0.301375231553967,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.602750463107935,1.43077943518743,0.68452363062412,2.66947056049601,0.5,82.9545741286146
CBC_1024,CBC_1024_MSI_TV_v3_Vset3_Tset1_2023-07-05_15h02.58.307.csv,1,10,2,3,z,0,1,0,tac,D,63,1,2D,3D,0,1,z,3.86099769999964,0,1,1,1,3D,2D,D23,2.52572864430826,0.92109640271952,0.198624768446033,0.5,0.5,0.198624768446033,0.5,0.198624768446033,0.5,0.5,0.5,0.801375231553967,0.198624768446033,0.5,0.5,0.198624768446033,0.801375231553967,0.801375231553967,0.198624768446033,0.801375231553967,0.198624768446033,0.115487482716871,0.749797491295695,0.198624768446033,0.119721171165552,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.602750463107935,1.43077943518743,0.68452363062412,2.66947056049601,0.5,82.9545741286146
CBC_1024,CBC_1024_MSI_TV_v3_Vset3_Tset1_2023-07-05_15h02.58.307.csv,1,11,1,0,b,1,0,2,tac,B,63,1,1B,0B,1,0,b,3.76205759999993,1,0,1,1,1B,0B,B10,3.25809653802148,0.92109640271952,0.198624768446033,0.5,0.5,0.198624768446033,0.5,0.198624768446033,0.5,0.5,0.5,0.801375231553967,0.198624768446033,0.5,0.5,0.198624768446033,0.92109640271952,0.715691774158196,0.284308225841804,0.5,0.198624768446033,0.117498509874637,0.687124569248258,0.5,0.301375231553967,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.602750463107935,1.43077943518743,0.68452363062412,2.66947056049601,0.5,82.9545741286146
CBC_1024,CBC_1024_MSI_TV_v3_Vset3_Tset1_2023-07-05_15h02.58.307.csv,1,12,0,1,b,1,0,3,tac,A,63,1,0A,1A,1,0,b,2.69777209999938,1,0,1,1,0A,1A,A01,2.60268968544438,0.92109640271952,0.198624768446033,0.5,0.5,0.198624768446033,0.801375231553967,0.198624768446033,0.5,0.5,0.5,0.801375231553967,0.198624768446033,0.5,0.5,0.198624768446033,0.92109640271952,0.822612295309842,0.177387704690158,0.92109640271952,0.198624768446033,0.291376108677709,0.764793767118094,0.0789035972804802,0.0475591798016914,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.602750463107935,1.43077943518743,0.68452363062412,2.66947056049601,0.5,82.9545741286146
CBC_1024,CBC_1024_MSI_TV_v3_Vset3_Tset1_2023-07-05_15h02.58.307.csv,1,13,2,3,z,0,1,0,tac,D,63,1,2D,3D,0,1,z,3.30536570000004,0,1,1,1,3D,2D,D23,2.23359222150709,0.968655582521211,0.198624768446033,0.5,0.5,0.198624768446033,0.801375231553967,0.198624768446033,0.5,0.5,0.5,0.801375231553967,0.198624768446033,0.5,0.5,0.198624768446033,0.92109640271952,0.822612295309842,0.177387704690158,0.92109640271952,0.198624768446033,0.18086122509843,0.765318431802799,0.0789035972804802,0.0475591798016914,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.602750463107935,1.43077943518743,0.68452363062412,2.66947056049601,0.5,82.9545741286146
CBC_1024,CBC_1024_MSI_TV_v3_Vset3_Tset1_2023-07-05_15h02.58.307.csv,1,14,2,0,b,1,0,1,tac,C,27,1,2C,0C,1,0,z,4.11698030000025,0,1,0,0,0C,2C,C20,2.67414864942653,0.968655582521211,0.198624768446033,0.5,0.5,0.198624768446033,0.801375231553967,0.198624768446033,0.5,0.5,0.5,0.801375231553967,0.198624768446033,0.5,0.5,0.198624768446033,0.968655582521211,0.384208941338888,0.615791058661112,0.5,0.801375231553967,0.0536280428079478,0.395351610074201,-0.5,-0.301375231553967,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.602750463107935,1.43077943518743,0.68452363062412,2.66947056049601,0.5,82.9545741286146
CBC_1024,CBC_1024_MSI_TV_v3_Vset3_Tset1_2023-07-05_15h02.58.307.csv,1,15,0,1,b,1,0,3,tac,A,63,1,0A,1A,1,0,b,2.39689079999971,1,0,1,1,0A,1A,A01,2.30258509299405,0.968655582521211,0.198624768446033,0.5,0.5,0.198624768446033,0.801375231553967,0.198624768446033,0.5,0.198624768446033,0.5,0.801375231553967,0.198624768446033,0.5,0.5,0.198624768446033,0.968655582521211,0.829839705361744,0.170160294638256,0.968655582521211,0.198624768446033,0.368534236229306,0.769456688579527,0.0313444174787888,0.0188928621511884,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.602750463107935,1.43077943518743,0.68452363062412,2.66947056049601,0.5,82.9545741286146
CBC_1024,CBC_1024_MSI_TV_v3_Vset3_Tset1_2023-07-05_15h02.58.307.csv,1,16,1,3,b,1,0,2,tac,B,27,1,1B,3B,1,0,b,3.16773919999923,1,0,1,1,1B,3B,B13,3.43398720448515,0.9875484446724,0.198624768446033,0.5,0.5,0.198624768446033,0.801375231553967,0.198624768446033,0.5,0.198624768446033,0.5,0.801375231553967,0.198624768446033,0.5,0.5,0.198624768446033,0.968655582521211,0.615791058661112,0.384208941338888,0.801375231553967,0.5,0.159848787370743,0.603509961429474,0.198624768446033,0.119721171165552,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.602750463107935,1.43077943518743,0.68452363062412,2.66947056049601,0.5,82.9545741286146
CBC_1024,CBC_1024_MSI_TV_v3_Vset3_Tset1_2023-07-05_15h02.58.307.csv,1,17,3,2,z,0,1,1,tac,C,63,1,3C,2C,0,1,b,2.64555329999985,1,0,0,0,3C,2C,C32,3.46573590279973,0.9875484446724,0.198624768446033,0.5,0.5,0.198624768446033,0.92109640271952,0.198624768446033,0.5,0.198624768446033,0.5,0.801375231553967,0.198624768446033,0.5,0.5,0.198624768446033,0.968655582521211,0.198624768446033,0.801375231553967,0.198624768446033,0.801375231553967,0.0986054519982812,0.249837019588615,-0.198624768446033,-0.119721171165552,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.602750463107935,1.43077943518743,0.68452363062412,2.66947056049601,0.5,82.9545741286146
