trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.auditory_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,ImageLeft_4.started,ImageLeft_4.stopped,ImageRight_4.started,ImageRight_4.stopped,sound_4.started,sound_4.stopped,response_4.keys,response_4.started,response_4.stopped,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,keys_6.rt,keys_3.rt,response_4.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,audioPair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,participant,session,visual set [1-6],audio set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
,,,,27.357402800000273,None,t,105.88434980000011,27.357402800000273,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1001,001,4,2,5,0,0.8,2023-06-08_11h37.59.527,MSI_AV_v3,2022.1.1,60.008197119707226,
,,,,,,,,,,None,133.2634038000001,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1001,001,4,2,5,0,0.8,2023-06-08_11h37.59.527,MSI_AV_v3,2022.1.1,60.008197119707226,
0,0,0,0,,,,,,,,,,1,3,1,z,27,1,1.3262934849999999,0.789129603,None,133.46329719999994,None,134.40285540000013,None,134.40285540000013,None,134.41321159000026,None,None,134.40285540000013,None,['z'],[0.5182563999997001],136.26332500000035,None,z,2.5182563999997,1,1,1.0,137.60479860000032,None,None,137.60479860000032,None,,,,,,,,,,,,,,,,,,,,,CBC_1001,001,4,2,5,0,0.8,2023-06-08_11h37.59.527,MSI_AV_v3,2022.1.1,60.008197119707226,
1,0,1,0,,,,,,,,,,2,2,3,b,63,1,4.334629553,2.128027194,None,139.5969954000002,None,141.77539620000016,None,141.77539620000016,None,141.78026565000027,None,None,141.77539620000016,None,['z'],[0.2418440000001283],143.72941820000005,None,z,2.2418440000001283,0,0,0.5,148.05467339999996,None,None,148.05467339999996,None,,,,,,,,,,,,,,,,,,,,,CBC_1001,001,4,2,5,0,0.8,2023-06-08_11h37.59.527,MSI_AV_v3,2022.1.1,60.008197119707226,
2,0,2,0,,,,,,,,,,3,2,3,z,63,1,2.742099981,1.448890429,None,150.06320210000013,None,151.52376970000023,None,151.52376970000023,None,151.52919187000023,None,None,151.52376970000023,None,['b'],[0.5746334999998908],153.49685510000018,None,b,2.5746334999998908,0,0,0.3333333333333333,156.22116240000014,None,None,156.22116240000014,None,,,,,,,,,,,,,,,,,,,,,CBC_1001,001,4,2,5,0,0.8,2023-06-08_11h37.59.527,MSI_AV_v3,2022.1.1,60.008197119707226,
3,0,3,0,,,,,,,,,,1,1,0,b,63,0,2.088920167,0.971483559,None,158.2303683,None,159.24885059999997,None,159.24885059999997,None,159.2457310499999,None,None,159.24885059999997,None,['b'],[0.42206690000011804],161.17989790000001,None,b,2.422066900000118,1,0,0.5,163.25945130000036,None,None,163.25945130000036,None,,,,,,,,,,,,,,,,,,,,,CBC_1001,001,4,2,5,0,0.8,2023-06-08_11h37.59.527,MSI_AV_v3,2022.1.1,60.008197119707226,
4,0,4,0,,,,,,,,,,0,3,0,z,9,1,2.917714675,2.7801224,None,165.26357170000028,None,168.09368859999995,None,168.09368859999995,None,168.09640295000008,None,None,168.09368859999995,None,['z'],[1.3900429000000258],170.0470037,None,z,3.390042900000026,1,1,0.6,172.9531691000002,None,None,172.9531691000002,None,,,,,,,,,,,,,,,,,,,,,CBC_1001,001,4,2,5,0,0.8,2023-06-08_11h37.59.527,MSI_AV_v3,2022.1.1,60.008197119707226,
5,0,5,0,,,,,,,,,,3,2,3,z,63,1,1.595506577,1.142638656,None,174.96333380000033,None,176.11945409999998,None,176.11945409999998,None,176.1299000600001,None,None,176.11945409999998,None,None,,178.09648190000007,None,[],[],0,3,0.5,179.6982578000002,None,['z'],179.6982578000002,None,[0.8491705999999795],,,,,,,,,,,,,,,,,,,,CBC_1001,001,4,2,5,0,0.8,2023-06-08_11h37.59.527,MSI_AV_v3,2022.1.1,60.008197119707226,
6,0,6,0,,,,,,,,,,2,2,0,b,27,1,4.196249082,2.935368129,"['z', 'z']",181.66345900000033,None,184.60115940000014,None,184.60115940000014,None,184.61258367000008,None,None,184.60115940000014,None,['b'],[1.7724769999999808],186.5803066000003,None,b,3.7724769999999808,1,1,0.5714285714285714,190.7607699,None,None,190.7607699,None,,"[0.6040696999998545, 2.792975099999694]",,,,,,,,,,,,,,,,,,,CBC_1001,001,4,2,5,0,0.8,2023-06-08_11h37.59.527,MSI_AV_v3,2022.1.1,60.008197119707226,
7,0,7,0,,,,,,,,,,0,1,0,z,63,1,2.208904638,3.276660373,None,192.76369780000005,None,196.05287290000024,None,196.05287290000024,None,196.06327876000014,None,None,196.05287290000024,None,['z'],[0.7898220000001857],198.03000800000018,None,z,2.7898220000001857,1,1,0.625,200.23638660000006,None,None,200.23638660000006,None,,,,,,,,,,,,,,,,,,,,,CBC_1001,001,4,2,5,0,0.8,2023-06-08_11h37.59.527,MSI_AV_v3,2022.1.1,60.008197119707226,
