trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.tactile_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,image_stim_left.started,image_stim_right.started,tactile.started,response_4.keys,allKeys.keys,response_4.rt,allKeys.rt,response_5.keys,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.stopped,feedback_6.started,keys_6.keys,keys_6.started,keys_6.stopped,response_5.rt,keys_6.rt,keys_3.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,tactilePair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,participant,session,visual set [1-6],tactile set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
,,,,431.01613959999986,None,t,82.82918829999971,431.01613959999986,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1001,2,1,1,4,0,0.9,2023-06-08_11h53.34.814,MSI_TV_v3,2022.1.1,60.07983408336667,
,,,,,,,,,,None,513.8726320000001,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1001,2,1,1,4,0,0.9,2023-06-08_11h53.34.814,MSI_TV_v3,2022.1.1,60.07983408336667,
0,0,0,0,,,,,,,,,,1,1.0,0.0,b,63.0,1.0,1.109698721,2.573610938,None,514.0728250999996,None,516.6229337900002,516.6229337900002,516.63942079,b,['b'],1.473025000000689,[1.473025000000689],None,518.6629124999995,None,b,1.473025000000689,1,1,1.0,None,519.7918881999999,None,519.7918881999999,None,,,,,,,,,,,,,,,,,,,,,CBC_1001,2,1,1,4,0,0.9,2023-06-08_11h53.34.814,MSI_TV_v3,2022.1.1,60.07983408336667,
1,0,1,0,,,,,,,,,,0,1.0,0.0,z,63.0,1.0,1.899747326,2.935368129,None,521.7730389000003,None,524.6895968899996,524.6895968899996,524.7062150899999,z,['z'],1.6189849999996113,[1.6189849999996113],None,526.7309487999996,None,z,1.6189849999996113,1,1,1.0,None,528.6346054,None,528.6346054,None,,,,,,,,,,,,,,,,,,,,,CBC_1001,2,1,1,4,0,0.9,2023-06-08_11h53.34.814,MSI_TV_v3,2022.1.1,60.07983408336667,
2,0,2,0,,,,,,,,,,3,3.0,2.0,b,63.0,1.0,2.0845750460000003,1.142638656,None,530.6387883000002,None,531.7561762900002,531.7561762900002,531.7729185899996,None,[],,,['z'],533.7571046999997,None,z,2.382887400000527,0,0,0.6666666666666666,None,535.8411387000001,None,535.8411387000001,None,[0.3828874000005271],,,,,,,,,,,,,,,,,,,,CBC_1001,2,1,1,4,0,0.9,2023-06-08_11h53.34.814,MSI_TV_v3,2022.1.1,60.07983408336667,
3,0,3,0,,,,,,,,,,1,1.0,2.0,b,9.0,1.0,1.543156518,2.407383959,None,537.8560057999998,None,540.2395120899998,540.2395120899998,540.2561265900001,None,[],,,None,542.2418163999996,None,None,[],0,3,0.5,None,543.7826576000002,['b'],543.7826576000002,None,,[1.1946294000003945],,,,,,,,,,,,,,,,,,,CBC_1001,2,1,1,4,0,0.9,2023-06-08_11h53.34.814,MSI_TV_v3,2022.1.1,60.07983408336667,
4,0,4,0,,,,,,,,,,0,2.0,0.0,z,27.0,1.0,1.887650177,0.971483559,['b'],545.7886028999997,None,546.7396875900001,546.7396875900001,546.7563094899995,None,[],,,['z'],548.7370760999997,None,z,2.5643693999995776,1,1,0.6,None,550.6329951000002,None,550.6329951000002,None,[0.5643693999995776],,[0.652454000000489],,,,,,,,,,,,,,,,,,CBC_1001,2,1,1,4,0,0.9,2023-06-08_11h53.34.814,MSI_TV_v3,2022.1.1,60.07983408336667,
5,0,5,0,,,,,,,,,,2,3.0,2.0,z,63.0,1.0,2.917714675,2.7801224,None,552.6397854000002,None,555.4063479899994,555.4063479899994,555.4227451899994,None,[],,,['b'],557.4280413000001,None,b,3.330903600000511,0,0,0.5,None,560.3423197999996,None,560.3423197999996,None,[1.3309036000005108],,,,,,,,,,,,,,,,,,,,CBC_1001,2,1,1,4,0,0.9,2023-06-08_11h53.34.814,MSI_TV_v3,2022.1.1,60.07983408336667,
6,0,6,0,,,,,,,,,,3,3.0,1.0,b,27.0,1.0,4.309752164,1.75396268,None,562.3563055999998,None,564.0884582899996,564.0884582899996,564.1051276899996,None,[],,,['z'],566.0824652999995,None,z,2.332539700000325,0,0,0.42857142857142855,None,570.3886520000001,None,570.3886520000001,None,[0.33253970000032496],,,,,,,,,,,,,,,,,,,,CBC_1001,2,1,1,4,0,0.9,2023-06-08_11h53.34.814,MSI_TV_v3,2022.1.1,60.07983408336667,
7,0,7,0,,,,,,,,,,0,0.0,1.0,b,63.0,1.0,2.742099981,1.293060736,None,572.3894494000001,None,573.6563972900001,573.6563972900001,573.6730602899995,None,[],,,['b'],575.6588035999998,None,b,2.341143600000123,1,1,0.5,None,578.3847929999997,None,578.3847929999997,None,[0.3411436000001231],,,,,,,,,,,,,,,,,,,,CBC_1001,2,1,1,4,0,0.9,2023-06-08_11h53.34.814,MSI_TV_v3,2022.1.1,60.07983408336667,
8,0,8,0,,,,,,,,,,2,0.0,2.0,z,27.0,1.0,1.610581685,2.962224669,None,580.3897179999999,None,583.3395913900001,583.3395913900001,583.3562772900002,None,[],,,['z'],585.3429890000002,None,z,3.4135411000002023,1,1,0.5555555555555556,None,586.9446234000002,None,586.9446234000002,None,[1.4135411000002023],,,,,,,,,,,,,,,,,,,,CBC_1001,2,1,1,4,0,0.9,2023-06-08_11h53.34.814,MSI_TV_v3,2022.1.1,60.07983408336667,
