trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.auditory_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,ImageLeft_4.started,ImageLeft_4.stopped,ImageRight_4.started,ImageRight_4.stopped,sound_4.started,sound_4.stopped,response_4.keys,response_4.started,response_4.stopped,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,response_4.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,audioPair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,participant,session,visual set [1-6],audio set [1-3],trial structure [0-3],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
,,,,26.352942399998938,None,t,57.43971229999988,26.352942399998938,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1002,4,3,1,1,1,0.95,2023-05-31_17h20.54.856,MSI_AV_v3,2022.1.1,59.95315260687711,
,,,,,,,,,,None,83.82271519999995,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1002,4,3,1,1,1,0.95,2023-05-31_17h20.54.856,MSI_AV_v3,2022.1.1,59.95315260687711,
0,0,0,0,,,,,,,,,,1,1.0,0.0,b,63.0,1.0,2.117809983,0.977134615,None,84.02237590000004,None,85.10691939999924,None,85.10691939999924,None,85.1056037999997,None,None,85.10691939999924,None,['b'],[0.06224270000166143],86.98941919999925,None,b,2.0622427000016614,1,1,1.0,89.11593269999867,None,None,89.11593269999867,None,,,,,,,,,,,,,,,,,,,CBC_1002,4,3,1,1,1,0.95,2023-05-31_17h20.54.856,MSI_AV_v3,2022.1.1,59.95315260687711,
1,0,1,0,,,,,,,,,,2,3.0,2.0,b,63.0,1.0,1.556335756,2.349749758,None,91.10489589999997,None,93.49976359999891,None,93.49976359999891,None,93.50576780000029,None,None,93.49976359999891,None,['z'],[0.26929200000267883],95.45570679999946,None,z,2.269292000002679,0,0,0.5,97.01240809999945,None,None,97.01240809999945,None,,,,,,,,,,,,,,,,,,,CBC_1002,4,3,1,1,1,0.95,2023-05-31_17h20.54.856,MSI_AV_v3,2022.1.1,59.95315260687711,
2,0,2,0,,,,,,,,,,1,3.0,1.0,z,27.0,1.0,4.176609572,2.684881281,None,99.02231729999949,None,101.72875790000035,None,101.72875790000035,None,101.73891550000008,None,None,101.72875790000035,None,['z'],[0.39370660000167845],103.7050177000001,None,z,2.3937066000016785,1,1,0.6666666666666666,107.86512969999967,None,None,107.86512969999967,None,,,,,,,,,,,,,,,,,,,CBC_1002,4,3,1,1,1,0.95,2023-05-31_17h20.54.856,MSI_AV_v3,2022.1.1,59.95315260687711,
3,0,3,0,,,,,,,,,,3,2.0,3.0,b,63.0,1.0,2.67601813,2.962224669,None,109.8725390999989,None,112.858099699999,None,112.858099699999,None,112.8558508999995,None,['b'],112.858099699999,None,None,,114.83919869999954,None,b,1.9294055000027583,1,1,0.75,117.52943919999962,None,None,117.52943919999962,None,[1.9294055000027583],,,,,,,,,,,,,,,,,,CBC_1002,4,3,1,1,1,0.95,2023-05-31_17h20.54.856,MSI_AV_v3,2022.1.1,59.95315260687711,
4,0,4,0,,,,,,,,,,3,0.0,2.0,z,27.0,1.0,4.334629553,2.407383959,None,119.53881639999963,None,121.94116810000014,None,121.94116810000014,None,121.93814369999927,None,['z'],121.94116810000014,None,None,,123.94034850000025,None,z,1.5257414000006975,1,1,0.8,128.27726110000003,None,None,128.27726110000003,None,[1.5257414000006975],,,,,,,,,,,,,,,,,,CBC_1002,4,3,1,1,1,0.95,2023-05-31_17h20.54.856,MSI_AV_v3,2022.1.1,59.95315260687711,
5,0,5,0,,,,,,,,,,0,0.0,3.0,b,9.0,1.0,2.242058058,1.08099246,None,130.289240099999,None,131.41499929999918,None,131.41499929999918,None,131.42251829999896,None,None,131.41499929999918,None,['b'],[0.049264000001130626],133.3726343999988,None,b,2.0492640000011306,1,1,0.8333333333333334,135.6025785999991,None,None,135.6025785999991,None,,,,,,,,,,,,,,,,,,,CBC_1002,4,3,1,1,1,0.95,2023-05-31_17h20.54.856,MSI_AV_v3,2022.1.1,59.95315260687711,
6,0,6,0,,,,,,,,,,3,2.0,3.0,b,63.0,1.0,3.869831913,1.378098418,None,137.6059497999995,None,138.99411859999964,None,138.99411859999964,None,139.00596330000008,None,['b'],138.99411859999964,None,None,,140.99011509999946,None,b,1.7898509000006015,1,1,0.8571428571428571,144.85518140000022,None,None,144.85518140000022,None,[1.7898509000006015],,,,,,,,,,,,,,,,,,CBC_1002,4,3,1,1,1,0.95,2023-05-31_17h20.54.856,MSI_AV_v3,2022.1.1,59.95315260687711,
7,0,7,0,,,,,,,,,,0,1.0,0.0,z,63.0,1.0,2.917714675,2.108332021,None,146.8558524,None,148.97852389999935,None,148.97852389999935,None,148.9892588999992,None,['z'],148.97852389999935,None,None,,150.97329059999902,None,z,1.2123788000008062,1,1,0.875,153.89558599999873,None,None,153.89558599999873,None,[1.2123788000008062],,,,,,,,,,,,,,,,,,CBC_1002,4,3,1,1,1,0.95,2023-05-31_17h20.54.856,MSI_AV_v3,2022.1.1,59.95315260687711,
