trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.auditory_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,ImageLeft_4.started,ImageLeft_4.stopped,ImageRight_4.started,ImageRight_4.stopped,sound_4.started,sound_4.stopped,response_4.keys,response_4.started,response_4.stopped,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,response_4.rt,keys_6.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,audioPair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,participant,session,visual set [1-6],audio set [1-3],trial structure [0-3],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
,,,,21.43913810000049,None,t,65.35319639999943,21.43913810000049,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1002,2,4,2,2,1,0.95,2023-05-31_16h22.12.197,MSI_AV_v3,2022.1.1,60.016120329963165,
,,,,,,,,,,None,86.80938059999971,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1002,2,4,2,2,1,0.95,2023-05-31_16h22.12.197,MSI_AV_v3,2022.1.1,60.016120329963165,
0,0,0,0,,,,,,,,,,0,0.0,1.0,b,63.0,1.0,3.044827724,2.962224669,None,87.0093450000004,None,90.0289012000012,None,90.0289012000012,None,90.02588482000064,None,None,90.0289012000012,None,['z'],[0.26603029999932915],91.95928340000137,None,z,2.266030299999329,0,0,0.0,95.00803330000053,None,None,95.00803330000053,None,,,,,,,,,,,,,,,,,,,,CBC_1002,2,4,2,2,1,0.95,2023-05-31_16h22.12.197,MSI_AV_v3,2022.1.1,60.016120329963165,
1,0,1,0,,,,,,,,,,2,2.0,3.0,z,63.0,1.0,3.478547126,2.407383959,None,97.00940470000023,None,99.43122570000014,None,99.43122570000014,None,99.44294477999973,None,['b'],99.43122570000014,None,None,,101.42601620000096,None,b,1.8762511000004451,0,0,0.0,104.91590569999971,None,None,104.91590569999971,None,[1.8762511000004451],,,,,,,,,,,,,,,,,,,CBC_1002,2,4,2,2,1,0.95,2023-05-31_16h22.12.197,MSI_AV_v3,2022.1.1,60.016120329963165,
2,0,2,0,,,,,,,,,,3,0.0,2.0,z,27.0,1.0,3.869831913,1.84422311,None,106.92609690000063,None,108.78084920000038,None,108.78084920000038,None,108.79247058,None,None,108.78084920000038,None,['z'],[0.3719526000004407],110.7593495000001,None,z,2.3719526000004407,1,1,0.3333333333333333,114.62271710000095,None,None,114.62271710000095,None,,,,,,,,,,,,,,,,,,,,CBC_1002,2,4,2,2,1,0.95,2023-05-31_16h22.12.197,MSI_AV_v3,2022.1.1,60.016120329963165,
3,0,3,0,,,,,,,,,,0,0.0,1.0,b,63.0,1.0,1.758742576,1.142638656,None,116.62624400000095,None,117.77505010000095,None,117.77505010000095,None,117.77593965999931,None,None,117.77505010000095,None,['b'],[0.28492310000001453],119.75926330000038,None,b,2.2849231000000145,1,1,0.5,121.50882720000118,None,None,121.50882720000118,None,,,,,,,,,,,,,,,,,,,,CBC_1002,2,4,2,2,1,0.95,2023-05-31_16h22.12.197,MSI_AV_v3,2022.1.1,60.016120329963165,
4,0,4,0,,,,,,,,,,1,1.0,3.0,b,27.0,1.0,4.196249082,2.349749758,None,123.50942170000053,None,125.88203340000109,None,125.88203340000109,None,125.89286138000024,None,None,125.88203340000109,None,['z'],[0.5764962999983254],127.85943039999984,None,z,2.5764962999983254,0,0,0.4,132.04781259999982,None,None,132.04781259999982,None,,,,,,,,,,,,,,,,,,,,CBC_1002,2,4,2,2,1,0.95,2023-05-31_16h22.12.197,MSI_AV_v3,2022.1.1,60.016120329963165,
5,0,5,0,,,,,,,,,,3,3.0,2.0,z,63.0,1.0,2.232488062,1.378098418,None,134.05962220000038,None,135.4486936000012,None,135.4486936000012,None,135.45948157999956,None,None,135.4486936000012,None,['b'],[0.877170699999624],137.42617100000098,None,b,2.877170699999624,0,0,0.3333333333333333,139.65133050000077,None,None,139.65133050000077,None,,,,,,,,,,,,,,,,,,,,CBC_1002,2,4,2,2,1,0.95,2023-05-31_16h22.12.197,MSI_AV_v3,2022.1.1,60.016120329963165,
6,0,6,0,,,,,,,,,,2,3.0,2.0,b,63.0,1.0,1.874984683,3.276660373,None,141.66037420000066,None,144.9497347000015,None,144.9497347000015,None,144.96032097999924,None,['z'],144.9497347000015,None,None,,146.94230440000138,None,z,1.7006270000001678,0,0,0.2857142857142857,148.8149005000014,None,None,148.8149005000014,None,[1.7006270000001678],,,,,,,,,,,,,,,,,,,CBC_1002,2,4,2,2,1,0.95,2023-05-31_16h22.12.197,MSI_AV_v3,2022.1.1,60.016120329963165,
7,0,7,0,,,,,,,,,,1,0.0,1.0,z,63.0,1.0,2.0845750460000003,2.757001452,None,150.82626750000054,None,153.5987127999997,None,153.5987127999997,None,153.60959627999947,None,None,153.5987127999997,None,['b'],[0.5438954999990528],155.57629480000105,None,b,2.543895499999053,0,0,0.25,157.6571968999997,None,None,157.6571968999997,None,,,,,,,,,,,,,,,,,,,,CBC_1002,2,4,2,2,1,0.95,2023-05-31_16h22.12.197,MSI_AV_v3,2022.1.1,60.016120329963165,
8,0,8,0,,,,,,,,,,0,2.0,0.0,z,27.0,1.0,2.67601813,1.411911144,None,159.66044520000105,None,161.09656180000093,None,161.09656180000093,None,161.09296556000098,None,None,161.09656180000093,None,['z'],[1.1143119999996998],163.0766646000011,None,z,3.1143119999996998,1,1,0.3333333333333333,165.7418243000011,None,None,165.7418243000011,None,,,,,,,,,,,,,,,,,,,,CBC_1002,2,4,2,2,1,0.95,2023-05-31_16h22.12.197,MSI_AV_v3,2022.1.1,60.016120329963165,
9,0,9,0,,,,,,,,,,2,3.0,0.0,b,9.0,1.0,1.90573091,2.234398566,None,167.74288780000097,None,169.99766050000107,None,169.99766050000107,None,169.99296905999998,None,None,169.99766050000107,None,['b'],[1.6568451999992249],171.97631270000056,None,b,3.656845199999225,1,1,0.4,173.86586920000082,None,None,173.86586920000082,None,,,,,,,,,,,,,,,,,,,,CBC_1002,2,4,2,2,1,0.95,2023-05-31_16h22.12.197,MSI_AV_v3,2022.1.1,60.016120329963165,
10,0,10,0,,,,,,,,,,3,2.0,3.0,b,63.0,1.0,2.518459073,0.971483559,None,175.8770325000005,None,176.8637362999998,None,176.8637362999998,None,176.85963315999996,None,None,176.8637362999998,None,['b'],[0.9676335999993171],178.84309500000018,None,b,2.967633599999317,1,1,0.45454545454545453,181.34730320000017,None,None,181.34730320000017,None,,,,,,,,,,,,,,,,,,,,CBC_1002,2,4,2,2,1,0.95,2023-05-31_16h22.12.197,MSI_AV_v3,2022.1.1,60.016120329963165,
11,0,11,0,,,,,,,,,,1,0.0,1.0,z,63.0,1.0,2.372527466,1.915207301,None,183.35970810000072,None,185.29912140000124,None,185.29912140000124,None,185.30942308000013,None,None,185.29912140000124,None,['z'],[0.5076615999987553],187.27684560000125,None,z,2.5076615999987553,1,1,0.5,189.63812230000076,None,None,189.63812230000076,None,,,,,,,,,,,,,,,,,,,,CBC_1002,2,4,2,2,1,0.95,2023-05-31_16h22.12.197,MSI_AV_v3,2022.1.1,60.016120329963165,
12,0,12,0,,,,,,,,,,3,3.0,2.0,z,63.0,1.0,4.309752164,2.297139377,None,191.64308830000118,None,193.9637868000009,None,193.9637868000009,None,193.95955825999934,None,None,193.9637868000009,None,['b'],[0.23216990000037185],195.94296120000035,None,b,2.232169900000372,0,0,0.46153846153846156,200.25048470000002,None,None,200.25048470000002,None,,,,,,,,,,,,,,,,,,,,CBC_1002,2,4,2,2,1,0.95,2023-05-31_16h22.12.197,MSI_AV_v3,2022.1.1,60.016120329963165,
13,0,13,0,,,,,,,,,,1,1.0,3.0,b,27.0,1.0,1.899747326,0.977134615,None,202.25987270000041,None,203.2485824000014,None,203.2485824000014,None,203.25980688000018,None,None,203.2485824000014,None,['b'],[0.38329800000065006],205.22647280000092,None,b,2.38329800000065,1,1,0.5,207.11315020000075,None,None,207.11315020000075,None,,,,,,,,,,,,,,,,,,,,CBC_1002,2,4,2,2,1,0.95,2023-05-31_16h22.12.197,MSI_AV_v3,2022.1.1,60.016120329963165,
14,0,14,0,,,,,,,,,,2,2.0,3.0,z,63.0,1.0,3.622505815,2.7801224,None,209.1265887999998,None,211.9312974000004,None,211.9312974000004,None,211.92639966000004,None,None,211.9312974000004,None,['b'],[0.9811872999998741],213.9097786000002,None,b,2.981187299999874,0,0,0.4666666666666667,217.51496150000094,None,None,217.51496150000094,None,,,,,,,,,,,,,,,,,,,,CBC_1002,2,4,2,2,1,0.95,2023-05-31_16h22.12.197,MSI_AV_v3,2022.1.1,60.016120329963165,
15,0,15,0,,,,,,,,,,0,0.0,3.0,b,9.0,1.0,3.884449499,2.108332021,None,219.52657060000092,None,221.64836920000016,None,221.64836920000016,None,221.65981558000058,None,None,221.64836920000016,None,['z'],[0.3625574999987293],223.62652020000132,None,z,2.3625574999987293,0,0,0.4375,227.49713340000017,None,None,227.49713340000017,None,,,,,,,,,,,,,,,,,,,,CBC_1002,2,4,2,2,1,0.95,2023-05-31_16h22.12.197,MSI_AV_v3,2022.1.1,60.016120329963165,
16,0,16,0,,,,,,,,,,2,2.0,3.0,z,63.0,1.0,3.501824497,2.573610938,None,229.5098751000005,None,232.1001647000012,None,232.1001647000012,None,232.10973367999978,None,['b'],232.1001647000012,None,None,,234.09398900000087,None,b,1.4536465999990469,0,0,0.4117647058823529,237.60050370000135,None,None,237.60050370000135,None,[1.4536465999990469],,,,,,,,,,,,,,,,,,,CBC_1002,2,4,2,2,1,0.95,2023-05-31_16h22.12.197,MSI_AV_v3,2022.1.1,60.016120329963165,
17,0,17,0,,,,,,,,,,3,0.0,2.0,z,27.0,1.0,4.176609572,1.293060736,None,239.60902650000025,None,240.9157840000007,None,240.9157840000007,None,240.9266041800005,None,None,240.9157840000007,None,['b'],[1.1596530000006169],242.89327550000053,None,b,3.159653000000617,0,0,0.3888888888888889,247.05257800000072,None,None,247.05257800000072,None,,,,,,,,,,,,,,,,,,,,CBC_1002,2,4,2,2,1,0.95,2023-05-31_16h22.12.197,MSI_AV_v3,2022.1.1,60.016120329963165,
18,0,18,0,,,,,,,,,,0,0.0,1.0,b,63.0,1.0,2.397501916,2.502774076,None,249.0599596000011,None,251.58362320000015,None,251.58362320000015,None,251.59339118000062,None,None,251.58362320000015,None,['b'],[0.37594460000036634],253.56006549999984,None,b,2.3759446000003663,1,1,0.42105263157894735,255.93824120000136,None,None,255.93824120000136,None,,,,,,,,,,,,,,,,,,,,CBC_1002,2,4,2,2,1,0.95,2023-05-31_16h22.12.197,MSI_AV_v3,2022.1.1,60.016120329963165,
19,0,19,0,,,,,,,,,,1,1.0,0.0,b,63.0,0.0,1.887650177,3.264468617,None,257.9432331000007,None,261.23138350000045,None,261.23138350000045,None,261.2433294799998,None,None,261.23138350000045,None,['b'],[0.8144785000004049],263.2099932000001,None,b,2.814478500000405,1,0,0.45,265.0772573000013,None,None,265.0772573000013,None,,,,,,,,,,,,,,,,,,,,CBC_1002,2,4,2,2,1,0.95,2023-05-31_16h22.12.197,MSI_AV_v3,2022.1.1,60.016120329963165,
20,0,20,0,,,,,,,,,,2,3.0,1.0,b,27.0,1.0,2.949122761,1.75396268,None,267.07695109999986,None,268.8480754000011,None,268.8480754000011,None,268.86001898000035,None,None,268.8480754000011,None,['z'],[1.3112980000005336],270.8268527,None,z,3.3112980000005336,0,0,0.42857142857142855,273.7585635000014,None,None,273.7585635000014,None,,,,,,,,,,,,,,,,,,,,CBC_1002,2,4,2,2,1,0.95,2023-05-31_16h22.12.197,MSI_AV_v3,2022.1.1,60.016120329963165,
21,0,21,0,,,,,,,,,,3,3.0,2.0,z,63.0,1.0,1.3262934849999999,2.648704933,None,275.7594183000001,None,278.41474879999987,None,278.41474879999987,None,278.4261642599993,None,None,278.41474879999987,None,['b'],[1.2187333000001672],280.4101191000009,None,b,3.218733300000167,0,0,0.4090909090909091,281.72396579999986,None,None,281.72396579999986,None,,,,,,,,,,,,,,,,,,,,CBC_1002,2,4,2,2,1,0.95,2023-05-31_16h22.12.197,MSI_AV_v3,2022.1.1,60.016120329963165,
22,0,22,0,,,,,,,,,,2,2.0,3.0,z,63.0,1.0,2.242058058,1.483424551,None,283.7266529000008,None,285.2305969000008,None,285.2305969000008,None,285.2433025800005,None,['z'],285.2305969000008,None,None,,287.2269766999998,None,z,1.4578287999993336,1,1,0.43478260869565216,289.4682096000015,None,None,289.4682096000015,None,[1.4578287999993336],,,,,,,,,,,,,,,,,,,CBC_1002,2,4,2,2,1,0.95,2023-05-31_16h22.12.197,MSI_AV_v3,2022.1.1,60.016120329963165,
23,0,23,0,,,,,,,,,,0,0.0,2.0,b,27.0,1.0,2.917714675,1.53162701,None,291.4766801000005,None,293.0321832000009,None,293.0321832000009,None,293.04334557999977,None,None,293.0321832000009,None,['b'],[0.319522899999356],295.0101654000009,None,b,2.319522899999356,1,1,0.4583333333333333,297.9191391000004,None,None,297.9191391000004,None,,,,,,,,,,,,,,,,,,,,CBC_1002,2,4,2,2,1,0.95,2023-05-31_16h22.12.197,MSI_AV_v3,2022.1.1,60.016120329963165,
24,0,24,0,,,,,,,,,,1,1.0,0.0,b,63.0,1.0,1.543156518,2.684881281,None,299.92665959999977,None,302.63222959999985,None,302.63222959999985,None,302.6436404799992,None,None,302.63222959999985,None,None,,304.6101725000008,None,[],[],0,3,0.44,306.12629019999986,None,None,306.12629019999986,None,,,,,,,,,,,,,,,,,,,,CBC_1002,2,4,2,2,1,0.95,2023-05-31_16h22.12.197,MSI_AV_v3,2022.1.1,60.016120329963165,
25,0,25,0,,,,,,,,,,3,0.0,2.0,z,27.0,1.0,2.088920167,2.071213329,None,308.1269166000002,None,310.2158285000005,None,310.2158285000005,None,310.2268233800009,None,None,310.2158285000005,None,['z'],[1.7987816000004386],312.1935028000007,None,z,3.7987816000004386,1,1,0.46153846153846156,314.27619290000075,None,None,314.27619290000075,None,,,,,,,,,,,,,,,,,,,,CBC_1002,2,4,2,2,1,0.95,2023-05-31_16h22.12.197,MSI_AV_v3,2022.1.1,60.016120329963165,
26,0,26,0,,,,,,,,,,1,0.0,1.0,z,63.0,1.0,1.219965572,1.086048241,None,316.2762939000004,None,317.3806510000013,None,317.3806510000013,None,317.3767220600001,None,None,317.3806510000013,None,None,,319.3602427000005,None,[],[],0,3,0.4444444444444444,320.5664723000009,None,['b'],320.5664723000009,None,,[0.12721679999958724],,,,,,,,,,,,,,,,,,CBC_1002,2,4,2,2,1,0.95,2023-05-31_16h22.12.197,MSI_AV_v3,2022.1.1,60.016120329963165,
27,0,27,0,,,,,,,,,,0,1.0,0.0,z,63.0,1.0,2.117809983,1.24796184,None,322.57664400000067,None,323.8498092000009,None,323.8498092000009,None,323.8602689799995,None,None,323.8498092000009,None,['z'],[0.4674903999984963],325.82686660000036,None,z,2.4674903999984963,1,1,0.4642857142857143,327.9305237000008,None,None,327.9305237000008,None,,,,,,,,,,,,,,,,,,,,CBC_1002,2,4,2,2,1,0.95,2023-05-31_16h22.12.197,MSI_AV_v3,2022.1.1,60.016120329963165,
28,0,28,0,,,,,,,,,,3,2.0,3.0,b,63.0,1.0,3.956662465,2.232990834,None,329.9435809000006,None,332.19825630000014,None,332.19825630000014,None,332.21005628000097,None,None,332.19825630000014,None,['b'],[0.9180586999991647],334.17705810000007,None,b,2.9180586999991647,1,1,0.4827586206896552,338.12020590000066,None,None,338.12020590000066,None,,,,,,,,,,,,,,,,,,,,CBC_1002,2,4,2,2,1,0.95,2023-05-31_16h22.12.197,MSI_AV_v3,2022.1.1,60.016120329963165,
29,0,29,0,,,,,,,,,,2,1.0,3.0,z,27.0,1.0,1.556335756,1.883772966,None,340.1269546000003,None,342.0170330000001,None,342.0170330000001,None,342.0262379600006,None,['z'],342.0170330000001,None,None,,344.0137527000006,None,z,1.9038347999994585,1,1,0.5,345.5838996000002,None,None,345.5838996000002,None,[1.9038347999994585],,,,,,,,,,,,,,,,,,,CBC_1002,2,4,2,2,1,0.95,2023-05-31_16h22.12.197,MSI_AV_v3,2022.1.1,60.016120329963165,
30,0,30,0,,,,,,,,,,0,0.0,1.0,b,63.0,1.0,4.21669271,3.321420384,None,347.59361960000024,None,350.9317026000008,None,350.9317026000008,None,350.94375778000034,None,None,350.9317026000008,None,['z'],[0.6612545999996655],352.9102717000005,None,z,2.6612545999996655,0,0,0.4838709677419355,357.1173819000014,None,None,357.1173819000014,None,,,,,,,,,,,,,,,,,,,,CBC_1002,2,4,2,2,1,0.95,2023-05-31_16h22.12.197,MSI_AV_v3,2022.1.1,60.016120329963165,
