trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.tactile_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,image_stim_left.started,image_stim_right.started,tactile.started,response_4.keys,allKeys.keys,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.stopped,feedback_6.started,keys_6.keys,keys_6.started,keys_6.stopped,keys_6.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,tactilePair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,participant,session,visual set [1-6],tactile set [1-3],trial structure [0-3],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
,,,,29.471594300001016,None,t,73.42799000000014,29.471594300001016,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1002,001,1,3,0,1,0.95,2023-05-31_16h13.57.205,MSI_TV_v3,2022.1.1,60.133303507409174,
,,,,,,,,,,None,102.93111270000009,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1002,001,1,3,0,1,0.95,2023-05-31_16h13.57.205,MSI_TV_v3,2022.1.1,60.133303507409174,
0,0,0,0,,,,,,,,,,1,0.0,1.0,z,63.0,1.0,2.818459073,3.388090306,None,103.13348730000143,None,106.49760200000055,106.49760200000055,106.51423060000089,None,[],['b'],[0.5815366000006179],108.49531610000122,None,b,2.581536600000618,0,0,0.0,None,111.33357760000035,None,111.33357760000035,None,,,,,,,,,,,,,,,,,,,CBC_1002,001,1,3,0,1,0.95,2023-05-31_16h13.57.205,MSI_TV_v3,2022.1.1,60.133303507409174,
1,0,1,0,,,,,,,,,,0,0.0,1.0,b,63.0,1.0,2.0845750460000003,2.7801224,None,113.3313100000014,None,116.09722560000155,116.09722560000155,116.11398260000097,None,[],['b'],[0.40994879999925615],118.09210030000031,None,b,2.409948799999256,1,1,0.5,None,120.17944440000065,None,120.17944440000065,None,,,,,,,,,,,,,,,,,,,CBC_1002,001,1,3,0,1,0.95,2023-05-31_16h13.57.205,MSI_TV_v3,2022.1.1,60.133303507409174,
2,0,2,0,,,,,,,,,,2,2.0,3.0,z,63.0,1.0,1.610581685,2.573610938,None,122.18113100000119,None,124.73121680000004,124.73121680000004,124.7478028000016,None,[],['b'],[0.4550122000000556],126.73469640000076,None,b,2.4550122000000556,0,0,0.3333333333333333,None,128.3570012,None,128.3570012,None,,,,,,,,,,,,,,,,,,,CBC_1002,001,1,3,0,1,0.95,2023-05-31_16h13.57.205,MSI_TV_v3,2022.1.1,60.133303507409174,
3,0,3,0,,,,,,,,,,1,2.0,1.0,z,9.0,1.0,4.21669271,2.648704933,None,130.3645765000001,None,132.99790310000134,132.99790310000134,133.01450760000006,None,[],['b'],[0.6531185999992886],135.00145910000174,None,b,2.6531185999992886,0,0,0.25,None,139.23259560000042,None,139.23259560000042,None,,,,,,,,,,,,,,,,,,,CBC_1002,001,1,3,0,1,0.95,2023-05-31_16h13.57.205,MSI_TV_v3,2022.1.1,60.133303507409174,
4,0,4,0,,,,,,,,,,0,0.0,2.0,b,27.0,1.0,2.742099981,1.84422311,None,141.24790960000064,None,143.0644810000005,143.0644810000005,143.0813682000018,None,[],['z'],[0.985287999999855],145.0679379000012,None,z,2.985287999999855,0,0,0.2,None,147.83102990000043,None,147.83102990000043,None,,,,,,,,,,,,,,,,,,,CBC_1002,001,1,3,0,1,0.95,2023-05-31_16h13.57.205,MSI_TV_v3,2022.1.1,60.133303507409174,
5,0,5,0,,,,,,,,,,3,2.0,3.0,b,63.0,1.0,4.309752164,2.349749758,None,149.83113670000057,None,152.1638145000008,152.1638145000008,152.1801315000004,None,[],['b'],[0.364203399998587],154.15846620000048,None,b,2.364203399998587,1,1,0.3333333333333333,None,158.46412260000034,None,158.46412260000034,None,,,,,,,,,,,,,,,,,,,CBC_1002,001,1,3,0,1,0.95,2023-05-31_16h13.57.205,MSI_TV_v3,2022.1.1,60.133303507409174,
6,0,6,0,,,,,,,,,,2,1.0,3.0,z,27.0,1.0,4.334629553,1.75396268,None,160.46507700000075,None,162.19732330000005,162.19732330000005,162.21370270000006,None,[],['z'],[0.609533899998496],164.1921695000001,None,z,2.609533899998496,1,1,0.42857142857142855,None,168.5344184000005,None,168.5344184000005,None,,,,,,,,,,,,,,,,,,,CBC_1002,001,1,3,0,1,0.95,2023-05-31_16h13.57.205,MSI_TV_v3,2022.1.1,60.133303507409174,
7,0,7,0,,,,,,,,,,0,1.0,0.0,z,63.0,1.0,1.595506577,2.232990834,None,170.54779390000112,None,172.7644183000004,172.7644183000004,172.78112470000013,None,[],['z'],[0.8013234999998531],174.7699207000005,None,z,2.801323499999853,1,1,0.5,None,176.35552730000018,None,176.35552730000018,None,,,,,,,,,,,,,,,,,,,CBC_1002,001,1,3,0,1,0.95,2023-05-31_16h13.57.205,MSI_TV_v3,2022.1.1,60.133303507409174,
8,0,8,0,,,,,,,,,,3,2.0,0.0,b,27.0,1.0,1.874984683,1.915207301,None,178.3646348000002,None,180.2639346000007,180.2639346000007,180.28058830000117,None,[],['b'],[0.9514533999990817],182.26584840000032,None,b,2.9514533999990817,1,1,0.5555555555555556,None,184.14200950000122,None,184.14200950000122,None,,,,,,,,,,,,,,,,,,,CBC_1002,001,1,3,0,1,0.95,2023-05-31_16h13.57.205,MSI_TV_v3,2022.1.1,60.133303507409174,
9,0,9,0,,,,,,,,,,2,2.0,3.0,z,63.0,1.0,4.268032915,1.53162701,None,186.14797080000062,None,187.66371980000002,187.66371980000002,187.68073320000002,None,[],['z'],[0.3939734999985376],189.6602991000018,None,z,2.3939734999985376,1,1,0.6,None,193.93265130000145,None,193.93265130000145,None,,,,,,,,,,,,,,,,,,,CBC_1002,001,1,3,0,1,0.95,2023-05-31_16h13.57.205,MSI_TV_v3,2022.1.1,60.133303507409174,
10,0,10,0,,,,,,,,,,1,1.0,0.0,b,63.0,1.0,3.869831913,2.071213329,None,195.94816270000047,None,197.99745440000078,197.99745440000078,198.0136585000011,None,[],['b'],[0.4729592000003322],199.99222830000144,None,b,2.472959200000332,1,1,0.6363636363636364,None,203.86381080000137,None,203.86381080000137,None,,,,,,,,,,,,,,,,,,,CBC_1002,001,1,3,0,1,0.95,2023-05-31_16h13.57.205,MSI_TV_v3,2022.1.1,60.133303507409174,
11,0,11,0,,,,,,,,,,0,0.0,1.0,b,63.0,1.0,1.6718976049999998,2.935368129,None,205.86432500000046,None,208.7813665000005,208.7813665000005,208.79803800000008,None,[],['b'],[0.47499040000002424],210.77875820000008,None,b,2.4749904000000242,1,1,0.6666666666666666,None,212.45553120000113,None,212.45553120000113,None,,,,,,,,,,,,,,,,,,,CBC_1002,001,1,3,0,1,0.95,2023-05-31_16h13.57.205,MSI_TV_v3,2022.1.1,60.133303507409174,
12,0,12,0,,,,,,,,,,2,2.0,3.0,z,63.0,1.0,2.67601813,2.495793893,None,214.46453530000144,None,216.9480944000017,216.9480944000017,216.96471180000043,None,[],['z'],[1.3859506999997393],218.9514635000014,None,z,3.3859506999997393,1,1,0.6923076923076923,None,221.64099380000152,None,221.64099380000152,None,,,,,,,,,,,,,,,,,,,CBC_1002,001,1,3,0,1,0.95,2023-05-31_16h13.57.205,MSI_TV_v3,2022.1.1,60.133303507409174,
