trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.tactile_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,image_stim_left.started,image_stim_right.started,tactile.started,response_4.keys,allKeys.keys,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.stopped,feedback_6.started,keys_6.keys,keys_6.started,keys_6.stopped,response_4.rt,allKeys.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,tactilePair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,participant,session,visual set [1-6],tactile set [1-3],trial structure [0-3],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
,,,,24.30584269999963,None,t,66.88835510000172,24.30584269999963,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1002,3,6,1,3,1,0.95,2023-05-31_17h12.40.954,MSI_TV_v3,2022.1.1,59.96638284547856,
,,,,,,,,,,None,91.22175319999951,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1002,3,6,1,3,1,0.95,2023-05-31_17h12.40.954,MSI_TV_v3,2022.1.1,59.96638284547856,
0,0,0,0,,,,,,,,,,1,1.0,0.0,b,63.0,1.0,1.887650177,2.232990834,None,91.42177149999952,None,93.63854953999926,93.63854953999926,93.65500123999864,None,[],['z'],[0.3380972000013571],95.64143879999938,None,z,2.338097200001357,0,0,0.0,None,97.54984449999938,None,97.54984449999938,None,,,,,,,,,,,,,,,,,,,,CBC_1002,3,6,1,3,1,0.95,2023-05-31_17h12.40.954,MSI_TV_v3,2022.1.1,59.96638284547856,
1,0,1,0,,,,,,,,,,0,0.0,1.0,b,63.0,1.0,3.501824497,2.757001452,None,99.5554949999987,None,102.28844963999855,102.28844963999855,102.30517743999935,None,[],['b'],[1.029071400002067],104.29325129999961,None,b,3.029071400002067,1,1,0.5,None,107.78893849999986,None,107.78893849999986,None,,,,,,,,,,,,,,,,,,,,CBC_1002,3,6,1,3,1,0.95,2023-05-31_17h12.40.954,MSI_TV_v3,2022.1.1,59.96638284547856,
2,0,2,0,,,,,,,,,,3,1.0,2.0,z,9.0,1.0,4.309752164,1.910349838,None,109.78848659999858,None,111.6718158400001,111.6718158400001,111.68845913999958,None,[],['z'],[0.4758049000010942],113.69769619999897,None,z,2.475804900001094,1,1,0.6666666666666666,None,118.01298169999973,None,118.01298169999973,None,,,,,,,,,,,,,,,,,,,,CBC_1002,3,6,1,3,1,0.95,2023-05-31_17h12.40.954,MSI_TV_v3,2022.1.1,59.96638284547856,
3,0,3,0,,,,,,,,,,0,1.0,0.0,z,63.0,1.0,1.6718976049999998,1.313600181,None,120.02201429999877,None,121.32175583999943,121.32175583999943,121.33844463999976,None,[],['z'],[0.7009576000018569],123.32593619999898,None,z,2.700957600001857,1,1,0.75,None,124.99565239999902,None,124.99565239999902,None,,,,,,,,,,,,,,,,,,,,CBC_1002,3,6,1,3,1,0.95,2023-05-31_17h12.40.954,MSI_TV_v3,2022.1.1,59.96638284547856,
4,0,4,0,,,,,,,,,,2,3.0,1.0,b,27.0,1.0,1.543156518,1.293060736,None,127.0050216999989,None,128.27181013999888,128.27181013999888,128.28854553999935,None,[],['b'],[0.45134560000042256],130.27010999999948,None,b,2.4513456000004226,1,1,0.8,None,131.8323873999998,None,131.8323873999998,None,,,,,,,,,,,,,,,,,,,,CBC_1002,3,6,1,3,1,0.95,2023-05-31_17h12.40.954,MSI_TV_v3,2022.1.1,59.96638284547856,
5,0,5,0,,,,,,,,,,1,0.0,1.0,z,63.0,1.0,2.242058058,1.732943574,None,133.83831029999965,None,135.55525823999977,135.55525823999977,135.5721313399992,None,[],['z'],[0.9274383000010857],137.559663,None,z,2.9274383000010857,1,1,0.8333333333333334,None,139.79155079999873,None,139.79155079999873,None,,,,,,,,,,,,,,,,,,,,CBC_1002,3,6,1,3,1,0.95,2023-05-31_17h12.40.954,MSI_TV_v3,2022.1.1,59.96638284547856,
6,0,6,0,,,,,,,,,,3,2.0,3.0,b,63.0,1.0,4.268032915,1.086048241,None,141.8049323999985,None,142.87188264000014,142.87188264000014,142.88854003999967,None,[],['z'],[1.3180463000007876],144.87482679999994,None,z,3.3180463000007876,0,0,0.7142857142857143,None,149.1308689999987,None,149.1308689999987,None,,,,,,,,,,,,,,,,,,,,CBC_1002,3,6,1,3,1,0.95,2023-05-31_17h12.40.954,MSI_TV_v3,2022.1.1,59.96638284547856,
7,0,7,0,,,,,,,,,,0,2.0,0.0,z,27.0,1.0,2.949122761,2.573610938,None,151.13855689999946,None,153.6885257399992,153.6885257399992,153.7052049399992,None,[],['z'],[0.2834238000014011],155.6948455999991,None,z,2.283423800001401,1,1,0.75,None,158.64391129999967,None,158.64391129999967,None,,,,,,,,,,,,,,,,,,,,CBC_1002,3,6,1,3,1,0.95,2023-05-31_17h12.40.954,MSI_TV_v3,2022.1.1,59.96638284547856,
