trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.auditory_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,ImageLeft_4.started,ImageLeft_4.stopped,ImageRight_4.started,ImageRight_4.stopped,sound_4.started,sound_4.stopped,response_4.keys,response_4.started,response_4.stopped,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,response_4.rt,keys_6.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,audioPair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,participant,session,visual set [1-6],audio set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
,,,,27.605341599999974,None,t,63.07147400000031,27.605341599999974,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1003,001,4,3,0,2,0.8,2023-06-14_14h56.33.053,MSI_AV_v3,2022.1.1,59.94909123168829,
,,,,,,,,,,None,90.69620239999995,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1003,001,4,3,0,2,0.8,2023-06-14_14h56.33.053,MSI_AV_v3,2022.1.1,59.94909123168829,
0,0,0,0,,,,,,,,,,2,0.0,1.0,z,63.0,1.0,1.887650177,2.684881281,None,90.89631569999983,None,93.75801209999963,None,93.75801209999963,None,93.76279584000027,None,None,93.75801209999963,None,['z'],[0.385354300000472],95.57952290000003,None,z,2.385354300000472,1,1,1.0,97.4837236999997,None,None,97.4837236999997,None,,,,,,,,,,,,,,,,,,,,CBC_1003,001,4,3,0,2,0.8,2023-06-14_14h56.33.053,MSI_AV_v3,2022.1.1,59.94909123168829,
1,0,1,0,,,,,,,,,,0,0.0,1.0,b,63.0,1.0,1.90573091,2.108332021,None,99.46279989999994,None,101.61422379999976,None,101.61422379999976,None,101.6128897000001,None,['b'],101.61422379999976,None,None,,103.58117519999996,None,b,1.4175564000001941,1,1,1.0,105.5031084999996,None,None,105.5031084999996,None,[1.4175564000001941],,,,,,,,,,,,,,,,,,,CBC_1003,001,4,3,0,2,0.8,2023-06-14_14h56.33.053,MSI_AV_v3,2022.1.1,59.94909123168829,
2,0,2,0,,,,,,,,,,3,2.0,3.0,z,63.0,1.0,4.21669271,1.910349838,None,107.51323579999962,None,109.50541029999977,None,109.50541029999977,None,109.51279884000014,None,None,109.50541029999977,None,['b'],[0.7281180000004497],111.41286999999966,None,b,2.7281180000004497,0,0,0.6666666666666666,115.64341960000002,None,None,115.64341960000002,None,,,,,,,,,,,,,,,,,,,,CBC_1003,001,4,3,0,2,0.8,2023-06-14_14h56.33.053,MSI_AV_v3,2022.1.1,59.94909123168829,
3,0,3,0,,,,,,,,,,2,2.0,1.0,z,9.0,1.0,2.088920167,2.7801224,None,117.6296070999997,None,120.43360089999987,None,120.43360089999987,None,120.42960334000004,None,['b'],120.43360089999987,None,None,,122.4320800999999,None,b,1.1004040000002533,0,0,0.5,124.53508569999985,None,None,124.53508569999985,None,[1.1004040000002533],,,,,,,,,,,,,,,,,,,CBC_1003,001,4,3,0,2,0.8,2023-06-14_14h56.33.053,MSI_AV_v3,2022.1.1,59.94909123168829,
4,0,4,0,,,,,,,,,,0,0.0,2.0,b,27.0,1.0,2.208904638,2.407383959,None,126.54623129999982,None,128.96863229999963,None,128.96863229999963,None,128.9803316200001,None,['b'],128.96863229999963,None,None,,130.96497379999983,None,b,1.6520531999999548,1,1,0.6,133.1866402999999,None,None,133.1866402999999,None,[1.6520531999999548],,,,,,,,,,,,,,,,,,,CBC_1003,001,4,3,0,2,0.8,2023-06-14_14h56.33.053,MSI_AV_v3,2022.1.1,59.94909123168829,
5,0,5,0,,,,,,,,,,1,2.0,3.0,b,63.0,1.0,4.334629553,1.53162701,None,135.19625029999997,None,136.78513199999998,None,136.78513199999998,None,136.77964570000017,None,['z'],136.78513199999998,None,None,,138.74255379999977,None,z,1.5853820000002088,0,0,0.5,143.0854503999999,None,None,143.0854503999999,None,[1.5853820000002088],,,,,,,,,,,,,,,,,,,CBC_1003,001,4,3,0,2,0.8,2023-06-14_14h56.33.053,MSI_AV_v3,2022.1.1,59.94909123168829,
6,0,6,0,,,,,,,,,,3,1.0,3.0,z,27.0,1.0,2.372527466,1.915207301,None,145.0963152999998,None,147.03500659999963,None,147.03500659999963,None,147.0462559200001,None,None,147.03500659999963,None,['b'],[0.6122761999999966],149.0127448999997,None,b,2.6122761999999966,0,0,0.42857142857142855,151.38263459999962,None,None,151.38263459999962,None,,,,,,,,,,,,,,,,,,,,CBC_1003,001,4,3,0,2,0.8,2023-06-14_14h56.33.053,MSI_AV_v3,2022.1.1,59.94909123168829,
7,0,7,0,,,,,,,,,,0,1.0,0.0,z,63.0,0.0,1.109698721,2.648704933,None,153.3962677999998,None,156.06803839999975,None,156.06803839999975,None,156.07961011999996,None,['z'],156.06803839999975,None,None,,158.0641615999998,None,z,1.7103885000001355,1,0,0.5,159.1857025999998,None,None,159.1857025999998,None,[1.7103885000001355],,,,,,,,,,,,,,,,,,,CBC_1003,001,4,3,0,2,0.8,2023-06-14_14h56.33.053,MSI_AV_v3,2022.1.1,59.94909123168829,
