trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.tactile_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,image_stim_left.started,image_stim_right.started,tactile.started,response_4.keys,allKeys.keys,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.stopped,feedback_6.started,keys_6.keys,keys_6.started,keys_6.stopped,response_4.rt,allKeys.rt,keys_6.rt,keys_3.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,tactilePair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,participant,session,visual set [1-6],tactile set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
,,,,24.315923799998927,None,t,54.99331209999946,24.315923799998927,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1003,3,5,3,3,2,0.95,2023-06-14_16h21.52.910,MSI_TV_v3,2022.1.1,59.9311630656484,
,,,,,,,,,,None,79.32895169999938,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1003,3,5,3,3,2,0.95,2023-06-14_16h21.52.910,MSI_TV_v3,2022.1.1,59.9311630656484,
0,0,0,0,,,,,,,,,,2,1.0,0.0,b,63.0,1.0,1.3262934849999999,0.971483559,None,79.54366329999903,None,80.49326772999902,80.49326772999902,80.50993432999948,None,[],['b'],[0.06758029999946302],82.4995375999988,None,b,2.067580299999463,1,1,1.0,None,83.8464972999991,None,83.8464972999991,None,,,,,,,,,,,,,,,,,,,,,,CBC_1003,3,5,3,3,2,0.95,2023-06-14_16h21.52.910,MSI_TV_v3,2022.1.1,59.9311630656484,
1,0,1,0,,,,,,,,,,0,0.0,1.0,b,63.0,1.0,1.887650177,1.086048241,None,85.84349589999874,None,86.91011312999998,86.91011312999998,86.92669662999887,b,['b'],None,,88.94930989999921,None,b,1.9645881000014924,1,1,1.0,None,90.83777670000018,None,90.83777670000018,None,1.9645881000014924,[1.9645881000014924],,,,,,,,,,,,,,,,,,,,CBC_1003,3,5,3,3,2,0.95,2023-06-14_16h21.52.910,MSI_TV_v3,2022.1.1,59.9311630656484,
2,0,2,0,,,,,,,,,,1,1.0,2.0,z,9.0,1.0,2.372527466,2.757001452,None,92.84335099999953,None,95.57701542999948,95.57701542999948,95.59319482999908,None,[],['z'],[0.4497797999993054],97.57803539999986,None,z,2.4497797999993054,1,1,1.0,None,99.96560580000005,None,99.96560580000005,None,,,,,,,,,,,,,,,,,,,,,,CBC_1003,3,5,3,3,2,0.95,2023-06-14_16h21.52.910,MSI_TV_v3,2022.1.1,59.9311630656484,
3,0,3,0,,,,,,,,,,0,1.0,0.0,z,63.0,1.0,2.208904638,1.411911144,None,101.97652019999987,None,103.35997742999879,103.35997742999879,103.37668432999871,None,[],['z'],[1.1201010999993741],105.36266169999908,None,z,3.120101099999374,1,1,1.0,None,107.57079449999947,None,107.57079449999947,None,,,,,,,,,,,,,,,,,,,,,,CBC_1003,3,5,3,3,2,0.95,2023-06-14_16h21.52.910,MSI_TV_v3,2022.1.1,59.9311630656484,
4,0,4,0,,,,,,,,,,3,3.0,1.0,b,27.0,1.0,1.899747326,1.53162701,None,109.57669639999949,None,111.09332622999918,111.09332622999918,111.10998052999875,None,[],['b'],[0.9000390000001062],113.09578639999927,None,b,2.900039000000106,1,1,1.0,None,114.99103509999986,None,114.99103509999986,None,,,,,,,,,,,,,,,,,,,,,,CBC_1003,3,5,3,3,2,0.95,2023-06-14_16h21.52.910,MSI_TV_v3,2022.1.1,59.9311630656484,
5,0,5,0,,,,,,,,,,2,0.0,1.0,z,63.0,1.0,3.501824497,2.7801224,None,116.99310429999969,None,119.76055592999964,119.76055592999964,119.77681643000014,z,['z'],None,,121.79980339999929,None,z,1.7685245999982726,1,1,1.0,None,125.30455549999897,None,125.30455549999897,None,1.7685245999982726,[1.7685245999982726],,,,,,,,,,,,,,,,,,,,CBC_1003,3,5,3,3,2,0.95,2023-06-14_16h21.52.910,MSI_TV_v3,2022.1.1,59.9311630656484,
6,0,6,0,,,,,,,,,,1,2.0,3.0,b,63.0,1.0,1.610581685,0.977134615,None,127.30996359999881,None,128.2600934299995,128.2600934299995,128.27658652999943,None,[],['z'],[0.23604449999947974],130.26201279999987,None,z,2.2360444999994797,0,0,0.8571428571428571,None,131.87300279999909,None,131.87300279999909,None,,,,,,,,,,,,,,,,,,,,,,CBC_1003,3,5,3,3,2,0.95,2023-06-14_16h21.52.910,MSI_TV_v3,2022.1.1,59.9311630656484,
7,0,7,0,,,,,,,,,,0,2.0,0.0,z,27.0,1.0,4.309752164,1.24796184,None,133.8767595999998,None,135.11006383000003,135.11006383000003,135.12653612999983,z,['z'],None,,137.1507129999991,None,z,1.4716117000007216,1,1,0.875,None,141.47112389999893,None,141.47112389999893,None,1.4716117000007216,[1.4716117000007216],,,,,,,,,,,,,,,,,,,,CBC_1003,3,5,3,3,2,0.95,2023-06-14_16h21.52.910,MSI_TV_v3,2022.1.1,59.9311630656484,
