trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.auditory_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,ImageLeft_4.started,ImageLeft_4.stopped,ImageRight_4.started,ImageRight_4.stopped,sound_4.started,sound_4.stopped,response_4.keys,response_4.rt,response_4.started,response_4.stopped,response_5.keys,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,response_5.rt,keys_3.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,audioPair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,participant,session,visual set [1-6],audio set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
,,,,43.01084479999918,None,t,69.25673910000114,43.01084479999918,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1005,001,5,2,7,6,0.95,2023-06-03_12h46.50.942,MSI_AV_v3,2022.1.1,60.00564052971802,
,,,,,,,,,,None,112.28466440000011,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1005,001,5,2,7,6,0.95,2023-06-03_12h46.50.942,MSI_AV_v3,2022.1.1,60.00564052971802,
0,0,0,0,,,,,,,,,,2,2.0,0.0,b,27.0,1.0,3.956662465,0.977134615,None,112.48456649999935,None,113.56991879999987,None,113.56991879999987,None,113.5675814999995,None,['z'],[1.677395599999727],113.56991879999987,None,None,115.46805999999924,None,z,1.677395599999727,0,0,0.0,119.45713409999917,None,None,119.45713409999917,None,,,,,,,,,,,,,,,,,,,,CBC_1005,001,5,2,7,6,0.95,2023-06-03_12h46.50.942,MSI_AV_v3,2022.1.1,60.00564052971802,
1,0,1,0,,,,,,,,,,3,3.0,2.0,b,63.0,1.0,2.232488062,1.378098418,None,121.43474260000039,None,122.86079860000063,None,122.86079860000063,None,122.86782539999876,None,None,,122.86079860000063,None,['b'],124.80147419999957,None,b,2.501236300000528,1,1,0.5,127.0293371000007,None,None,127.0293371000007,None,[0.501236300000528],,,,,,,,,,,,,,,,,,,CBC_1005,001,5,2,7,6,0.95,2023-06-03_12h46.50.942,MSI_AV_v3,2022.1.1,60.00564052971802,
2,0,2,0,,,,,,,,,,1,1.0,0.0,z,63.0,1.0,3.869831913,1.411911144,None,129.0344342999997,None,130.48388030000024,None,130.48388030000024,None,130.48436629999924,None,None,,130.48388030000024,None,['b'],132.43471169999975,None,b,2.5393402999998216,0,0,0.3333333333333333,136.28974820000076,None,None,136.28974820000076,None,[0.5393402999998216],,,,,,,,,,,,,,,,,,,CBC_1005,001,5,2,7,6,0.95,2023-06-03_12h46.50.942,MSI_AV_v3,2022.1.1,60.00564052971802,
3,0,3,0,,,,,,,,,,2,2.0,3.0,b,63.0,1.0,3.589438522,1.84422311,None,138.30133620000015,None,140.15639620000002,None,140.15639620000002,None,140.1676996999995,None,None,,140.15639620000002,None,['z'],142.1338126999999,None,z,5.273259800000233,0,0,0.25,145.70507390000057,None,None,145.70507390000057,None,[3.2732598000002326],,,,,,,,,,,,,,,,,,,CBC_1005,001,5,2,7,6,0.95,2023-06-03_12h46.50.942,MSI_AV_v3,2022.1.1,60.00564052971802,
4,0,4,0,,,,,,,,,,1,0.0,2.0,b,27.0,1.0,2.949122761,1.313600181,None,147.71807549999903,None,149.05565190000016,None,149.05565190000016,None,149.06765149999956,None,None,,149.05565190000016,None,['b'],151.03462170000057,None,b,3.0670968999984325,1,1,0.4,153.97719139999936,None,None,153.97719139999936,None,[1.0670968999984325],,,,,,,,,,,,,,,,,,,CBC_1005,001,5,2,7,6,0.95,2023-06-03_12h46.50.942,MSI_AV_v3,2022.1.1,60.00564052971802,
5,0,5,0,,,,,,,,,,3,2.0,3.0,z,63.0,1.0,4.176609572,1.75396268,None,155.98422910000045,None,157.73725770000055,None,157.73725770000055,None,157.75039780000043,None,None,,157.73725770000055,None,['z'],159.71804100000008,None,z,3.241232000000309,1,1,0.5,163.87641729999996,None,None,163.87641729999996,None,[1.2412320000003092],,,,,,,,,,,,,,,,,,,CBC_1005,001,5,2,7,6,0.95,2023-06-03_12h46.50.942,MSI_AV_v3,2022.1.1,60.00564052971802,
6,0,6,0,,,,,,,,,,3,3.0,2.0,b,63.0,1.0,1.899747326,2.234398566,None,165.8846981000006,None,168.1192074999999,None,168.1192074999999,None,168.1171080999993,None,None,,168.1192074999999,None,['b'],170.10201059999963,None,b,2.8087976000006165,1,1,0.5714285714285714,171.9874048999991,None,None,171.9874048999991,None,[0.8087976000006165],,,,,,,,,,,,,,,,,,,CBC_1005,001,5,2,7,6,0.95,2023-06-03_12h46.50.942,MSI_AV_v3,2022.1.1,60.00564052971802,
7,0,7,0,,,,,,,,,,0,3.0,1.0,z,27.0,1.0,2.818459073,2.7801224,None,174.00130530000024,None,176.82288990000052,None,176.82288990000052,None,176.83459989999938,None,None,,176.82288990000052,None,['z'],178.7851455,None,z,2.2763021999999182,1,1,0.625,181.59679630000028,None,None,181.59679630000028,None,[0.27630219999991823],,,,,,,,,,,,,,,,,,,CBC_1005,001,5,2,7,6,0.95,2023-06-03_12h46.50.942,MSI_AV_v3,2022.1.1,60.00564052971802,
