trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.tactile_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,image_stim_left.started,image_stim_right.started,tactile.started,response_4.keys,allKeys.keys,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.stopped,feedback_6.started,keys_6.keys,keys_6.started,keys_6.stopped,response_4.rt,allKeys.rt,keys_7.keys,keys_7.rt,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,tactilePair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,participant,session,visual set [1-6],tactile set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
,,,,37.647067400001106,None,t,57.66249909999897,37.647067400001106,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1005,004,3,2,4,6,0.95,2023-06-03_14h23.46.710,MSI_TV_v3,2022.1.1,60.062296614248815,
,,,,,,,,,,None,95.33026210000025,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1005,004,3,2,4,6,0.95,2023-06-03_14h23.46.710,MSI_TV_v3,2022.1.1,60.062296614248815,
0,0,0,0,,,,,,,,,,0,1.0,0.0,b,63.0,1.0,3.044827724,2.234398566,None,95.5327115,None,97.74634003999999,97.74634003999999,97.76297444000083,None,[],['z'],[0.42232589999912307],99.75078250000115,None,z,2.422325899999123,0,0,0.0,None,102.79995550000058,None,102.79995550000058,None,,,,,,,,,,,,,,,,,,,,,CBC_1005,004,3,2,4,6,0.95,2023-06-03_14h23.46.710,MSI_TV_v3,2022.1.1,60.062296614248815,
1,0,1,0,,,,,,,,,,1,1.0,0.0,z,63.0,1.0,1.899747326,0.789129603,None,104.79693589999988,None,105.56358474000153,105.56358474000153,105.58017804000046,None,[],['b'],[0.3712147999995068],107.56063590000122,None,b,2.371214799999507,0,0,0.0,None,109.46440170000096,None,109.46440170000096,None,,,,,,,,,,,,,,,,,,,,,CBC_1005,004,3,2,4,6,0.95,2023-06-03_14h23.46.710,MSI_TV_v3,2022.1.1,60.062296614248815,
2,0,2,0,,,,,,,,,,3,3.0,2.0,b,63.0,1.0,1.556335756,2.210349838,None,111.46361030000116,None,113.64772804000022,113.64772804000022,113.66359953999999,None,[],['z'],[1.081570099999226],115.6459360000008,None,z,3.081570099999226,0,0,0.0,None,117.21356900000137,None,117.21356900000137,None,,,,,,,,,,,,,,,,,,,,,CBC_1005,004,3,2,4,6,0.95,2023-06-03_14h23.46.710,MSI_TV_v3,2022.1.1,60.062296614248815,
3,0,3,0,,,,,,,,,,0,1.0,2.0,b,9.0,1.0,1.758742576,1.483424551,None,119.21403640000062,None,120.67949244000083,120.67949244000083,120.69636984000026,None,[],['b'],[1.1796794999991107],122.67453750000095,None,b,3.1796794999991107,1,1,0.25,None,124.44155110000065,None,124.44155110000065,None,,,,,,,,,,,,,,,,,,,,,CBC_1005,004,3,2,4,6,0.95,2023-06-03_14h23.46.710,MSI_TV_v3,2022.1.1,60.062296614248815,
4,0,4,0,,,,,,,,,,1,2.0,0.0,z,27.0,1.0,1.595506577,2.757001452,None,126.44696570000087,None,129.18043484000083,129.18043484000083,129.19701934000005,None,[],['z'],[0.24389179999889166],131.18398160000106,None,z,2.2438917999988917,1,1,0.4,None,132.77078930000062,None,132.77078930000062,None,,,,,,,,,,,,,,,,,,,,,CBC_1005,004,3,2,4,6,0.95,2023-06-03_14h23.46.710,MSI_TV_v3,2022.1.1,60.062296614248815,
5,0,5,0,,,,,,,,,,2,3.0,2.0,z,63.0,1.0,2.372527466,1.915207301,None,134.78040610000062,None,136.6803538400007,136.6803538400007,136.6970261400009,None,[],['z'],[0.39859529999739607],138.67927650000092,None,z,2.398595299997396,1,1,0.5,None,141.05852850000156,None,141.05852850000156,None,,,,,,,,,,,,,,,,,,,,,CBC_1005,004,3,2,4,6,0.95,2023-06-03_14h23.46.710,MSI_TV_v3,2022.1.1,60.062296614248815,
6,0,6,0,,,,,,,,,,3,3.0,1.0,b,27.0,1.0,2.917714675,1.883772966,None,143.06369770000128,None,144.93041264000095,144.93041264000095,144.94704014000018,None,[],['z'],[0.6404831999971066],146.93383170000016,None,z,2.6404831999971066,0,0,0.42857142857142855,None,149.86248140000134,None,149.86248140000134,None,,,,,,,,,,,,,,,,,,,,,CBC_1005,004,3,2,4,6,0.95,2023-06-03_14h23.46.710,MSI_TV_v3,2022.1.1,60.062296614248815,
7,0,7,0,,,,,,,,,,1,0.0,1.0,b,63.0,1.0,1.219965572,3.264468617,None,151.8638512000016,None,155.11370614000117,155.11370614000117,155.1304590400003,None,[],['z'],[0.4962934999985009],157.13709840000047,None,z,2.496293499998501,0,0,0.375,None,158.3569709000003,None,158.3569709000003,None,,,,,,,,,,,,,,,,,,,,,CBC_1005,004,3,2,4,6,0.95,2023-06-03_14h23.46.710,MSI_TV_v3,2022.1.1,60.062296614248815,
8,0,8,0,,,,,,,,,,2,0.0,2.0,z,27.0,1.0,2.0845750460000003,2.108332021,None,160.36395559999983,None,162.44713334000045,162.44713334000045,162.4637182400009,None,[],['z'],[0.7414912999993248],164.45020170000134,None,z,2.741491299999325,1,1,0.4444444444444444,None,166.54503000000113,None,166.54503000000113,None,,,,,,,,,,,,,,,,,,,,,CBC_1005,004,3,2,4,6,0.95,2023-06-03_14h23.46.710,MSI_TV_v3,2022.1.1,60.062296614248815,
9,0,9,0,,,,,,,,,,3,3.0,2.0,b,63.0,1.0,2.232488062,1.84422311,None,168.5471292000002,None,170.36377674000033,170.36377674000033,170.3806319399999,None,[],['b'],[0.581499599999006],172.36805749999985,None,b,2.581499599999006,1,1,0.5,None,174.58847740000056,None,174.58847740000056,None,,,,,,,,,,,,,,,,,,,,,CBC_1005,004,3,2,4,6,0.95,2023-06-03_14h23.46.710,MSI_TV_v3,2022.1.1,60.062296614248815,
10,0,10,0,,,,,,,,,,0,0.0,1.0,z,63.0,1.0,4.268032915,1.732943574,None,176.59703770000124,None,178.31392864000082,178.31392864000082,178.3304958400011,None,[],['z'],[1.1248164999997243],180.3171824000001,None,z,3.1248164999997243,1,1,0.5454545454545454,None,184.5827418000008,None,184.5827418000008,None,,,,,,,,,,,,,,,,,,,,,CBC_1005,004,3,2,4,6,0.95,2023-06-03_14h23.46.710,MSI_TV_v3,2022.1.1,60.062296614248815,
11,0,11,0,,,,,,,,,,1,1.0,0.0,z,63.0,1.0,4.309752164,3.274187802,None,186.59722880000118,None,189.84689494000014,189.84689494000014,189.86321983999989,z,['z'],None,,191.88041470000098,None,z,1.8903521999982331,1,1,0.5833333333333334,None,196.20942620000096,None,196.20942620000096,None,1.8903521999982331,[1.8903521999982331],,,,,,,,,,,,,,,,,,,CBC_1005,004,3,2,4,6,0.95,2023-06-03_14h23.46.710,MSI_TV_v3,2022.1.1,60.062296614248815,
12,0,12,0,,,,,,,,,,3,3.0,2.0,b,63.0,1.0,1.90573091,0.971483559,None,198.21427870000116,None,199.16400854000022,199.16400854000022,199.1804641400002,None,[],['z'],[0.8622384999980568],201.1821544000013,None,z,2.862238499998057,0,0,0.5384615384615384,None,203.09342450000076,None,203.09342450000076,None,,,,,,,,,,,,,,,,,,,,,CBC_1005,004,3,2,4,6,0.95,2023-06-03_14h23.46.710,MSI_TV_v3,2022.1.1,60.062296614248815,
13,0,13,0,,,,,,,,,,2,0.0,2.0,z,27.0,1.0,2.818459073,2.349749758,None,205.0965257000007,None,207.43020314000097,207.43020314000097,207.44647794000122,None,[],['b'],[0.5765367999993032],209.42334960000153,None,b,2.576536799999303,0,0,0.5,None,212.23208370000066,None,212.23208370000066,None,,,,,,,,,,,,,,,,,,,,,CBC_1005,004,3,2,4,6,0.95,2023-06-03_14h23.46.710,MSI_TV_v3,2022.1.1,60.062296614248815,
14,0,14,0,,,,,,,,,,1,1.0,0.0,z,63.0,1.0,2.208904638,1.086048241,None,214.2308993000006,None,215.29739024000156,215.29739024000156,215.3139426400001,None,[],['z'],[0.3779858999987482],217.30037410000114,None,z,2.377985899998748,1,1,0.5333333333333333,None,219.50179500000013,None,219.50179500000013,None,,,,,,,,,,,,,,,,,,,,,CBC_1005,004,3,2,4,6,0.95,2023-06-03_14h23.46.710,MSI_TV_v3,2022.1.1,60.062296614248815,
15,0,15,0,,,,,,,,,,0,3.0,1.0,z,27.0,1.0,3.589438522,2.935368129,None,221.51418710000144,None,224.43113714000066,224.43113714000066,224.44746664000087,None,[],['z'],[0.25372179999794753],226.43456920000062,None,z,2.2537217999979475,1,1,0.5625,None,230.02345590000004,None,230.02345590000004,None,,,,,,,,,,,,,,,,,,,,,CBC_1005,004,3,2,4,6,0.95,2023-06-03_14h23.46.710,MSI_TV_v3,2022.1.1,60.062296614248815,
16,0,16,0,,,,,,,,,,2,2.0,3.0,b,63.0,1.0,1.610581685,0.977134615,None,232.03127170000153,None,232.97999734000115,232.97999734000115,232.99669604000047,None,[],['b'],[0.7597338999985368],234.97582320000038,None,b,2.759733899998537,1,1,0.5882352941176471,None,236.59194560000105,None,236.59194560000105,None,,,,,,,,,,,,,,,,,,,,,CBC_1005,004,3,2,4,6,0.95,2023-06-03_14h23.46.710,MSI_TV_v3,2022.1.1,60.062296614248815,
17,0,17,0,,,,,,,,,,3,3.0,2.0,b,63.0,0.0,1.543156518,1.910349838,None,238.5974139000009,None,240.48082254000002,240.48082254000002,240.49747704000112,None,[],['b'],[0.3415452999997797],242.48539810000148,None,b,2.3415452999997797,1,0,0.6111111111111112,None,244.02460960000099,None,244.02460960000099,None,,,,,,,,,,,,,,,,,,,,,CBC_1005,004,3,2,4,6,0.95,2023-06-03_14h23.46.710,MSI_TV_v3,2022.1.1,60.062296614248815,
18,0,18,0,,,,,,,,,,0,0.0,1.0,z,63.0,1.0,2.278602942,2.297139377,None,246.0301995000009,None,248.29759024000015,248.29759024000015,248.31428604000104,None,[],['z'],[0.39185859999815875],250.30192570000145,None,z,2.3918585999981588,1,1,0.631578947368421,None,252.58149260000027,None,252.58149260000027,None,,,,,,,,,,,,,,,,,,,,,CBC_1005,004,3,2,4,6,0.95,2023-06-03_14h23.46.710,MSI_TV_v3,2022.1.1,60.062296614248815,
