trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.auditory_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,ImageLeft_4.started,ImageLeft_4.stopped,ImageRight_4.started,ImageRight_4.stopped,sound_4.started,sound_4.stopped,response_4.keys,response_4.started,response_4.stopped,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,keys_6.rt,response_4.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,audioPair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,participant,session,visual set [1-6],audio set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
,,,,39.83093970000027,None,t,88.07923619999929,39.83093970000027,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1006,001,1,3,7,8,0.95,2023-06-03_11h59.24.512,MSI_AV_v3,2022.1.1,59.98541154790473,
,,,,,,,,,,None,127.93423979999989,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1006,001,1,3,7,8,0.95,2023-06-03_11h59.24.512,MSI_AV_v3,2022.1.1,59.98541154790473,
0,0,0,0,,,,,,,,,,2,0.0,1.0,z,63.0,1.0,3.622505815,3.274187802,None,128.1342112000002,None,131.53101030000016,None,131.53101030000016,None,131.53362725000034,None,None,131.53101030000016,None,['b'],[0.5552968000001783],133.41719029999967,None,b,2.5552968000001783,0,0,0.0,137.05019170000014,None,None,137.05019170000014,None,,,,,,,,,,,,,,,,,,,,CBC_1006,001,1,3,7,8,0.95,2023-06-03_11h59.24.512,MSI_AV_v3,2022.1.1,59.98541154790473,
1,0,1,0,,,,,,,,,,1,1.0,0.0,z,63.0,1.0,4.268032915,0.789129603,None,139.05082149999998,None,139.86551930000041,None,139.86551930000041,None,139.8675129000003,None,None,139.86551930000041,None,['z'],[0.6970900999995138],141.83358800000042,None,z,2.6970900999995138,1,1,0.5,146.10244799999964,None,None,146.10244799999964,None,,,,,,,,,,,,,,,,,,,,CBC_1006,001,1,3,7,8,0.95,2023-06-03_11h59.24.512,MSI_AV_v3,2022.1.1,59.98541154790473,
2,0,2,0,,,,,,,,,,0,2.0,1.0,b,9.0,1.0,3.956662465,1.915207301,None,148.10100710000006,None,150.06216190000032,None,150.06216190000032,None,150.06758455000045,None,None,150.06216190000032,None,['b'],[0.6088006999989375],152.01778449999983,None,b,2.6088006999989375,1,1,0.6666666666666666,155.96673920000012,None,None,155.96673920000012,None,,,,,,,,,,,,,,,,,,,,CBC_1006,001,1,3,7,8,0.95,2023-06-03_11h59.24.512,MSI_AV_v3,2022.1.1,59.98541154790473,
3,0,3,0,,,,,,,,,,1,0.0,1.0,b,63.0,1.0,1.90573091,1.448890429,None,157.96788190000007,None,159.4396741999999,None,159.4396741999999,None,159.45054560000062,None,None,159.4396741999999,None,['z'],[0.5874161999990974],161.41708219999964,None,z,2.5874161999990974,0,0,0.5,163.31553600000007,None,None,163.31553600000007,None,,,,,,,,,,,,,,,,,,,,CBC_1006,001,1,3,7,8,0.95,2023-06-03_11h59.24.512,MSI_AV_v3,2022.1.1,59.98541154790473,
4,0,4,0,,,,,,,,,,3,1.0,3.0,z,27.0,1.0,1.543156518,1.554037824,None,165.31719580000026,None,166.90742260000025,None,166.90742260000025,None,166.91742835000014,None,None,166.90742260000025,None,['z'],[0.30660729999908654],168.86770530000013,None,z,2.3066072999990865,1,1,0.6,170.40607079999972,None,None,170.40607079999972,None,,,,,,,,,,,,,,,,,,,,CBC_1006,001,1,3,7,8,0.95,2023-06-03_11h59.24.512,MSI_AV_v3,2022.1.1,59.98541154790473,
5,0,5,0,,,,,,,,,,2,1.0,0.0,b,63.0,1.0,3.589438522,1.313600181,None,172.41743459999998,None,173.75582339999983,None,173.75582339999983,None,173.76753559999997,None,None,173.75582339999983,None,['z'],[0.3521575999993729],175.73432820000016,None,z,2.352157599999373,0,0,0.5,179.30855950000023,None,None,179.30855950000023,None,,,,,,,,,,,,,,,,,,,,CBC_1006,001,1,3,7,8,0.95,2023-06-03_11h59.24.512,MSI_AV_v3,2022.1.1,59.98541154790473,
6,0,6,0,,,,,,,,,,0,3.0,2.0,z,63.0,1.0,3.884449499,2.128027194,None,181.31733540000005,None,183.45514060000005,None,183.45514060000005,None,183.46729340000002,None,None,183.45514060000005,None,['b'],[0.3410167999991245],185.4340726999999,None,b,2.3410167999991245,0,0,0.42857142857142855,189.31534199999987,None,None,189.31534199999987,None,,,,,,,,,,,,,,,,,,,,CBC_1006,001,1,3,7,8,0.95,2023-06-03_11h59.24.512,MSI_AV_v3,2022.1.1,59.98541154790473,
7,0,7,0,,,,,,,,,,1,0.0,2.0,b,27.0,1.0,1.109698721,1.08099246,None,191.31732629999988,None,192.4218547999999,None,192.4218547999999,None,192.4338697000003,None,None,192.4218547999999,None,None,,194.40078879999965,None,[],[],0,3,0.375,195.50414340000043,None,['z'],195.50414340000043,None,[0.10500209999918297],,,,,,,,,,,,,,,,,,,CBC_1006,001,1,3,7,8,0.95,2023-06-03_11h59.24.512,MSI_AV_v3,2022.1.1,59.98541154790473,
8,0,8,0,,,,,,,,,,3,2.0,3.0,z,63.0,1.0,1.610581685,3.264468617,None,197.5007939999996,None,200.7877357999996,None,200.7877357999996,None,200.7841305500001,None,['z'],200.7877357999996,None,None,,202.7887724000002,None,z,1.5477362999990874,1,1,0.4444444444444444,204.39126719999967,None,None,204.39126719999967,None,,[1.5477362999990874],,,,,,,,,,,,,,,,,,CBC_1006,001,1,3,7,8,0.95,2023-06-03_11h59.24.512,MSI_AV_v3,2022.1.1,59.98541154790473,
9,0,9,0,,,,,,,,,,2,1.0,3.0,b,27.0,1.0,3.869831913,0.971483559,None,206.40066899999965,None,207.3840639,None,207.3840639,None,207.38386355000011,None,None,207.3840639,None,['b'],[0.4472077000000354],209.36733370000002,None,b,2.4472077000000354,1,1,0.5,213.24221810000017,None,None,213.24221810000017,None,,,,,,,,,,,,,,,,,,,,CBC_1006,001,1,3,7,8,0.95,2023-06-03_11h59.24.512,MSI_AV_v3,2022.1.1,59.98541154790473,
10,0,10,0,,,,,,,,,,0,2.0,3.0,b,63.0,1.0,1.758742576,3.321420384,None,215.2511741999997,None,218.58756900000026,None,218.58756900000026,None,218.5839681499997,None,None,218.58756900000026,None,['z'],[0.27779049999935523],220.5672480000003,None,z,2.2777904999993552,0,0,0.45454545454545453,222.31371510000008,None,None,222.31371510000008,None,,,,,,,,,,,,,,,,,,,,CBC_1006,001,1,3,7,8,0.95,2023-06-03_11h59.24.512,MSI_AV_v3,2022.1.1,59.98541154790473,
11,0,11,0,,,,,,,,,,2,3.0,1.0,z,27.0,1.0,2.278602942,1.910349838,None,224.3174087999996,None,226.23686710000038,None,226.23686710000038,None,226.23454125000035,None,None,226.23686710000038,None,['b'],[1.156157899999016],228.21801609999966,None,b,3.156157899999016,0,0,0.4166666666666667,230.4882803999999,None,None,230.4882803999999,None,,,,,,,,,,,,,,,,,,,,CBC_1006,001,1,3,7,8,0.95,2023-06-03_11h59.24.512,MSI_AV_v3,2022.1.1,59.98541154790473,
12,0,12,0,,,,,,,,,,0,2.0,3.0,b,63.0,1.0,2.397501916,3.388090306,None,232.50095650000003,None,235.90581819999989,None,235.90581819999989,None,235.91760280000017,None,None,235.90581819999989,None,['z'],[0.5252409999993688],237.88434870000037,None,z,2.525240999999369,0,0,0.38461538461538464,240.26508509999985,None,None,240.26508509999985,None,,,,,,,,,,,,,,,,,,,,CBC_1006,001,1,3,7,8,0.95,2023-06-03_11h59.24.512,MSI_AV_v3,2022.1.1,59.98541154790473,
13,0,13,0,,,,,,,,,,3,2.0,3.0,z,63.0,1.0,2.742099981,1.142638656,None,242.26801729999988,None,243.42690909999965,None,243.42690909999965,None,243.43414889999985,None,None,243.42690909999965,None,['z'],[0.560748899999453],245.40089110000008,None,z,2.560748899999453,1,1,0.42857142857142855,248.13025689999995,None,None,248.13025689999995,None,,,,,,,,,,,,,,,,,,,,CBC_1006,001,1,3,7,8,0.95,2023-06-03_11h59.24.512,MSI_AV_v3,2022.1.1,59.98541154790473,
14,0,14,0,,,,,,,,,,1,3.0,0.0,z,9.0,1.0,4.196249082,2.502774076,None,250.1346642999997,None,252.65341700000045,None,252.65341700000045,None,252.65078744999983,None,None,252.65341700000045,None,['z'],[0.37929759999951784],254.6343138000002,None,z,2.379297599999518,1,1,0.4666666666666667,258.82550530000026,None,None,258.82550530000026,None,,,,,,,,,,,,,,,,,,,,CBC_1006,001,1,3,7,8,0.95,2023-06-03_11h59.24.512,MSI_AV_v3,2022.1.1,59.98541154790473,
15,0,15,0,,,,,,,,,,2,1.0,0.0,b,63.0,0.0,3.501824497,2.349749758,None,260.8343163999998,None,263.2031463000003,None,263.2031463000003,None,263.20123015000036,None,None,263.2031463000003,None,['b'],[0.23226160000012896],265.1847869000003,None,b,2.232261600000129,1,0,0.5,268.6750955999996,None,None,268.6750955999996,None,,,,,,,,,,,,,,,,,,,,CBC_1006,001,1,3,7,8,0.95,2023-06-03_11h59.24.512,MSI_AV_v3,2022.1.1,59.98541154790473,
16,0,16,0,,,,,,,,,,3,3.0,2.0,b,63.0,1.0,2.088920167,2.407383959,None,270.6843200000003,None,273.10611830000016,None,273.10611830000016,None,273.11779149999984,None,None,273.10611830000016,None,['z'],[0.7981582000002163],275.0841495000004,None,z,2.7981582000002163,0,0,0.47058823529411764,277.1595086999996,None,None,277.1595086999996,None,,,,,,,,,,,,,,,,,,,,CBC_1006,001,1,3,7,8,0.95,2023-06-03_11h59.24.512,MSI_AV_v3,2022.1.1,59.98541154790473,
17,0,17,0,,,,,,,,,,0,2.0,0.0,b,27.0,1.0,2.078483356,1.411911144,None,279.1680723999998,None,280.5875683000004,None,280.5875683000004,None,280.5842651500002,None,None,280.5875683000004,None,['b'],[0.21556299999974726],282.5672926999996,None,b,2.2155629999997473,1,1,0.5,284.6295705000002,None,None,284.6295705000002,None,,,,,,,,,,,,,,,,,,,,CBC_1006,001,1,3,7,8,0.95,2023-06-03_11h59.24.512,MSI_AV_v3,2022.1.1,59.98541154790473,
18,0,18,0,,,,,,,,,,1,1.0,0.0,z,63.0,1.0,1.3262934849999999,2.573610938,None,286.6344041000002,None,289.2214025000003,None,289.2214025000003,None,289.21800655000015,None,['z'],289.2214025000003,None,None,,291.22107940000024,None,z,1.8671549999999115,1,1,0.5263157894736842,292.5577966000001,None,None,292.5577966000001,None,,[1.8671549999999115],,,,,,,,,,,,,,,,,,CBC_1006,001,1,3,7,8,0.95,2023-06-03_11h59.24.512,MSI_AV_v3,2022.1.1,59.98541154790473,
19,0,19,0,,,,,,,,,,2,0.0,1.0,z,63.0,1.0,1.595506577,2.234398566,None,294.5678651999997,None,296.8233565999999,None,296.8233565999999,None,296.83458260000043,None,None,296.8233565999999,None,['z'],[0.31210809999902267],298.80110289999993,None,z,2.3121080999990227,1,1,0.55,300.3835810999999,None,None,300.3835810999999,None,,,,,,,,,,,,,,,,,,,,CBC_1006,001,1,3,7,8,0.95,2023-06-03_11h59.24.512,MSI_AV_v3,2022.1.1,59.98541154790473,
20,0,20,0,,,,,,,,,,3,3.0,1.0,b,27.0,1.0,2.117809983,2.210349838,None,302.38440269999955,None,304.60369960000025,None,304.60369960000025,None,304.6009290500001,None,None,304.60369960000025,None,['z'],[0.49641929999961576],306.58437520000007,None,z,2.4964192999996158,0,0,0.5238095238095238,308.6902415000004,None,None,308.6902415000004,None,,,,,,,,,,,,,,,,,,,,CBC_1006,001,1,3,7,8,0.95,2023-06-03_11h59.24.512,MSI_AV_v3,2022.1.1,59.98541154790473,
