trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.auditory_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,ImageLeft_4.started,ImageLeft_4.stopped,ImageRight_4.started,ImageRight_4.stopped,sound_4.started,sound_4.stopped,response_4.keys,response_4.rt,response_4.started,response_4.stopped,response_5.keys,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,response_5.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,audioPair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,participant,session,visual set [1-6],audio set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
,,,,165.16737860000103,None,t,75.44473239999934,165.16737860000103,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1006,3,2,2,4,8,0.95,2023-06-03_13h33.59.045,MSI_AV_v3,2022.1.1,59.856046208693954,
,,,,,,,,,,None,240.63755220000166,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1006,3,2,2,4,8,0.95,2023-06-03_13h33.59.045,MSI_AV_v3,2022.1.1,59.856046208693954,
0,0,0,0,,,,,,,,,,2,1.0,0.0,b,63.0,1.0,3.956662465,3.276660373,None,240.83775870000136,None,244.18996760000118,None,244.18996760000118,None,244.18790337000155,None,['z'],[1.6499921999984508],244.18996760000118,None,None,246.12102960000084,None,z,1.6499921999984508,0,0,0.0,250.07608940000136,None,None,250.07608940000136,None,,,,,,,,,,,,,,,,,,,CBC_1006,3,2,2,4,8,0.95,2023-06-03_13h33.59.045,MSI_AV_v3,2022.1.1,59.856046208693954,
1,0,1,0,,,,,,,,,,1,1.0,0.0,z,63.0,1.0,2.117809983,2.108332021,None,252.07136970000101,None,254.2059061,None,254.2059061,None,254.20457484000144,None,None,,254.2059061,None,['b'],256.1714466000012,None,b,2.29349000000002,0,0,0.0,258.2807872000012,None,None,258.2807872000012,None,[0.2934900000000198],,,,,,,,,,,,,,,,,,CBC_1006,3,2,2,4,8,0.95,2023-06-03_13h33.59.045,MSI_AV_v3,2022.1.1,59.856046208693954,
2,0,2,0,,,,,,,,,,3,3.0,2.0,b,63.0,1.0,1.3262934849999999,1.883772966,None,260.2866076999999,None,262.20353670000077,None,262.20353670000077,None,262.2047588400019,None,['z'],[1.5488351000003604],262.20353670000077,None,None,264.18997950000085,None,z,1.5488351000003604,0,0,0.0,265.5205113000011,None,None,265.5205113000011,None,,,,,,,,,,,,,,,,,,,CBC_1006,3,2,2,4,8,0.95,2023-06-03_13h33.59.045,MSI_AV_v3,2022.1.1,59.856046208693954,
3,0,3,0,,,,,,,,,,2,1.0,2.0,b,9.0,1.0,1.887650177,3.321420384,None,267.52486920000047,None,270.8400440000005,None,270.8400440000005,None,270.8369820200005,None,['b'],[1.485325699999521],270.8400440000005,None,None,272.8373105999999,None,b,1.485325699999521,1,1,0.25,274.72909320000144,None,None,274.72909320000144,None,,,,,,,,,,,,,,,,,,,CBC_1006,3,2,2,4,8,0.95,2023-06-03_13h33.59.045,MSI_AV_v3,2022.1.1,59.856046208693954,
4,0,4,0,,,,,,,,,,1,2.0,0.0,z,27.0,1.0,1.610581685,2.128027194,None,276.73777080000036,None,278.87749900000017,None,278.87749900000017,None,278.8877622400014,None,None,,278.87749900000017,None,['z'],280.8540259000001,None,z,2.366160300000047,1,1,0.4,282.4431925000008,None,None,282.4431925000008,None,[0.36616030000004685],,,,,,,,,,,,,,,,,,CBC_1006,3,2,2,4,8,0.95,2023-06-03_13h33.59.045,MSI_AV_v3,2022.1.1,59.856046208693954,
5,0,5,0,,,,,,,,,,0,3.0,2.0,z,63.0,1.0,3.478547126,1.378098418,None,284.45426450000014,None,285.8313340000004,None,285.8313340000004,None,285.83666883000024,None,None,,285.8313340000004,None,['b'],287.80481540000073,None,b,3.5978300999995554,0,0,0.3333333333333333,291.2640642000006,None,None,291.2640642000006,None,[1.5978300999995554],,,,,,,,,,,,,,,,,,CBC_1006,3,2,2,4,8,0.95,2023-06-03_13h33.59.045,MSI_AV_v3,2022.1.1,59.856046208693954,
6,0,6,0,,,,,,,,,,3,3.0,1.0,b,27.0,1.0,2.242058058,3.388090306,None,293.27113830000053,None,296.67478370000026,None,296.67478370000026,None,296.67115943000044,None,None,,296.67478370000026,None,['z'],298.6542474000016,None,z,2.1282578999998805,0,0,0.2857142857142857,300.88911160000134,None,None,300.88911160000134,None,[0.12825789999988046],,,,,,,,,,,,,,,,,,CBC_1006,3,2,2,4,8,0.95,2023-06-03_13h33.59.045,MSI_AV_v3,2022.1.1,59.856046208693954,
7,0,7,0,,,,,,,,,,1,0.0,1.0,b,63.0,1.0,2.278602942,2.573610938,None,302.9045750000005,None,305.4856574000005,None,305.4856574000005,None,305.487407130001,None,None,,305.4856574000005,None,['b'],307.4711535000006,None,b,2.5742771000004723,1,1,0.375,309.7456170000005,None,None,309.7456170000005,None,[0.5742771000004723],,,,,,,,,,,,,,,,,,CBC_1006,3,2,2,4,8,0.95,2023-06-03_13h33.59.045,MSI_AV_v3,2022.1.1,59.856046208693954,
