trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.tactile_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,image_stim_left.started,image_stim_right.started,tactile.started,response_4.keys,allKeys.keys,response_5.keys,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.stopped,feedback_6.started,keys_6.keys,keys_6.started,keys_6.stopped,response_5.rt,response_4.rt,allKeys.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,tactilePair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,participant,session,visual set [1-6],tactile set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
,,,,25.21286599999985,None,t,56.14206860000013,25.21286599999985,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1006,2,4,3,6,8,0.9,2023-06-03_12h08.01.236,MSI_TV_v3,2022.1.1,60.07304882740825,
,,,,,,,,,,None,81.3815627999993,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1006,2,4,3,6,8,0.9,2023-06-03_12h08.01.236,MSI_TV_v3,2022.1.1,60.07304882740825,
0,0,0,0,,,,,,,,,,1,1,0,z,63,1,2.232488062,2.935368129,None,81.59726779999983,None,84.51365798999996,84.51365798999996,84.53015748999951,None,[],None,86.50829649999923,None,None,[],0,3,0.0,None,88.76622450000013,None,88.76622450000013,None,,,,,,,,,,,,,,,,,,,,,CBC_1006,2,4,3,6,8,0.9,2023-06-03_12h08.01.236,MSI_TV_v3,2022.1.1,60.07304882740825,
1,0,1,0,,,,,,,,,,3,3,2,b,63,1,1.758742576,1.915207301,None,90.74802060000002,None,92.64791848999994,92.64791848999994,92.66447468999922,None,[],['z'],94.64537329999985,None,z,2.594248900000821,0,0,0.0,None,96.4154955999993,None,96.4154955999993,None,[0.5942489000008209],,,,,,,,,,,,,,,,,,,,CBC_1006,2,4,3,6,8,0.9,2023-06-03_12h08.01.236,MSI_TV_v3,2022.1.1,60.07304882740825,
2,0,2,0,,,,,,,,,,0,2,0,b,27,1,3.622505815,0.789129603,None,98.41499500000009,None,99.18176648999997,99.18176648999997,99.19832878999932,None,[],['b'],101.18554589999985,None,b,3.271903400001065,1,1,0.3333333333333333,None,104.81347180000012,None,104.81347180000012,None,[1.2719034000010652],,,,,,,,,,,,,,,,,,,,CBC_1006,2,4,3,6,8,0.9,2023-06-03_12h08.01.236,MSI_TV_v3,2022.1.1,60.07304882740825,
3,0,3,0,,,,,,,,,,1,1,0,z,63,1,2.208904638,3.388090306,None,106.8150012999995,None,110.18043118999958,110.18043118999958,110.19723909000004,None,[],['z'],112.19426459999977,None,z,2.7217343000002074,1,1,0.5,None,114.3851552999995,None,114.3851552999995,None,[0.7217343000002074],,,,,,,,,,,,,,,,,,,,CBC_1006,2,4,3,6,8,0.9,2023-06-03_12h08.01.236,MSI_TV_v3,2022.1.1,60.07304882740825,
4,0,4,0,,,,,,,,,,2,3,1,z,27,1,3.044827724,2.7801224,None,116.39843849999943,None,119.16512568999951,119.16512568999951,119.18183498999952,None,[],['b'],121.16903269999966,None,b,2.3563859000005323,0,0,0.4,None,124.2068792,None,124.2068792,None,[0.3563859000005323],,,,,,,,,,,,,,,,,,,,CBC_1006,2,4,3,6,8,0.9,2023-06-03_12h08.01.236,MSI_TV_v3,2022.1.1,60.07304882740825,
5,0,5,0,,,,,,,,,,0,2,3,b,63,1,3.956662465,3.321420384,None,126.21512910000001,None,129.51460998999937,129.51460998999937,129.53137928999968,None,[],['b'],131.51886229999945,None,b,3.018574599999738,1,1,0.5,None,135.48541699999987,None,135.48541699999987,None,[1.018574599999738],,,,,,,,,,,,,,,,,,,,CBC_1006,2,4,3,6,8,0.9,2023-06-03_12h08.01.236,MSI_TV_v3,2022.1.1,60.07304882740825,
6,0,6,0,,,,,,,,,,3,2,3,z,63,0,2.742099981,2.573610938,None,137.49808179999945,None,140.0483616900001,140.0483616900001,140.06507298999986,None,[],['b'],142.0523194999996,None,b,3.066190900000038,0,1,0.42857142857142855,None,144.7907265999993,None,144.7907265999993,None,[1.0661909000000378],,,,,,,,,,,,,,,,,,,,CBC_1006,2,4,3,6,8,0.9,2023-06-03_12h08.01.236,MSI_TV_v3,2022.1.1,60.07304882740825,
7,0,7,0,,,,,,,,,,2,1,0,b,63,1,2.0845750460000003,1.411911144,None,146.79816419999952,None,148.18073929000002,148.18073929000002,148.1973804899999,None,[],['z'],150.17648000000008,None,z,2.345491300001413,0,0,0.375,None,152.2650780999993,None,152.2650780999993,None,[0.34549130000141304],,,,,,,,,,,,,,,,,,,,CBC_1006,2,4,3,6,8,0.9,2023-06-03_12h08.01.236,MSI_TV_v3,2022.1.1,60.07304882740825,
8,0,8,0,,,,,,,,,,1,0,2,b,27,1,2.278602942,1.313600181,None,154.26521969999976,None,155.5650408900001,155.5650408900001,155.58161678999932,None,[],['b'],157.58640709999963,None,b,2.85200260000056,1,1,0.4444444444444444,None,159.86166629999934,None,159.86166629999934,None,[0.85200260000056],,,,,,,,,,,,,,,,,,,,CBC_1006,2,4,3,6,8,0.9,2023-06-03_12h08.01.236,MSI_TV_v3,2022.1.1,60.07304882740825,
