trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.tactile_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,image_stim_left.started,image_stim_right.started,tactile.started,response_4.keys,allKeys.keys,response_4.rt,allKeys.rt,response_5.keys,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.stopped,feedback_6.started,keys_6.keys,keys_6.started,keys_6.stopped,response_5.rt,keys_6.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,tactilePair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,participant,session,visual set [1-6],tactile set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
,,,,26.300386799999615,None,t,73.8484533000028,26.300386799999615,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1006,4,5,1,5,8,0.95,2023-06-03_13h42.16.778,MSI_TV_v3,2022.1.1,59.98983772180339,
,,,,,,,,,,None,100.17803779999849,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1006,4,5,1,5,8,0.95,2023-06-03_13h42.16.778,MSI_TV_v3,2022.1.1,59.98983772180339,
0,0,0,0,,,,,,,,,,2,3,1,z,27,1,1.90573091,1.732943574,None,100.3781827999992,None,102.09473472999943,102.09473472999943,102.1113714299996,b,['b'],1.4975114000008034,[1.4975114000008034],None,104.14030349999848,None,b,1.4975114000008034,0,0,0.0,None,106.080380899999,None,106.080380899999,None,,,,,,,,,,,,,,,,,,,,CBC_1006,4,5,1,5,8,0.95,2023-06-03_13h42.16.778,MSI_TV_v3,2022.1.1,59.98983772180339,
1,0,1,0,,,,,,,,,,0,2,3,b,63,1,2.917714675,1.75396268,None,108.06144809999932,None,109.7946365299982,109.7946365299982,109.81122552999895,None,[],,,['b'],111.79698569999891,None,b,3.30253360000097,1,1,0.5,None,114.70925649999845,None,114.70925649999845,None,[1.3025336000009702],,,,,,,,,,,,,,,,,,,CBC_1006,4,5,1,5,8,0.95,2023-06-03_13h42.16.778,MSI_TV_v3,2022.1.1,59.98983772180339,
2,0,2,0,,,,,,,,,,3,2,3,z,63,1,3.478547126,2.234398566,None,116.71129849999852,None,118.92807172999946,118.92807172999946,118.9447011299986,z,['z'],1.855338200000915,[1.855338200000915],None,120.9889250999986,None,z,1.855338200000915,1,1,0.6666666666666666,None,124.47388890000002,None,124.47388890000002,None,,,,,,,,,,,,,,,,,,,,CBC_1006,4,5,1,5,8,0.95,2023-06-03_13h42.16.778,MSI_TV_v3,2022.1.1,59.98983772180339,
3,0,3,0,,,,,,,,,,2,1,0,b,63,1,2.397501916,1.313600181,None,126.47807869999997,None,127.77803652999918,127.77803652999918,127.79448252999882,None,[],,,['b'],129.78053309999996,None,b,2.9681710000022576,1,1,0.75,None,132.16715419999855,None,132.16715419999855,None,[0.9681710000022576],,,,,,,,,,,,,,,,,,,CBC_1006,4,5,1,5,8,0.95,2023-06-03_13h42.16.778,MSI_TV_v3,2022.1.1,59.98983772180339,
4,0,4,0,,,,,,,,,,1,3,0,z,9,1,1.887650177,2.495793893,None,134.17818469999838,None,136.66123442999978,136.66123442999978,136.67790542999919,None,[],,,['z'],138.66427179999846,None,z,3.0755084000011266,1,1,0.8,None,140.55167339999934,None,140.55167339999934,None,[1.0755084000011266],,,,,,,,,,,,,,,,,,,CBC_1006,4,5,1,5,8,0.95,2023-06-03_13h42.16.778,MSI_TV_v3,2022.1.1,59.98983772180339,
5,0,5,0,,,,,,,,,,3,2,3,z,63,1,1.874984683,1.378098418,None,142.56130869999834,None,143.91175332999828,143.91175332999828,143.92796062999932,None,[],,,['b'],145.9145830999987,None,b,3.022801500001151,0,0,0.6666666666666666,None,147.78991779999888,None,147.78991779999888,None,[1.022801500001151],,,,,,,,,,,,,,,,,,,CBC_1006,4,5,1,5,8,0.95,2023-06-03_13h42.16.778,MSI_TV_v3,2022.1.1,59.98983772180339,
6,0,6,0,,,,,,,,,,0,2,0,b,27,1,2.742099981,1.08099246,None,149.79472739999983,None,150.86127532999907,150.86127532999907,150.87797092999844,None,[],,,['b'],152.8632751999994,None,b,2.7466744000012113,1,1,0.7142857142857143,None,155.5919998999998,None,155.5919998999998,None,[0.7466744000012113],,,,,,,,,,,,,,,,,,,CBC_1006,4,5,1,5,8,0.95,2023-06-03_13h42.16.778,MSI_TV_v3,2022.1.1,59.98983772180339,
7,0,7,0,,,,,,,,,,1,1,0,z,63,1,1.3262934849999999,1.554037824,None,157.5948099999987,None,159.12821842999855,159.12821842999855,159.14484802999922,None,[],,,['b'],161.13044639999862,None,b,3.060012000001734,0,0,0.625,None,162.4541296999996,None,162.4541296999996,None,[1.0600120000017341],,,,,,,,,,,,,,,,,,,CBC_1006,4,5,1,5,8,0.95,2023-06-03_13h42.16.778,MSI_TV_v3,2022.1.1,59.98983772180339,
8,0,8,0,,,,,,,,,,2,0,1,z,63,1,2.949122761,1.883772966,None,164.46187549999922,None,166.32839402999943,166.32839402999943,166.34523902999953,None,[],,,['z'],168.33246149999832,None,z,3.0209842000003846,1,1,0.6666666666666666,None,171.27068299999883,None,171.27068299999883,None,[1.0209842000003846],,,,,,,,,,,,,,,,,,,CBC_1006,4,5,1,5,8,0.95,2023-06-03_13h42.16.778,MSI_TV_v3,2022.1.1,59.98983772180339,
