trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.tactile_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,image_stim_left.started,image_stim_right.started,tactile.started,response_4.keys,allKeys.keys,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.stopped,feedback_6.started,keys_6.keys,keys_6.started,keys_6.stopped,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,tactilePair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,participant,session,visual set [1-6],tactile set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
,,,,101.12365390000014,None,t,67.36821869999949,101.12365390000014,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1014,003,3,1,6,13,0.95,2023-06-25_12h29.13.889,MSI_TV_v3,2022.1.1,60.01622838836633,
,,,,,,,,,,None,168.52057660000173,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1014,003,3,1,6,13,0.95,2023-06-25_12h29.13.889,MSI_TV_v3,2022.1.1,60.01622838836633,
0,0,0,0,,,,,,,,,,2,0.0,1.0,b,63.0,1.0,2.7134565917469198,1.25920145784721,None,168.72076970000126,None,169.95374273000124,169.95374273000124,169.97115023000077,None,[],['z'],[0.34106189999874914],171.95778830000017,None,z,2.341061899998749,0,0,0.0,None,174.69918560000042,None,174.69918560000042,None,,,,,,,,,,,,,,,,,,CBC_1014,003,3,1,6,13,0.95,2023-06-25_12h29.13.889,MSI_TV_v3,2022.1.1,60.01622838836633,
1,0,1,0,,,,,,,,,,3,3.0,2.0,z,63.0,1.0,2.629554641171433,1.27538462653558,None,176.50397630000043,None,177.75433653,177.75433653,177.77202643000163,None,[],['b'],[1.1392212999980984],179.75867760000074,None,b,3.1392212999980984,0,0,0.0,None,182.3954470000008,None,182.3954470000008,None,,,,,,,,,,,,,,,,,,CBC_1014,003,3,1,6,13,0.95,2023-06-25_12h29.13.889,MSI_TV_v3,2022.1.1,60.01622838836633,
2,0,2,0,,,,,,,,,,2,0.0,2.0,b,27.0,1.0,2.678526077912375,2.40378712856304,None,184.20381010000165,None,186.58737863000096,186.58737863000096,186.6041386300014,None,[],['z'],[0.37169449999782955],188.59133570000085,None,z,2.3716944999978296,0,0,0.0,None,191.26771120000012,None,191.26771120000012,None,,,,,,,,,,,,,,,,,,CBC_1014,003,3,1,6,13,0.95,2023-06-25_12h29.13.889,MSI_TV_v3,2022.1.1,60.01622838836633,
3,0,3,0,,,,,,,,,,0,1.0,0.0,b,63.0,1.0,4.190022164497369,1.18065738546375,None,193.07055670000045,None,194.23727593000075,194.23727593000075,194.25386583000108,None,[],['b'],[0.7488872999983869],196.23940140000013,None,b,2.748887299998387,1,1,0.25,None,200.43421220000164,None,200.43421220000164,None,,,,,,,,,,,,,,,,,,CBC_1014,003,3,1,6,13,0.95,2023-06-25_12h29.13.889,MSI_TV_v3,2022.1.1,60.01622838836633,
4,0,4,0,,,,,,,,,,0,0.0,1.0,z,63.0,1.0,2.82320408183943,3.24569326556923,None,202.2364402000003,None,205.4540071300009,205.4540071300009,205.47080473000022,None,[],['z'],[0.6389145999983157],207.45253450000018,None,z,2.6389145999983157,1,1,0.4,None,210.28550630000063,None,210.28550630000063,None,,,,,,,,,,,,,,,,,,CBC_1014,003,3,1,6,13,0.95,2023-06-25_12h29.13.889,MSI_TV_v3,2022.1.1,60.01622838836633,
5,0,5,0,,,,,,,,,,3,3.0,2.0,z,63.0,1.0,4.7533305109883095,1.52290599571961,None,212.08732810000038,None,213.58742743000147,213.58742743000147,213.60411313000003,None,[],['b'],[0.38882509999893955],215.59008360000007,None,b,2.3888250999989395,0,0,0.3333333333333333,None,220.3447356000015,None,220.3447356000015,None,,,,,,,,,,,,,,,,,,CBC_1014,003,3,1,6,13,0.95,2023-06-25_12h29.13.889,MSI_TV_v3,2022.1.1,60.01622838836633,
6,0,6,0,,,,,,,,,,1,3.0,1.0,b,27.0,1.0,4.40017271499661,1.38289892513751,None,222.15437210000164,None,223.52073413000033,223.52073413000033,223.53766423000087,None,[],['z'],[0.5403966999983822],225.51822270000048,None,z,2.5403966999983822,0,0,0.2857142857142857,None,229.9208387000017,None,229.9208387000017,None,,,,,,,,,,,,,,,,,,CBC_1014,003,3,1,6,13,0.95,2023-06-25_12h29.13.889,MSI_TV_v3,2022.1.1,60.01622838836633,
7,0,7,0,,,,,,,,,,3,1.0,2.0,z,9.0,1.0,2.294664843639333,0.974903167432984,None,231.72052690000055,None,232.67092963000067,232.67092963000067,232.68759493000033,None,[],['z'],[0.5475926999988587],234.67433410000012,None,z,2.5475926999988587,1,1,0.375,None,236.9712320000017,None,236.9712320000017,None,,,,,,,,,,,,,,,,,,CBC_1014,003,3,1,6,13,0.95,2023-06-25_12h29.13.889,MSI_TV_v3,2022.1.1,60.01622838836633,
