trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.tactile_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,image_stim_left.started,image_stim_right.started,tactile.started,response_4.keys,allKeys.keys,response_5.keys,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.stopped,feedback_6.started,keys_6.keys,keys_6.rt,keys_6.started,keys_6.stopped,response_4.rt,allKeys.rt,response_5.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,tactilePair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,participant,session,visual set [1-6],tactile set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
,,,,395.04420130000017,None,t,65.50069090000034,395.04420130000017,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1014,001,4,3,4,13,0.95,2023-06-25_10h42.28.156,MSI_TV_v3,2022.1.1,59.978072016931435,
,,,,,,,,,,None,460.5695254000002,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1014,001,4,3,4,13,0.95,2023-06-25_10h42.28.156,MSI_TV_v3,2022.1.1,59.978072016931435,
0,0,0,0,,,,,,,,,,0,1.0,0.0,b,63.0,1.0,4.52047235037039,1.90743690794447,None,460.76956240000027,None,462.6528552900003,462.6528552900003,462.66943199000013,None,[],None,464.65826240000024,None,None,[],0,3,0.0,None,469.23994270000003,['z'],[0.7931534000003921],469.23994270000003,None,,,,,,,,,,,,,,,,,,,,,CBC_1014,001,4,3,4,13,0.95,2023-06-25_10h42.28.156,MSI_TV_v3,2022.1.1,59.978072016931435,
1,0,1,0,,,,,,,,,,2,1.0,0.0,z,63.0,1.0,2.666404967794728,1.27538462653558,None,470.98606470000004,None,472.2363066900001,472.2363066900001,472.2530463900001,None,[],None,474.2388037999999,None,None,[],0,3,0.0,None,476.9104618000001,None,,476.9104618000001,None,,,,,,,,,,,,,,,,,,,,,CBC_1014,001,4,3,4,13,0.95,2023-06-25_10h42.28.156,MSI_TV_v3,2022.1.1,59.978072016931435,
2,0,2,0,,,,,,,,,,1,3.0,2.0,b,63.0,1.0,3.2062024266105302,3.1424449555106,None,478.7193934000002,None,481.8361796900002,481.8361796900002,481.85291158999996,b,['b'],None,483.87827070000003,None,b,1.3253967000000557,1,1,0.3333333333333333,None,487.0817798000003,None,,487.0817798000003,None,1.3253967000000557,[1.3253967000000557],,,,,,,,,,,,,,,,,,,CBC_1014,001,4,3,4,13,0.95,2023-06-25_10h42.28.156,MSI_TV_v3,2022.1.1,59.978072016931435,
3,0,3,0,,,,,,,,,,0,1.0,2.0,b,9.0,1.0,2.517541937862754,2.22427187882546,None,488.8861243000001,None,491.0864606900003,491.0864606900003,491.10296459000017,None,[],['z'],493.0958550999999,None,z,2.5803343000002315,0,0,0.25,None,495.6052920000002,None,,495.6052920000002,None,,,[0.5803343000002315],,,,,,,,,,,,,,,,,,CBC_1014,001,4,3,4,13,0.95,2023-06-25_10h42.28.156,MSI_TV_v3,2022.1.1,59.978072016931435,
4,0,4,0,,,,,,,,,,2,2.0,0.0,z,27.0,1.0,3.7500315165247198,0.917519910446003,None,497.4193415,None,498.31916519000004,498.31916519000004,498.3359648899999,None,[],['b'],500.3209804000003,None,b,2.737043100000392,0,0,0.2,None,504.0799006000002,None,,504.0799006000002,None,,,[0.7370431000003919],,,,,,,,,,,,,,,,,,CBC_1014,001,4,3,4,13,0.95,2023-06-25_10h42.28.156,MSI_TV_v3,2022.1.1,59.978072016931435,
5,0,5,0,,,,,,,,,,3,3.0,2.0,z,63.0,1.0,2.496959177995529,1.60731937853708,None,505.8863405000002,None,507.4692645900003,507.4692645900003,507.4865814900003,None,[],['b'],509.47333789999993,None,b,2.6618911000005028,0,0,0.16666666666666666,None,511.9750618000003,None,,511.9750618000003,None,,,[0.6618911000005028],,,,,,,,,,,,,,,,,,CBC_1014,001,4,3,4,13,0.95,2023-06-25_10h42.28.156,MSI_TV_v3,2022.1.1,59.978072016931435,
6,0,6,0,,,,,,,,,,1,3.0,1.0,b,27.0,1.0,2.294664843639333,2.40378712856304,None,513.7861653999998,None,516.1697257899999,516.1697257899999,516.1863627900001,None,[],['z'],518.1728954,None,z,3.2282783000000563,0,0,0.14285714285714285,None,520.4728610000002,None,,520.4728610000002,None,,,[1.2282783000000563],,,,,,,,,,,,,,,,,,CBC_1014,001,4,3,4,13,0.95,2023-06-25_10h42.28.156,MSI_TV_v3,2022.1.1,59.978072016931435,
7,0,7,0,,,,,,,,,,2,0.0,1.0,b,63.0,1.0,4.7533305109883095,2.96653053743745,None,522.2858829000002,None,525.2365844899999,525.2365844899999,525.2530841900001,None,[],['b'],527.2399191,None,b,2.4623951000003217,1,1,0.25,None,532.0045552000001,None,,532.0045552000001,None,,,[0.4623951000003217],,,,,,,,,,,,,,,,,,CBC_1014,001,4,3,4,13,0.95,2023-06-25_10h42.28.156,MSI_TV_v3,2022.1.1,59.978072016931435,
