trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.auditory_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.rt,keys_3.started,keys_3.stopped,ImageLeft_4.started,ImageLeft_4.stopped,ImageRight_4.started,ImageRight_4.stopped,sound_4.started,sound_4.stopped,response_4.keys,response_4.started,response_4.stopped,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,response_4.rt,keys_6.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,audioPair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,participant,session,visual set [1-6],audio set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
,,,,24.106408999999985,None,t,65.8262149000002,24.106408999999985,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1015,1,1,2,7,14,0.95,2023-06-25_14h04.10.751,MSI_AV_v3,2022.1.1,60.0034081931238,
,,,,,,,,,,None,89.9596066999984,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1015,1,1,2,7,14,0.95,2023-06-25_14h04.10.751,MSI_AV_v3,2022.1.1,60.0034081931238,
0,0,0,0,,,,,,,,,,1,0.0,1.0,z,63.0,1.0,4.46924002178158,2.15533949826702,['b'],[1.7500988000010693],90.15967009999986,None,92.38129839999965,None,92.38129839999965,None,92.39306981999962,None,None,92.38129839999965,None,['b'],[0.5243262000021787],94.30970029999844,None,b,2.5243262000021787,0,0,0.0,98.7798774999992,None,None,98.7798774999992,None,,,,,,,,,,,,,,,,,,,,CBC_1015,1,1,2,7,14,0.95,2023-06-25_14h04.10.751,MSI_AV_v3,2022.1.1,60.0034081931238,
1,0,1,0,,,,,,,,,,2,1.0,0.0,z,63.0,1.0,2.92731383428727,2.96653053743745,None,,100.57632469999953,None,103.54274639999858,None,103.54274639999858,None,103.54214891999837,None,['z'],103.54274639999858,None,None,,105.54536779999944,None,z,1.4639270000006945,1,1,0.5,108.48297889999958,None,None,108.48297889999958,None,[1.4639270000006945],,,,,,,,,,,,,,,,,,,CBC_1015,1,1,2,7,14,0.95,2023-06-25_14h04.10.751,MSI_AV_v3,2022.1.1,60.0034081931238,
2,0,2,0,,,,,,,,,,0,2.0,1.0,b,9.0,1.0,4.7533305109883095,0.952147612306987,None,,110.29315319999841,None,111.2486259999987,None,111.2486259999987,None,111.25907517999859,None,None,111.2486259999987,None,['z'],[0.7369607000018732],113.22646769999847,None,z,2.736960700001873,0,0,0.3333333333333333,117.96945719999894,None,None,117.96945719999894,None,,,,,,,,,,,,,,,,,,,,CBC_1015,1,1,2,7,14,0.95,2023-06-25_14h04.10.751,MSI_AV_v3,2022.1.1,60.0034081931238,
3,0,3,0,,,,,,,,,,2,0.0,1.0,b,63.0,1.0,2.6391747348430608,1.43470440954152,None,,119.77631990000009,None,121.23006669999995,None,121.23006669999995,None,121.2261038799994,None,None,121.23006669999995,None,['b'],[0.26682199999959266],123.21013159999893,None,b,2.2668219999995927,1,1,0.5,125.83285179999984,None,None,125.83285179999984,None,,,,,,,,,,,,,,,,,,,,CBC_1015,1,1,2,7,14,0.95,2023-06-25_14h04.10.751,MSI_AV_v3,2022.1.1,60.0034081931238,
4,0,4,0,,,,,,,,,,3,1.0,3.0,z,27.0,1.0,3.26539063535182,1.36309078069689,None,,127.64289189999909,None,129.03158239999902,None,129.03158239999902,None,129.04295373999847,None,None,129.03158239999902,None,None,,131.00991889999932,None,[],[],0,3,0.4,134.2625511999995,None,['z'],134.2625511999995,None,,[1.4117453000017122],,,,,,,,,,,,,,,,,,CBC_1015,1,1,2,7,14,0.95,2023-06-25_14h04.10.751,MSI_AV_v3,2022.1.1,60.0034081931238,
5,0,5,0,,,,,,,,,,1,1.0,0.0,b,63.0,1.0,3.71372710086949,2.10421507306074,None,,136.07662529999834,None,138.20383009999932,None,138.20383009999932,None,138.19305517999837,None,['b'],138.20383009999932,None,None,,140.1960642999984,None,b,1.689165800002229,1,1,0.5,143.91469139999936,None,None,143.91469139999936,None,[1.689165800002229],,,,,,,,,,,,,,,,,,,CBC_1015,1,1,2,7,14,0.95,2023-06-25_14h04.10.751,MSI_AV_v3,2022.1.1,60.0034081931238,
6,0,6,0,,,,,,,,,,0,3.0,2.0,z,63.0,1.0,2.294664843639333,1.60731937853708,None,,145.72625459999836,None,147.34705029999895,None,147.34705029999895,None,147.35968993999884,None,['z'],147.34705029999895,None,None,,149.34383539999908,None,z,1.402347400002327,1,1,0.5714285714285714,151.65019669999856,None,None,151.65019669999856,None,[1.402347400002327],,,,,,,,,,,,,,,,,,,CBC_1015,1,1,2,7,14,0.95,2023-06-25_14h04.10.751,MSI_AV_v3,2022.1.1,60.0034081931238,
7,0,7,0,,,,,,,,,,2,0.0,2.0,b,27.0,1.0,3.68371079902891,1.21250262048173,None,,153.4597243999997,None,154.68043089999992,None,154.68043089999992,None,154.67640897999863,None,['b'],154.68043089999992,None,None,,156.67887259999952,None,b,1.6631818000005296,1,1,0.625,160.36652959999992,None,None,160.36652959999992,None,[1.6631818000005296],,,,,,,,,,,,,,,,,,,CBC_1015,1,1,2,7,14,0.95,2023-06-25_14h04.10.751,MSI_AV_v3,2022.1.1,60.0034081931238,
