trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.auditory_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,ImageLeft_4.started,ImageLeft_4.stopped,ImageRight_4.started,ImageRight_4.stopped,sound_4.started,sound_4.stopped,response_4.keys,response_4.started,response_4.stopped,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,response_4.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,audioPair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,participant,session,visual set [1-6],audio set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
,,,,33.9557175000009,None,t,45.984186199999385,33.9557175000009,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1016,003,4,1,0,15,0.95,2023-06-25_15h20.06.953,MSI_AV_v3,2022.1.1,59.95947938329022,
,,,,,,,,,,None,79.96679159999985,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1016,003,4,1,0,15,0.95,2023-06-25_15h20.06.953,MSI_AV_v3,2022.1.1,59.95947938329022,
0,0,0,0,,,,,,,,,,1,0.0,1.0,z,63.0,1.0,3.26539063535182,1.34668860557497,None,80.16710289999901,None,81.58682979999867,None,81.58682979999867,None,81.58360158000069,None,None,81.58682979999867,None,['z'],[0.35650669999813545],83.51707030000034,None,z,2.3565066999981354,1,1,1.0,86.776182900001,None,None,86.776182900001,None,,,,,,,,,,,,,,,,,,,CBC_1016,003,4,1,0,15,0.95,2023-06-25_15h20.06.953,MSI_AV_v3,2022.1.1,59.95947938329022,
1,0,1,0,,,,,,,,,,2,0.0,1.0,b,63.0,1.0,4.82531807167306,1.12425433982333,None,88.58379209999839,None,89.72129470000073,None,89.72129470000073,None,89.73335941999976,None,None,89.72129470000073,None,['b'],[0.22969200000079582],91.70007059999989,None,b,2.229692000000796,1,1,1.0,96.51730419999876,None,None,96.51730419999876,None,,,,,,,,,,,,,,,,,,,CBC_1016,003,4,1,0,15,0.95,2023-06-25_15h20.06.953,MSI_AV_v3,2022.1.1,59.95947938329022,
2,0,2,0,,,,,,,,,,0,2.0,3.0,z,63.0,1.0,4.190022164497369,0.77703640172831,None,98.3168454000006,None,99.10609199999817,None,99.10609199999817,None,99.11685221999942,None,['z'],99.10609199999817,None,None,,101.10131019999972,None,z,1.7795608000014909,1,1,1.0,105.29008650000105,None,None,105.29008650000105,None,[1.7795608000014909],,,,,,,,,,,,,,,,,,CBC_1016,003,4,1,0,15,0.95,2023-06-25_15h20.06.953,MSI_AV_v3,2022.1.1,59.95947938329022,
3,0,3,0,,,,,,,,,,1,2.0,1.0,z,9.0,1.0,4.52047235037039,1.53243550275999,None,107.10022889999891,None,108.6545311000009,None,108.6545311000009,None,108.65048913999782,None,['z'],108.6545311000009,None,None,,110.65056259999983,None,z,1.2209915999992518,1,1,1.0,115.17381079999905,None,None,115.17381079999905,None,[1.2209915999992518],,,,,,,,,,,,,,,,,,CBC_1016,003,4,1,0,15,0.95,2023-06-25_15h20.06.953,MSI_AV_v3,2022.1.1,59.95947938329022,
4,0,4,0,,,,,,,,,,2,0.0,2.0,b,27.0,1.0,2.7134565917469198,3.40155979865722,None,116.98352059999888,None,120.40473629999906,None,120.40473629999906,None,120.40023613999948,None,None,120.40473629999906,None,['b'],[0.2657913999973971],122.38373330000104,None,b,2.265791399997397,1,1,1.0,125.0835780999987,None,None,125.0835780999987,None,,,,,,,,,,,,,,,,,,,CBC_1016,003,4,1,0,15,0.95,2023-06-25_15h20.06.953,MSI_AV_v3,2022.1.1,59.95947938329022,
5,0,5,0,,,,,,,,,,3,2.0,3.0,b,63.0,1.0,4.61004669244928,1.90743690794447,None,126.88345409999965,None,128.80644200000097,None,128.80644200000097,None,128.81672001999758,None,None,128.80644200000097,None,['b'],[0.15061939999941387],130.78352280000036,None,b,2.150619399999414,1,1,1.0,135.38934700000027,None,None,135.38934700000027,None,,,,,,,,,,,,,,,,,,,CBC_1016,003,4,1,0,15,0.95,2023-06-25_15h20.06.953,MSI_AV_v3,2022.1.1,59.95947938329022,
6,0,6,0,,,,,,,,,,0,1.0,3.0,z,27.0,1.0,3.71372710086949,2.09887870490381,None,137.20058599999902,None,139.32239029999982,None,139.32239029999982,None,139.33371061999858,None,['z'],139.32239029999982,None,None,,141.31895539999823,None,z,1.3502090000001772,1,1,1.0,145.04094350000014,None,None,145.04094350000014,None,[1.3502090000001772],,,,,,,,,,,,,,,,,,CBC_1016,003,4,1,0,15,0.95,2023-06-25_15h20.06.953,MSI_AV_v3,2022.1.1,59.95947938329022,
7,0,7,0,,,,,,,,,,2,1.0,0.0,z,63.0,1.0,3.31929419319838,1.64421109900286,None,146.85027640000044,None,148.5040360999992,None,148.5040360999992,None,148.50048294000007,None,['z'],148.5040360999992,None,None,,150.49883129999944,None,z,1.7855873000007705,1,1,1.0,153.8245777000011,None,None,153.8245777000011,None,[1.7855873000007705],,,,,,,,,,,,,,,,,,CBC_1016,003,4,1,0,15,0.95,2023-06-25_15h20.06.953,MSI_AV_v3,2022.1.1,59.95947938329022,
