trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.tactile_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,image_stim_left.started,image_stim_right.started,tactile.started,response_4.keys,allKeys.keys,response_4.rt,allKeys.rt,response_5.keys,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.stopped,feedback_6.started,keys_6.keys,keys_6.started,keys_6.stopped,response_5.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,tactilePair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,participant,session,visual set [1-6],tactile set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
,,,,33.14220939999723,None,t,57.143839299998945,33.14220939999723,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1016,4,3,2,1,15,0.95,2023-06-25_16h33.10.466,MSI_TV_v3,2022.1.1,59.97156148673703,
,,,,,,,,,,None,90.30836819999968,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1016,4,3,2,1,15,0.95,2023-06-25_16h33.10.466,MSI_TV_v3,2022.1.1,59.97156148673703,
0,0,0,0,,,,,,,,,,1,1,3,b,27,1,3.26539063535182,1.94858485820231,None,90.509369899999,None,92.4425772199971,92.4425772199971,92.45932021999724,z,['z'],1.321725300000253,[1.321725300000253],None,94.4837140999989,None,z,1.321725300000253,0,0,0.0,None,97.75207579999915,None,97.75207579999915,None,,,,,,,,,,,,,,,,,,,CBC_1016,4,3,2,1,15,0.95,2023-06-25_16h33.10.466,MSI_TV_v3,2022.1.1,59.97156148673703,
1,0,1,0,,,,,,,,,,3,3,2,z,63,1,3.02234236141277,1.64421109900286,None,99.55934409999827,None,101.17582591999926,101.17582591999926,101.19248621999904,z,['z'],1.6822890999974334,[1.6822890999974334],None,103.19353819999742,None,z,1.6822890999974334,1,1,0.5,None,106.22884599999816,None,106.22884599999816,None,,,,,,,,,,,,,,,,,,,CBC_1016,4,3,2,1,15,0.95,2023-06-25_16h33.10.466,MSI_TV_v3,2022.1.1,59.97156148673703,
2,0,2,0,,,,,,,,,,0,3,2,b,63,1,3.68371079902891,1.90743690794447,None,108.02472990000024,None,109.90956461999994,109.90956461999994,109.92556321999982,b,['b'],1.0271576999984973,[1.0271576999984973],None,111.94853750000038,None,b,1.0271576999984973,1,1,0.6666666666666666,None,115.62538679999852,None,115.62538679999852,None,,,,,,,,,,,,,,,,,,,CBC_1016,4,3,2,1,15,0.95,2023-06-25_16h33.10.466,MSI_TV_v3,2022.1.1,59.97156148673703,
3,0,3,0,,,,,,,,,,1,0,1,z,63,1,4.82531807167306,1.38289892513751,None,117.4257723999981,None,118.79273031999728,118.79273031999728,118.8095871199981,None,[],,,['z'],120.79344619999756,None,z,2.2573436000020592,1,1,0.75,None,125.62547049999921,None,125.62547049999921,None,[0.25734360000205925],,,,,,,,,,,,,,,,,,CBC_1016,4,3,2,1,15,0.95,2023-06-25_16h33.10.466,MSI_TV_v3,2022.1.1,59.97156148673703,
4,0,4,0,,,,,,,,,,2,0,3,b,9,1,2.666404967794728,2.6299100644723,None,127.42570379999961,None,130.0426879199982,130.0426879199982,130.05905881999897,None,[],,,['z'],132.04488599999968,None,z,2.433464500001719,0,0,0.6,None,134.71988209999836,None,134.71988209999836,None,[0.433464500001719],,,,,,,,,,,,,,,,,,CBC_1016,4,3,2,1,15,0.95,2023-06-25_16h33.10.466,MSI_TV_v3,2022.1.1,59.97156148673703,
5,0,5,0,,,,,,,,,,0,3,2,b,63,1,3.3728785608729996,3.40155979865722,None,136.52588409999953,None,139.9094053199984,139.9094053199984,139.9261735199976,b,['b'],1.6080391999967105,[1.6080391999967105],None,141.9497319999973,None,b,1.6080391999967105,1,1,0.6666666666666666,None,145.32070689999819,None,145.32070689999819,None,,,,,,,,,,,,,,,,,,,CBC_1016,4,3,2,1,15,0.95,2023-06-25_16h33.10.466,MSI_TV_v3,2022.1.1,59.97156148673703,
6,0,6,0,,,,,,,,,,3,0,2,z,27,1,3.7500315165247198,1.53243550275999,None,147.1256942,None,148.64266241999903,148.64266241999903,148.65933601999822,z,['z'],1.9523208999999042,[1.9523208999999042],None,150.6837231999998,None,z,1.9523208999999042,1,1,0.7142857142857143,None,154.42486799999824,None,154.42486799999824,None,,,,,,,,,,,,,,,,,,,CBC_1016,4,3,2,1,15,0.95,2023-06-25_16h33.10.466,MSI_TV_v3,2022.1.1,59.97156148673703,
7,0,7,0,,,,,,,,,,2,0,1,b,63,1,4.40017271499661,2.40378712856304,None,156.22570359999736,None,158.6093314200003,158.6093314200003,158.62594351999687,None,[],,,['b'],160.613027899999,None,b,2.154197899999417,1,1,0.75,None,165.02582529999927,None,165.02582529999927,None,[0.15419789999941713],,,,,,,,,,,,,,,,,,CBC_1016,4,3,2,1,15,0.95,2023-06-25_16h33.10.466,MSI_TV_v3,2022.1.1,59.97156148673703,
