trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.tactile_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,image_stim_left.started,image_stim_right.started,tactile.started,response_4.keys,allKeys.keys,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.stopped,feedback_6.started,keys_6.keys,keys_6.started,keys_6.stopped,response_4.rt,allKeys.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,tactilePair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,participant,session,visual set [1-6],tactile set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
,,,,30.069870099999207,None,t,55.2703019999999,30.069870099999207,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1013,6,6,2,6,16,0.8,2023-06-25_11h49.37.760,MSI_TV_v3,2022.1.1,59.99552433396283,
,,,,,,,,,,None,85.36396100000002,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1013,6,6,2,6,16,0.8,2023-06-25_11h49.37.760,MSI_TV_v3,2022.1.1,59.99552433396283,
0,0,0,0,,,,,,,,,,2,1,0,z,63,1,2.342239579230602,2.49839527409216,None,85.57865919999949,None,88.06225198000001,88.06225198000001,88.07892137999997,None,[],['z'],[0.6162411000004795],90.06480649999958,None,z,2.6162411000004795,1,1,1.0,None,92.43020389999947,None,92.43020389999947,None,,,,,,,,,,,,,,,,,,,,CBC_1013,6,6,2,6,16,0.8,2023-06-25_11h49.37.760,MSI_TV_v3,2022.1.1,59.99552433396283,
1,0,1,0,,,,,,,,,,1,3,2,b,63,1,4.46924002178158,0.979776149765883,None,94.22878949999995,None,95.19555597999997,95.19555597999997,95.21215227999991,None,[],['b'],[0.9437275999998747],97.21802479999951,None,b,2.9437275999998747,1,1,1.0,None,101.67793579999943,None,101.67793579999943,None,,,,,,,,,,,,,,,,,,,,CBC_1013,6,6,2,6,16,0.8,2023-06-25_11h49.37.760,MSI_TV_v3,2022.1.1,59.99552433396283,
2,0,2,0,,,,,,,,,,0,2,0,b,27,1,2.7134565917469198,1.96568735158996,None,103.47849769999993,None,105.42882677999941,105.42882677999941,105.44565457999951,None,[],['z'],[0.5116586000003736],107.43278529999952,None,z,2.5116586000003736,0,0,0.6666666666666666,None,110.16447100000005,None,110.16447100000005,None,,,,,,,,,,,,,,,,,,,,CBC_1013,6,6,2,6,16,0.8,2023-06-25_11h49.37.760,MSI_TV_v3,2022.1.1,59.99552433396283,
3,0,3,0,,,,,,,,,,2,1,0,z,63,1,4.190022164497369,2.22427187882546,None,111.97869790000004,None,114.1788491799999,114.1788491799999,114.19552697999924,None,[],['z'],[0.6604620000007344],116.18261939999957,None,z,2.6604620000007344,1,1,0.75,None,120.3891965999992,None,120.3891965999992,None,,,,,,,,,,,,,,,,,,,,CBC_1013,6,6,2,6,16,0.8,2023-06-25_11h49.37.760,MSI_TV_v3,2022.1.1,59.99552433396283,
4,0,4,0,,,,,,,,,,3,3,1,z,27,1,4.40017271499661,0.917519910446003,None,122.19514399999935,None,123.09518107999983,123.09518107999983,123.11205677999996,None,[],['z'],[0.3917382000008729],125.09701309999946,None,z,2.391738200000873,1,1,0.8,None,129.5036083999994,None,129.5036083999994,None,,,,,,,,,,,,,,,,,,,,CBC_1013,6,6,2,6,16,0.8,2023-06-25_11h49.37.760,MSI_TV_v3,2022.1.1,59.99552433396283,
5,0,5,0,,,,,,,,,,0,2,3,b,63,1,4.11514536789087,0.80788063606262,None,131.3122072999995,None,132.0955632799997,132.0955632799997,132.11227728000003,None,[],['z'],[0.3056672000002436],134.09870779999983,None,z,2.3056672000002436,0,0,0.6666666666666666,None,138.2213474,None,138.2213474,None,,,,,,,,,,,,,,,,,,,,CBC_1013,6,6,2,6,16,0.8,2023-06-25_11h49.37.760,MSI_TV_v3,2022.1.1,59.99552433396283,
6,0,6,0,,,,,,,,,,1,2,3,z,63,0,2.496959177995529,0.77703640172831,None,140.02876469999956,None,140.7787288799992,140.7787288799992,140.79537827999965,None,[],['z'],[1.130886200000532],142.78243919999932,None,z,3.130886200000532,1,0,0.7142857142857143,None,145.28925529999924,None,145.28925529999924,None,,,,,,,,,,,,,,,,,,,,CBC_1013,6,6,2,6,16,0.8,2023-06-25_11h49.37.760,MSI_TV_v3,2022.1.1,59.99552433396283,
7,0,7,0,,,,,,,,,,3,1,0,b,63,1,2.6391747348430608,2.40378712856304,None,147.09540039999956,None,149.4786155799994,149.4786155799994,149.49537447999964,None,[],['b'],[0.6950094000003446],151.4825779999992,None,b,2.6950094000003446,1,1,0.75,None,154.1224769999999,None,154.1224769999999,None,,,,,,,,,,,,,,,,,,,,CBC_1013,6,6,2,6,16,0.8,2023-06-25_11h49.37.760,MSI_TV_v3,2022.1.1,59.99552433396283,
8,0,8,0,,,,,,,,,,2,0,2,b,27,1,4.77034425507967,1.27538462653558,None,155.92888249999942,None,157.1789291799997,157.1789291799997,157.1956029799995,None,[],['z'],[0.8492200000000594],159.20280899999943,None,z,2.8492200000000594,0,0,0.6666666666666666,None,163.96739569999954,None,163.96739569999954,None,,,,,,,,,,,,,,,,,,,,CBC_1013,6,6,2,6,16,0.8,2023-06-25_11h49.37.760,MSI_TV_v3,2022.1.1,59.99552433396283,
9,0,9,0,,,,,,,,,,1,0,3,z,9,1,2.526044641065533,0.974903167432984,None,165.7788028999994,None,166.7287144799994,166.7287144799994,166.74525318000005,None,[],['z'],[0.9955474000007598],168.7306071999992,None,z,2.99554740000076,1,1,0.7,None,171.26630419999947,None,171.26630419999947,None,,,,,,,,,,,,,,,,,,,,CBC_1013,6,6,2,6,16,0.8,2023-06-25_11h49.37.760,MSI_TV_v3,2022.1.1,59.99552433396283,
10,0,10,0,,,,,,,,,,0,3,2,z,63,0,4.53337421950507,1.12425433982333,None,173.09022509999977,None,174.17907527999986,174.17907527999986,174.19561687999985,None,[],['z'],[0.23721569999997882],176.18603709999934,None,z,2.237215699999979,1,0,0.7272727272727273,None,180.7169258999993,None,180.7169258999993,None,,,,,,,,,,,,,,,,,,,,CBC_1013,6,6,2,6,16,0.8,2023-06-25_11h49.37.760,MSI_TV_v3,2022.1.1,59.99552433396283,
11,0,11,0,,,,,,,,,,3,1,0,b,63,1,4.72585056748869,1.64421109900286,None,182.52879200000007,None,184.1456421799995,184.1456421799995,184.16234207999977,None,[],"['b', 'z']","[1.8023520999995526, 1.8811611000000994]",186.17113869999957,None,b,3.8023520999995526,1,1,0.75,None,190.88455609999983,None,190.88455609999983,None,,,,,,,,,,,,,,,,,,,,CBC_1013,6,6,2,6,16,0.8,2023-06-25_11h49.37.760,MSI_TV_v3,2022.1.1,59.99552433396283,
12,0,12,0,,,,,,,,,,1,3,2,b,63,0,4.7533305109883095,1.94858485820231,None,192.6955042999998,None,194.62880827999933,194.62880827999933,194.64548247999946,None,[],['z'],[0.7588649000008445],196.6310125,None,z,2.7588649000008445,0,1,0.6923076923076923,None,201.38352069999928,None,201.38352069999928,None,,,,,,,,,,,,,,,,,,,,CBC_1013,6,6,2,6,16,0.8,2023-06-25_11h49.37.760,MSI_TV_v3,2022.1.1,59.99552433396283,
13,0,13,0,,,,,,,,,,0,3,2,z,63,1,2.82320408183943,1.34668860557497,None,203.19544679999944,None,204.52887587999984,204.52887587999984,204.54547448000002,None,[],['b'],[0.4998906999999235],206.53186239999923,None,b,2.4998906999999235,0,0,0.6428571428571429,None,209.36009159999958,None,209.36009159999958,None,,,,,,,,,,,,,,,,,,,,CBC_1013,6,6,2,6,16,0.8,2023-06-25_11h49.37.760,MSI_TV_v3,2022.1.1,59.99552433396283,
14,0,14,0,,,,,,,,,,3,1,3,b,27,1,2.678526077912375,0.952147612306987,None,211.1621212,None,212.09548748000006,212.09548748000006,212.11207737999948,None,[],['z'],[0.9081170999997994],214.09869139999955,None,z,2.9081170999997994,0,0,0.6,None,216.78620129999945,None,216.78620129999945,None,,,,,,,,,,,,,,,,,,,,CBC_1013,6,6,2,6,16,0.8,2023-06-25_11h49.37.760,MSI_TV_v3,2022.1.1,59.99552433396283,
