trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.auditory_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,ImageLeft_4.started,ImageLeft_4.stopped,ImageRight_4.started,ImageRight_4.stopped,sound_4.started,sound_4.stopped,response_4.keys,response_4.rt,response_4.started,response_4.stopped,response_5.keys,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,response_5.rt,keys_3.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,audioPair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],audio set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
,,,,25.142304799999692,None,t,57.05703320000066,25.142304799999692,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1018,2,5,3,3,17,0.95,2023-07-28_14h09.48.835,MSI_AV_v3,2022.1.1,60.00265211722643,
,,,,,,,,,,None,82.22965189999968,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1018,2,5,3,3,17,0.95,2023-07-28_14h09.48.835,MSI_AV_v3,2022.1.1,60.00265211722643,
0,0,0,0,,,,,,,,,,1,0.0,2.0,z,27.0,1.0,3.73326136168326,1.64421109900286,None,82.42945459999964,None,84.23577989999967,None,84.23577989999967,None,84.23095945999995,None,['b'],[1.7605083000003106],84.23577989999967,None,None,86.08053629999995,None,b,1.7605083000003106,0,0,0.0,89.8213596999999,None,None,89.8213596999999,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1018,2,5,3,3,17,0.95,2023-07-28_14h09.48.835,MSI_AV_v3,2022.1.1,60.00265211722643,
1,0,1,0,,,,,,,,,,0,2.0,3.0,z,63.0,1.0,2.433630701072358,0.917519910446003,None,91.63026299999956,None,92.58015579999983,None,92.58015579999983,None,92.57957442000007,None,None,,92.58015579999983,None,['z'],94.53089509999973,None,z,2.4209167000003617,1,1,0.5,96.95095419999961,None,None,96.95095419999961,None,[0.42091670000036174],,,,,,,,,,,,,,,,,,,,,,CBC_1018,2,5,3,3,17,0.95,2023-07-28_14h09.48.835,MSI_AV_v3,2022.1.1,60.00265211722643,
2,0,2,0,,,,,,,,,,2,0.0,1.0,b,63.0,1.0,4.61004669244928,3.33124983260532,None,98.76336319999973,None,102.14879669999982,None,102.14879669999982,None,102.1472520499999,None,['z'],[1.5060253000006014],102.14879669999982,None,None,104.11682589999964,None,z,1.5060253000006014,0,0,0.3333333333333333,108.7366149999998,None,None,108.7366149999998,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1018,2,5,3,3,17,0.95,2023-07-28_14h09.48.835,MSI_AV_v3,2022.1.1,60.00265211722643,
3,0,3,0,,,,,,,,,,1,3.0,2.0,z,63.0,1.0,2.629554641171433,1.53243550275999,None,110.54617959999996,None,112.08550429999968,None,112.08550429999968,None,112.0973701199997,None,['b'],[1.5833700000002864],112.08550429999968,None,None,114.07964589999983,None,b,1.5833700000002864,0,0,0.25,116.72055519999958,None,None,116.72055519999958,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1018,2,5,3,3,17,0.95,2023-07-28_14h09.48.835,MSI_AV_v3,2022.1.1,60.00265211722643,
4,0,4,0,,,,,,,,,,2,2.0,0.0,z,27.0,1.0,4.77034425507967,0.761758675042088,None,118.53046689999974,None,119.32069969999975,None,119.32069969999975,None,119.33065081999995,None,None,,119.32069969999975,None,['z'],121.29728909999994,None,z,2.1935287999999673,1,1,0.4,126.06493269999964,None,None,126.06493269999964,None,[0.1935287999999673],,,,,,,,,,,,,,,,,,,,,,CBC_1018,2,5,3,3,17,0.95,2023-07-28_14h09.48.835,MSI_AV_v3,2022.1.1,60.00265211722643,
5,0,5,0,,,,,,,,,,0,3.0,2.0,b,63.0,1.0,3.68371079902891,1.95130344756745,None,127.88029669999969,None,129.8489870999997,None,129.8489870999997,None,129.84714318999974,None,['z'],[1.6523752000002787],129.8489870999997,None,None,131.84831889999987,None,z,1.6523752000002787,0,0,0.3333333333333333,135.5318046999996,None,None,135.5318046999996,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1018,2,5,3,3,17,0.95,2023-07-28_14h09.48.835,MSI_AV_v3,2022.1.1,60.00265211722643,
6,0,6,0,,,,,,,,,,0,2.0,3.0,z,63.0,1.0,4.7533305109883095,2.15533949826702,None,137.34704949999968,None,139.5146182999997,None,139.5146182999997,None,139.51382138999995,None,None,,139.5146182999997,None,['z'],141.4968904999996,None,z,2.0649526000006517,1,1,0.42857142857142855,146.2350104999996,None,None,146.2350104999996,None,[0.06495260000065173],,,,,,,,,,,,,,,,,,,,,,CBC_1018,2,5,3,3,17,0.95,2023-07-28_14h09.48.835,MSI_AV_v3,2022.1.1,60.00265211722643,
7,0,7,0,,,,,,,,,,3,1.0,3.0,b,27.0,1.0,3.76873691643126,1.1243895841892,None,148.04699539999956,None,149.19731639999964,None,149.19731639999964,None,149.19659392000003,None,['b'],[1.9115921000002345],149.19731639999964,None,['z'],151.1612501999998,None,b,1.9115921000002345,1,1,0.5,154.9370815999996,None,None,154.9370815999996,None,[1.3666802000002463],,,,,,,,,,,,,,,,,,,,,,CBC_1018,2,5,3,3,17,0.95,2023-07-28_14h09.48.835,MSI_AV_v3,2022.1.1,60.00265211722643,
