trials_runs.thisRepN;trials_runs.thisTrialN;trials_runs.thisN;trials_runs.thisIndex;standbild_start.started;standbild_start.stopped;trigger.keys;trigger.rt;trigger.started;trigger.stopped;keys_2.keys;keys_2.started;keys_2.stopped;trials_runs.tactile_stim;trials_runs.visual_stim_left;trials_runs.visual_stim_right;trials_runs.correctKey;trials_runs.presentationFrequncy;trials_runs.FBaccuracy;trials_runs.ISI_s;trials_runs.ITI_s;keys_3.keys;keys_3.started;keys_3.stopped;image_stim_left.started;image_stim_right.started;tactile.started;response_4.keys;allKeys.keys;response_5.keys;response_5.rt;response_5.started;response_5.stopped;response_runs.keys;response_runs.rt;trials_runs.correct_answer;trials_runs.feedback_given;trials_runs.running_mean;feedback_6.stopped;feedback_6.started;keys_6.keys;keys_6.started;keys_6.stopped;response_4.rt;allKeys.rt;keys_7.keys;keys_7.started;keys_7.stopped;standbild_end.started;standbild_end.stopped;Stop_exp.keys;Stop_exp.started;Stop_exp.stopped;trials_runs.rightKey;trials_runs.leftKey;ts_difficulty;visualPair;tactilePair;trials_runs.mean_acc_1stFourth;trials_runs.mean_acc_2ndFourth;trials_runs.mean_acc_3rdFourth;trials_runs.mean_acc_4thFourth;nbCorrect;nbOmissions;nbIncorrect;participant;session;visual set [1-6];tactile set [1-3];trial structure [0-3 / 4-7];pairing [0-23];prob Feedback;date;expName;psychopyVersion;frameRate
;;;;73.4420691;None;t;57.9655839;73.4420691;None;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;CBC_1020;2;1;2;4;19;0.95;2023-06-28_15h03.37.595;MSI_TV_v3;01.01.2022;59.98220928
;;;;;;;;;;None;131.4250981;None;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;CBC_1020;2;1;2;4;19;0.95;2023-06-28_15h03.37.595;MSI_TV_v3;01.01.2022;59.98220928
0;0;0;0;;;;;;;;;;0;1;0;b;63;1;2.713456592;1.259201458;None;131.6253062;None;132.8583772;132.8583772;132.8749125;None;[];['z'];[0.33864379999977245];134.8591109;None;z;2.3386438;0;0;0;None;137.5913009;None;137.5913009;None;;;;;;;;;;;;;;;;;;;;;;;CBC_1020;2;1;2;4;19;0.95;2023-06-28_15h03.37.595;MSI_TV_v3;01.01.2022;59.98220928
1;0;1;0;;;;;;;;;;3;1;0;z;63;1;2.629554641;2.966530537;None;139.3917229;None;142.3408917;142.3408917;142.3576064;None;[];['z'];[0.3928044000003865];144.3360942;None;z;2.3928044;1;1;0.5;None;146.9615261;None;146.9615261;None;;;;;;;;;;;;;;;;;;;;;;;CBC_1020;2;1;2;4;19;0.95;2023-06-28_15h03.37.595;MSI_TV_v3;01.01.2022;59.98220928
2;0;2;0;;;;;;;;;;1;3;2;b;63;1;2.342239579;1.965687352;None;148.7749162;None;150.7253015;150.7253015;150.7421651;None;[];['b'];[0.2867541000005076];152.7232036;None;b;2.2867541;1;1;0.666666667;None;155.0749516;None;155.0749516;None;;;;;;;;;;;;;;;;;;;;;;;CBC_1020;2;1;2;4;19;0.95;2023-06-28_15h03.37.595;MSI_TV_v3;01.01.2022;59.98220928
3;0;3;0;;;;;;;;;;0;1;2;b;9;1;4.825318072;2.629910064;None;156.8748624;None;159.491767;159.491767;159.5084215;None;[];['z'];[0.3800762000009854];161.4939618;None;z;2.3800762;0;0;0.5;None;166.3260427;None;166.3260427;None;;;;;;;;;;;;;;;;;;;;;;;CBC_1020;2;1;2;4;19;0.95;2023-06-28_15h03.37.595;MSI_TV_v3;01.01.2022;59.98220928
4;0;4;0;;;;;;;;;;3;2;0;z;27;1;3.750031517;1.180657385;None;168.1406639;None;169.2915537;169.2915537;169.3082798;None;[];['b'];[0.36973649999981717];171.2948045;None;b;2.3697365;0;0;0.4;None;175.0553592;None;175.0553592;None;;;;;;;;;;;;;;;;;;;;;;;CBC_1020;2;1;2;4;19;0.95;2023-06-28_15h03.37.595;MSI_TV_v3;01.01.2022;59.98220928
5;0;5;0;;;;;;;;;;2;3;2;z;63;1;2.294664844;1.532435503;None;176.8583962;None;178.3744401;178.3744401;178.3910036;None;[];['b'];[0.18989820000024338];180.3889011;None;b;2.1898982;0;0;0.333333333;None;182.6737875;None;182.6737875;None;;;;;;;;;;;;;;;;;;;;;;;CBC_1020;2;1;2;4;19;0.95;2023-06-28_15h03.37.595;MSI_TV_v3;01.01.2022;59.98220928
6;0;6;0;;;;;;;;;;1;3;1;b;27;1;2.592312597;1.522905996;None;184.4751785;None;185.9741564;185.9741564;185.9915542;None;[];['z'];[0.1256749000003765];187.9782047;None;z;2.1256749;0;0;0.285714286;None;190.5751626;None;190.5751626;None;;;;;;;;;;;;;;;;;;;;;;;CBC_1020;2;1;2;4;19;0.95;2023-06-28_15h03.37.595;MSI_TV_v3;01.01.2022;59.98220928
7;0;7;0;;;;;;;;;;3;0;1;b;63;1;4.610046692;0.761758675;None;192.3752446;None;193.1084958;193.1084958;193.1250021;None;[];['z'];[0.5859114000004411];195.1108293;None;z;2.5859114;0;0;0.25;None;199.7202268;None;199.7202268;None;;;;;;;;;;;;;;;;;;;;;;;CBC_1020;2;1;2;4;19;0.95;2023-06-28_15h03.37.595;MSI_TV_v3;01.01.2022;59.98220928
8;0;8;0;;;;;;;;;;2;0;2;z;27;1;3.206202427;3.401559799;None;201.5244998;None;204.9084382;204.9084382;204.9252015;None;[];['b'];[0.4336349000004702];206.9812658;None;b;2.4336349;0;0;0.222222222;None;210.1730598;None;210.1730598;None;;;;;;;;;;;;;;;;;;;;;;;CBC_1020;2;1;2;4;19;0.95;2023-06-28_15h03.37.595;MSI_TV_v3;01.01.2022;59.98220928
9;0;9;0;;;;;;;;;;1;3;2;b;63;1;3.319294193;1.43470441;None;211.9751477;None;213.3922504;213.3922504;213.4084574;None;[];['z'];[0.39663320000090607];215.3950193;None;z;2.3966332;0;0;0.2;None;218.7725675;None;218.7725675;None;;;;;;;;;;;;;;;;;;;;;;;CBC_1020;2;1;2;4;19;0.95;2023-06-28_15h03.37.595;MSI_TV_v3;01.01.2022;59.98220928
10;0;10;0;;;;;;;;;;0;0;1;z;63;1;4.753330511;0.974903167;None;220.5755888;None;221.5253186;221.5253186;221.5418818;None;[];['b'];[0.4091885000007096];223.5281621;None;b;2.4091885;0;0;0.181818182;None;228.2814482;None;228.2814482;None;;;;;;;;;;;;;;;;;;;;;;;CBC_1020;2;1;2;4;19;0.95;2023-06-28_15h03.37.595;MSI_TV_v3;01.01.2022;59.98220928
11;0;11;0;;;;;;;;;;3;1;0;z;63;1;4.190022164;3.069924563;None;230.0917604;None;233.1418485;233.1418485;233.1585543;None;[];['b'];[0.2873354000003019];235.1445484;None;b;2.2873354;0;0;0.166666667;None;239.3468949;None;239.3468949;None;;;;;;;;;;;;;;;;;;;;;;;CBC_1020;2;1;2;4;19;0.95;2023-06-28_15h03.37.595;MSI_TV_v3;01.01.2022;59.98220928
12;0;12;0;;;;;;;;;;1;3;2;b;63;1;4.770344255;1.363090781;None;241.1584786;None;242.5077368;242.5077368;242.5244538;z;['z'];None;;244.5404957;None;z;1.4602272;0;0;0.153846154;None;249.3184428;None;249.3184428;None;1.4602272;[1.4602272000001904];;;;;;;;;;;;;;;;;;;;;CBC_1020;2;1;2;4;19;0.95;2023-06-28_15h03.37.595;MSI_TV_v3;01.01.2022;59.98220928
13;0;13;0;;;;;;;;;;2;0;2;z;27;1;2.433630701;3.331249833;None;251.1251625;None;254.4419237;254.4419237;254.4587504;None;[];['b'];[1.004240899999786];256.4456499;None;b;3.0042409;0;0;0.142857143;None;258.890159;None;258.890159;None;;;;;;;;;;;;;;;;;;;;;;;CBC_1020;2;1;2;4;19;0.95;2023-06-28_15h03.37.595;MSI_TV_v3;01.01.2022;59.98220928
14;0;14;0;;;;;;;;;;3;1;0;z;63;1;3.768736916;0.952147612;None;260.6921368;None;261.6256221;261.6256221;261.642287;None;[];['z'];[0.6848112999996374];263.6287156;None;z;2.6848113;1;1;0.2;None;267.403565;None;267.403565;None;;;;;;;;;;;;;;;;;;;;;;;CBC_1020;2;1;2;4;19;0.95;2023-06-28_15h03.37.595;MSI_TV_v3;01.01.2022;59.98220928
15;0;15;0;;;;;;;;;;0;3;1;z;27;1;3.372878561;0.91751991;None;269.2091091;None;270.1085546;270.1085546;270.1253151;None;[];['z'];[0.2661636000002545];272.1117658;None;z;2.2661636;1;1;0.25;None;275.4896431;None;275.4896431;None;;;;;;;;;;;;;;;;;;;;;;;CBC_1020;2;1;2;4;19;0.95;2023-06-28_15h03.37.595;MSI_TV_v3;01.01.2022;59.98220928
16;0;16;0;;;;;;;;;;2;2;3;b;63;1;2.517541938;0.97977615;None;277.2918972;None;278.2577233;278.2577233;278.2744358;None;[];['b'];[0.09215529999983119];280.2520148;None;b;2.0921553;1;1;0.294117647;None;282.7606478;None;282.7606478;None;;;;;;;;;;;;;;;;;;;;;;;CBC_1020;2;1;2;4;19;0.95;2023-06-28_15h03.37.595;MSI_TV_v3;01.01.2022;59.98220928
17;0;17;0;;;;;;;;;;1;3;2;b;63;0;4.469240022;2.498395274;None;284.5756345;None;287.0587392;287.0587392;287.0754394;None;[];['z'];[0.981240400000388];289.0617889;None;z;2.9812404;0;1;0.277777778;None;293.5322091;None;293.5322091;None;;;;;;;;;;;;;;;;;;;;;;;CBC_1020;2;1;2;4;19;0.95;2023-06-28_15h03.37.595;MSI_TV_v3;01.01.2022;59.98220928
