trials_runs.thisRepN;trials_runs.thisTrialN;trials_runs.thisN;trials_runs.thisIndex;standbild_start.started;standbild_start.stopped;trigger.keys;trigger.rt;trigger.started;trigger.stopped;keys_2.keys;keys_2.started;keys_2.stopped;trials_runs.tactile_stim;trials_runs.visual_stim_left;trials_runs.visual_stim_right;trials_runs.correctKey;trials_runs.presentationFrequncy;trials_runs.FBaccuracy;trials_runs.ISI_s;trials_runs.ITI_s;keys_3.keys;keys_3.started;keys_3.stopped;image_stim_left.started;image_stim_right.started;tactile.started;response_4.keys;allKeys.keys;response_5.keys;response_5.rt;response_5.started;response_5.stopped;response_runs.keys;response_runs.rt;trials_runs.correct_answer;trials_runs.feedback_given;trials_runs.running_mean;feedback_6.stopped;feedback_6.started;keys_6.keys;keys_6.started;keys_6.stopped;response_4.rt;allKeys.rt;keys_6.rt;keys_7.keys;keys_7.started;keys_7.stopped;standbild_end.started;standbild_end.stopped;Stop_exp.keys;Stop_exp.started;Stop_exp.stopped;trials_runs.rightKey;trials_runs.leftKey;ts_difficulty;visualPair;tactilePair;trials_runs.mean_acc_1stFourth;trials_runs.mean_acc_2ndFourth;trials_runs.mean_acc_3rdFourth;trials_runs.mean_acc_4thFourth;nbCorrect;nbOmissions;nbIncorrect;participant;session;visual set [1-6];tactile set [1-3];trial structure [0-3 / 4-7];pairing [0-23];prob Feedback;date;expName;psychopyVersion;frameRate
;;;;91.3038782;None;t;71.6810689;91.3038782;None;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;CBC_1020;4;5;1;7;19;0.95;2023-06-28_16h55.43.253;MSI_TV_v3;01.01.2022;59.89272016
;;;;;;;;;;None;163.0083655;None;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;CBC_1020;4;5;1;7;19;0.95;2023-06-28_16h55.43.253;MSI_TV_v3;01.01.2022;59.89272016
0;0;0;0;;;;;;;;;;2;2;0;b;27;1;4.400172715;0.952147612;None;163.2230257;None;164.1564267;164.1564267;164.1731656;None;[];['b'];[0.5586590000002616];166.1606135;None;b;2.558659;1;1;1;None;170.6411269;None;170.6411269;None;;;;;;;;;;;;;;;;;;;;;;;;CBC_1020;4;5;1;7;19;0.95;2023-06-28_16h55.43.253;MSI_TV_v3;01.01.2022;59.89272016
1;0;1;0;;;;;;;;;;1;3;2;b;63;1;3.683710799;1.382898925;None;172.3732597;None;173.7401743;173.7401743;173.7567051;None;[];['b'];[0.4631589000000531];175.7601775;None;b;2.4631589;1;1;1;None;179.4318111;None;179.4318111;None;;;;;;;;;;;;;;;;;;;;;;;;CBC_1020;4;5;1;7;19;0.95;2023-06-28_16h55.43.253;MSI_TV_v3;01.01.2022;59.89272016
2;0;2;0;;;;;;;;;;3;1;0;z;63;1;2.433630701;1.275384627;None;181.2396989;None;182.4899656;182.4899656;182.5067095;None;[];['b'];[1.4533513000005769];184.5116114;None;b;3.4533513;0;0;0.666666667;None;186.9686727;None;186.9686727;None;;;;;;;;;;;;;;;;;;;;;;;;CBC_1020;4;5;1;7;19;0.95;2023-06-28_16h55.43.253;MSI_TV_v3;01.01.2022;59.89272016
3;0;3;0;;;;;;;;;;2;2;3;b;63;1;2.927313834;1.346688606;None;188.7569973;None;190.0899054;190.0899054;190.1065642;None;[];['b'];[0.35260120000020834];192.1123422;None;b;2.3526012;1;1;0.75;None;195.0444502;None;195.0444502;None;;;;;;;;;;;;;;;;;;;;;;;;CBC_1020;4;5;1;7;19;0.95;2023-06-28_16h55.43.253;MSI_TV_v3;01.01.2022;59.89272016
4;0;4;0;;;;;;;;;;3;0;2;b;27;1;4.52047235;2.098878705;None;196.8569207;None;198.9403131;198.9403131;198.9568445;None;[];['b'];[0.385939399999188];200.9389424;None;b;2.3859394;1;1;0.8;None;205.4638561;None;205.4638561;None;;;;;;;;;;;;;;;;;;;;;;;;CBC_1020;4;5;1;7;19;0.95;2023-06-28_16h55.43.253;MSI_TV_v3;01.01.2022;59.89272016
5;0;5;0;;;;;;;;;;1;2;3;z;63;1;4.017143546;1.532435503;None;207.2734615;None;208.7903243;208.7903243;208.8069001;None;[];['z'];[0.9740084999993996];210.7936902;None;z;2.9740085;1;1;0.833333333;None;214.8083118;None;214.8083118;None;;;;;;;;;;;;;;;;;;;;;;;;CBC_1020;4;5;1;7;19;0.95;2023-06-28_16h55.43.253;MSI_TV_v3;01.01.2022;59.89272016
6;0;6;0;;;;;;;;;;1;3;2;b;63;1;4.770344255;2.629910064;None;216.6236971;None;219.239939;219.239939;219.2565824;None;[];['b'];[0.5277643999997963];221.2580885;None;b;2.5277644;1;1;0.857142857;None;226.0258724;None;226.0258724;None;;;;;;;;;;;;;;;;;;;;;;;;CBC_1020;4;5;1;7;19;0.95;2023-06-28_16h55.43.253;MSI_TV_v3;01.01.2022;59.89272016
7;0;7;0;;;;;;;;;;0;3;1;z;27;1;2.823204082;2.104215073;None;227.8402492;None;229.9237379;229.9237379;229.9403729;None;[];['z'];[0.996384099998977];231.9271606;None;z;2.9963841;1;1;0.875;None;234.7539777;None;234.7539777;None;;;;;;;;;;;;;;;;;;;;;;;;CBC_1020;4;5;1;7;19;0.95;2023-06-28_16h55.43.253;MSI_TV_v3;01.01.2022;59.89272016
