trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.auditory_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,ImageLeft_4.started,ImageLeft_4.stopped,ImageRight_4.started,ImageRight_4.stopped,sound_4.started,sound_4.stopped,response_4.keys,response_4.started,response_4.stopped,response_5.keys,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,response_4.rt,response_5.rt,keys_3.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,audioPair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],audio set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
,,,,31.467394199999035,None,t,72.8296406999998,31.467394199999035,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1021,003,4,3,2,20,0.95,2023-07-18_16h15.57.561,MSI_AV_v3,2022.1.1,60.04606734347593,
,,,,,,,,,,None,104.32267209999918,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1021,003,4,3,2,20,0.95,2023-07-18_16h15.57.561,MSI_AV_v3,2022.1.1,60.04606734347593,
0,0,0,0,,,,,,,,,,3,1.0,0.0,z,63.0,1.0,2.517541937862754,2.96653053743745,None,104.52319820000048,None,107.58961429999908,None,107.58961429999908,None,107.58955938000145,None,None,107.58961429999908,None,None,109.48966839999957,None,[],[],0,3,0.0,112.01214640000035,None,None,112.01214640000035,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1021,003,4,3,2,20,0.95,2023-07-18_16h15.57.561,MSI_AV_v3,2022.1.1,60.04606734347593,
1,0,1,0,,,,,,,,,,0,2.0,3.0,b,63.0,1.0,4.61004669244928,1.53122835510861,None,113.80665980000049,None,115.38922439999988,None,115.38922439999988,None,115.38958775000083,None,['b'],115.38922439999988,None,None,117.35583170000064,None,b,1.4811659999995754,1,1,0.5,121.97926469999948,None,None,121.97926469999948,None,[1.4811659999995754],,,,,,,,,,,,,,,,,,,,,,,CBC_1021,003,4,3,2,20,0.95,2023-07-18_16h15.57.561,MSI_AV_v3,2022.1.1,60.04606734347593,
2,0,2,0,,,,,,,,,,3,2.0,0.0,z,27.0,1.0,2.666404967794728,3.4543169006169,None,123.79003550000016,None,127.25554139999986,None,127.25554139999986,None,127.2563544300001,None,None,127.25554139999986,None,['z'],129.23972590000085,None,z,2.234918199999811,1,1,0.6666666666666666,131.89306679999936,None,None,131.89306679999936,None,,[0.2349181999998109],,,,,,,,,,,,,,,,,,,,,,CBC_1021,003,4,3,2,20,0.95,2023-07-18_16h15.57.561,MSI_AV_v3,2022.1.1,60.04606734347593,
3,0,3,0,,,,,,,,,,1,0.0,1.0,z,63.0,1.0,4.77723667052879,0.77703640172831,None,133.70629960000042,None,134.51143459999912,None,134.51143459999912,None,134.52300775000094,None,None,134.51143459999912,None,['b'],136.4729814000002,None,b,2.280462999999145,0,0,0.5,141.23025629999938,None,None,141.23025629999938,None,,[0.2804629999991448],,,,,,,,,,,,,,,,,,,,,,CBC_1021,003,4,3,2,20,0.95,2023-07-18_16h15.57.561,MSI_AV_v3,2022.1.1,60.04606734347593,
4,0,4,0,,,,,,,,,,1,1.0,0.0,b,63.0,1.0,2.2759877950103027,3.24569326556923,None,143.0399383999993,None,146.28699659999984,None,146.28699659999984,None,146.2897257300001,None,['b'],146.28699659999984,None,None,148.28890019999926,None,b,1.884190500000841,1,1,0.6,150.5792246000001,None,None,150.5792246000001,None,[1.884190500000841],,,,,,,,,,,,,,,,,,,,,,,CBC_1021,003,4,3,2,20,0.95,2023-07-18_16h15.57.561,MSI_AV_v3,2022.1.1,60.04606734347593,
5,0,5,0,,,,,,,,,,0,2.0,3.0,b,63.0,1.0,4.52047235037039,1.21250262048173,None,152.38978879999922,None,153.6223757000007,None,153.6223757000007,None,153.62338043,None,['z'],153.6223757000007,None,None,155.6225895000007,None,z,1.7990279999994527,0,0,0.5,160.14490020000085,None,None,160.14490020000085,None,[1.7990279999994527],,,,,,,,,,,,,,,,,,,,,,,CBC_1021,003,4,3,2,20,0.95,2023-07-18_16h15.57.561,MSI_AV_v3,2022.1.1,60.04606734347593,
6,0,6,0,,,,,,,,,,2,1.0,3.0,z,27.0,1.0,4.82531807167306,3.40155979865722,None,161.9566364000002,None,165.39269819999936,None,165.39269819999936,None,165.38962723999975,None,['b'],165.39269819999936,None,None,167.37372549999964,None,b,1.8739203000004636,0,0,0.42857142857142855,172.21075390000078,None,None,172.21075390000078,None,[1.8739203000004636],,,,,,,,,,,,,,,,,,,,,,,CBC_1021,003,4,3,2,20,0.95,2023-07-18_16h15.57.561,MSI_AV_v3,2022.1.1,60.04606734347593,
7,0,7,0,,,,,,,,,,0,2.0,1.0,b,9.0,1.0,2.91303524001082,2.49839527409216,None,174.02319569999963,None,176.5387611999995,None,176.5387611999995,None,176.5398556299997,None,None,176.5387611999995,None,['z'],178.52304689999983,None,z,2.6121839999996155,0,0,0.375,181.41803210000035,None,None,181.41803210000035,None,,[0.6121839999996155],,,,,,,,,,,,,,,,,,,,,,CBC_1021,003,4,3,2,20,0.95,2023-07-18_16h15.57.561,MSI_AV_v3,2022.1.1,60.04606734347593,
