trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.auditory_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,ImageLeft_4.started,ImageLeft_4.stopped,ImageRight_4.started,ImageRight_4.stopped,sound_4.started,sound_4.stopped,response_4.keys,response_4.rt,response_4.started,response_4.stopped,response_5.keys,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,response_5.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,audioPair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],audio set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
,,,,54.11136220000026,None,t,69.47376180000083,54.11136220000026,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1021,001,5,2,1,20,0.95,2023-07-18_14h40.56.369,MSI_AV_v3,2022.1.1,60.01766920185575,
,,,,,,,,,,None,123.60541980000016,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1021,001,5,2,1,20,0.95,2023-07-18_14h40.56.369,MSI_AV_v3,2022.1.1,60.01766920185575,
0,0,0,0,,,,,,,,,,1,1,0,b,63,1,2.91303524001082,0.952147612306987,None,123.80549859999974,None,124.91505419999976,None,124.91505419999976,None,124.92276592000016,None,['z'],[1.4229511000003185],124.91505419999976,None,None,126.77634020000005,None,z,1.4229511000003185,0,0,0.0,129.71174400000018,None,None,129.71174400000018,None,,,,,,,,,,,,,,,,,,,,,,CBC_1021,001,5,2,1,20,0.95,2023-07-18_14h40.56.369,MSI_AV_v3,2022.1.1,60.01766920185575,
1,0,1,0,,,,,,,,,,2,3,2,b,63,1,3.35133458220192,3.1963008326951,None,131.5060870999996,None,134.76274410000042,None,134.76274410000042,None,134.77286457000002,None,None,,134.76274410000042,None,['b'],136.6893517999997,None,b,2.1793077000002086,1,1,0.5,140.02758929999982,None,None,140.02758929999982,None,[0.17930770000020857],,,,,,,,,,,,,,,,,,,,,CBC_1021,001,5,2,1,20,0.95,2023-07-18_14h40.56.369,MSI_AV_v3,2022.1.1,60.01766920185575,
2,0,2,0,,,,,,,,,,1,3,1,z,27,1,3.7500315165247198,0.979776149765883,None,141.8399204999996,None,142.82206179999957,None,142.82206179999957,None,142.82309162999982,None,None,,142.82206179999957,None,['b'],144.80646890000025,None,b,2.5933810000005906,0,0,0.3333333333333333,148.53819610000028,None,None,148.53819610000028,None,[0.5933810000005906],,,,,,,,,,,,,,,,,,,,,CBC_1021,001,5,2,1,20,0.95,2023-07-18_14h40.56.369,MSI_AV_v3,2022.1.1,60.01766920185575,
3,0,3,0,,,,,,,,,,0,2,3,b,63,1,3.26539063535182,2.40378712856304,None,150.34010560000024,None,152.79810139999972,None,152.79810139999972,None,152.8063129600003,None,None,,152.79810139999972,None,['b'],154.7400716000002,None,b,2.7353900000007343,1,1,0.5,158.00290229999973,None,None,158.00290229999973,None,[0.7353900000007343],,,,,,,,,,,,,,,,,,,,,CBC_1021,001,5,2,1,20,0.95,2023-07-18_14h40.56.369,MSI_AV_v3,2022.1.1,60.01766920185575,
4,0,4,0,,,,,,,,,,0,0,2,z,27,1,4.72585056748869,2.10421507306074,None,159.80654159999995,None,161.90509180000026,None,161.90509180000026,None,161.9054426199997,None,None,,161.90509180000026,None,['b'],163.88968529999966,None,b,2.245441199999732,0,0,0.4,168.59444879999955,None,None,168.59444879999955,None,[0.2454411999997319],,,,,,,,,,,,,,,,,,,,,CBC_1021,001,5,2,1,20,0.95,2023-07-18_14h40.56.369,MSI_AV_v3,2022.1.1,60.01766920185575,
5,0,5,0,,,,,,,,,,3,0,3,b,9,1,3.6438386551209,3.1424449555106,None,170.4067157999998,None,173.57438180000008,None,173.57438180000008,None,173.57318633999986,None,['b'],[1.8027225999994698],173.57438180000008,None,None,175.55708200000026,None,b,1.8027225999994698,1,1,0.5,179.21320170000035,None,None,179.21320170000035,None,,,,,,,,,,,,,,,,,,,,,,CBC_1021,001,5,2,1,20,0.95,2023-07-18_14h40.56.369,MSI_AV_v3,2022.1.1,60.01766920185575,
6,0,6,0,,,,,,,,,,0,2,3,b,63,1,2.792365600763554,1.43470440954152,None,181.02322100000038,None,182.45524850000038,None,182.45524850000038,None,182.45559391999961,None,None,,182.45524850000038,None,['b'],184.4399254,None,b,2.422278400000323,1,1,0.5714285714285714,187.2229116999997,None,None,187.2229116999997,None,[0.422278400000323],,,,,,,,,,,,,,,,,,,,,CBC_1021,001,5,2,1,20,0.95,2023-07-18_14h40.56.369,MSI_AV_v3,2022.1.1,60.01766920185575,
7,0,7,0,,,,,,,,,,3,1,0,z,63,1,2.82320408183943,1.53243550275999,None,189.02323309999974,None,190.57544990000042,None,190.57544990000042,None,190.57332923000004,None,None,,190.57544990000042,None,['z'],192.55552999999964,None,z,2.4022212999998374,1,1,0.625,195.37633189999997,None,None,195.37633189999997,None,[0.40222129999983736],,,,,,,,,,,,,,,,,,,,,CBC_1021,001,5,2,1,20,0.95,2023-07-18_14h40.56.369,MSI_AV_v3,2022.1.1,60.01766920185575,
