trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.auditory_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,ImageLeft_4.started,ImageLeft_4.stopped,ImageRight_4.started,ImageRight_4.stopped,sound_4.started,sound_4.stopped,response_4.keys,response_4.started,response_4.stopped,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,response_4.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,audioPair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],audio set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
,,,,35.53427430000011,None,t,57.79951349999919,35.53427430000011,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1022,002,4,1,0,21,0.95,2023-07-18_13h44.55.295,MSI_AV_v3,2022.1.1,59.923764986231205,
,,,,,,,,,,None,93.36075790000086,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1022,002,4,1,0,21,0.95,2023-07-18_13h44.55.295,MSI_AV_v3,2022.1.1,59.923764986231205,
0,0,0,0,,,,,,,,,,3,0,1,b,63,1,3.02234236141277,1.43470440954152,None,93.56081180000001,None,95.19995260000087,None,95.19995260000087,None,95.21025974999975,None,None,95.19995260000087,None,['z'],[0.37517919999936566],96.99375210000017,None,z,2.3751791999993657,0,0,0.0,100.01129270000001,None,None,100.01129270000001,None,,,,,,,,,,,,,,,,,,,,,,CBC_1022,002,4,1,0,21,0.95,2023-07-18_13h44.55.295,MSI_AV_v3,2022.1.1,59.923764986231205,
1,0,1,0,,,,,,,,,,2,2,3,b,63,1,4.77034425507967,1.95130344756745,None,101.81091130000004,None,103.84424200000012,None,103.84424200000012,None,103.84417348999995,None,None,103.84424200000012,None,['b'],[0.48816729999907693],105.76091950000045,None,b,2.488167299999077,1,1,0.5,110.51829370000087,None,None,110.51829370000087,None,,,,,,,,,,,,,,,,,,,,,,CBC_1022,002,4,1,0,21,0.95,2023-07-18_13h44.55.295,MSI_AV_v3,2022.1.1,59.923764986231205,
2,0,2,0,,,,,,,,,,3,2,0,z,27,1,4.77723667052879,0.77703640172831,None,112.32745070000055,None,113.11641950000012,None,113.11641950000012,None,113.12723078000035,None,None,113.11641950000012,None,['b'],[0.565379299999222],115.0939012000008,None,b,2.565379299999222,0,0,0.3333333333333333,119.8603750000002,None,None,119.8603750000002,None,,,,,,,,,,,,,,,,,,,,,,CBC_1022,002,4,1,0,21,0.95,2023-07-18_13h44.55.295,MSI_AV_v3,2022.1.1,59.923764986231205,
3,0,3,0,,,,,,,,,,1,0,1,z,63,1,2.526044641065533,0.761758675042088,None,121.66091490000053,None,122.47748310000043,None,122.47748310000043,None,122.47759864999989,None,None,122.47748310000043,None,['z'],[0.6163751999984015],124.4277174000008,None,z,2.6163751999984015,1,1,0.5,126.94715070000075,None,None,126.94715070000075,None,,,,,,,,,,,,,,,,,,,,,,CBC_1022,002,4,1,0,21,0.95,2023-07-18_13h44.55.295,MSI_AV_v3,2022.1.1,59.923764986231205,
4,0,4,0,,,,,,,,,,0,3,2,b,63,1,4.46924002178158,1.53243550275999,None,128.76106940000045,None,130.33984840000085,None,130.33984840000085,None,130.34398395000062,None,None,130.33984840000085,None,['b'],[0.22103229999902396],132.29407550000087,None,b,2.221032299999024,1,1,0.6,136.75244910000038,None,None,136.75244910000038,None,,,,,,,,,,,,,,,,,,,,,,CBC_1022,002,4,1,0,21,0.95,2023-07-18_13h44.55.295,MSI_AV_v3,2022.1.1,59.923764986231205,
5,0,5,0,,,,,,,,,,1,2,1,z,9,1,2.92731383428727,2.09887870490381,None,138.5610000000006,None,140.6833419000004,None,140.6833419000004,None,140.6943149800003,None,None,140.6833419000004,None,['z'],[0.5746273999993718],142.66098540000075,None,z,2.574627399999372,1,1,0.6666666666666666,145.5848072000008,None,None,145.5848072000008,None,,,,,,,,,,,,,,,,,,,,,,CBC_1022,002,4,1,0,21,0.95,2023-07-18_13h44.55.295,MSI_AV_v3,2022.1.1,59.923764986231205,
6,0,6,0,,,,,,,,,,0,3,1,b,27,1,4.72585056748869,2.49839527409216,None,147.3941515000006,None,149.91206900000088,None,149.91206900000088,None,149.9106365100004,None,None,149.91206900000088,None,['b'],[0.5777348999999958],151.89407120000033,None,b,2.577734899999996,1,1,0.7142857142857143,156.5990623000007,None,None,156.5990623000007,None,,,,,,,,,,,,,,,,,,,,,,CBC_1022,002,4,1,0,21,0.95,2023-07-18_13h44.55.295,MSI_AV_v3,2022.1.1,59.923764986231205,
7,0,7,0,,,,,,,,,,3,0,1,b,63,1,2.2759877950103027,2.78346932462847,None,158.41087960000004,None,161.21650220000083,None,161.21650220000083,None,161.2273647800006,None,None,161.21650220000083,None,['z'],[0.3750388999997085],163.19406080000044,None,z,2.3750388999997085,0,0,0.625,165.4494869,None,None,165.4494869,None,,,,,,,,,,,,,,,,,,,,,,CBC_1022,002,4,1,0,21,0.95,2023-07-18_13h44.55.295,MSI_AV_v3,2022.1.1,59.923764986231205,
