trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.auditory_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,ImageLeft_4.started,ImageLeft_4.stopped,ImageRight_4.started,ImageRight_4.stopped,sound_4.started,sound_4.stopped,response_4.keys,response_4.started,response_4.stopped,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,response_4.rt,keys_3.rt,keys_6.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,audioPair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],audio set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
,,,,18.976841700001387,None,t,61.28132509999887,18.976841700001387,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1026,4,1,3,6,1,0.95,2023-07-20_13h03.59.061,MSI_AV_v3,2022.1.1,60.04293069578279,
,,,,,,,,,,None,80.2782360000001,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1026,4,1,3,6,1,0.95,2023-07-20_13h03.59.061,MSI_AV_v3,2022.1.1,60.04293069578279,
0,0,0,0,,,,,,,,,,0,0.0,1.0,b,63.0,1.0,2.92731383428727,1.90743690794447,None,80.47822410000117,None,82.47637610000129,None,82.47637610000129,None,82.47783861999996,None,None,82.47637610000129,None,['z'],[0.5232943999999407],84.3778510000011,None,z,2.5232943999999407,0,0,0.0,87.31801900000028,None,None,87.31801900000028,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1026,4,1,3,6,1,0.95,2023-07-20_13h03.59.061,MSI_AV_v3,2022.1.1,60.04293069578279,
1,0,1,0,,,,,,,,,,3,3.0,2.0,z,63.0,1.0,4.77034425507967,1.18065738546375,None,89.12799890000133,None,90.33601610000005,None,90.33601610000005,None,90.34467065999998,None,None,90.33601610000005,None,['z'],[0.9778879000004963],92.31155000000035,None,z,2.9778879000004963,1,1,0.5,97.0631484000005,None,None,97.0631484000005,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1026,4,1,3,6,1,0.95,2023-07-20_13h03.59.061,MSI_AV_v3,2022.1.1,60.04293069578279,
2,0,2,0,,,,,,,,,,0,0.0,2.0,b,27.0,1.0,2.7134565917469198,2.09887870490381,None,98.87835480000103,None,101.00143510000089,None,101.00143510000089,None,101.01202096000016,None,None,101.00143510000089,None,['b'],[0.580331600000136],102.9777522000004,None,b,2.580331600000136,1,1,0.6666666666666666,105.67362800000046,None,None,105.67362800000046,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1026,4,1,3,6,1,0.95,2023-07-20_13h03.59.061,MSI_AV_v3,2022.1.1,60.04293069578279,
3,0,3,0,,,,,,,,,,1,1.0,0.0,b,63.0,1.0,4.40017271499661,1.1243895841892,None,107.47827240000152,None,108.63162200000079,None,108.63162200000079,None,108.62925106000075,None,None,108.63162200000079,None,['z'],[0.8131030999993527],110.59420130000035,None,z,2.8131030999993527,0,0,0.5,114.98230409999996,None,None,114.98230409999996,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1026,4,1,3,6,1,0.95,2023-07-20_13h03.59.061,MSI_AV_v3,2022.1.1,60.04293069578279,
4,0,4,0,,,,,,,,,,1,0.0,1.0,z,63.0,1.0,2.526044641065533,2.15533949826702,None,116.79524860000129,None,118.96755060000032,None,118.96755060000032,None,118.97863896000054,None,None,118.96755060000032,None,['z'],[1.1404244000004837],120.94448040000134,None,z,3.1404244000004837,1,1,0.6,123.4488652,None,None,123.4488652,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1026,4,1,3,6,1,0.95,2023-07-20_13h03.59.061,MSI_AV_v3,2022.1.1,60.04293069578279,
5,0,5,0,,,,,,,,,,3,3.0,2.0,z,63.0,1.0,4.190022164497369,0.761758675042088,None,125.26172970000152,None,126.01945090000117,None,126.01945090000117,None,126.0280359200009,None,None,126.01945090000117,None,['b'],[0.9937093000007735],128.0117525000005,None,b,2.9937093000007735,0,0,0.5,132.19592190000003,None,None,132.19592190000003,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1026,4,1,3,6,1,0.95,2023-07-20_13h03.59.061,MSI_AV_v3,2022.1.1,60.04293069578279,
6,0,6,0,,,,,,,,,,2,3.0,1.0,b,27.0,1.0,4.82531807167306,3.4543169006169,None,134.01160850000088,None,137.49982570000066,None,137.49982570000066,None,137.49537945999984,None,None,137.49982570000066,None,['b'],[0.698767100000623],139.46176370000103,None,b,2.698767100000623,1,1,0.5714285714285714,144.26987480000025,None,None,144.26987480000025,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1026,4,1,3,6,1,0.95,2023-07-20_13h03.59.061,MSI_AV_v3,2022.1.1,60.04293069578279,
7,0,7,0,,,,,,,,,,3,1.0,2.0,z,9.0,1.0,2.666404967794728,1.12425433982333,None,146.0782880000006,None,147.21776180000052,None,147.21776180000052,None,147.22871555999993,None,None,147.21776180000052,None,['b'],[0.8699512999992294],149.19443430000138,None,b,2.8699512999992294,0,0,0.5,151.850009400001,None,None,151.850009400001,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1026,4,1,3,6,1,0.95,2023-07-20_13h03.59.061,MSI_AV_v3,2022.1.1,60.04293069578279,
