trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.auditory_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,ImageLeft_4.started,ImageLeft_4.stopped,ImageRight_4.started,ImageRight_4.stopped,sound_4.started,sound_4.stopped,response_4.keys,response_4.started,response_4.stopped,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,response_4.rt,keys_6.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,audioPair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],audio set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
,,,,23.079689399999552,None,t,70.18757729999925,23.079689399999552,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1026,2,3,2,4,1,0.95,2023-07-20_11h56.22.418,MSI_AV_v3,2022.1.1,60.023108896778204,
,,,,,,,,,,None,93.29013269999996,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1026,2,3,2,4,1,0.95,2023-07-20_11h56.22.418,MSI_AV_v3,2022.1.1,60.023108896778204,
0,0,0,0,,,,,,,,,,0,1,0,z,63,1,3.35133458220192,1.90743690794447,None,93.49109279999993,None,95.5338284999998,None,95.5338284999998,None,95.54069766000002,None,None,95.5338284999998,None,['z'],[0.8144179000000804],97.39135019999958,None,z,2.8144179000000804,1,1,1.0,100.75339079999958,None,None,100.75339079999958,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1026,2,3,2,4,1,0.95,2023-07-20_11h56.22.418,MSI_AV_v3,2022.1.1,60.023108896778204,
1,0,1,0,,,,,,,,,,3,3,2,z,63,1,4.82531807167306,1.27538462653558,None,102.55789989999994,None,103.89322600000014,None,103.89322600000014,None,103.89084655999959,None,None,103.89322600000014,None,['b'],[0.6329963999996835],105.82407820000026,None,b,2.6329963999996835,0,0,0.5,110.63567590000002,None,None,110.63567590000002,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1026,2,3,2,4,1,0.95,2023-07-20_11h56.22.418,MSI_AV_v3,2022.1.1,60.023108896778204,
2,0,2,0,,,,,,,,,,0,0,2,b,27,1,4.46924002178158,1.12425433982333,None,112.44114910000008,None,113.55887239999993,None,113.55887239999993,None,113.5567024199996,None,None,113.55887239999993,None,['b'],[0.46179169999959413],115.54108649999944,None,b,2.461791699999594,1,1,0.6666666666666666,120.00832579999951,None,None,120.00832579999951,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1026,2,3,2,4,1,0.95,2023-07-20_11h56.22.418,MSI_AV_v3,2022.1.1,60.023108896778204,
3,0,3,0,,,,,,,,,,1,1,0,b,63,1,4.01714354611405,2.6299100644723,None,121.80846980000024,None,124.4740597,None,124.4740597,None,124.47485763999994,None,None,124.4740597,None,['b'],[0.656614499999705],126.44050150000021,None,b,2.656614499999705,1,1,0.75,130.44594229999984,None,None,130.44594229999984,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1026,2,3,2,4,1,0.95,2023-07-20_11h56.22.418,MSI_AV_v3,2022.1.1,60.023108896778204,
4,0,4,0,,,,,,,,,,2,2,3,z,63,1,2.6391747348430608,1.18065738546375,None,132.25817970000026,None,133.47712909999973,None,133.47712909999973,None,133.47500684000008,None,['z'],133.47712909999973,None,None,,135.45564579999973,None,z,1.7466152999995757,1,1,0.8,138.09832019999976,None,None,138.09832019999976,None,[1.7466152999995757],,,,,,,,,,,,,,,,,,,,,,CBC_1026,2,3,2,4,1,0.95,2023-07-20_11h56.22.418,MSI_AV_v3,2022.1.1,60.023108896778204,
5,0,5,0,,,,,,,,,,1,1,2,b,9,1,3.68371079902891,1.1243895841892,None,139.90800370000034,None,141.04606160000003,None,141.04606160000003,None,141.05808264000026,None,None,141.04606160000003,None,['b'],[0.8027563999994527],143.02474059999986,None,b,2.8027563999994527,1,1,0.8333333333333334,146.71289389999947,None,None,146.71289389999947,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1026,2,3,2,4,1,0.95,2023-07-20_11h56.22.418,MSI_AV_v3,2022.1.1,60.023108896778204,
6,0,6,0,,,,,,,,,,2,1,3,z,27,1,3.6438386551209,2.78346932462847,None,148.5246427000002,None,151.33022919999985,None,151.33022919999985,None,151.34145413999997,None,['z'],151.33022919999985,None,None,,153.32556019999993,None,z,1.5607376999996632,1,1,0.8571428571428571,156.97425509999994,None,None,156.97425509999994,None,[1.5607376999996632],,,,,,,,,,,,,,,,,,,,,,CBC_1026,2,3,2,4,1,0.95,2023-07-20_11h56.22.418,MSI_AV_v3,2022.1.1,60.023108896778204,
7,0,7,0,,,,,,,,,,0,1,0,z,63,1,3.02234236141277,2.10421507306074,None,158.7748332000001,None,160.89556119999997,None,160.89556119999997,None,160.89132838000015,None,None,160.89556119999997,None,['b'],[1.5338929999998072],162.87489279999954,None,b,3.533892999999807,0,0,0.75,165.8923592000001,None,None,165.8923592000001,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1026,2,3,2,4,1,0.95,2023-07-20_11h56.22.418,MSI_AV_v3,2022.1.1,60.023108896778204,
8,0,8,0,,,,,,,,,,0,0,1,b,63,1,2.526044641065533,1.38289892513751,None,167.6916283999999,None,169.0963482999996,None,169.0963482999996,None,169.10807443999985,None,None,169.0963482999996,None,['z'],[0.5283083999993323],171.07499129999997,None,z,2.5283083999993323,0,0,0.6666666666666666,173.59829249999984,None,None,173.59829249999984,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1026,2,3,2,4,1,0.95,2023-07-20_11h56.22.418,MSI_AV_v3,2022.1.1,60.023108896778204,
9,0,9,0,,,,,,,,,,3,2,0,b,27,1,4.77034425507967,0.917519910446003,None,175.40884800000003,None,176.34807829999954,None,176.34807829999954,None,176.35838264000014,None,None,176.34807829999954,None,['z'],[2.2093417999994927],178.3250898999995,None,z,4.209341799999493,0,0,0.6,183.0798765999998,None,None,183.0798765999998,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1026,2,3,2,4,1,0.95,2023-07-20_11h56.22.418,MSI_AV_v3,2022.1.1,60.023108896778204,
10,0,10,0,,,,,,,,,,1,0,1,z,63,1,4.61004669244928,1.53243550275999,None,184.89151149999998,None,186.44539149999946,None,186.44539149999946,None,186.44188127999942,None,None,186.44539149999946,None,['b'],[0.9711315000004106],188.4248408000003,None,b,2.9711315000004106,0,0,0.5454545454545454,193.01627120000012,None,None,193.01627120000012,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1026,2,3,2,4,1,0.95,2023-07-20_11h56.22.418,MSI_AV_v3,2022.1.1,60.023108896778204,
11,0,11,0,,,,,,,,,,0,0,1,b,63,1,4.40017271499661,2.22427187882546,None,194.82502039999963,None,197.06220089999988,None,197.06220089999988,None,197.05827717999992,None,None,197.06220089999988,None,['z'],[0.3164296999993894],199.04187189999993,None,z,2.3164296999993894,0,0,0.5,203.42385920000015,None,None,203.42385920000015,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1026,2,3,2,4,1,0.95,2023-07-20_11h56.22.418,MSI_AV_v3,2022.1.1,60.023108896778204,
