trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.tactile_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,image_stim_left.started,image_stim_right.started,tactile.started,response_4.keys,allKeys.keys,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.stopped,feedback_6.started,keys_6.keys,keys_6.started,keys_6.stopped,keys_6.rt,keys_3.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,tactilePair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],tactile set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
,,,,35.89196540000012,None,t,106.63714529999925,35.89196540000012,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1026,001,6,1,7,1,0.95,2023-07-20_11h47.13.772,MSI_TV_v3,2022.1.1,60.248658262151764,
,,,,,,,,,,None,142.55099830000017,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1026,001,6,1,7,1,0.95,2023-07-20_11h47.13.772,MSI_TV_v3,2022.1.1,60.248658262151764,
0,0,0,0,,,,,,,,,,3,2.0,0.0,b,27.0,1.0,4.77723667052879,2.10421507306074,None,142.75132550000035,None,144.83471443000016,144.83471443000016,144.85121812999986,None,[],['z'],[0.812582300000031],146.8380962000001,None,z,2.812582300000031,0,0,0.0,None,151.62220679999973,None,151.62220679999973,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1026,001,6,1,7,1,0.95,2023-07-20_11h47.13.772,MSI_TV_v3,2022.1.1,60.248658262151764,
1,0,1,0,,,,,,,,,,2,3.0,2.0,b,63.0,1.0,3.73326136168326,1.94858485820231,None,153.41768030000003,None,155.35089023000054,155.35089023000054,155.36753153000026,None,[],['z'],[1.512695999999778],157.3558780000003,None,z,3.512695999999778,0,0,0.0,None,161.09178330000032,None,161.09178330000032,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1026,001,6,1,7,1,0.95,2023-07-20_11h47.13.772,MSI_TV_v3,2022.1.1,60.248658262151764,
2,0,2,0,,,,,,,,,,0,1.0,0.0,z,63.0,1.0,2.592312596923728,2.6299100644723,None,162.9014775000005,None,165.51817073000038,165.51817073000038,165.53423303000054,None,[],['b'],[1.115698299999167],167.52106640000056,None,b,3.115698299999167,0,0,0.0,None,170.10582560000057,None,170.10582560000057,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1026,001,6,1,7,1,0.95,2023-07-20_11h47.13.772,MSI_TV_v3,2022.1.1,60.248658262151764,
3,0,3,0,,,,,,,,,,3,2.0,3.0,b,63.0,1.0,2.678526077912375,1.52290599571961,None,171.91778570000042,None,173.41770543000038,173.41770543000038,173.4343278299999,None,[],['b'],[0.5440865999999005],175.42211810000026,None,b,2.5440865999999005,1,1,0.25,None,178.08702940000057,None,178.08702940000057,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1026,001,6,1,7,1,0.95,2023-07-20_11h47.13.772,MSI_TV_v3,2022.1.1,60.248658262151764,
4,0,4,0,,,,,,,,,,0,0.0,2.0,b,27.0,1.0,4.72585056748869,1.53243550275999,None,179.90135699999973,None,181.41767833000048,181.41767833000048,181.4342564300001,None,[],['b'],[1.4539977999993425],183.42252389999976,None,b,3.4539977999993425,1,1,0.4,None,188.13416940000025,None,188.13416940000025,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1026,001,6,1,7,1,0.95,2023-07-20_11h47.13.772,MSI_TV_v3,2022.1.1,60.248658262151764,
5,0,5,0,,,,,,,,,,2,2.0,3.0,z,63.0,1.0,2.526044641065533,1.78643585472448,None,189.93468250000024,None,191.70112992999984,191.70112992999984,191.71820093000005,None,[],['z'],[1.8861708999993425],193.7081331999998,None,z,3.8861708999993425,1,1,0.5,None,196.23486090000006,None,196.23486090000006,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1026,001,6,1,7,1,0.95,2023-07-20_11h47.13.772,MSI_TV_v3,2022.1.1,60.248658262151764,
6,0,6,0,,,,,,,,,,2,3.0,2.0,b,63.0,1.0,3.76873691643126,0.917519910446003,None,198.03472469999997,None,198.93477543000026,198.93477543000026,198.95144433000004,None,[],['b'],[0.6930616999998165],200.93705620000037,None,b,2.6930616999998165,1,1,0.5714285714285714,None,204.70209140000043,None,204.70209140000043,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1026,001,6,1,7,1,0.95,2023-07-20_11h47.13.772,MSI_TV_v3,2022.1.1,60.248658262151764,
7,0,7,0,,,,,,,,,,1,3.0,1.0,z,27.0,1.0,2.342239579230602,0.979776149765883,None,206.50180780000028,None,207.46713473000054,207.46713473000054,207.48392072999977,None,[],['z'],[0.6437395000002653],209.46313770000052,None,z,2.6437395000002653,1,1,0.625,None,211.81397519999973,None,211.81397519999973,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1026,001,6,1,7,1,0.95,2023-07-20_11h47.13.772,MSI_TV_v3,2022.1.1,60.248658262151764,
8,0,8,0,,,,,,,,,,2,0.0,3.0,z,9.0,1.0,2.82320408183943,2.40378712856304,None,213.61786630000006,None,216.00150693000032,216.00150693000032,216.0183231300003,None,[],['z'],[0.6662335999999414],218.0048224000002,None,z,2.6662335999999414,1,1,0.6666666666666666,None,220.81506960000024,None,220.81506960000024,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1026,001,6,1,7,1,0.95,2023-07-20_11h47.13.772,MSI_TV_v3,2022.1.1,60.248658262151764,
9,0,9,0,,,,,,,,,,1,1.0,0.0,b,63.0,1.0,4.77034425507967,1.34668860557497,None,222.61718680000013,None,223.9348848300002,223.9348848300002,223.95155932999987,None,[],['b'],[0.928023899999971],225.9391028,None,b,2.928023899999971,1,1,0.7,None,230.70711260000007,None,230.70711260000007,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1026,001,6,1,7,1,0.95,2023-07-20_11h47.13.772,MSI_TV_v3,2022.1.1,60.248658262151764,
10,0,10,0,,,,,,,,,,0,1.0,0.0,z,63.0,1.0,3.6438386551209,1.53122835510861,None,232.5179177,None,234.03491133000043,234.03491133000043,234.05171033000042,None,[],['b'],[0.7977442999999766],236.0389180000002,None,b,2.7977442999999766,0,0,0.6363636363636364,None,239.679435,None,239.679435,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1026,001,6,1,7,1,0.95,2023-07-20_11h47.13.772,MSI_TV_v3,2022.1.1,60.248658262151764,
11,0,11,0,,,,,,,,,,1,0.0,1.0,z,63.0,1.0,4.82531807167306,3.4543169006169,None,241.48466199999984,None,244.91836363000002,244.91836363000002,244.9349527299997,None,[],['z'],[0.8726943999990908],246.9216247000004,None,z,2.872694399999091,1,1,0.6666666666666666,None,251.74636610000016,None,251.74636610000016,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1026,001,6,1,7,1,0.95,2023-07-20_11h47.13.772,MSI_TV_v3,2022.1.1,60.248658262151764,
12,0,12,0,,,,,,,,,,2,2.0,3.0,z,63.0,1.0,3.02234236141277,1.43470440954152,None,253.55125110000063,None,254.96850142999992,254.96850142999992,254.9848957300006,None,[],['b'],[0.8599892000002001],256.9733604000003,None,b,2.8599892000002,0,0,0.6153846153846154,None,259.9853797000005,None,259.9853797000005,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1026,001,6,1,7,1,0.95,2023-07-20_11h47.13.772,MSI_TV_v3,2022.1.1,60.248658262151764,
13,0,13,0,,,,,,,,,,1,1.0,3.0,b,27.0,1.0,2.693348633324513,0.80788063606262,None,261.7848588000006,None,262.56856063,262.56856063,262.5847168300003,None,[],['z'],[0.6143801999996867],264.5715147000001,None,z,2.6143801999996867,0,0,0.5714285714285714,None,267.25228609999976,None,267.25228609999976,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1026,001,6,1,7,1,0.95,2023-07-20_11h47.13.772,MSI_TV_v3,2022.1.1,60.248658262151764,
14,0,14,0,,,,,,,,,,3,3.0,2.0,z,63.0,1.0,2.629554641171433,1.60731937853708,None,269.05180610000025,None,270.6347442299999,270.6347442299999,270.6514124299998,None,[],['b'],[1.0306291999995665],272.6383603000004,None,b,3.0306291999995665,0,0,0.5333333333333333,None,275.2557069000004,None,275.2557069000004,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1026,001,6,1,7,1,0.95,2023-07-20_11h47.13.772,MSI_TV_v3,2022.1.1,60.248658262151764,
15,0,15,0,,,,,,,,,,3,2.0,0.0,b,27.0,1.0,2.2759877950103027,1.18065738546375,None,277.0683396000004,None,278.2351321299999,278.2351321299999,278.2516962300002,None,[],['b'],[0.8973273999990852],280.2404553000006,None,b,2.897327399999085,1,1,0.5625,None,282.51573759999974,None,282.51573759999974,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1026,001,6,1,7,1,0.95,2023-07-20_11h47.13.772,MSI_TV_v3,2022.1.1,60.248658262151764,
16,0,16,0,,,,,,,,,,0,0.0,3.0,b,9.0,1.0,2.433630701072358,3.24569326556923,None,284.31836530000055,None,287.55151652999996,287.55151652999996,287.5681358300004,None,[],None,,289.5538720000004,None,None,[],0,3,0.5294117647058824,None,291.97751289999997,None,291.97751289999997,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1026,001,6,1,7,1,0.95,2023-07-20_11h47.13.772,MSI_TV_v3,2022.1.1,60.248658262151764,
17,0,17,0,,,,,,,,,,3,2.0,3.0,b,63.0,0.0,4.52047235037039,2.78346932462847,None,293.7850122,None,296.5514168300002,296.5514168300002,296.56797493000033,None,[],['z'],[0.473823899999843],298.5550570000005,None,z,2.473823899999843,0,1,0.5,None,303.08069330000035,None,303.08069330000035,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1026,001,6,1,7,1,0.95,2023-07-20_11h47.13.772,MSI_TV_v3,2022.1.1,60.248658262151764,
18,0,18,0,,,,,,,,,,0,1.0,0.0,z,63.0,1.0,3.31929419319838,1.95130344756745,None,304.8850954999998,None,306.8182877300002,306.8182877300002,306.8348727300005,None,[],['b'],[0.9549275999997917],308.8230832999998,None,b,2.9549275999997917,0,0,0.47368421052631576,None,312.13556419999986,None,312.13556419999986,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1026,001,6,1,7,1,0.95,2023-07-20_11h47.13.772,MSI_TV_v3,2022.1.1,60.248658262151764,
19,0,19,0,,,,,,,,,,2,3.0,2.0,b,63.0,1.0,3.26539063535182,3.40155979865722,None,313.93483600000036,None,317.3187236300006,317.3187236300006,317.3354830300001,None,[],['z'],[0.8538527000000613],319.3239088,None,z,2.8538527000000613,0,0,0.45,None,322.5898365000003,None,322.5898365000003,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1026,001,6,1,7,1,0.95,2023-07-20_11h47.13.772,MSI_TV_v3,2022.1.1,60.248658262151764,
20,0,20,0,,,,,,,,,,3,3.0,2.0,z,63.0,1.0,2.666404967794728,0.974903167432984,None,324.40235720000055,None,325.3520690299998,325.3520690299998,325.3686846300003,None,[],['z'],[0.8594338999992033],327.35655020000013,None,z,2.8594338999992033,1,1,0.47619047619047616,None,330.01548079999975,None,330.01548079999975,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1026,001,6,1,7,1,0.95,2023-07-20_11h47.13.772,MSI_TV_v3,2022.1.1,60.248658262151764,
21,0,21,0,,,,,,,,,,2,3.0,1.0,b,27.0,1.0,3.35133458220192,1.36309078069689,None,331.81830940000054,None,333.1686433299998,333.1686433299998,333.1853126299999,None,[],['b'],[1.5219507999991038],335.1732681000003,None,b,3.5219507999991038,1,1,0.5,None,338.52386769999976,None,338.52386769999976,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1026,001,6,1,7,1,0.95,2023-07-20_11h47.13.772,MSI_TV_v3,2022.1.1,60.248658262151764,
22,0,22,0,,,,,,,,,,0,0.0,1.0,b,63.0,1.0,2.517541937862754,0.952147612306987,None,340.33524790000047,None,341.2685698299998,341.2685698299998,341.2852706300006,None,[],['b'],[1.3825823999995919],343.2733745000005,None,b,3.382582399999592,1,1,0.5217391304347826,None,345.77988970000024,None,345.77988970000024,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1026,001,6,1,7,1,0.95,2023-07-20_11h47.13.772,MSI_TV_v3,2022.1.1,60.248658262151764,
23,0,23,0,,,,,,,,,,3,3.0,2.0,z,63.0,1.0,2.91303524001082,2.09887870490381,None,347.5851896000004,None,349.66846983000016,349.66846983000016,349.6859739300004,None,[],['b'],[0.6646558999991612],351.67523210000036,None,b,2.664655899999161,0,0,0.5,None,354.59287140000015,None,354.59287140000015,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1026,001,6,1,7,1,0.95,2023-07-20_11h47.13.772,MSI_TV_v3,2022.1.1,60.248658262151764,
24,0,24,0,,,,,,,,,,0,0.0,2.0,b,27.0,1.0,4.7533305109883095,1.21250262048173,None,356.40220539999973,None,357.60175283000046,357.60175283000046,357.6184199300002,None,[],['z'],[1.194983599999432],359.60493620000034,None,z,3.194983599999432,0,0,0.48,None,364.3485566999998,None,364.3485566999998,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1026,001,6,1,7,1,0.95,2023-07-20_11h47.13.772,MSI_TV_v3,2022.1.1,60.248658262151764,
25,0,25,0,,,,,,,,,,1,1.0,0.0,b,63.0,1.0,3.3728785608729996,1.90743690794447,None,366.1521388000001,None,368.0352837300003,368.0352837300003,368.05190563000053,None,[],['z'],[1.2679551999990508],370.0403554000004,None,z,3.267955199999051,0,0,0.46153846153846156,None,373.4056334000006,None,373.4056334000006,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1026,001,6,1,7,1,0.95,2023-07-20_11h47.13.772,MSI_TV_v3,2022.1.1,60.248658262151764,
26,0,26,0,,,,,,,,,,1,0.0,1.0,z,63.0,1.0,4.46924002178158,2.15533949826702,None,375.2188635000002,None,377.35245172999987,377.35245172999987,377.36875653000027,None,[],['b'],[0.8490894999995362],379.3591333000004,None,b,2.849089499999536,0,0,0.4444444444444444,None,383.8215688999999,None,383.8215688999999,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1026,001,6,1,7,1,0.95,2023-07-20_11h47.13.772,MSI_TV_v3,2022.1.1,60.248658262151764,
27,0,27,0,,,,,,,,,,3,3.0,2.0,z,63.0,1.0,3.71372710086949,1.12425433982333,None,385.63523950000035,None,386.73534042999984,386.73534042999984,386.75172753000027,None,[],['b'],[1.553365599999779],388.7397109000003,None,b,3.553365599999779,0,0,0.42857142857142855,None,392.45066700000007,None,392.45066700000007,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1026,001,6,1,7,1,0.95,2023-07-20_11h47.13.772,MSI_TV_v3,2022.1.1,60.248658262151764,
28,0,28,0,,,,,,,,,,2,3.0,1.0,b,27.0,1.0,2.92731383428727,1.64421109900286,None,394.25222980000035,None,395.86861233,395.86861233,395.8854657300004,None,[],['b'],[0.48126009999941743],397.87463519999983,None,b,2.4812600999994174,1,1,0.4482758620689655,None,400.8084826000004,None,400.8084826000004,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1026,001,6,1,7,1,0.95,2023-07-20_11h47.13.772,MSI_TV_v3,2022.1.1,60.248658262151764,
29,0,29,0,,,,,,,,,,3,1.0,2.0,z,9.0,1.0,2.7134565917469198,1.25817747924478,None,402.6190108999999,None,403.85204512999974,403.85204512999974,403.8686253299999,None,[],['b'],[0.7179136999993716],405.8552466000001,None,b,2.7179136999993716,0,0,0.43333333333333335,None,408.5562028000004,None,408.5562028000004,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1026,001,6,1,7,1,0.95,2023-07-20_11h47.13.772,MSI_TV_v3,2022.1.1,60.248658262151764,
30,0,30,0,,,,,,,,,,1,3.0,1.0,z,27.0,1.0,4.11514536789087,2.49839527409216,None,410.3690273000002,None,412.8528134300001,412.8528134300001,412.86881332999985,None,[],['b'],[0.015480399999432848],414.8573014000003,None,b,2.015480399999433,0,0,0.41935483870967744,None,418.9562581,None,418.9562581,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1026,001,6,1,7,1,0.95,2023-07-20_11h47.13.772,MSI_TV_v3,2022.1.1,60.248658262151764,
31,0,31,0,,,,,,,,,,2,3.0,2.0,b,63.0,1.0,4.12485271162806,1.27538462653558,None,420.76868790000026,None,422.0187817299999,422.0187817299999,422.03578853000056,None,[],['z'],[1.0477068999998664],424.0238565999998,None,z,3.0477068999998664,0,0,0.40625,None,428.1499244000006,None,428.1499244000006,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1026,001,6,1,7,1,0.95,2023-07-20_11h47.13.772,MSI_TV_v3,2022.1.1,60.248658262151764,
