trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.auditory_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,ImageLeft_4.started,ImageLeft_4.stopped,ImageRight_4.started,ImageRight_4.stopped,sound_4.started,sound_4.stopped,response_4.keys,response_4.started,response_4.stopped,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,response_4.rt,keys_3.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,audioPair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],audio set [1-3 / 4-6],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
,,,,136.59292239999922,None,t,66.93686980000166,136.59292239999922,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1031,001,1,1,6,4,0.95,2023-10-20_10h25.09.885,MSI_AV_v3,2022.1.1,59.99948400421923,
,,,,,,,,,,None,203.5622996000002,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1031,001,1,1,6,4,0.95,2023-10-20_10h25.09.885,MSI_AV_v3,2022.1.1,59.99948400421923,
0,0,0,0,,,,,,,,,,0,0.0,1.0,b,63.0,1.0,2.342239579230602,0.761758675042088,None,203.76343669999915,None,204.59779530000014,None,204.59779530000014,None,204.59652470999947,None,None,204.59779530000014,None,['b'],[0.23747240000193415],206.5131894999995,None,b,2.237472400001934,1,1,1.0,208.8587590999996,None,None,208.8587590999996,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1031,001,1,1,6,4,0.95,2023-10-20_10h25.09.885,MSI_AV_v3,2022.1.1,59.99948400421923,
1,0,1,0,,,,,,,,,,1,3.0,2.0,z,63.0,1.0,2.693348633324513,1.43470440954152,None,210.6631744999995,None,212.14808540000013,None,212.14808540000013,None,212.14662654999984,None,['z'],212.14808540000013,None,None,,214.11693170000035,None,z,1.3221288999993703,1,1,1.0,216.819470299999,None,None,216.819470299999,None,[1.3221288999993703],,,,,,,,,,,,,,,,,,,,,,CBC_1031,001,1,1,6,4,0.95,2023-10-20_10h25.09.885,MSI_AV_v3,2022.1.1,59.99948400421923,
2,0,2,0,,,,,,,,,,0,0.0,2.0,b,27.0,1.0,4.40017271499661,0.77703640172831,None,218.62918929999978,None,219.42126520000056,None,219.42126520000056,None,219.43000461999983,None,['b'],219.42126520000056,None,None,,221.39729260000058,None,b,1.8118890000005194,1,1,1.0,225.80375689999892,None,None,225.80375689999892,None,[1.8118890000005194],,,,,,,,,,,,,,,,,,,,,,CBC_1031,001,1,1,6,4,0.95,2023-10-20_10h25.09.885,MSI_AV_v3,2022.1.1,59.99948400421923,
3,0,3,0,,,,,,,,,,3,1.0,0.0,b,63.0,1.0,4.7533305109883095,1.64421109900286,None,227.61333079999895,None,229.2562994,None,229.2562994,None,229.26229668999886,None,None,229.2562994,None,['z'],[1.1904013000003033],231.22993420000057,None,z,3.1904013000003033,0,0,0.75,235.98155509999924,None,None,235.98155509999924,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1031,001,1,1,6,4,0.95,2023-10-20_10h25.09.885,MSI_AV_v3,2022.1.1,59.99948400421923,
4,0,4,0,,,,,,,,,,3,0.0,1.0,z,63.0,1.0,4.46924002178158,2.6299100644723,None,237.7966952000006,None,240.4531275999998,None,240.4531275999998,None,240.46336861999882,None,None,240.4531275999998,None,['b'],[0.06485919999977341],242.42998559999978,None,b,2.0648591999997734,0,0,0.6,246.8942533999998,None,None,246.8942533999998,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1031,001,1,1,6,4,0.95,2023-10-20_10h25.09.885,MSI_AV_v3,2022.1.1,59.99948400421923,
5,0,5,0,,,,,,,,,,1,3.0,2.0,z,63.0,1.0,3.71372710086949,1.25817747924478,None,248.69658600000002,None,249.96781079999892,None,249.96781079999892,None,249.97997701999995,None,['z'],249.96781079999892,None,None,,251.94918659999894,None,z,1.7057416000006924,1,1,0.6666666666666666,255.65398490000007,None,None,255.65398490000007,None,[1.7057416000006924],,,,,,,,,,,,,,,,,,,,,,CBC_1031,001,1,1,6,4,0.95,2023-10-20_10h25.09.885,MSI_AV_v3,2022.1.1,59.99948400421923,
6,0,6,0,,,,,,,,,,2,3.0,1.0,b,27.0,1.0,2.91303524001082,2.49839527409216,None,257.4633037000003,None,259.95850359999895,None,259.95850359999895,None,259.96302258999907,None,None,259.95850359999895,None,['b'],[0.17132569999921543],261.94668719999936,None,b,2.1713256999992154,1,1,0.7142857142857143,264.8413089000005,None,None,264.8413089000005,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1031,001,1,1,6,4,0.95,2023-10-20_10h25.09.885,MSI_AV_v3,2022.1.1,59.99948400421923,
7,0,7,0,,,,,,,,,,1,1.0,2.0,z,9.0,1.0,3.68371079902891,1.53122835510861,None,266.64674509999895,None,268.20154580000053,None,268.20154580000053,None,268.2134729199999,None,None,268.20154580000053,None,['b'],[3.0811652000011236],270.1794439999994,None,b,5.081165200001124,0,0,0.625,273.8449426999996,None,None,273.8449426999996,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1031,001,1,1,6,4,0.95,2023-10-20_10h25.09.885,MSI_AV_v3,2022.1.1,59.99948400421923,
8,0,8,0,,,,,,,,,,3,3.0,1.0,z,27.0,1.0,2.592312596923728,2.96653053743745,['z'],275.6466553999999,None,278.63215219999984,None,278.63215219999984,None,278.62985978999944,None,['b'],278.63215219999984,None,None,,280.62684590000026,None,b,1.3099839000005886,0,0,0.5555555555555556,283.2187219999996,None,None,283.2187219999996,None,[1.3099839000005886],[2.296034100001634],,,,,,,,,,,,,,,,,,,,,CBC_1031,001,1,1,6,4,0.95,2023-10-20_10h25.09.885,MSI_AV_v3,2022.1.1,59.99948400421923,
9,0,9,0,,,,,,,,,,2,3.0,2.0,b,63.0,1.0,4.12485271162806,1.27538462653558,None,285.0300564999998,None,286.3172018000005,None,286.3172018000005,None,286.31342689000024,None,None,286.3172018000005,None,None,,288.29656989999967,None,[],[],0,3,0.5,292.4012838999988,None,None,292.4012838999988,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1031,001,1,1,6,4,0.95,2023-10-20_10h25.09.885,MSI_AV_v3,2022.1.1,59.99948400421923,
10,0,10,0,,,,,,,,,,3,1.0,0.0,b,63.0,1.0,2.7134565917469198,1.96568735158996,None,294.2134970999996,None,296.20255410000027,None,296.20255410000027,None,296.2137800199991,None,['z'],296.20255410000027,None,None,,298.1831268999995,None,z,0.8465832000001683,0,0,0.45454545454545453,300.8961916999997,None,None,300.8961916999997,None,[0.8465832000001683],,,,,,,,,,,,,,,,,,,,,,CBC_1031,001,1,1,6,4,0.95,2023-10-20_10h25.09.885,MSI_AV_v3,2022.1.1,59.99948400421923,
11,0,11,0,,,,,,,,,,1,0.0,2.0,z,27.0,1.0,3.26539063535182,3.06992456303453,None,302.6968503999997,None,305.7649846000004,None,305.7649846000004,None,305.7625139599992,None,['b'],305.7649846000004,None,None,,307.7645472000004,None,b,1.0502632999996422,0,0,0.4166666666666667,311.029366499999,None,None,311.029366499999,None,[1.0502632999996422],,,,,,,,,,,,,,,,,,,,,,CBC_1031,001,1,1,6,4,0.95,2023-10-20_10h25.09.885,MSI_AV_v3,2022.1.1,59.99948400421923,
12,0,12,0,,,,,,,,,,2,3.0,2.0,b,63.0,0.0,4.190022164497369,1.60731937853708,None,312.83019459999923,None,314.45208339999954,None,314.45208339999954,None,314.46359111999953,None,None,314.45208339999954,None,['z'],[3.7747677999996085],316.4301385999988,None,z,5.7747677999996085,0,1,0.38461538461538464,320.6102133000004,None,None,320.6102133000004,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1031,001,1,1,6,4,0.95,2023-10-20_10h25.09.885,MSI_AV_v3,2022.1.1,59.99948400421923,
13,0,13,0,,,,,,,,,,0,1.0,0.0,z,63.0,1.0,2.629554641171433,1.18065738546375,None,322.41344089999984,None,323.6023800999992,None,323.6023800999992,None,323.6126737900003,None,None,323.6023800999992,None,['b'],[1.545803299999534],325.59654109999974,None,b,3.545803299999534,0,0,0.35714285714285715,328.2076084,None,None,328.2076084,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1031,001,1,1,6,4,0.95,2023-10-20_10h25.09.885,MSI_AV_v3,2022.1.1,59.99948400421923,
14,0,14,0,,,,,,,,,,1,2.0,3.0,b,63.0,1.0,4.53337421950507,0.917519910446003,None,330.01351690000047,None,330.9512622000002,None,330.9512622000002,None,330.9636002199997,None,None,330.9512622000002,None,['z'],[1.1330354000019724],332.9303478999991,None,z,3.1330354000019724,0,0,0.3333333333333333,337.4528341000005,None,None,337.4528341000005,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1031,001,1,1,6,4,0.95,2023-10-20_10h25.09.885,MSI_AV_v3,2022.1.1,59.99948400421923,
