trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.auditory_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,ImageLeft_4.started,ImageLeft_4.stopped,ImageRight_4.started,ImageRight_4.stopped,sound_4.started,sound_4.stopped,response_4.keys,response_4.rt,response_4.started,response_4.stopped,response_5.keys,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,response_5.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,audioPair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],audio set [1-3 / 4-6],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
,,,,36.79421530000036,None,t,70.42033289999927,36.79421530000036,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1031,4,6,2,4,4,0.95,2023-10-20_12h20.15.905,MSI_AV_v3,2022.1.1,60.087523486655,
,,,,,,,,,,None,107.24044700000013,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1031,4,6,2,4,4,0.95,2023-10-20_12h20.15.905,MSI_AV_v3,2022.1.1,60.087523486655,
0,0,0,0,,,,,,,,,,0,1,0,z,63,1,2.693348633324513,1.25817747924478,None,107.44068800000059,None,108.79575889999978,None,108.79575889999978,None,108.80713660000129,None,['b'],[1.4523142999987613],108.79575889999978,None,None,110.71191519999957,None,b,1.4523142999987613,0,0,0.0,113.40774930000043,None,None,113.40774930000043,None,,,,,,,,,,,,,,,,,,,,,,CBC_1031,4,6,2,4,4,0.95,2023-10-20_12h20.15.905,MSI_AV_v3,2022.1.1,60.087523486655,
1,0,1,0,,,,,,,,,,1,3,2,z,63,1,2.517541937862754,1.78643585472448,None,115.20727240000087,None,117.04147250000096,None,117.04147250000096,None,117.04077020000022,None,['z'],[1.1379996999985451],117.04147250000096,None,None,119.00652330000048,None,z,1.1379996999985451,1,1,0.5,121.53256839999995,None,None,121.53256839999995,None,,,,,,,,,,,,,,,,,,,,,,CBC_1031,4,6,2,4,4,0.95,2023-10-20_12h20.15.905,MSI_AV_v3,2022.1.1,60.087523486655,
2,0,2,0,,,,,,,,,,0,0,2,b,27,1,2.496959177995529,3.4543169006169,None,123.34070109999993,None,126.80909729999985,None,126.80909729999985,None,126.80746890000137,None,None,,126.80909729999985,None,['b'],128.79063690000112,None,b,2.274131499998475,1,1,0.6666666666666666,131.2782341000002,None,None,131.2782341000002,None,[0.2741314999984752],,,,,,,,,,,,,,,,,,,,,CBC_1031,4,6,2,4,4,0.95,2023-10-20_12h20.15.905,MSI_AV_v3,2022.1.1,60.087523486655,
3,0,3,0,,,,,,,,,,3,1,0,b,63,1,2.6391747348430608,2.10421507306074,None,133.0905483000006,None,135.2198344999997,None,135.2198344999997,None,135.22375740000098,None,['b'],[1.5847015999988798],135.2198344999997,None,None,137.2091178999999,None,b,1.5847015999988798,1,1,0.75,139.86851969999952,None,None,139.86851969999952,None,,,,,,,,,,,,,,,,,,,,,,CBC_1031,4,6,2,4,4,0.95,2023-10-20_12h20.15.905,MSI_AV_v3,2022.1.1,60.087523486655,
4,0,4,0,,,,,,,,,,2,2,3,z,63,1,4.77034425507967,3.1424449555106,None,141.65763760000118,None,144.82295720000002,None,144.82295720000002,None,144.82431870000073,None,None,,144.82295720000002,None,['z'],146.7907052999999,None,z,2.1283200999987457,1,1,0.8,151.541158,None,None,151.541158,None,[0.12832009999874572],,,,,,,,,,,,,,,,,,,,,CBC_1031,4,6,2,4,4,0.95,2023-10-20_12h20.15.905,MSI_AV_v3,2022.1.1,60.087523486655,
5,0,5,0,,,,,,,,,,3,1,2,b,9,1,4.53337421950507,1.27538462653558,None,153.34074920000057,None,154.63016880000032,None,154.63016880000032,None,154.64077429999998,None,['b'],[1.4643081999984133],154.63016880000032,None,None,156.62190480000027,None,b,1.4643081999984133,1,1,0.8333333333333334,161.16505289999986,None,None,161.16505289999986,None,,,,,,,,,,,,,,,,,,,,,,CBC_1031,4,6,2,4,4,0.95,2023-10-20_12h20.15.905,MSI_AV_v3,2022.1.1,60.087523486655,
6,0,6,0,,,,,,,,,,2,1,3,z,27,1,2.592312596923728,3.40155979865722,None,162.97433380000075,None,166.39505579999968,None,166.39505579999968,None,166.39067700000032,None,['z'],[1.2382757999985188],166.39505579999968,None,None,168.3894102000013,None,z,1.2382757999985188,1,1,0.8571428571428571,170.98097919999964,None,None,170.98097919999964,None,,,,,,,,,,,,,,,,,,,,,,CBC_1031,4,6,2,4,4,0.95,2023-10-20_12h20.15.905,MSI_AV_v3,2022.1.1,60.087523486655,
7,0,7,0,,,,,,,,,,0,1,0,z,63,1,3.76873691643126,0.952147612306987,None,172.79093160000048,None,173.7667091000003,None,173.7667091000003,None,173.77427549999993,None,None,,173.7667091000003,None,['z'],175.74080970000068,None,z,3.22375159999865,1,1,0.875,179.4909117999996,None,None,179.4909117999996,None,[1.22375159999865],,,,,,,,,,,,,,,,,,,,,CBC_1031,4,6,2,4,4,0.95,2023-10-20_12h20.15.905,MSI_AV_v3,2022.1.1,60.087523486655,
