trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.tactile_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,image_stim_left.started,image_stim_right.started,tactile.started,response_4.keys,allKeys.keys,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.stopped,feedback_6.started,keys_6.keys,keys_6.started,keys_6.stopped,response_4.rt,allKeys.rt,keys_3.rt,keys_6.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.rt,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,tactilePair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],tactile set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
,,,,47.93019330000061,None,t,57.33197520000067,47.93019330000061,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1031,3,3,1,5,4,0.95,2023-10-20_12h11.47.981,MSI_TV_v3,2022.1.1,60.15967581184385,
,,,,,,,,,,None,105.28434519999973,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1031,3,3,1,5,4,0.95,2023-10-20_12h11.47.981,MSI_TV_v3,2022.1.1,60.15967581184385,
0,0,0,0,,,,,,,,,,3,0,1,z,63,1,2.693348633324513,1.90743690794447,None,105.48449040000014,None,107.36688441999995,107.36688441999995,107.38341321999887,None,[],['z'],[0.34579049999956624],109.36304650000056,None,z,2.3457904999995662,1,1,1.0,None,112.08200120000038,None,112.08200120000038,None,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1031,3,3,1,5,4,0.95,2023-10-20_12h11.47.981,MSI_TV_v3,2022.1.1,60.15967581184385,
1,0,1,0,,,,,,,,,,2,2,3,z,63,1,4.190022164497369,2.15533949826702,None,113.8674587000005,None,116.00084181999937,116.00084181999937,116.01756942000047,None,[],['b'],[0.475411699999313],118.00550189999922,None,b,2.475411699999313,0,0,0.5,None,122.22508299999936,None,122.22508299999936,None,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1031,3,3,1,5,4,0.95,2023-10-20_12h11.47.981,MSI_TV_v3,2022.1.1,60.15967581184385,
2,0,2,0,,,,,,,,,,3,1,3,b,27,1,4.61004669244928,1.12425433982333,None,124.03412199999912,None,125.1335323199999,125.1335323199999,125.14988961999897,z,['z'],None,,127.16744370000015,None,z,1.0785907000008592,0,0,0.3333333333333333,None,131.79616069999975,None,131.79616069999975,None,1.0785907000008592,[1.0785907000008592],,,,,,,,,,,,,,,,,,,,,,,,CBC_1031,3,3,1,5,4,0.95,2023-10-20_12h11.47.981,MSI_TV_v3,2022.1.1,60.15967581184385,
3,0,3,0,,,,,,,,,,1,3,2,z,63,1,4.46924002178158,2.96653053743745,None,133.60117460000038,None,136.5512757199993,136.5512757199993,136.56799841999947,None,[],['z'],[1.8843218000001798],138.55618239999967,None,z,3.88432180000018,1,1,0.5,None,143.02346939999916,None,143.02346939999916,None,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1031,3,3,1,5,4,0.95,2023-10-20_12h11.47.981,MSI_TV_v3,2022.1.1,60.15967581184385,
4,0,4,0,,,,,,,,,,1,2,0,b,27,1,2.678526077912375,1.52290599571961,None,144.83421739999903,None,146.3342354199993,146.3342354199993,146.35098701999942,None,[],['z'],[0.45832010000049195],148.33389689999967,None,z,2.458320100000492,0,0,0.4,None,151.02267459999894,None,151.02267459999894,None,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1031,3,3,1,5,4,0.95,2023-10-20_12h11.47.981,MSI_TV_v3,2022.1.1,60.15967581184385,
5,0,5,0,,,,,,,,,,0,3,0,z,9,1,3.02234236141277,1.27538462653558,None,152.83422190000056,None,154.0842728200003,154.0842728200003,154.1008109199991,b,['b'],None,,156.1042395000004,None,b,1.4377081000002363,0,0,0.3333333333333333,None,159.12755019999895,None,159.12755019999895,None,1.4377081000002363,[1.4377081000002363],,,,,,,,,,,,,,,,,,,,,,,,CBC_1031,3,3,1,5,4,0.95,2023-10-20_12h11.47.981,MSI_TV_v3,2022.1.1,60.15967581184385,
6,0,6,0,,,,,,,,,,1,3,2,z,63,1,2.496959177995529,1.38289892513751,None,160.93333200000052,None,162.28435291999978,162.28435291999978,162.30096631999896,None,[],['z'],[1.4974297999997361],164.28944129999945,None,z,3.497429799999736,1,1,0.42857142857142855,None,166.78722840000046,None,166.78722840000046,None,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1031,3,3,1,5,4,0.95,2023-10-20_12h11.47.981,MSI_TV_v3,2022.1.1,60.15967581184385,
7,0,7,0,,,,,,,,,,0,0,1,b,63,1,3.7500315165247198,3.4543169006169,None,168.59990819999985,None,172.03425701999896,172.03425701999896,172.05088031999895,None,[],['z'],[1.21850429999904],174.03439939999953,None,z,3.21850429999904,0,0,0.375,None,177.79601939999884,None,177.79601939999884,None,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1031,3,3,1,5,4,0.95,2023-10-20_12h11.47.981,MSI_TV_v3,2022.1.1,60.15967581184385,
