trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.auditory_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,ImageLeft_4.started,ImageLeft_4.stopped,ImageRight_4.started,ImageRight_4.stopped,sound_4.started,sound_4.stopped,response_4.keys,response_4.started,response_4.stopped,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,response_4.rt,keys_3.rt,keys_6.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,audioPair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],audio set [1-3 / 4-6],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
,,,,210.8571622999989,None,t,71.38663830000041,210.8571622999989,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1035,003,4,3,2,12,0.95,2024-07-26_16h27.09.209,MSI_AV_v3,2022.1.1,60.079870179527845,
,,,,,,,,,,None,282.2662328000006,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1035,003,4,3,2,12,0.95,2024-07-26_16h27.09.209,MSI_AV_v3,2022.1.1,60.079870179527845,
0,0,0,0,,,,,,,,,,2,1.0,0.0,z,63.0,1.0,4.7533305109883095,1.18065738546375,None,282.46591380000064,None,283.749170699999,None,283.749170699999,None,283.74727287999923,None,None,283.749170699999,None,['z'],[0.4978078000003734],285.633233999999,None,z,2.4978078000003734,1,1,1.0,290.3935787999999,None,None,290.3935787999999,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1035,003,4,3,2,12,0.95,2024-07-26_16h27.09.209,MSI_AV_v3,2022.1.1,60.079870179527845,
1,0,1,0,,,,,,,,,,1,2.0,3.0,b,63.0,1.0,2.82320408183943,2.78346932462847,None,292.1996930000005,None,295.0189389999996,None,295.0189389999996,None,295.0157946399999,None,None,295.0189389999996,None,['b'],[0.48440149999987625],296.98266220000005,None,b,2.4844014999998763,1,1,1.0,299.7891005999991,None,None,299.7891005999991,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1035,003,4,3,2,12,0.95,2024-07-26_16h27.09.209,MSI_AV_v3,2022.1.1,60.079870179527845,
2,0,2,0,,,,,,,,,,2,2.0,0.0,z,27.0,1.0,2.666404967794728,0.974903167432984,None,301.5986142999991,None,302.58750490000057,None,302.58750490000057,None,302.59898683999967,None,None,302.58750490000057,None,['b'],[1.19212300000072],304.56474399999934,None,b,3.19212300000072,0,0,0.6666666666666666,307.21905920000063,None,None,307.21905920000063,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1035,003,4,3,2,12,0.95,2024-07-26_16h27.09.209,MSI_AV_v3,2022.1.1,60.079870179527845,
3,0,3,0,,,,,,,,,,0,0.0,1.0,z,63.0,1.0,3.73326136168326,2.22427187882546,None,309.03294389999974,None,311.29428410000037,None,311.29428410000037,None,311.2994507499998,None,None,311.29428410000037,None,['b'],[0.5714585000005172],313.2495672999994,None,b,2.5714585000005172,0,0,0.5,316.9686194999995,None,None,316.9686194999995,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1035,003,4,3,2,12,0.95,2024-07-26_16h27.09.209,MSI_AV_v3,2022.1.1,60.079870179527845,
4,0,4,0,,,,,,,,,,0,1.0,0.0,b,63.0,1.0,3.6438386551209,1.78643585472448,None,318.7827295999996,None,320.5853955999992,None,320.5853955999992,None,320.5824849300005,None,None,320.5853955999992,None,['z'],[0.09528099999988626],322.5659665000003,None,z,2.0952809999998863,0,0,0.4,326.2120813999991,None,None,326.2120813999991,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1035,003,4,3,2,12,0.95,2024-07-26_16h27.09.209,MSI_AV_v3,2022.1.1,60.079870179527845,
5,0,5,0,,,,,,,,,,1,2.0,3.0,b,63.0,1.0,4.01714354611405,3.24569326556923,None,328.016298999999,None,331.2889130000003,None,331.2889130000003,None,331.2993457399993,None,None,331.2889130000003,None,['z'],[0.8710476000014751],333.266209899999,None,z,2.871047600001475,0,0,0.3333333333333333,337.2832122,None,None,337.2832122,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1035,003,4,3,2,12,0.95,2024-07-26_16h27.09.209,MSI_AV_v3,2022.1.1,60.079870179527845,
6,0,6,0,,,,,,,,,,3,1.0,3.0,z,27.0,1.0,2.678526077912375,2.96653053743745,None,339.08290899999884,None,342.1090213999996,None,342.1090213999996,None,342.11559246000036,None,None,342.1090213999996,None,['z'],[2.276791600001161],344.049773499999,None,z,4.276791600001161,1,1,0.42857142857142855,346.72096339999916,None,None,346.72096339999916,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1035,003,4,3,2,12,0.95,2024-07-26_16h27.09.209,MSI_AV_v3,2022.1.1,60.079870179527845,
7,0,7,0,,,,,,,,,,1,2.0,1.0,b,9.0,1.0,2.629554641171433,2.10421507306074,None,348.53276489999917,None,350.6338531000001,None,350.6338531000001,None,350.63153691999946,None,None,350.6338531000001,None,['b'],[1.9270173000004434],352.6159671000005,None,b,3.9270173000004434,1,1,0.5,355.2365919999993,None,None,355.2365919999993,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1035,003,4,3,2,12,0.95,2024-07-26_16h27.09.209,MSI_AV_v3,2022.1.1,60.079870179527845,
8,0,8,0,,,,,,,,,,0,1.0,3.0,b,27.0,1.0,4.72585056748869,3.33124983260532,None,357.0496297999998,None,360.4051958,None,360.4051958,None,360.41625914000036,None,None,360.4051958,None,['z'],[0.5026421000002301],362.3831924999995,None,z,2.50264210000023,0,0,0.4444444444444444,367.1056000999997,None,None,367.1056000999997,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1035,003,4,3,2,12,0.95,2024-07-26_16h27.09.209,MSI_AV_v3,2022.1.1,60.079870179527845,
