trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.tactile_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,image_stim_left.started,image_stim_right.started,tactile.started,response_4.keys,allKeys.keys,response_4.rt,allKeys.rt,response_5.keys,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.stopped,feedback_6.started,keys_6.keys,keys_6.started,keys_6.stopped,response_5.rt,keys_6.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,tactilePair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],tactile set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
,,,,116.5237376999994,None,t,79.84874410000066,116.5237376999994,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1036,001,2,3,3,13,0.95,2023-12-06_14h51.37.594,MSI_TV_v3,2022.1.1,60.2431413183772,
,,,,,,,,,,None,196.39094999999998,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1036,001,2,3,3,13,0.95,2023-12-06_14h51.37.594,MSI_TV_v3,2022.1.1,60.2431413183772,
0,0,0,0,,,,,,,,,,0,1.0,0.0,b,63.0,1.0,2.693348633324513,1.38289892513751,None,196.59066540000003,None,197.95764206999928,197.95764206999928,197.97425927000012,z,['z'],1.6205146000011155,[1.6205146000011155],None,200.0083641000001,None,z,1.6205146000011155,0,0,0.0,None,202.77226840000003,None,202.77226840000003,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1036,001,2,3,3,13,0.95,2023-12-06_14h51.37.594,MSI_TV_v3,2022.1.1,60.2431413183772,
1,0,1,0,,,,,,,,,,2,0.0,1.0,b,63.0,1.0,4.11514536789087,1.25920145784721,None,204.5239690999997,None,205.75739496999967,205.75739496999967,205.77383296999932,None,[],,,['z'],207.7624740000001,None,z,3.263135500000317,0,0,0.0,None,211.8847820000001,None,211.8847820000001,None,[1.2631355000003168],,,,,,,,,,,,,,,,,,,,,,CBC_1036,001,2,3,3,13,0.95,2023-12-06_14h51.37.594,MSI_TV_v3,2022.1.1,60.2431413183772,
2,0,2,0,,,,,,,,,,3,1.0,2.0,z,9.0,1.0,4.72585056748869,1.52290599571961,None,213.68992230000003,None,215.1914008699993,215.1914008699993,215.20786286999981,None,[],,,['z'],217.19617519999974,None,z,3.1362504000007903,1,1,0.3333333333333333,None,221.92934249999962,None,221.92934249999962,None,[1.1362504000007903],,,,,,,,,,,,,,,,,,,,,,CBC_1036,001,2,3,3,13,0.95,2023-12-06_14h51.37.594,MSI_TV_v3,2022.1.1,60.2431413183772,
3,0,3,0,,,,,,,,,,2,1.0,0.0,z,63.0,1.0,4.46924002178158,1.95130344756745,None,223.72400219999963,None,225.65740126999998,225.65740126999998,225.67451456999942,None,[],,,"['b', 'z']",227.66302480000013,None,b,3.5126316000005318,0,0,0.25,None,232.1495234999993,None,232.1495234999993,None,"[1.5126316000005318, 1.5395821000001888]",,,,,,,,,,,,,,,,,,,,,,CBC_1036,001,2,3,3,13,0.95,2023-12-06_14h51.37.594,MSI_TV_v3,2022.1.1,60.2431413183772,
4,0,4,0,,,,,,,,,,1,3.0,1.0,b,27.0,1.0,2.666404967794728,3.1424449555106,None,233.95764849999978,None,237.07389996999945,237.07389996999945,237.09048266999952,None,[],,,None,239.07546860000002,None,None,[],0,3,0.2,None,241.76782009999988,"['z', 'z']",241.76782009999988,None,,"[0.5919777000008253, 1.2881145000010292]",,,,,,,,,,,,,,,,,,,,,CBC_1036,001,2,3,3,13,0.95,2023-12-06_14h51.37.594,MSI_TV_v3,2022.1.1,60.2431413183772,
5,0,5,0,,,,,,,,,,0,0.0,1.0,z,63.0,1.0,2.92731383428727,3.24569326556923,None,243.54084319999947,None,246.77414746999938,246.77414746999938,246.79074507000013,None,[],,,['z'],248.7774647999995,None,z,2.458157700000811,1,1,0.3333333333333333,None,251.7214758,None,251.7214758,None,[0.458157700000811],,,,,,,,,,,,,,,,,,,,,,CBC_1036,001,2,3,3,13,0.95,2023-12-06_14h51.37.594,MSI_TV_v3,2022.1.1,60.2431413183772,
6,0,6,0,,,,,,,,,,3,2.0,3.0,b,63.0,1.0,4.7533305109883095,3.40155979865722,None,253.52396769999996,None,256.9075414699998,256.9075414699998,256.92448756999937,None,[],,,['b'],258.9130488999999,None,b,2.1420697000012296,1,1,0.42857142857142855,None,263.6589660999998,None,263.6589660999998,None,[0.14206970000122965],,,,,,,,,,,,,,,,,,,,,,CBC_1036,001,2,3,3,13,0.95,2023-12-06_14h51.37.594,MSI_TV_v3,2022.1.1,60.2431413183772,
7,0,7,0,,,,,,,,,,2,2.0,0.0,z,27.0,1.0,4.53337421950507,1.12425433982333,None,265.45793289999983,None,266.5575249699993,266.5575249699993,266.57437877,None,[],,,['z'],268.56443339999987,None,z,2.791928600000574,1,1,0.5,None,273.0912697999993,None,273.0912697999993,None,[0.7919286000005741],,,,,,,,,,,,,,,,,,,,,,CBC_1036,001,2,3,3,13,0.95,2023-12-06_14h51.37.594,MSI_TV_v3,2022.1.1,60.2431413183772,
