trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.tactile_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,image_stim_left.started,image_stim_right.started,tactile.started,response_4.keys,allKeys.keys,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.stopped,feedback_6.started,keys_6.keys,keys_6.started,keys_6.stopped,keys_6.rt,response_4.rt,allKeys.rt,keys_3.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,tactilePair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],tactile set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
,,,,39.59178179999981,None,t,73.4583091000004,39.59178179999981,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1037,3,1,3,3,14,0.9,2024-01-04_13h52.51.148,MSI_TV_v3,2022.1.1,59.93597639028103,
,,,,,,,,,,None,113.08196419999967,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1037,3,1,3,3,14,0.9,2024-01-04_13h52.51.148,MSI_TV_v3,2022.1.1,59.93597639028103,
0,0,0,0,,,,,,,,,,1,1.0,0.0,b,63.0,1.0,2.433630701072358,1.78643585472448,None,113.28200889999971,None,115.0483228299995,115.0483228299995,115.06480503000012,None,[],['z'],[1.1448527000002287],117.05623819999983,None,z,3.1448527000002287,0,0,0.0,None,119.50200439999935,None,119.50200439999935,None,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1037,3,1,3,3,14,0.9,2024-01-04_13h52.51.148,MSI_TV_v3,2022.1.1,59.93597639028103,
1,0,1,0,,,,,,,,,,2,0.0,1.0,b,63.0,1.0,2.678526077912375,3.40155979865722,None,121.29810899999939,None,124.68055032999973,124.68055032999973,124.6975687299996,None,[],['b'],[1.2350008000003072],126.6770206000001,None,b,3.235000800000307,1,1,0.5,None,129.36027039999954,None,129.36027039999954,None,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1037,3,1,3,3,14,0.9,2024-01-04_13h52.51.148,MSI_TV_v3,2022.1.1,59.93597639028103,
2,0,2,0,,,,,,,,,,0,1.0,2.0,z,9.0,1.0,2.666404967794728,2.22427187882546,None,131.1650837999996,None,133.3648480299994,133.3648480299994,133.38141652999957,None,[],['z'],[1.6966871000004176],135.36919039999975,None,z,3.6966871000004176,1,1,0.6666666666666666,None,138.03181719999975,None,138.03181719999975,None,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1037,3,1,3,3,14,0.9,2024-01-04_13h52.51.148,MSI_TV_v3,2022.1.1,59.93597639028103,
3,0,3,0,,,,,,,,,,2,1.0,0.0,z,63.0,1.0,2.792365600763554,2.40378712856304,None,139.84778480000023,None,142.23184502999948,142.23184502999948,142.24846673000002,None,[],['b'],[0.8860666999999012],144.23791319999964,None,b,2.886066699999901,0,0,0.5,None,147.03872520000004,"['b', 'z']",147.03872520000004,None,"[0.8405394000001252, 1.2727846000007048]",,,,,,,,,,,,,,,,,,,,,,,,CBC_1037,3,1,3,3,14,0.9,2024-01-04_13h52.51.148,MSI_TV_v3,2022.1.1,59.93597639028103,
4,0,4,0,,,,,,,,,,3,3.0,1.0,b,27.0,1.0,4.72585056748869,1.53243550275999,None,148.84826470000007,None,150.36428862999992,150.36428862999992,150.38044092999962,None,[],['b'],[1.3457134000000224],152.35992499999975,None,b,3.3457134000000224,1,1,0.6,None,157.09843980000005,None,157.09843980000005,None,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1037,3,1,3,3,14,0.9,2024-01-04_13h52.51.148,MSI_TV_v3,2022.1.1,59.93597639028103,
5,0,5,0,,,,,,,,,,1,0.0,1.0,z,63.0,1.0,4.77723667052879,2.49839527409216,None,158.89865459999965,None,161.3815203299996,161.3815203299996,161.39816982999992,None,[],['z'],[0.5590440000005401],163.38668739999957,None,z,2.55904400000054,1,1,0.6666666666666666,None,168.15639849999934,None,168.15639849999934,None,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1037,3,1,3,3,14,0.9,2024-01-04_13h52.51.148,MSI_TV_v3,2022.1.1,59.93597639028103,
6,0,6,0,,,,,,,,,,0,2.0,3.0,b,63.0,1.0,2.294664843639333,0.761758675042088,None,169.96484400000008,None,170.69746222999993,170.69746222999993,170.7141447299996,None,[],['b'],[1.6624424000001454],172.69432009999946,None,b,3.6624424000001454,1,1,0.7142857142857143,None,174.99587119999978,None,174.99587119999978,None,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1037,3,1,3,3,14,0.9,2024-01-04_13h52.51.148,MSI_TV_v3,2022.1.1,59.93597639028103,
7,0,7,0,,,,,,,,,,2,2.0,0.0,z,27.0,1.0,2.517541937862754,3.06992456303453,None,176.79828649999945,None,179.84828292999964,179.84828292999964,179.86488472999963,None,[],['b'],[0.0326018000005206],181.85341449999942,None,b,2.0326018000005206,0,0,0.625,None,184.36105140000018,None,184.36105140000018,None,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1037,3,1,3,3,14,0.9,2024-01-04_13h52.51.148,MSI_TV_v3,2022.1.1,59.93597639028103,
8,0,8,0,,,,,,,,,,3,3.0,2.0,b,63.0,1.0,3.73326136168326,3.1963008326951,None,186.16412149999996,None,189.33159062999994,189.33159062999994,189.34821842999963,z,['z'],None,,191.35095420000016,None,z,1.8830035000000862,0,0,0.5555555555555556,None,195.09290079999937,None,195.09290079999937,None,,1.8830035000000862,[1.8830035000000862],,,,,,,,,,,,,,,,,,,,,,CBC_1037,3,1,3,3,14,0.9,2024-01-04_13h52.51.148,MSI_TV_v3,2022.1.1,59.93597639028103,
9,0,9,0,,,,,,,,,,1,3.0,1.0,z,27.0,1.0,3.31929419319838,1.53122835510861,None,196.89836060000016,None,198.41501382999968,198.41501382999968,198.43161392999946,None,[],['b'],[1.2580653000004531],200.41764869999952,None,b,3.258065300000453,0,0,0.5,None,203.73208859999977,None,203.73208859999977,None,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1037,3,1,3,3,14,0.9,2024-01-04_13h52.51.148,MSI_TV_v3,2022.1.1,59.93597639028103,
10,0,10,0,,,,,,,,,,0,3.0,2.0,z,63.0,0.0,2.7134565917469198,0.974903167432984,None,205.5315369,None,206.48070063000023,206.48070063000023,206.49741812999991,None,[],['z'],[0.6114031000006435],208.47706459999972,None,z,2.6114031000006435,1,0,0.5454545454545454,None,211.19827910000004,None,211.19827910000004,None,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1037,3,1,3,3,14,0.9,2024-01-04_13h52.51.148,MSI_TV_v3,2022.1.1,59.93597639028103,
11,0,11,0,,,,,,,,,,1,1.0,3.0,b,27.0,1.0,4.12485271162806,1.94858485820231,None,212.9985812999994,None,214.93187242999966,214.93187242999966,214.9480332299995,None,[],['b'],[0.721318799999608],216.92731509999976,None,b,2.721318799999608,1,1,0.5833333333333334,None,221.04067459999987,None,221.04067459999987,None,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1037,3,1,3,3,14,0.9,2024-01-04_13h52.51.148,MSI_TV_v3,2022.1.1,59.93597639028103,
12,0,12,0,,,,,,,,,,0,3.0,2.0,z,63.0,1.0,2.342239579230602,3.24569326556923,None,222.84846560000005,None,226.08196602999988,226.08196602999988,226.09828912999956,None,[],['b'],[0.9855085999997755],228.08564339999975,None,b,2.9855085999997755,0,0,0.5384615384615384,None,230.42335860000003,"['z', 'z', 'b']",230.42335860000003,None,"[0.7014024999998583, 1.0634030000001076, 1.0652421000004324]",,,,,,,,,,,,,,,,,,,,,,,,CBC_1037,3,1,3,3,14,0.9,2024-01-04_13h52.51.148,MSI_TV_v3,2022.1.1,59.93597639028103,
13,0,13,0,,,,,,,,,,3,3.0,2.0,b,63.0,1.0,4.46924002178158,3.4543169006169,None,232.23089749999963,None,235.66507613000022,235.66507613000022,235.6817420299999,None,[],['z'],[0.7464804000001095],237.67044279999936,None,z,2.7464804000001095,0,0,0.5,None,242.12795659999938,None,242.12795659999938,None,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1037,3,1,3,3,14,0.9,2024-01-04_13h52.51.148,MSI_TV_v3,2022.1.1,59.93597639028103,
