trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.tactile_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,image_stim_left.started,image_stim_right.started,tactile.started,response_4.keys,allKeys.keys,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.stopped,feedback_6.started,keys_6.keys,keys_6.started,keys_6.stopped,keys_6.rt,keys_3.rt,response_4.rt,allKeys.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,tactilePair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],tactile set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
,,,,36.3677289000002,None,t,55.56936500000029,36.3677289000002,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1041,2,1,1,7,18,0.95,2023-12-20_15h01.19.659,MSI_TV_v3,2022.1.1,60.11804779858617,
,,,,,,,,,,None,91.96654540000009,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1041,2,1,1,7,18,0.95,2023-12-20_15h01.19.659,MSI_TV_v3,2022.1.1,60.11804779858617,
0,0,0,0,,,,,,,,,,0,0.0,1.0,z,63.0,1.0,2.666404967794728,1.34668860557497,None,92.16548580000017,None,93.48321888000005,93.48321888000005,93.49980697999986,None,[],['z'],[0.9469884000000093],95.48867590000009,None,z,2.9469884000000093,1,1,1.0,None,98.17445469999984,None,98.17445469999984,None,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1041,2,1,1,7,18,0.95,2023-12-20_15h01.19.659,MSI_TV_v3,2022.1.1,60.11804779858617,
1,0,1,0,,,,,,,,,,3,1.0,0.0,z,63.0,1.0,4.01714354611405,1.94858485820231,None,99.98211690000016,None,101.89978977999995,101.89978977999995,101.91628157999999,None,[],['z'],[0.4988342999999986],103.90207580000015,None,z,2.4988342999999986,1,1,1.0,None,107.92963349999991,None,107.92963349999991,None,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1041,2,1,1,7,18,0.95,2023-12-20_15h01.19.659,MSI_TV_v3,2022.1.1,60.11804779858617,
2,0,2,0,,,,,,,,,,1,2.0,1.0,b,9.0,1.0,2.294664843639333,0.917519910446003,None,109.73346480000009,None,110.6336076799998,110.6336076799998,110.64981768000003,None,[],['z'],[0.8693115000000944],112.63081069999998,None,z,2.8693115000000944,0,0,0.6666666666666666,None,114.93209479999996,None,114.93209479999996,None,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1041,2,1,1,7,18,0.95,2023-12-20_15h01.19.659,MSI_TV_v3,2022.1.1,60.11804779858617,
3,0,3,0,,,,,,,,,,3,0.0,1.0,b,63.0,1.0,4.82531807167306,0.761758675042088,None,116.73310829999991,None,117.48320378000012,117.48320378000012,117.49990337999994,None,[],['b'],[0.45412620000024617],119.48809269999992,None,b,2.454126200000246,1,1,0.75,None,124.32129769999983,None,124.32129769999983,None,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1041,2,1,1,7,18,0.95,2023-12-20_15h01.19.659,MSI_TV_v3,2022.1.1,60.11804779858617,
4,0,4,0,,,,,,,,,,2,1.0,3.0,z,27.0,1.0,3.02234236141277,1.25817747924478,None,126.13312480000013,None,127.36664187999982,127.36664187999982,127.38324868000014,None,[],['z'],[1.650051899999653],129.37343939999982,None,z,3.650051899999653,1,1,0.8,None,132.38375300000007,None,132.38375300000007,None,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1041,2,1,1,7,18,0.95,2023-12-20_15h01.19.659,MSI_TV_v3,2022.1.1,60.11804779858617,
5,0,5,0,,,,,,,,,,0,1.0,0.0,b,63.0,1.0,2.792365600763554,1.27538462653558,None,134.1833216,None,135.4332418799999,135.4332418799999,135.45062128000012,None,[],['b'],[0.37868870000011157],137.4371473000001,None,b,2.3786887000001116,1,1,0.8333333333333334,None,140.23880989999998,None,140.23880989999998,None,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1041,2,1,1,7,18,0.95,2023-12-20_15h01.19.659,MSI_TV_v3,2022.1.1,60.11804779858617,
6,0,6,0,,,,,,,,,,1,3.0,2.0,z,63.0,1.0,2.342239579230602,0.952147612306987,None,142.05002379999996,None,142.98357167999978,142.98357167999978,143.0001343799999,None,[],['z'],[0.5950150999997277],144.98867470000005,None,z,2.5950150999997277,1,1,0.8571428571428571,None,147.35080789999984,None,147.35080789999984,None,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1041,2,1,1,7,18,0.95,2023-12-20_15h01.19.659,MSI_TV_v3,2022.1.1,60.11804779858617,
7,0,7,0,,,,,,,,,,3,0.0,2.0,b,27.0,1.0,2.592312596923728,2.6299100644723,None,149.14999239999997,None,151.76670468000015,151.76670468000015,151.78341928000003,None,[],['b'],[1.0692423999998937],153.7679621000002,None,b,3.0692423999998937,1,1,0.875,None,156.36754689999998,None,156.36754689999998,None,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1041,2,1,1,7,18,0.95,2023-12-20_15h01.19.659,MSI_TV_v3,2022.1.1,60.11804779858617,
8,0,8,0,,,,,,,,,,2,2.0,3.0,z,63.0,1.0,2.2759877950103027,1.53243550275999,None,158.16658499999994,None,159.68334637999982,159.68334637999982,159.70000688000022,None,[],['z'],[0.7860282000001462],161.68724900000007,None,z,2.786028200000146,1,1,0.8888888888888888,None,163.96594340000001,None,163.96594340000001,None,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1041,2,1,1,7,18,0.95,2023-12-20_15h01.19.659,MSI_TV_v3,2022.1.1,60.11804779858617,
9,0,9,0,,,,,,,,,,0,1.0,3.0,b,27.0,1.0,4.61004669244928,0.974903167432984,None,165.76670699999977,None,166.71554247999978,166.71554247999978,166.73257727999993,None,[],['b'],[0.17211309999993318],168.71290959999988,None,b,2.172113099999933,1,1,0.9,None,173.3266168,None,173.3266168,None,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1041,2,1,1,7,18,0.95,2023-12-20_15h01.19.659,MSI_TV_v3,2022.1.1,60.11804779858617,
10,0,10,0,,,,,,,,,,1,2.0,3.0,b,63.0,1.0,2.92731383428727,2.15533949826702,None,175.1334181000002,None,177.2666080799999,177.2666080799999,177.2833739799998,None,[],None,,179.26789640000015,None,None,[],0,3,0.8181818181818182,None,182.20996419999983,None,182.20996419999983,None,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1041,2,1,1,7,18,0.95,2023-12-20_15h01.19.659,MSI_TV_v3,2022.1.1,60.11804779858617,
11,0,11,0,,,,,,,,,,0,3.0,1.0,z,27.0,1.0,3.3728785608729996,2.09887870490381,None,184.01716269999997,None,186.10015628000014,186.10015628000014,186.1167819800002,None,[],['z'],[0.6644203000000743],188.10525340000004,None,z,2.6644203000000743,1,1,0.8333333333333334,None,191.48419839999997,None,191.48419839999997,None,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1041,2,1,1,7,18,0.95,2023-12-20_15h01.19.659,MSI_TV_v3,2022.1.1,60.11804779858617,
12,0,12,0,,,,,,,,,,1,2.0,3.0,b,63.0,1.0,4.77034425507967,2.22427187882546,None,193.2835309000002,None,195.48345267999997,195.48345267999997,195.5000545799998,None,[],['b'],[0.41211109999994733],197.48402260000012,None,b,2.4121110999999473,1,1,0.8461538461538461,None,202.27259120000008,None,202.27259120000008,None,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1041,2,1,1,7,18,0.95,2023-12-20_15h01.19.659,MSI_TV_v3,2022.1.1,60.11804779858617,
13,0,13,0,,,,,,,,,,2,2.0,3.0,z,63.0,1.0,4.53337421950507,3.1963008326951,None,204.08333219999986,None,207.26597188,207.26597188,207.2823969800001,None,[],['b'],[0.7982266000003619],209.2629566999999,None,b,2.798226600000362,0,0,0.7857142857142857,None,213.79543280000007,None,213.79543280000007,None,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1041,2,1,1,7,18,0.95,2023-12-20_15h01.19.659,MSI_TV_v3,2022.1.1,60.11804779858617,
14,0,14,0,,,,,,,,,,3,3.0,0.0,z,9.0,1.0,2.629554641171433,1.12425433982333,None,215.6008267000002,None,216.7002861800001,216.7002861800001,216.7168970799998,None,[],['b'],[0.39302500000030705],218.70500690000017,None,b,2.393025000000307,0,0,0.7333333333333333,None,221.3381617,None,221.3381617,None,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1041,2,1,1,7,18,0.95,2023-12-20_15h01.19.659,MSI_TV_v3,2022.1.1,60.11804779858617,
15,0,15,0,,,,,,,,,,0,1.0,0.0,b,63.0,0.0,2.678526077912375,3.40155979865722,None,223.1501317000002,None,226.53362637999993,226.53362637999993,226.55031427999978,None,[],['b'],[0.7343721999995978],228.53995200000008,None,b,2.734372199999598,1,0,0.75,None,231.21872829999984,None,231.21872829999984,None,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1041,2,1,1,7,18,0.95,2023-12-20_15h01.19.659,MSI_TV_v3,2022.1.1,60.11804779858617,
16,0,16,0,,,,,,,,,,2,3.0,2.0,b,63.0,1.0,2.6391747348430608,1.52290599571961,None,233.0326046,None,234.53369048000008,234.53369048000008,234.5503600800002,None,[],"['z', 'b']","[0.5021059999999125, 1.2212116000000606]",236.5388512999998,None,z,2.5021059999999125,0,0,0.7058823529411765,None,239.18570469999986,None,239.18570469999986,None,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1041,2,1,1,7,18,0.95,2023-12-20_15h01.19.659,MSI_TV_v3,2022.1.1,60.11804779858617,
17,0,17,0,,,,,,,,,,1,2.0,0.0,b,27.0,1.0,3.7500315165247198,0.80788063606262,None,240.99982150000005,None,241.78372587999996,241.78372587999996,241.80032677999992,None,[],['z'],[0.4700831999998627],243.78920370000014,None,z,2.4700831999998627,0,0,0.6666666666666666,None,247.54579699999977,None,247.54579699999977,None,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1041,2,1,1,7,18,0.95,2023-12-20_15h01.19.659,MSI_TV_v3,2022.1.1,60.11804779858617,
18,0,18,0,,,,,,,,,,3,1.0,0.0,z,63.0,1.0,4.46924002178158,1.25920145784721,None,249.3504750000002,None,250.5837705799999,250.5837705799999,250.6004209799998,None,[],['z'],[2.687981099999888],252.58993499999997,None,z,4.687981099999888,1,1,0.6842105263157895,None,257.0425614999999,None,257.0425614999999,None,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1041,2,1,1,7,18,0.95,2023-12-20_15h01.19.659,MSI_TV_v3,2022.1.1,60.11804779858617,
19,0,19,0,,,,,,,,,,0,0.0,1.0,z,63.0,1.0,2.526044641065533,1.95130344756745,None,258.8495032000001,None,260.7836558799999,260.7836558799999,260.80048088000007,None,[],['z'],[0.5509139999999206],262.7902417,None,z,2.5509139999999206,1,1,0.7,None,265.3173428,None,265.3173428,None,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1041,2,1,1,7,18,0.95,2023-12-20_15h01.19.659,MSI_TV_v3,2022.1.1,60.11804779858617,
20,0,20,0,,,,,,,,,,2,3.0,1.0,b,27.0,1.0,3.31929419319838,1.1243895841892,None,267.11693639999976,None,268.2171413800001,268.2171413800001,268.2337042799999,None,[],None,,270.2214454,None,None,[],0,3,0.6666666666666666,None,273.5435977000002,['z'],273.5435977000002,None,[0.49174970000012763],,,,,,,,,,,,,,,,,,,,,,,,CBC_1041,2,1,1,7,18,0.95,2023-12-20_15h01.19.659,MSI_TV_v3,2022.1.1,60.11804779858617,
21,0,21,0,,,,,,,,,,1,2.0,3.0,b,63.0,1.0,4.72585056748869,2.40378712856304,"['z', 'z']",275.3503430999999,None,277.73401117999987,277.73401117999987,277.7504825800001,None,[],['z'],[0.3500021999998353],279.7388162000002,None,z,2.3500021999998353,0,0,0.6363636363636364,None,284.4661080000001,None,284.4661080000001,None,,"[1.1614903999998205, 2.1087061999996877]",,,,,,,,,,,,,,,,,,,,,,,CBC_1041,2,1,1,7,18,0.95,2023-12-20_15h01.19.659,MSI_TV_v3,2022.1.1,60.11804779858617,
22,0,22,0,,,,,,,,,,3,1.0,0.0,z,63.0,1.0,3.6438386551209,0.77703640172831,None,286.26722689999997,None,287.0327125799999,287.0327125799999,287.04962217999986,None,[],['b'],[0.8858204999996815],289.0302704999999,None,b,2.8858204999996815,0,0,0.6086956521739131,None,292.68269770000006,None,292.68269770000006,None,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1041,2,1,1,7,18,0.95,2023-12-20_15h01.19.659,MSI_TV_v3,2022.1.1,60.11804779858617,
23,0,23,0,,,,,,,,,,2,3.0,2.0,b,63.0,1.0,4.52047235037039,1.43470440954152,None,294.4831438000001,None,295.90049907999986,295.90049907999986,295.91736467999993,z,['z'],None,,297.9441308999999,None,z,1.181247500000154,0,0,0.5833333333333334,None,302.4621677,None,302.4621677,None,,,1.181247500000154,[1.181247500000154],,,,,,,,,,,,,,,,,,,,,CBC_1041,2,1,1,7,18,0.95,2023-12-20_15h01.19.659,MSI_TV_v3,2022.1.1,60.11804779858617,
24,0,24,0,,,,,,,,,,1,0.0,2.0,z,27.0,1.0,3.26539063535182,2.96653053743745,None,304.26725480000005,None,307.21661837999994,307.21661837999994,307.23267028000004,b,['b'],['b'],[0.42906619999985196],309.2503144000002,None,b,0.0952729000000545,0,0,0.56,None,312.5282265999999,None,312.5282265999999,None,,,0.0952729000000545,[0.0952729000000545],,,,,,,,,,,,,,,,,,,,,CBC_1041,2,1,1,7,18,0.95,2023-12-20_15h01.19.659,MSI_TV_v3,2022.1.1,60.11804779858617,
25,0,25,0,,,,,,,,,,3,1.0,0.0,z,63.0,1.0,3.35133458220192,1.21250262048173,None,314.33395299999984,None,315.53394238000004,315.53394238000004,315.55065247999977,z,['z'],None,,317.5767968,None,z,1.2317573999998785,1,1,0.5769230769230769,None,320.92962239999997,None,320.92962239999997,None,,,1.2317573999998785,[1.2317573999998785],,,,,,,,,,,,,,,,,,,,,CBC_1041,2,1,1,7,18,0.95,2023-12-20_15h01.19.659,MSI_TV_v3,2022.1.1,60.11804779858617,
26,0,26,0,,,,,,,,,,0,3.0,1.0,z,27.0,1.0,2.693348633324513,3.4543169006169,None,322.7338887000001,None,326.16724247999986,326.16724247999986,326.18392278000005,None,[],['z'],[0.2700702999995883],328.17298949999986,None,z,2.2700702999995883,1,1,0.5925925925925926,None,330.88030519999984,None,330.88030519999984,None,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1041,2,1,1,7,18,0.95,2023-12-20_15h01.19.659,MSI_TV_v3,2022.1.1,60.11804779858617,
27,0,27,0,,,,,,,,,,1,2.0,3.0,b,63.0,1.0,2.496959177995529,3.1424449555106,None,332.6841328999999,None,335.8004539799999,335.8004539799999,335.81712788,None,[],['b'],[0.7333700000003773],337.8048165,None,b,2.7333700000003773,1,1,0.6071428571428571,None,340.3088499999999,None,340.3088499999999,None,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1041,2,1,1,7,18,0.95,2023-12-20_15h01.19.659,MSI_TV_v3,2022.1.1,60.11804779858617,
28,0,28,0,,,,,,,,,,2,2.0,3.0,z,63.0,1.0,3.71372710086949,2.49839527409216,None,342.11731139999983,None,344.60067518,344.60067518,344.61738968000003,None,[],['z'],[1.5466708999997536],346.60543099999995,None,z,3.5466708999997536,1,1,0.6206896551724138,None,350.3316490000002,None,350.3316490000002,None,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1041,2,1,1,7,18,0.95,2023-12-20_15h01.19.659,MSI_TV_v3,2022.1.1,60.11804779858617,
29,0,29,0,,,,,,,,,,0,1.0,0.0,b,63.0,1.0,2.82320408183943,2.78346932462847,None,352.1341225000001,None,354.90070818,354.90070818,354.9175349800002,None,[],['b'],[0.16483279999965816],356.9066309,None,b,2.164832799999658,1,1,0.6333333333333333,None,359.7146376999999,None,359.7146376999999,None,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1041,2,1,1,7,18,0.95,2023-12-20_15h01.19.659,MSI_TV_v3,2022.1.1,60.11804779858617,
