trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.tactile_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,image_stim_left.started,image_stim_right.started,tactile.started,response_4.keys,allKeys.keys,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.stopped,feedback_6.started,keys_6.keys,keys_6.started,keys_6.stopped,keys_6.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,tactilePair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],tactile set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
,,,,228.43603630000052,None,t,75.56841599999916,228.43603630000052,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1042,001,6,2,2,19,0.95,2024-07-26_15h40.22.663,MSI_TV_v3,2022.1.1,59.99826005074259,
,,,,,,,,,,None,304.0307247999999,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1042,001,6,2,2,19,0.95,2024-07-26_15h40.22.663,MSI_TV_v3,2022.1.1,59.99826005074259,
0,0,0,0,,,,,,,,,,3,0,1,b,63,1,4.72585056748869,1.38289892513751,None,304.23101980000047,None,305.59713554000007,305.59713554000007,305.61391903999936,None,[],['b'],[0.6234028000008038],307.6064656000008,None,b,2.623402800000804,1,1,1.0,None,312.33072959999936,None,312.33072959999936,None,,,,,,,,,,,,,,,,,,,,,,CBC_1042,001,6,2,2,19,0.95,2024-07-26_15h40.22.663,MSI_TV_v3,2022.1.1,59.99826005074259,
1,0,1,0,,,,,,,,,,1,2,3,z,63,1,3.71372710086949,3.24569326556923,None,314.13093630000094,None,317.3644983399994,317.3644983399994,317.3809108400004,None,[],['z'],[0.6936751999992339],319.3695629999993,None,z,2.693675199999234,1,1,1.0,None,323.0848159999996,None,323.0848159999996,None,,,,,,,,,,,,,,,,,,,,,,CBC_1042,001,6,2,2,19,0.95,2024-07-26_15h40.22.663,MSI_TV_v3,2022.1.1,59.99826005074259,
2,0,2,0,,,,,,,,,,2,0,2,z,27,1,3.7500315165247198,1.95130344756745,None,324.89721609999924,None,326.83097424000005,326.83097424000005,326.84763423999937,None,[],['b'],[0.85773749999953],328.83710820000033,None,b,2.85773749999953,0,0,0.6666666666666666,None,332.5957628999995,None,332.5957628999995,None,,,,,,,,,,,,,,,,,,,,,,CBC_1042,001,6,2,2,19,0.95,2024-07-26_15h40.22.663,MSI_TV_v3,2022.1.1,59.99826005074259,
3,0,3,0,,,,,,,,,,3,0,1,b,63,1,2.517541937862754,1.12425433982333,None,334.3977674000007,None,335.49780494000004,335.49780494000004,335.5142667399999,None,[],['b'],[0.6620464999987234],337.50364999999965,None,b,2.6620464999987234,1,1,0.75,None,340.0321470000008,None,340.0321470000008,None,,,,,,,,,,,,,,,,,,,,,,CBC_1042,001,6,2,2,19,0.95,2024-07-26_15h40.22.663,MSI_TV_v3,2022.1.1,59.99826005074259,
4,0,4,0,,,,,,,,,,0,1,3,b,27,1,4.46924002178158,1.52290599571961,None,341.8477687000004,None,343.3477316400007,343.3477316400007,343.36430293999945,None,[],['z'],[1.051794299998619],345.35211009999966,None,z,3.051794299998619,0,0,0.6,None,349.83121200000005,None,349.83121200000005,None,,,,,,,,,,,,,,,,,,,,,,CBC_1042,001,6,2,2,19,0.95,2024-07-26_15h40.22.663,MSI_TV_v3,2022.1.1,59.99826005074259,
5,0,5,0,,,,,,,,,,2,3,2,z,63,1,3.76873691643126,0.761758675042088,None,351.62962509999943,None,352.3644906400008,352.3644906400008,352.38092584000003,None,[],['z'],[0.667069399999491],354.36840759999995,None,z,2.667069399999491,1,1,0.6666666666666666,None,358.13860400000067,None,358.13860400000067,None,,,,,,,,,,,,,,,,,,,,,,CBC_1042,001,6,2,2,19,0.95,2024-07-26_15h40.22.663,MSI_TV_v3,2022.1.1,59.99826005074259,
6,0,6,0,,,,,,,,,,1,3,2,b,63,1,3.2062024266105302,2.40378712856304,None,359.9475683999999,None,362.33127353999987,362.33127353999987,362.34773064000035,None,[],['b'],[0.8674521999992066],364.32843220000086,None,b,2.8674521999992066,1,1,0.7142857142857143,None,367.5337969000002,None,367.5337969000002,None,,,,,,,,,,,,,,,,,,,,,,CBC_1042,001,6,2,2,19,0.95,2024-07-26_15h40.22.663,MSI_TV_v3,2022.1.1,59.99826005074259,
7,0,7,0,,,,,,,,,,0,0,1,z,63,1,2.91303524001082,1.43470440954152,None,369.3464510999993,None,370.7642971400004,370.7642971400004,370.78088973999945,None,[],None,,372.7713040000008,None,None,[],0,3,0.625,None,375.6932791999998,['z'],375.6932791999998,None,[0.43165399999907095],,,,,,,,,,,,,,,,,,,,,CBC_1042,001,6,2,2,19,0.95,2024-07-26_15h40.22.663,MSI_TV_v3,2022.1.1,59.99826005074259,
