trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.tactile_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,image_stim_left.started,image_stim_right.started,tactile.started,response_4.keys,allKeys.keys,response_4.rt,allKeys.rt,response_5.keys,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.stopped,feedback_6.started,keys_6.keys,keys_6.started,keys_6.stopped,keys_6.rt,response_5.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,tactilePair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],tactile set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
,,,,42.28142879999905,None,t,59.079032200001166,42.28142879999905,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1044,2,4,2,5,21,0.95,2023-12-19_14h26.34.109,MSI_TV_v3,2022.1.1,59.9766690759043,
,,,,,,,,,,None,101.38825879999968,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1044,2,4,2,5,21,0.95,2023-12-19_14h26.34.109,MSI_TV_v3,2022.1.1,59.9766690759043,
0,0,0,0,,,,,,,,,,1,3,1,z,27,1,3.26539063535182,1.36309078069689,None,101.5876318999999,None,102.93773686000023,102.93773686000023,102.95433165999967,z,['z'],1.2884811000003538,[1.2884811000003538],None,104.95231609999973,None,z,1.2884811000003538,1,1,1.0,None,108.25777489999928,None,108.25777489999928,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1044,2,4,2,5,21,0.95,2023-12-19_14h26.34.109,MSI_TV_v3,2022.1.1,59.9766690759043,
1,0,1,0,,,,,,,,,,2,2,3,b,63,1,3.73326136168326,1.27538462653558,None,110.0377296000006,None,111.2879202600001,111.2879202600001,111.30468345999944,None,[],,,None,113.29195280000022,None,None,[],0,3,0.5,None,117.02809460000026,['z'],117.02809460000026,None,[1.154685800000152],,,,,,,,,,,,,,,,,,,,,,CBC_1044,2,4,2,5,21,0.95,2023-12-19_14h26.34.109,MSI_TV_v3,2022.1.1,59.9766690759043,
2,0,2,0,,,,,,,,,,0,2,3,z,63,1,2.666404967794728,3.33124983260532,None,118.83771689999958,None,122.15480656000037,122.15480656000037,122.17122086000055,z,['z'],1.4122807000003377,[1.4122807000003377],None,124.1920014999996,None,z,1.4122807000003377,1,1,0.6666666666666666,None,126.85147359999974,None,126.85147359999974,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1044,2,4,2,5,21,0.95,2023-12-19_14h26.34.109,MSI_TV_v3,2022.1.1,59.9766690759043,
3,0,3,0,,,,,,,,,,1,1,0,b,63,1,2.7134565917469198,1.38289892513751,None,128.65445829999953,None,130.0212221599999,130.0212221599999,130.03787265999964,None,[],,,None,132.02276220000022,None,None,[],0,3,0.5,None,134.7470314000002,None,134.7470314000002,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1044,2,4,2,5,21,0.95,2023-12-19_14h26.34.109,MSI_TV_v3,2022.1.1,59.9766690759043,
4,0,4,0,,,,,,,,,,3,3,0,z,9,1,2.342239579230602,2.6299100644723,None,136.55433749999975,None,139.17126515999954,139.17126515999954,139.18806735999934,z,['z'],1.3171115999994072,[1.3171115999994072],None,141.20923690000018,None,z,1.3171115999994072,1,1,0.6,None,143.54892759999893,None,143.54892759999893,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1044,2,4,2,5,21,0.95,2023-12-19_14h26.34.109,MSI_TV_v3,2022.1.1,59.9766690759043,
5,0,5,0,,,,,,,,,,0,2,3,z,63,1,2.592312596923728,1.34668860557497,None,145.35487499999908,None,146.68775895999934,146.68775895999934,146.70443046000074,z,['z'],1.1149822999996104,[1.1149822999996104],None,148.73102339999969,None,z,1.1149822999996104,1,1,0.6666666666666666,None,151.32713030000014,None,151.32713030000014,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1044,2,4,2,5,21,0.95,2023-12-19_14h26.34.109,MSI_TV_v3,2022.1.1,59.9766690759043,
6,0,6,0,,,,,,,,,,2,2,0,b,27,1,2.91303524001082,3.1963008326951,None,153.13790960000006,None,156.32162866000036,156.32162866000036,156.33786876000013,None,[],,,['b'],158.32282080000004,None,b,2.936933000000863,1,1,0.7142857142857143,None,161.23686169999928,None,161.23686169999928,None,,[0.9369330000008631],,,,,,,,,,,,,,,,,,,,,CBC_1044,2,4,2,5,21,0.95,2023-12-19_14h26.34.109,MSI_TV_v3,2022.1.1,59.9766690759043,
7,0,7,0,,,,,,,,,,3,1,0,z,63,1,2.693348633324513,1.53122835510861,None,163.03837249999924,None,164.55495245999956,164.55495245999956,164.57139406000024,z,['z'],1.203534000000218,[1.203534000000218],None,166.59037530000023,None,z,1.203534000000218,1,1,0.75,None,169.28326509999897,None,169.28326509999897,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1044,2,4,2,5,21,0.95,2023-12-19_14h26.34.109,MSI_TV_v3,2022.1.1,59.9766690759043,
