trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.auditory_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,ImageLeft_4.started,ImageLeft_4.stopped,ImageRight_4.started,ImageRight_4.stopped,sound_4.started,sound_4.stopped,response_4.keys,response_4.started,response_4.stopped,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,keys_6.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,audioPair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],audio set [1-3 / 4-6],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
,,,,163.29348070000015,None,t,66.8411288999996,163.29348070000015,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1045,002,2,3,2,22,0.95,2024-03-15_15h44.13.048,MSI_AV_v3,2022.1.1,60.06298204314055,
,,,,,,,,,,None,230.15223120000064,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1045,002,2,3,2,22,0.95,2024-03-15_15h44.13.048,MSI_AV_v3,2022.1.1,60.06298204314055,
0,0,0,0,,,,,,,,,,3,0,1,b,63,1,2.433630701072358,1.43470440954152,None,230.35309440000037,None,231.93072660000053,None,231.93072660000053,None,231.9362820600004,None,None,231.93072660000053,None,['z'],[0.6400739000000613],233.78660769999988,None,z,2.6400739000000613,0,0,0.0,236.2153613999999,None,None,236.2153613999999,None,,,,,,,,,,,,,,,,,,,,,,CBC_1045,002,2,3,2,22,0.95,2024-03-15_15h44.13.048,MSI_AV_v3,2022.1.1,60.06298204314055,
1,0,1,0,,,,,,,,,,1,2,3,z,63,1,4.77723667052879,1.25920145784721,None,238.02042190000066,None,239.3690256,None,239.3690256,None,239.36971488000017,None,None,239.3690256,None,['b'],[1.223889999999301],241.2696592000002,None,b,3.223889999999301,0,0,0.0,246.0296932000001,None,None,246.0296932000001,None,,,,,,,,,,,,,,,,,,,,,,CBC_1045,002,2,3,2,22,0.95,2024-03-15_15h44.13.048,MSI_AV_v3,2022.1.1,60.06298204314055,
2,0,2,0,,,,,,,,,,0,0,2,z,27,1,4.40017271499661,1.34668860557497,None,247.8354650000001,None,249.2233756000005,None,249.2233756000005,None,249.21962890000077,None,None,249.2233756000005,None,['z'],[0.5924919999997655],251.16992220000066,None,z,2.5924919999997655,1,1,0.3333333333333333,255.56612529999984,None,None,255.56612529999984,None,,,,,,,,,,,,,,,,,,,,,,CBC_1045,002,2,3,2,22,0.95,2024-03-15_15h44.13.048,MSI_AV_v3,2022.1.1,60.06298204314055,
3,0,3,0,,,,,,,,,,3,0,1,b,63,1,4.11514536789087,1.78643585472448,None,257.36980310000035,None,259.1750780000002,None,259.1750780000002,None,259.1864208400002,None,None,259.1750780000002,None,['z'],[1.3226070000000618],261.15310750000026,None,z,3.322607000000062,0,0,0.25,265.26458580000053,None,None,265.26458580000053,None,,,,,,,,,,,,,,,,,,,,,,CBC_1045,002,2,3,2,22,0.95,2024-03-15_15h44.13.048,MSI_AV_v3,2022.1.1,60.06298204314055,
4,0,4,0,,,,,,,,,,2,1,3,b,27,1,4.52047235037039,3.4543169006169,None,267.06983930000024,None,270.55466049999995,None,270.55466049999995,None,270.55303384000035,None,None,270.55466049999995,None,['z'],[0.5561456999994334],272.5200568999999,None,z,2.5561456999994334,0,0,0.2,277.02162920000046,None,None,277.02162920000046,None,,,,,,,,,,,,,,,,,,,,,,CBC_1045,002,2,3,2,22,0.95,2024-03-15_15h44.13.048,MSI_AV_v3,2022.1.1,60.06298204314055,
5,0,5,0,,,,,,,,,,0,3,2,z,63,1,2.82320408183943,2.78346932462847,None,278.835564,None,281.64153480000004,None,281.64153480000004,None,281.65317164000044,None,None,281.64153480000004,None,['z'],[0.28493170000001555],283.61910680000074,None,z,2.2849317000000156,1,1,0.3333333333333333,286.4349736000004,None,None,286.4349736000004,None,,,,,,,,,,,,,,,,,,,,,,CBC_1045,002,2,3,2,22,0.95,2024-03-15_15h44.13.048,MSI_AV_v3,2022.1.1,60.06298204314055,
6,0,6,0,,,,,,,,,,1,3,2,b,63,1,3.2062024266105302,2.22427187882546,None,288.2371331000004,None,290.4615242,None,290.4615242,None,290.4699165800007,None,None,290.4615242,None,['b'],[0.5038949999998295],292.45332380000036,None,b,2.5038949999998295,1,1,0.42857142857142855,295.6405271000003,None,None,295.6405271000003,None,,,,,,,,,,,,,,,,,,,,,,CBC_1045,002,2,3,2,22,0.95,2024-03-15_15h44.13.048,MSI_AV_v3,2022.1.1,60.06298204314055,
7,0,7,0,,,,,,,,,,2,0,1,z,63,1,4.46924002178158,0.952147612306987,None,297.4531942000003,None,298.42683149999993,None,298.42683149999993,None,298.4366514400008,None,None,298.42683149999993,None,['z'],[0.5899146000001565],300.4031259000003,None,z,2.5899146000001565,1,1,0.5,304.8537064000002,None,None,304.8537064000002,None,,,,,,,,,,,,,,,,,,,,,,CBC_1045,002,2,3,2,22,0.95,2024-03-15_15h44.13.048,MSI_AV_v3,2022.1.1,60.06298204314055,
8,0,8,0,,,,,,,,,,3,2,0,z,27,1,4.53337421950507,1.12425433982333,None,306.65347010000005,None,307.79328669999995,None,307.79328669999995,None,307.80352264000066,None,None,307.79328669999995,None,['b'],[1.2726697999996759],309.76998379999986,None,b,3.272669799999676,0,0,0.4444444444444444,314.2845614000007,None,None,314.2845614000007,None,,,,,,,,,,,,,,,,,,,,,,CBC_1045,002,2,3,2,22,0.95,2024-03-15_15h44.13.048,MSI_AV_v3,2022.1.1,60.06298204314055,
9,0,9,0,,,,,,,,,,1,3,0,b,9,1,3.68371079902891,1.94858485820231,None,316.08667180000066,None,318.05820630000017,None,318.05820630000017,None,318.06988054000067,None,None,318.05820630000017,None,['z'],[3.502212100000179],320.0373434000003,None,z,5.502212100000179,0,0,0.4,323.7097429000005,None,None,323.7097429000005,None,,,,,,,,,,,,,,,,,,,,,,CBC_1045,002,2,3,2,22,0.95,2024-03-15_15h44.13.048,MSI_AV_v3,2022.1.1,60.06298204314055,
10,0,10,0,,,,,,,,,,0,2,3,b,63,1,2.91303524001082,1.53243550275999,None,325.52012809999997,None,327.07518380000056,None,327.07518380000056,None,327.0864372400001,None,None,327.07518380000056,None,['b'],[0.3468940000002476],329.05323600000065,None,b,2.3468940000002476,1,1,0.45454545454545453,331.95355500000005,None,None,331.95355500000005,None,,,,,,,,,,,,,,,,,,,,,,CBC_1045,002,2,3,2,22,0.95,2024-03-15_15h44.13.048,MSI_AV_v3,2022.1.1,60.06298204314055,
11,0,11,0,,,,,,,,,,2,0,1,z,63,1,2.342239579230602,2.15533949826702,None,333.75363990000005,None,335.9265761000006,None,335.9265761000006,None,335.9365490400005,None,None,335.9265761000006,None,['z'],[0.677486300000055],337.9031982000006,None,z,2.677486300000055,1,1,0.5,340.2323956,None,None,340.2323956,None,,,,,,,,,,,,,,,,,,,,,,CBC_1045,002,2,3,2,22,0.95,2024-03-15_15h44.13.048,MSI_AV_v3,2022.1.1,60.06298204314055,
12,0,12,0,,,,,,,,,,1,2,3,z,63,1,3.31929419319838,2.96653053743745,None,342.03759549999995,None,345.0262246000002,None,345.0262246000002,None,345.0365448400007,None,None,345.0262246000002,None,['z'],[0.17904799999905663],347.00341520000075,None,z,2.1790479999990566,1,1,0.5384615384615384,350.30556890000025,None,None,350.30556890000025,None,,,,,,,,,,,,,,,,,,,,,,CBC_1045,002,2,3,2,22,0.95,2024-03-15_15h44.13.048,MSI_AV_v3,2022.1.1,60.06298204314055,
13,0,13,0,,,,,,,,,,0,2,3,b,63,1,3.3728785608729996,0.761758675042088,None,352.12010740000005,None,352.9042718999999,None,352.9042718999999,None,352.9031004800004,None,None,352.9042718999999,None,['z'],[2.8909295999992537],354.88667930000065,None,z,4.890929599999254,0,0,0.5,358.2529232000006,None,None,358.2529232000006,None,,,,,,,,,,,,,,,,,,,,,,CBC_1045,002,2,3,2,22,0.95,2024-03-15_15h44.13.048,MSI_AV_v3,2022.1.1,60.06298204314055,
14,0,14,0,,,,,,,,,,2,3,1,z,27,1,4.61004669244928,1.60731937853708,None,360.0533957000007,None,361.6776522,None,361.6776522,None,361.68714764000015,None,None,361.6776522,None,['b'],[0.866143799999918],363.6534792000002,None,b,2.866143799999918,0,0,0.4666666666666667,368.24524890000066,None,None,368.24524890000066,None,,,,,,,,,,,,,,,,,,,,,,CBC_1045,002,2,3,2,22,0.95,2024-03-15_15h44.13.048,MSI_AV_v3,2022.1.1,60.06298204314055,
15,0,15,0,,,,,,,,,,3,0,3,b,9,1,4.82531807167306,1.90743690794447,None,370.05325600000015,None,371.9790391000006,None,371.9790391000006,None,371.98692854,None,None,371.9790391000006,None,['z'],[3.6604817999996158],373.9536257,None,z,5.660481799999616,0,0,0.4375,378.7747171000001,None,None,378.7747171000001,None,,,,,,,,,,,,,,,,,,,,,,CBC_1045,002,2,3,2,22,0.95,2024-03-15_15h44.13.048,MSI_AV_v3,2022.1.1,60.06298204314055,
16,0,16,0,,,,,,,,,,1,2,3,z,63,1,4.77034425507967,1.25817747924478,None,380.58692710000014,None,381.8589738999999,None,381.8589738999999,None,381.8703557400004,None,None,381.8589738999999,None,['b'],[1.5410493999997925],383.83669199999986,None,b,3.5410493999997925,0,0,0.4117647058823529,388.6000376000002,None,None,388.6000376000002,None,,,,,,,,,,,,,,,,,,,,,,CBC_1045,002,2,3,2,22,0.95,2024-03-15_15h44.13.048,MSI_AV_v3,2022.1.1,60.06298204314055,
17,0,17,0,,,,,,,,,,0,0,2,z,27,1,2.666404967794728,2.6299100644723,None,390.40360770000007,None,393.0380175,None,393.0380175,None,393.0368078199999,None,None,393.0380175,None,['b'],[1.1708674999999857],395.03769530000045,None,b,3.1708674999999857,0,0,0.3888888888888889,397.6926712000004,None,None,397.6926712000004,None,,,,,,,,,,,,,,,,,,,,,,CBC_1045,002,2,3,2,22,0.95,2024-03-15_15h44.13.048,MSI_AV_v3,2022.1.1,60.06298204314055,
18,0,18,0,,,,,,,,,,3,0,1,b,63,1,2.7134565917469198,2.49839527409216,None,399.5038647000001,None,402.02476970000043,None,402.02476970000043,None,402.0369672400002,None,None,402.02476970000043,None,None,,404.00351910000063,None,[],[],0,3,0.3684210526315789,406.70882299999994,None,None,406.70882299999994,None,,,,,,,,,,,,,,,,,,,,,,CBC_1045,002,2,3,2,22,0.95,2024-03-15_15h44.13.048,MSI_AV_v3,2022.1.1,60.06298204314055,
19,0,19,0,,,,,,,,,,2,1,0,b,63,0,4.72585056748869,1.38289892513751,None,408.5203136,None,409.9280305000002,None,409.9280305000002,None,409.93689403999997,None,None,409.9280305000002,None,['b'],[0.7728833999999551],411.903636,None,b,2.772883399999955,1,0,0.4,416.62230030000046,None,None,416.62230030000046,None,,,,,,,,,,,,,,,,,,,,,,CBC_1045,002,2,3,2,22,0.95,2024-03-15_15h44.13.048,MSI_AV_v3,2022.1.1,60.06298204314055,
20,0,20,0,,,,,,,,,,1,3,1,b,27,1,3.26539063535182,1.1243895841892,None,418.4371551000004,None,419.5776998000001,None,419.5776998000001,None,419.58710684000016,None,None,419.5776998000001,None,['b'],[0.6469975999998496],421.5538770000003,None,b,2.6469975999998496,1,1,0.42857142857142855,424.80529860000024,None,None,424.80529860000024,None,,,,,,,,,,,,,,,,,,,,,,CBC_1045,002,2,3,2,22,0.95,2024-03-15_15h44.13.048,MSI_AV_v3,2022.1.1,60.06298204314055,
21,0,21,0,,,,,,,,,,0,3,2,z,63,1,3.76873691643126,1.21250262048173,None,426.62093319999985,None,427.84234150000066,None,427.84234150000066,None,427.85382914,None,None,427.84234150000066,None,['z'],[2.2000184999997145],429.82065950000015,None,z,4.2000184999997145,1,1,0.45454545454545453,433.5791379000002,None,None,433.5791379000002,None,,,,,,,,,,,,,,,,,,,,,,CBC_1045,002,2,3,2,22,0.95,2024-03-15_15h44.13.048,MSI_AV_v3,2022.1.1,60.06298204314055,
22,0,22,0,,,,,,,,,,2,0,1,z,63,1,2.592312596923728,2.09887870490381,None,435.38708360000055,None,437.50781670000015,None,437.50781670000015,None,437.50371508000035,None,None,437.50781670000015,None,['b'],[0.671127499999784],439.48683510000046,None,b,2.671127499999784,0,0,0.43478260869565216,442.0604514000006,None,None,442.0604514000006,None,,,,,,,,,,,,,,,,,,,,,,CBC_1045,002,2,3,2,22,0.95,2024-03-15_15h44.13.048,MSI_AV_v3,2022.1.1,60.06298204314055,
23,0,23,0,,,,,,,,,,3,0,2,b,27,1,2.6391747348430608,1.95130344756745,None,443.87057450000066,None,445.8417463000005,None,445.8417463000005,None,445.8539949400001,None,None,445.8417463000005,None,['b'],[0.5921385999999984],447.8206622000007,None,b,2.5921385999999984,1,1,0.4583333333333333,450.45548620000045,None,None,450.45548620000045,None,,,,,,,,,,,,,,,,,,,,,,CBC_1045,002,2,3,2,22,0.95,2024-03-15_15h44.13.048,MSI_AV_v3,2022.1.1,60.06298204314055,
24,0,24,0,,,,,,,,,,1,3,2,b,63,1,2.517541937862754,1.52290599571961,None,452.27066879999984,None,453.8115007000006,None,453.8115007000006,None,453.8207643400001,None,None,453.8115007000006,None,None,,455.78724480000074,None,[],[],0,3,0.44,458.2918718000001,None,None,458.2918718000001,None,,,,,,,,,,,,,,,,,,,,,,CBC_1045,002,2,3,2,22,0.95,2024-03-15_15h44.13.048,MSI_AV_v3,2022.1.1,60.06298204314055,
