trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.tactile_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,image_stim_left.started,image_stim_right.started,tactile.started,response_4.keys,allKeys.keys,response_4.rt,allKeys.rt,response_5.keys,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.stopped,feedback_6.started,keys_6.keys,keys_6.started,keys_6.stopped,response_5.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,tactilePair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],tactile set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
,,,,258.3438973000011,None,t,55.18311490000269,258.3438973000011,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1051,003,2,1,7,6,0.95,2024-05-03_17h13.22.033,MSI_TV_v3,2022.1.1,60.03709091456827,
,,,,,,,,,,None,313.5483702999991,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1051,003,2,1,7,6,0.95,2024-05-03_17h13.22.033,MSI_TV_v3,2022.1.1,60.03709091456827,
0,0,0,0,,,,,,,,,,0,0.0,1.0,z,63.0,1.0,3.68371079902891,0.952147612306987,None,313.7484774000004,None,314.6817791900019,314.6817791900019,314.6982616900012,b,['b'],1.4511149999998452,[1.4511149999998452],None,316.72621770000114,None,b,1.4511149999998452,0,0,0.0,None,320.4287559000004,None,320.4287559000004,None,,,,,,,,,,,,,,,,,,,,,,CBC_1051,003,2,1,7,6,0.95,2024-05-03_17h13.22.033,MSI_TV_v3,2022.1.1,60.03709091456827,
1,0,1,0,,,,,,,,,,1,1.0,0.0,z,63.0,1.0,4.190022164497369,1.1243895841892,None,322.1985276000014,None,323.29858938999934,323.29858938999934,323.3154895899996,None,[],,,['z'],325.30435450000004,None,z,2.7080678999991505,1,1,0.5,None,329.48852009999973,None,329.48852009999973,None,[0.7080678999991505],,,,,,,,,,,,,,,,,,,,,CBC_1051,003,2,1,7,6,0.95,2024-05-03_17h13.22.033,MSI_TV_v3,2022.1.1,60.03709091456827,
2,0,2,0,,,,,,,,,,2,2.0,1.0,b,9.0,1.0,2.526044641065533,1.64421109900286,None,331.2986583999991,None,332.9151066900002,332.9151066900002,332.931768690002,None,[],,,['b'],334.9216852999998,None,b,2.622592799998529,1,1,0.6666666666666666,None,337.44036680000136,None,337.44036680000136,None,[0.6225927999985288],,,,,,,,,,,,,,,,,,,,,CBC_1051,003,2,1,7,6,0.95,2024-05-03_17h13.22.033,MSI_TV_v3,2022.1.1,60.03709091456827,
3,0,3,0,,,,,,,,,,1,0.0,1.0,b,63.0,1.0,2.678526077912375,1.36309078069689,None,339.24843930000134,None,340.58184089000025,340.58184089000025,340.59923678999877,None,[],,,['b'],342.58866540000236,None,b,2.3687339999996766,1,1,0.75,None,345.25738869999986,None,345.25738869999986,None,[0.3687339999996766],,,,,,,,,,,,,,,,,,,,,CBC_1051,003,2,1,7,6,0.95,2024-05-03_17h13.22.033,MSI_TV_v3,2022.1.1,60.03709091456827,
4,0,4,0,,,,,,,,,,3,1.0,3.0,z,27.0,1.0,4.46924002178158,3.24569326556923,None,347.06525460000194,None,350.2820147900009,350.2820147900009,350.29856849000026,None,[],,,['z'],352.2854444000004,None,z,2.5193155000015395,1,1,0.8,None,356.7618392000004,None,356.7618392000004,None,[0.5193155000015395],,,,,,,,,,,,,,,,,,,,,CBC_1051,003,2,1,7,6,0.95,2024-05-03_17h13.22.033,MSI_TV_v3,2022.1.1,60.03709091456827,
5,0,5,0,,,,,,,,,,0,1.0,0.0,b,63.0,1.0,4.52047235037039,3.1424449555106,None,358.5658024000004,None,361.68180259000184,361.68180259000184,361.69845438999874,None,[],,,['b'],363.6869297000012,None,b,2.903565200002049,1,1,0.8333333333333334,None,368.2004087000023,None,368.2004087000023,None,[0.9035652000020491],,,,,,,,,,,,,,,,,,,,,CBC_1051,003,2,1,7,6,0.95,2024-05-03_17h13.22.033,MSI_TV_v3,2022.1.1,60.03709091456827,
6,0,6,0,,,,,,,,,,2,3.0,2.0,z,63.0,1.0,2.496959177995529,1.18065738546375,None,370.0151919000018,None,371.18244189000217,371.18244189000217,371.1983561900004,None,[],,,['z'],373.1852503000009,None,z,3.3392161000010674,1,1,0.8571428571428571,None,375.6987773000001,None,375.6987773000001,None,[1.3392161000010674],,,,,,,,,,,,,,,,,,,,,CBC_1051,003,2,1,7,6,0.95,2024-05-03_17h13.22.033,MSI_TV_v3,2022.1.1,60.03709091456827,
7,0,7,0,,,,,,,,,,1,0.0,2.0,b,27.0,1.0,3.31929419319838,3.06992456303453,None,377.49846190000244,None,380.5483778900005,380.5483778900005,380.5651976899997,None,[],,,['b'],382.55359560000215,None,b,2.9412957999993523,1,1,0.875,None,385.8671580000009,None,385.8671580000009,None,[0.9412957999993523],,,,,,,,,,,,,,,,,,,,,CBC_1051,003,2,1,7,6,0.95,2024-05-03_17h13.22.033,MSI_TV_v3,2022.1.1,60.03709091456827,
