trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.tactile_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.rt,keys_3.started,keys_3.stopped,image_stim_left.started,image_stim_right.started,tactile.started,response_4.keys,allKeys.keys,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.stopped,feedback_6.started,keys_6.keys,keys_6.started,keys_6.stopped,response_4.rt,allKeys.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,tactilePair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],tactile set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
,,,,28.404735199999777,None,t,61.464348399999835,28.404735199999777,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1054,1,5,2,2,7,0.95,2024-03-03_10h27.49.019,MSI_TV_v3,2022.1.1,60.03204510540935,
,,,,,,,,,,None,89.89481789999991,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1054,1,5,2,2,7,0.95,2024-03-03_10h27.49.019,MSI_TV_v3,2022.1.1,60.03204510540935,
0,0,0,0,,,,,,,,,,1,0,1,b,63,1,4.46924002178158,3.40155979865722,['b'],[2.5688137000006463],90.09499940000023,None,93.4779783600001,93.4779783600001,93.4945919599999,None,[],['b'],[0.2746069000013449],95.49015409999993,None,b,2.274606900001345,1,1,1.0,None,99.97436389999984,None,99.97436389999984,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1054,1,5,2,2,7,0.95,2024-03-03_10h27.49.019,MSI_TV_v3,2022.1.1,60.03204510540935,
1,0,1,0,,,,,,,,,,2,2,3,z,63,1,4.61004669244928,1.43470440954152,None,,101.77818109999953,None,103.1945902599995,103.1945902599995,103.21141896000009,None,[],['z'],[0.6564007000006313],105.19853599999988,None,z,2.6564007000006313,1,1,1.0,None,109.81344399999944,None,109.81344399999944,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1054,1,5,2,2,7,0.95,2024-03-03_10h27.49.019,MSI_TV_v3,2022.1.1,60.03204510540935,
2,0,2,0,,,,,,,,,,3,0,2,z,27,1,4.12485271162806,1.53122835510861,None,,111.62819560000025,None,113.14510855999961,113.14510855999961,113.16176975999988,None,[],['z'],[0.767120800000157],115.1476318999994,None,z,2.767120800000157,1,1,1.0,None,119.27087019999999,None,119.27087019999999,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1054,1,5,2,2,7,0.95,2024-03-03_10h27.49.019,MSI_TV_v3,2022.1.1,60.03204510540935,
3,0,3,0,,,,,,,,,,1,0,1,b,63,1,3.73326136168326,1.64421109900286,None,,121.07844909999949,None,122.69470825999943,122.69470825999943,122.71133885999953,None,[],['z'],[0.08436930000061693],124.69856340000024,None,z,2.084369300000617,0,0,0.75,None,128.41933319999953,None,128.41933319999953,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1054,1,5,2,2,7,0.95,2024-03-03_10h27.49.019,MSI_TV_v3,2022.1.1,60.03204510540935,
4,0,4,0,,,,,,,,,,0,1,3,b,27,1,3.3728785608729996,1.38289892513751,None,,130.22791379999944,None,131.59519135999963,131.59519135999963,131.61124736000002,None,[],['b'],[1.027758600001107],133.59923749999962,None,b,3.027758600001107,1,1,0.8,None,136.96260470000016,None,136.96260470000016,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1054,1,5,2,2,7,0.95,2024-03-03_10h27.49.019,MSI_TV_v3,2022.1.1,60.03204510540935,
5,0,5,0,,,,,,,,,,3,3,2,z,63,1,2.7134565917469198,1.1243895841892,None,,138.77830730000005,None,139.87820116000003,139.87820116000003,139.89494426000002,None,[],['z'],[0.6021295000000464],141.8832897000002,None,z,2.6021295000000464,1,1,0.8333333333333334,None,144.59221419999994,None,144.59221419999994,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1054,1,5,2,2,7,0.95,2024-03-03_10h27.49.019,MSI_TV_v3,2022.1.1,60.03204510540935,
6,0,6,0,,,,,,,,,,2,3,2,b,63,1,2.678526077912375,1.90743690794447,None,,146.3945862999999,None,148.27782465999954,148.27782465999954,148.29475906000008,None,[],['b'],[0.05612420000034035],150.28275380000014,None,b,2.0561242000003404,1,1,0.8571428571428571,None,152.95220989999962,None,152.95220989999962,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1054,1,5,2,2,7,0.95,2024-03-03_10h27.49.019,MSI_TV_v3,2022.1.1,60.03204510540935,
7,0,7,0,,,,,,,,,,0,0,1,z,63,1,2.666404967794728,0.917519910446003,None,,154.76139129999956,None,155.6614398599999,155.6614398599999,155.67782385999945,None,[],['z'],[0.15701270000045042],157.6681652999996,None,z,2.1570127000004504,1,1,0.875,None,160.3255532000003,None,160.3255532000003,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1054,1,5,2,2,7,0.95,2024-03-03_10h27.49.019,MSI_TV_v3,2022.1.1,60.03204510540935,
