trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.tactile_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,image_stim_left.started,image_stim_right.started,tactile.started,response_4.keys,allKeys.keys,response_5.keys,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.stopped,feedback_6.started,keys_6.keys,keys_6.started,keys_6.stopped,response_5.rt,response_4.rt,allKeys.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,tactilePair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],tactile set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
,,,,43.044805699999415,None,t,63.460065200002646,43.044805699999415,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1071,002,2,3,0,0,0.95,2024-02-02_15h20.49.299,MSI_TV_v3,2022.1.1,59.7962383377405,
,,,,,,,,,,None,106.52412619999996,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1071,002,2,3,0,0,0.95,2024-02-02_15h20.49.299,MSI_TV_v3,2022.1.1,59.7962383377405,
0,0,0,0,,,,,,,,,,1,0.0,1.0,z,63.0,1.0,3.02234236141277,2.96653053743745,None,106.72387459999845,None,109.67490305999927,109.67490305999927,109.69152785999977,None,[],None,111.6774364999983,None,None,[],0,3,0.0,None,114.73928929999965,None,114.73928929999965,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1071,002,2,3,0,0,0.95,2024-02-02_15h20.49.299,MSI_TV_v3,2022.1.1,59.7962383377405,
1,0,1,0,,,,,,,,,,0,0.0,1.0,b,63.0,1.0,3.7500315165247198,2.6299100644723,None,116.50803749999977,None,119.12367315999909,119.12367315999909,119.14034725999845,None,[],['b'],121.11986489999981,None,b,3.1087358000022505,1,1,0.5,None,124.86873729999934,None,124.86873729999934,None,[1.1087358000022505],,,,,,,,,,,,,,,,,,,,,,,CBC_1071,002,2,3,0,0,0.95,2024-02-02_15h20.49.299,MSI_TV_v3,2022.1.1,59.7962383377405,
2,0,2,0,,,,,,,,,,3,2.0,3.0,z,63.0,1.0,4.7533305109883095,1.95130344756745,None,126.67494189999888,None,128.6082608599998,128.6082608599998,128.62491285999823,None,[],['b'],130.61326909999843,None,b,2.501702000001387,0,0,0.3333333333333333,None,135.36924839999847,None,135.36924839999847,None,[0.5017020000013872],,,,,,,,,,,,,,,,,,,,,,,CBC_1071,002,2,3,0,0,0.95,2024-02-02_15h20.49.299,MSI_TV_v3,2022.1.1,59.7962383377405,
3,0,3,0,,,,,,,,,,1,2.0,1.0,z,9.0,1.0,2.517541937862754,3.4543169006169,None,137.1737884999984,None,140.60823585999862,140.60823585999862,140.62495115999883,None,[],['b'],142.6078284999985,None,b,2.8900312000005215,0,0,0.25,None,145.1306358999991,None,145.1306358999991,None,[0.8900312000005215],,,,,,,,,,,,,,,,,,,,,,,CBC_1071,002,2,3,0,0,0.95,2024-02-02_15h20.49.299,MSI_TV_v3,2022.1.1,59.7962383377405,
4,0,4,0,,,,,,,,,,0,0.0,2.0,b,27.0,1.0,4.82531807167306,3.33124983260532,None,146.94179209999857,None,150.2574211599993,150.2574211599993,150.27394005999923,None,[],['b'],152.253794799999,None,b,2.552650400000857,1,1,0.4,None,157.07722159999867,None,157.07722159999867,None,[0.5526504000008572],,,,,,,,,,,,,,,,,,,,,,,CBC_1071,002,2,3,0,0,0.95,2024-02-02_15h20.49.299,MSI_TV_v3,2022.1.1,59.7962383377405,
5,0,5,0,,,,,,,,,,2,2.0,3.0,b,63.0,1.0,3.2062024266105302,1.43470440954152,None,158.89189009999973,None,160.3072677599983,160.3072677599983,160.32358425999956,None,[],['b'],162.30269729999964,None,b,3.0315329000022757,1,1,0.5,None,165.5070700999986,None,165.5070700999986,None,[1.0315329000022757],,,,,,,,,,,,,,,,,,,,,,,CBC_1071,002,2,3,0,0,0.95,2024-02-02_15h20.49.299,MSI_TV_v3,2022.1.1,59.7962383377405,
6,0,6,0,,,,,,,,,,3,1.0,3.0,z,27.0,1.0,3.35133458220192,0.761758675042088,None,167.3080046999985,None,168.05757325999986,168.05757325999986,168.07399465999953,None,[],['z'],170.05312400000003,None,z,4.469406700001855,1,1,0.5714285714285714,None,173.4005473999987,None,173.4005473999987,None,[2.469406700001855],,,,,,,,,,,,,,,,,,,,,,,CBC_1071,002,2,3,0,0,0.95,2024-02-02_15h20.49.299,MSI_TV_v3,2022.1.1,59.7962383377405,
7,0,7,0,,,,,,,,,,0,1.0,0.0,z,63.0,1.0,2.678526077912375,2.49839527409216,None,175.20814639999844,None,177.6914658599988,177.6914658599988,177.7081282599982,None,[],['z'],179.69728659999964,None,z,2.6416582000019844,1,1,0.625,None,182.38137339999957,None,182.38137339999957,None,[0.6416582000019844],,,,,,,,,,,,,,,,,,,,,,,CBC_1071,002,2,3,0,0,0.95,2024-02-02_15h20.49.299,MSI_TV_v3,2022.1.1,59.7962383377405,
8,0,8,0,,,,,,,,,,2,2.0,0.0,b,27.0,1.0,2.526044641065533,0.80788063606262,None,184.19141359999958,None,184.9752053599994,184.9752053599994,184.99182165999883,None,[],"['b', 'b']",186.97904779999953,None,b,2.7682083000017883,1,1,0.6666666666666666,None,189.51501739999912,None,189.51501739999912,None,"[0.7682083000017883, 1.2835368000014569]",,,,,,,,,,,,,,,,,,,,,,,CBC_1071,002,2,3,0,0,0.95,2024-02-02_15h20.49.299,MSI_TV_v3,2022.1.1,59.7962383377405,
9,0,9,0,,,,,,,,,,3,2.0,3.0,z,63.0,1.0,3.31929419319838,1.25817747924478,None,191.32470479999938,None,192.55830745999884,192.55830745999884,192.574926959999,None,[],['z'],194.56322889999865,None,z,3.153387800000928,1,1,0.7,None,197.88202219999948,None,197.88202219999948,None,[1.153387800000928],,,,,,,,,,,,,,,,,,,,,,,CBC_1071,002,2,3,0,0,0.95,2024-02-02_15h20.49.299,MSI_TV_v3,2022.1.1,59.7962383377405,
10,0,10,0,,,,,,,,,,1,1.0,0.0,b,63.0,1.0,2.6391747348430608,0.979776149765883,None,199.69186809999883,None,200.65856635999882,200.65856635999882,200.67491535999835,None,[],['b'],202.66158099999848,None,b,2.584567400002925,1,1,0.7272727272727273,None,205.3061719999987,None,205.3061719999987,None,[0.5845674000029248],,,,,,,,,,,,,,,,,,,,,,,CBC_1071,002,2,3,0,0,0.95,2024-02-02_15h20.49.299,MSI_TV_v3,2022.1.1,59.7962383377405,
11,0,11,0,,,,,,,,,,0,0.0,1.0,b,63.0,1.0,2.82320408183943,1.60731937853708,None,207.10827299999983,None,208.6915441599984,208.6915441599984,208.7083665599992,None,[],['b'],210.68927509999958,None,b,4.400427300002775,1,1,0.75,None,213.50393149999945,None,213.50393149999945,None,[2.400427300002775],,,,,,,,,,,,,,,,,,,,,,,CBC_1071,002,2,3,0,0,0.95,2024-02-02_15h20.49.299,MSI_TV_v3,2022.1.1,59.7962383377405,
