trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.auditory_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,ImageLeft_4.started,ImageLeft_4.stopped,ImageRight_4.started,ImageRight_4.stopped,sound_4.started,sound_4.stopped,response_4.keys,response_4.started,response_4.stopped,response_5.keys,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,response_4.rt,response_5.rt,keys_6.rt,keys_3.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,audioPair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],audio set [1-3 / 4-6],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
,,,,43.14496099999997,None,t,63.22442360000059,43.14496099999997,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1076,2,5,3,6,8,0.95,2024-03-13_14h06.57.958,MSI_AV_v3,2022.1.1,60.0065767208957,
,,,,,,,,,,None,106.3951733999993,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1076,2,5,3,6,8,0.95,2024-03-13_14h06.57.958,MSI_AV_v3,2022.1.1,60.0065767208957,
0,0,0,0,,,,,,,,,,1,1,0,z,63,1,3.71372710086949,1.53243550275999,None,106.59514859999945,None,108.2583754999996,None,108.2583754999996,None,108.26173189999918,None,None,108.2583754999996,None,None,110.12835670000004,None,[],[],0,3,0.0,113.85076539999955,None,None,113.85076539999955,None,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1076,2,5,3,6,8,0.95,2024-03-13_14h06.57.958,MSI_AV_v3,2022.1.1,60.0065767208957,
1,0,1,0,,,,,,,,,,3,3,2,b,63,1,4.61004669244928,2.6299100644723,None,115.6452878,None,118.35254139999961,None,118.35254139999961,None,118.36191121999917,None,['z'],118.35254139999961,None,None,120.29480319999948,None,z,1.6829979000003732,0,0,0.0,124.91112539999995,None,None,124.91112539999995,None,[1.6829979000003732],,,,,,,,,,,,,,,,,,,,,,,,CBC_1076,2,5,3,6,8,0.95,2024-03-13_14h06.57.958,MSI_AV_v3,2022.1.1,60.0065767208957,
2,0,2,0,,,,,,,,,,0,2,0,b,27,1,2.526044641065533,1.36309078069689,None,126.71158809999997,None,128.1072755999994,None,128.1072755999994,None,128.11188749999974,None,None,128.1072755999994,None,None,130.0612154999999,None,[],[],0,3,0.0,132.56118489999972,None,None,132.56118489999972,None,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1076,2,5,3,6,8,0.95,2024-03-13_14h06.57.958,MSI_AV_v3,2022.1.1,60.0065767208957,
3,0,3,0,,,,,,,,,,1,1,0,z,63,1,3.73326136168326,1.90743690794447,None,134.36181969999961,None,136.28502459999982,None,136.28502459999982,None,136.29524493999944,None,None,136.28502459999982,None,"['b', 'z']",138.2624791999997,None,b,2.3901882000000114,0,0,0.0,141.9932678999994,None,['z'],141.9932678999994,None,,"[0.3901882000000114, 1.9447523000008005]",[1.4476720000002388],,,,,,,,,,,,,,,,,,,,,,CBC_1076,2,5,3,6,8,0.95,2024-03-13_14h06.57.958,MSI_AV_v3,2022.1.1,60.0065767208957,
4,0,4,0,,,,,,,,,,2,3,1,z,27,1,3.26539063535182,0.917519910446003,['z'],143.7952854999994,None,144.7484356999994,None,144.7484356999994,None,144.745357539999,None,['b'],144.7484356999994,None,['z'],146.72694609999962,None,b,1.6275822000006883,0,0,0.0,150.00107729999945,None,None,150.00107729999945,None,[1.6275822000006883],[2.145399900000484],,[0.35197710000011284],,,,,,,,,,,,,,,,,,,,,CBC_1076,2,5,3,6,8,0.95,2024-03-13_14h06.57.958,MSI_AV_v3,2022.1.1,60.0065767208957,
5,0,5,0,,,,,,,,,,0,2,3,b,63,1,2.496959177995529,1.34668860557497,['z'],151.81199070000002,None,153.1639551999997,None,153.1639551999997,None,153.16090251999975,None,None,153.1639551999997,None,['b'],155.14543049999975,None,b,2.8090080000001763,1,1,0.16666666666666666,157.63083219999953,None,None,157.63083219999953,None,,[0.8090080000001763],,[0.42730719999963185],,,,,,,,,,,,,,,,,,,,,CBC_1076,2,5,3,6,8,0.95,2024-03-13_14h06.57.958,MSI_AV_v3,2022.1.1,60.0065767208957,
6,0,6,0,,,,,,,,,,3,2,3,z,63,1,2.693348633324513,1.38289892513751,None,159.4455012999997,None,160.83003849999932,None,160.83003849999932,None,160.8276922199995,None,['z'],160.83003849999932,None,None,162.82991349999975,None,z,1.7276284999998097,1,1,0.2857142857142857,165.53233769999952,None,None,165.53233769999952,None,[1.7276284999998097],,,,,,,,,,,,,,,,,,,,,,,,CBC_1076,2,5,3,6,8,0.95,2024-03-13_14h06.57.958,MSI_AV_v3,2022.1.1,60.0065767208957,
7,0,7,0,,,,,,,,,,2,1,0,b,63,1,2.666404967794728,2.40378712856304,None,167.34546879999925,None,169.7630478000001,None,169.7630478000001,None,169.76184017999938,None,None,169.7630478000001,None,None,171.74523820000013,None,[],[],0,3,0.25,174.40055909999955,None,None,174.40055909999955,None,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1076,2,5,3,6,8,0.95,2024-03-13_14h06.57.958,MSI_AV_v3,2022.1.1,60.0065767208957,
