trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.tactile_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,image_stim_left.started,image_stim_right.started,tactile.started,response_4.keys,allKeys.keys,response_4.rt,allKeys.rt,response_5.keys,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.stopped,feedback_6.started,keys_6.keys,keys_6.started,keys_6.stopped,response_5.rt,keys_6.rt,keys_3.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,tactilePair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],tactile set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
,,,,101.39314830000149,None,t,73.67951059999905,101.39314830000149,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1087,003,2,3,6,16,0.95,2024-03-23_11h27.59.968,MSI_TV_v3,2022.1.1,60.347116615266756,
,,,,,,,,,,None,175.10491020000154,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1087,003,2,3,6,16,0.95,2024-03-23_11h27.59.968,MSI_TV_v3,2022.1.1,60.347116615266756,
0,0,0,0,,,,,,,,,,2,1,0,z,63,1,3.02234236141277,1.25920145784721,None,175.30478340000082,None,176.53766252000042,176.53766252000042,176.55448752000103,z,['z'],1.2749251999994158,[1.2749251999994158],None,178.57933840000078,None,z,1.2749251999994158,1,1,1.0,None,181.6403560000017,None,181.6403560000017,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1087,003,2,3,6,16,0.95,2024-03-23_11h27.59.968,MSI_TV_v3,2022.1.1,60.347116615266756,
1,0,1,0,,,,,,,,,,1,3,2,b,63,1,4.77723667052879,0.917519910446003,None,183.42151040000135,None,184.3215973200002,184.3215973200002,184.33841242000182,None,[],,,['z'],186.32755580000048,None,z,2.4157508999978745,0,0,0.5,None,191.10543710000093,['b'],191.10543710000093,None,[0.4157508999978745],[1.3174695999987307],,,,,,,,,,,,,,,,,,,,,,CBC_1087,003,2,3,6,16,0.95,2024-03-23_11h27.59.968,MSI_TV_v3,2022.1.1,60.347116615266756,
2,0,2,0,,,,,,,,,,0,2,0,b,27,1,4.40017271499661,3.1963008326951,None,192.90472450000016,None,196.08814502000115,196.08814502000115,196.10477042000076,None,[],,,None,198.09194920000118,None,None,[],0,3,0.3333333333333333,None,202.49727190000158,['z'],202.49727190000158,None,,[1.4950663999989047],,,,,,,,,,,,,,,,,,,,,,CBC_1087,003,2,3,6,16,0.95,2024-03-23_11h27.59.968,MSI_TV_v3,2022.1.1,60.347116615266756,
3,0,3,0,,,,,,,,,,2,1,0,z,63,1,2.433630701072358,3.40155979865722,None,204.30498630000147,None,207.68854302000165,207.68854302000165,207.7044397200005,b,['b'],0.997775099998762,[0.997775099998762],None,209.72997230000146,None,b,0.997775099998762,0,0,0.25,None,212.1660937000015,['z'],212.1660937000015,None,,[1.3674341999994795],,,,,,,,,,,,,,,,,,,,,,CBC_1087,003,2,3,6,16,0.95,2024-03-23_11h27.59.968,MSI_TV_v3,2022.1.1,60.347116615266756,
4,0,4,0,,,,,,,,,,3,3,1,z,27,1,3.35133458220192,1.53243550275999,['z'],213.97131100000115,None,215.4880127200011,215.4880127200011,215.50459202000076,None,[],,,['z'],217.49612620000153,None,z,3.9083198999996966,1,1,0.4,None,220.86095240000031,None,220.86095240000031,None,[1.9083198999996966],,[0.31912869999905524],,,,,,,,,,,,,,,,,,,,,CBC_1087,003,2,3,6,16,0.95,2024-03-23_11h27.59.968,MSI_TV_v3,2022.1.1,60.347116615266756,
5,0,5,0,,,,,,,,,,0,2,3,b,63,1,4.46924002178158,1.53122835510861,None,222.6721602000016,None,224.18828492000085,224.18828492000085,224.20496212000018,z,['z'],1.3053664999988541,[1.3053664999988541],None,226.2322976000014,None,z,1.3053664999988541,0,0,0.3333333333333333,None,230.69887300000119,None,230.69887300000119,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1087,003,2,3,6,16,0.95,2024-03-23_11h27.59.968,MSI_TV_v3,2022.1.1,60.347116615266756,
6,0,6,0,,,,,,,,,,1,2,3,z,63,1,2.792365600763554,1.96568735158996,None,232.50470440000026,None,234.45516912000113,234.45516912000113,234.47171952000082,None,[],,,['z'],236.4590911000014,None,z,2.2579330999997183,1,1,0.42857142857142855,None,239.26480710000033,None,239.26480710000033,None,[0.25793309999971825],,,,,,,,,,,,,,,,,,,,,,,CBC_1087,003,2,3,6,16,0.95,2024-03-23_11h27.59.968,MSI_TV_v3,2022.1.1,60.347116615266756,
7,0,7,0,,,,,,,,,,3,1,0,b,63,1,2.82320408183943,1.27538462653558,None,241.05514870000115,None,242.30491412000066,242.30491412000066,242.32174172000106,None,[],,,['b'],244.30945880000036,None,b,2.0608902999993006,1,1,0.5,None,247.13691240000117,None,247.13691240000117,None,[0.06089029999930062],,,,,,,,,,,,,,,,,,,,,,,CBC_1087,003,2,3,6,16,0.95,2024-03-23_11h27.59.968,MSI_TV_v3,2022.1.1,60.347116615266756,
