trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.auditory_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,ImageLeft_4.started,ImageLeft_4.stopped,ImageRight_4.started,ImageRight_4.stopped,sound_4.started,sound_4.stopped,response_4.keys,response_4.rt,response_4.started,response_4.stopped,response_5.keys,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,response_5.rt,keys_6.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,audioPair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],audio set [1-3 / 4-6],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
,,,,39.85879959999875,None,t,48.42744809999931,39.85879959999875,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1108,003,6,1,4,13,0.8,2024-05-11_15h05.16.460,MSI_AV_v3,2022.1.1,59.961672499400535,
,,,,,,,,,,None,88.31222440000056,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1108,003,6,1,4,13,0.8,2024-05-11_15h05.16.460,MSI_AV_v3,2022.1.1,59.961672499400535,
0,0,0,0,,,,,,,,,,0,1.0,0.0,b,63.0,1.0,2.91303524001082,3.4543169006169,None,88.51226450000104,None,92.03416920000018,None,92.03416920000018,None,92.04517230999917,None,['b'],[1.5977926999985357],92.03416920000018,None,None,93.98242329999994,None,b,1.5977926999985357,1,1,1.0,96.91535730000032,None,None,96.91535730000032,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1108,003,6,1,4,13,0.8,2024-05-11_15h05.16.460,MSI_AV_v3,2022.1.1,59.961672499400535,
1,0,1,0,,,,,,,,,,2,1.0,0.0,z,63.0,1.0,2.678526077912375,2.22427187882546,None,98.71231329999864,None,100.94604659999823,None,100.94604659999823,None,100.94555509000055,None,['z'],[1.7991566999953648],100.94604659999823,None,None,102.94069849999869,None,z,1.7991566999953648,1,1,1.0,105.61932739999975,None,None,105.61932739999975,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1108,003,6,1,4,13,0.8,2024-05-11_15h05.16.460,MSI_AV_v3,2022.1.1,59.961672499400535,
2,0,2,0,,,,,,,,,,1,3.0,2.0,b,63.0,1.0,2.6391747348430608,1.36309078069689,None,107.42943350000132,None,108.81793760000073,None,108.81793760000073,None,108.82910661999922,None,None,,108.81793760000073,None,['b'],110.7958538999992,None,b,2.372153599997546,1,1,1.0,113.42034970000168,None,None,113.42034970000168,None,[0.3721535999975458],,,,,,,,,,,,,,,,,,,,,,CBC_1108,003,6,1,4,13,0.8,2024-05-11_15h05.16.460,MSI_AV_v3,2022.1.1,59.961672499400535,
3,0,3,0,,,,,,,,,,0,1.0,2.0,b,9.0,1.0,3.35133458220192,1.21250262048173,None,115.22898029999851,None,116.45242769999822,None,116.45242769999822,None,116.4623876200014,None,['z'],[1.9168219999992289],116.45242769999822,None,None,118.4458693000015,None,z,1.9168219999992289,0,0,0.75,121.80112219999864,None,None,121.80112219999864,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1108,003,6,1,4,13,0.8,2024-05-11_15h05.16.460,MSI_AV_v3,2022.1.1,59.961672499400535,
4,0,4,0,,,,,,,,,,2,2.0,0.0,z,27.0,1.0,3.73326136168326,1.25920145784721,None,123.6126918000009,None,124.88580430000002,None,124.88580430000002,None,124.89593742000143,None,None,,124.88580430000002,None,['b'],126.86261939999895,None,b,4.100265299999592,0,0,0.6,130.57746989999941,None,None,130.57746989999941,None,[2.1002652999995917],,,,,,,,,,,,,,,,,,,,,,CBC_1108,003,6,1,4,13,0.8,2024-05-11_15h05.16.460,MSI_AV_v3,2022.1.1,59.961672499400535,
5,0,5,0,,,,,,,,,,3,3.0,2.0,z,63.0,1.0,4.53337421950507,3.24569326556923,None,132.37895429999844,None,135.65270529999907,None,135.65270529999907,None,135.66247782000138,None,None,,135.65270529999907,None,['b'],137.62948300000062,None,b,2.367041799996514,0,0,0.5,142.15828079999847,None,['z'],142.15828079999847,None,[0.3670417999965139],[1.0524174999991374],,,,,,,,,,,,,,,,,,,,,CBC_1108,003,6,1,4,13,0.8,2024-05-11_15h05.16.460,MSI_AV_v3,2022.1.1,59.961672499400535,
6,0,6,0,,,,,,,,,,1,3.0,1.0,b,27.0,1.0,4.12485271162806,2.15533949826702,None,143.9626567000014,None,146.13257689999955,None,146.13257689999955,None,146.12921379000036,None,None,,146.13257689999955,None,['b'],148.11231680000128,None,b,2.8876317999965977,1,1,0.5714285714285714,152.22122699999818,None,None,152.22122699999818,None,[0.8876317999965977],,,,,,,,,,,,,,,,,,,,,,CBC_1108,003,6,1,4,13,0.8,2024-05-11_15h05.16.460,MSI_AV_v3,2022.1.1,59.961672499400535,
7,0,7,0,,,,,,,,,,2,0.0,1.0,b,63.0,0.0,3.3728785608729996,0.761758675042088,None,154.0293899999997,None,154.80381130000023,None,154.80381130000023,None,154.81296091999977,None,None,,154.80381130000023,None,['b'],156.7790238000016,None,b,3.3061098999969545,1,0,0.625,160.13507279999976,None,None,160.13507279999976,None,[1.3061098999969545],,,,,,,,,,,,,,,,,,,,,,CBC_1108,003,6,1,4,13,0.8,2024-05-11_15h05.16.460,MSI_AV_v3,2022.1.1,59.961672499400535,
