trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.tactile_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,image_stim_left.started,image_stim_right.started,tactile.started,response_4.keys,allKeys.keys,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.stopped,feedback_6.started,keys_6.keys,keys_6.started,keys_6.stopped,keys_6.rt,response_4.rt,allKeys.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,tactilePair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],tactile set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
,,,,28.784785199997714,None,t,36.84092719999899,28.784785199997714,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1108,001,5,3,6,13,0.95,2024-05-11_13h20.10.697,MSI_TV_v3,2022.1.1,60.02065911008614,
,,,,,,,,,,None,65.64217799999824,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1108,001,5,3,6,13,0.95,2024-05-11_13h20.10.697,MSI_TV_v3,2022.1.1,60.02065911008614,
0,0,0,0,,,,,,,,,,2,0.0,1.0,b,63.0,1.0,4.40017271499661,1.96568735158996,None,65.84248519999892,None,67.79133243999713,67.79133243999713,67.80796873999971,None,[],['z'],[0.40014940000037313],69.78939069999979,None,z,2.400149400000373,0,0,0.0,None,74.25072869999713,None,74.25072869999713,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1108,001,5,3,6,13,0.95,2024-05-11_13h20.10.697,MSI_TV_v3,2022.1.1,60.02065911008614,
1,0,1,0,,,,,,,,,,3,3.0,2.0,z,63.0,1.0,4.77034425507967,1.36309078069689,None,76.00992859999678,None,77.35917814000022,77.35917814000022,77.37584243999773,None,[],['z'],[0.8290044999994279],79.36403999999675,None,z,2.829004499999428,1,1,0.5,None,84.16906689999814,None,84.16906689999814,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1108,001,5,3,6,13,0.95,2024-05-11_13h20.10.697,MSI_TV_v3,2022.1.1,60.02065911008614,
2,0,2,0,,,,,,,,,,2,0.0,2.0,b,27.0,1.0,2.526044641065533,1.21250262048173,None,85.94259689999672,None,87.14268704000024,87.14268704000024,87.15909593999932,None,[],['z'],[0.8502465999990818],89.14798569999766,None,z,2.850246599999082,0,0,0.3333333333333333,None,91.66896649999762,None,91.66896649999762,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1108,001,5,3,6,13,0.95,2024-05-11_13h20.10.697,MSI_TV_v3,2022.1.1,60.02065911008614,
3,0,3,0,,,,,,,,,,0,1.0,0.0,b,63.0,1.0,4.190022164497369,1.18065738546375,None,93.47551849999945,None,94.64275263999771,94.64275263999771,94.65964093999828,None,[],['b'],[0.3860029999996186],96.64949069999784,None,b,2.3860029999996186,1,1,0.5,None,100.83899949999977,None,100.83899949999977,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1108,001,5,3,6,13,0.95,2024-05-11_13h20.10.697,MSI_TV_v3,2022.1.1,60.02065911008614,
4,0,4,0,,,,,,,,,,0,0.0,1.0,z,63.0,1.0,3.2062024266105302,2.09887870490381,None,102.64304300000003,None,104.7260837400001,104.7260837400001,104.7424035399974,None,[],['z'],[1.9302967000003264],106.73465690000012,None,z,3.9302967000003264,1,1,0.6,None,109.94903449999765,None,109.94903449999765,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1108,001,5,3,6,13,0.95,2024-05-11_13h20.10.697,MSI_TV_v3,2022.1.1,60.02065911008614,
5,0,5,0,,,,,,,,,,3,3.0,2.0,z,63.0,1.0,2.294664843639333,2.6299100644723,None,111.75920499999847,None,114.37597533999833,114.37597533999833,114.39244283999979,None,[],['b'],[0.19211160000122618],116.37621279999803,None,b,2.192111600001226,0,0,0.5,None,118.66205799999807,None,118.66205799999807,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1108,001,5,3,6,13,0.95,2024-05-11_13h20.10.697,MSI_TV_v3,2022.1.1,60.02065911008614,
6,0,6,0,,,,,,,,,,1,3.0,1.0,b,27.0,1.0,4.12485271162806,2.22427187882546,None,120.47586699999738,None,122.67620303999975,122.67620303999975,122.69263694000001,None,[],['b'],[2.6710469999998168],124.68169309999939,None,b,4.671046999999817,1,1,0.5714285714285714,None,128.80147109999962,None,128.80147109999962,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1108,001,5,3,6,13,0.95,2024-05-11_13h20.10.697,MSI_TV_v3,2022.1.1,60.02065911008614,
7,0,7,0,,,,,,,,,,3,1.0,2.0,z,9.0,1.0,4.61004669244928,1.1243895841892,None,130.609402099999,None,131.70860863999877,131.70860863999877,131.7248350399979,None,[],['z'],[0.39813320000030217],133.70580059999702,None,z,2.398133200000302,1,1,0.625,None,138.32431539999743,None,138.32431539999743,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1108,001,5,3,6,13,0.95,2024-05-11_13h20.10.697,MSI_TV_v3,2022.1.1,60.02065911008614,
8,0,8,0,,,,,,,,,,0,3.0,1.0,z,27.0,1.0,2.666404967794728,0.974903167432984,None,140.12619099999938,None,141.07641103999885,141.07641103999885,141.09300143999752,None,[],['b'],[1.3246610999995028],143.08183199999985,None,b,3.3246610999995028,0,0,0.5555555555555556,None,145.7470598,['z'],145.7470598,None,[1.5369528000010177],,,,,,,,,,,,,,,,,,,,,,,CBC_1108,001,5,3,6,13,0.95,2024-05-11_13h20.10.697,MSI_TV_v3,2022.1.1,60.02065911008614,
9,0,9,0,,,,,,,,,,1,3.0,2.0,b,63.0,1.0,2.517541937862754,0.77703640172831,None,147.55939500000022,None,148.30957153999879,148.30957153999879,148.3259967399983,None,[],['b'],[0.7609670999991067],150.31655599999795,None,b,2.7609670999991067,1,1,0.6,None,152.83051179999893,None,152.83051179999893,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1108,001,5,3,6,13,0.95,2024-05-11_13h20.10.697,MSI_TV_v3,2022.1.1,60.02065911008614,
10,0,10,0,,,,,,,,,,0,1.0,0.0,b,63.0,1.0,4.53337421950507,3.4543169006169,None,154.6426281999993,None,158.07618953999662,158.07618953999662,158.09285733999894,None,[],['z'],[0.39872549999927287],160.07950709999932,None,z,2.398725499999273,0,0,0.5454545454545454,None,164.60927789999914,None,164.60927789999914,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1108,001,5,3,6,13,0.95,2024-05-11_13h20.10.697,MSI_TV_v3,2022.1.1,60.02065911008614,
11,0,11,0,,,,,,,,,,3,0.0,2.0,z,27.0,1.0,3.6438386551209,1.94858485820231,None,166.40966019999905,None,168.3428331400002,168.3428331400002,168.35957373999662,None,[],['b'],[1.5028586000007635],170.34961889999977,None,b,3.5028586000007635,0,0,0.5,None,173.99448889999985,None,173.99448889999985,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1108,001,5,3,6,13,0.95,2024-05-11_13h20.10.697,MSI_TV_v3,2022.1.1,60.02065911008614,
12,0,12,0,,,,,,,,,,1,3.0,2.0,b,63.0,0.0,4.72585056748869,1.38289892513751,None,175.80998309999995,None,177.1767551399982,177.1767551399982,177.192941839997,None,[],['b'],[0.6570804000002681],179.18310349999956,None,b,2.657080400000268,1,0,0.5384615384615384,None,183.9070139999967,None,183.9070139999967,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1108,001,5,3,6,13,0.95,2024-05-11_13h20.10.697,MSI_TV_v3,2022.1.1,60.02065911008614,
13,0,13,0,,,,,,,,,,2,1.0,0.0,z,63.0,1.0,2.7134565917469198,1.95130344756745,None,185.70933549999972,None,187.64318263999775,187.64318263999775,187.6592165399972,None,[],['b'],[0.5951735999988159],189.64098359999844,None,b,2.595173599998816,0,0,0.5,None,192.36377619999985,None,192.36377619999985,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1108,001,5,3,6,13,0.95,2024-05-11_13h20.10.697,MSI_TV_v3,2022.1.1,60.02065911008614,
14,0,14,0,,,,,,,,,,3,2.0,3.0,b,63.0,1.0,2.693348633324513,3.40155979865722,None,194.1764750000002,None,197.5595749399992,197.5595749399992,197.57620213999797,None,[],['z'],[0.3685212999989744],199.56337979999807,None,z,2.3685212999989744,0,0,0.4666666666666667,None,202.24951069999952,None,202.24951069999952,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1108,001,5,3,6,13,0.95,2024-05-11_13h20.10.697,MSI_TV_v3,2022.1.1,60.02065911008614,
15,0,15,0,,,,,,,,,,2,0.0,2.0,b,27.0,1.0,3.35133458220192,1.27538462653558,None,204.05960799999957,None,205.30982713999873,205.30982713999873,205.3262091399967,None,[],['z'],[1.3904995000011695],207.3139274999994,None,z,3.3904995000011695,0,0,0.4375,None,210.64942429999792,None,210.64942429999792,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1108,001,5,3,6,13,0.95,2024-05-11_13h20.10.697,MSI_TV_v3,2022.1.1,60.02065911008614,
