trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.auditory_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,ImageLeft_4.started,ImageLeft_4.stopped,ImageRight_4.started,ImageRight_4.stopped,sound_4.started,sound_4.stopped,response_4.keys,response_4.started,response_4.stopped,response_5.keys,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.rt,keys_6.started,keys_6.stopped,response_5.rt,response_4.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,audioPair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],audio set [1-3 / 4-6],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
,,,,214.15535640000053,None,t,91.14779439999893,214.15535640000053,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1110,001,4,1,0,15,0.95,2024-08-25_14h33.39.375,MSI_AV_v3,2022.1.1,59.95006159868488,
,,,,,,,,,,None,305.3201818000007,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1110,001,4,1,0,15,0.95,2024-08-25_14h33.39.375,MSI_AV_v3,2022.1.1,59.95006159868488,
0,0,0,0,,,,,,,,,,2,0,1,b,63,1,2.342239579230602,0.974903167432984,None,305.5200855000003,None,306.58591440000055,None,306.58591440000055,None,306.58638752000024,None,None,306.58591440000055,None,None,308.48671750000085,None,[],[],0,3,0.0,310.82198040000003,None,['z'],[0.9546515999991243],310.82198040000003,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1110,001,4,1,0,15,0.95,2024-08-25_14h33.39.375,MSI_AV_v3,2022.1.1,59.95006159868488,
1,0,1,0,,,,,,,,,,3,2,3,b,63,1,2.6391747348430608,1.12425433982333,None,312.6200421000003,None,313.7807833000006,None,313.7807833000006,None,313.7869961500005,None,None,313.7807833000006,None,['z'],315.7373950000001,None,z,2.9539760999987266,0,0,0.0,318.35697430000073,None,None,,318.35697430000073,None,[0.9539760999987266],,,,,,,,,,,,,,,,,,,,,,CBC_1110,001,4,1,0,15,0.95,2024-08-25_14h33.39.375,MSI_AV_v3,2022.1.1,59.95006159868488,
2,0,2,0,,,,,,,,,,2,2,0,z,27,1,3.6438386551209,0.77703640172831,None,320.1698111000005,None,320.9615298000008,None,320.9615298000008,None,320.9707020600008,None,None,320.9615298000008,None,['b'],322.93659620000017,None,b,2.8065897999995286,0,0,0.0,326.57044360000054,None,None,,326.57044360000054,None,[0.8065897999995286],,,,,,,,,,,,,,,,,,,,,,CBC_1110,001,4,1,0,15,0.95,2024-08-25_14h33.39.375,MSI_AV_v3,2022.1.1,59.95006159868488,
3,0,3,0,,,,,,,,,,1,0,1,z,63,1,3.76873691643126,1.90743690794447,None,328.37013450000086,None,330.3049837000008,None,330.3049837000008,None,330.3036244600007,None,None,330.3049837000008,None,['z'],332.26975220000077,None,z,3.2048116999985723,1,1,0.25,336.02427310000076,None,None,,336.02427310000076,None,[1.2048116999985723],,,,,,,,,,,,,,,,,,,,,,CBC_1110,001,4,1,0,15,0.95,2024-08-25_14h33.39.375,MSI_AV_v3,2022.1.1,59.95006159868488,
4,0,4,0,,,,,,,,,,0,3,2,b,63,1,4.7533305109883095,1.36309078069689,None,337.8367104000008,None,339.2299548000001,None,339.2299548000001,None,339.23685264999995,None,None,339.2299548000001,None,['b'],341.18659110000044,None,b,3.538678899999468,1,1,0.4,345.92727300000024,None,None,,345.92727300000024,None,[1.5386788999994678],,,,,,,,,,,,,,,,,,,,,,CBC_1110,001,4,1,0,15,0.95,2024-08-25_14h33.39.375,MSI_AV_v3,2022.1.1,59.95006159868488,
5,0,5,0,,,,,,,,,,1,2,1,z,9,1,4.61004669244928,1.34668860557497,None,347.73757640000076,None,349.10526670000036,None,349.10526670000036,None,349.1036249700005,None,None,349.10526670000036,None,['z'],351.08678450000025,None,z,2.668878299999051,1,1,0.5,355.69721890000073,None,None,,355.69721890000073,None,[0.6688782999990508],,,,,,,,,,,,,,,,,,,,,,CBC_1110,001,4,1,0,15,0.95,2024-08-25_14h33.39.375,MSI_AV_v3,2022.1.1,59.95006159868488,
6,0,6,0,,,,,,,,,,0,3,1,b,27,1,4.190022164497369,1.52290599571961,None,357.5029162000001,None,359.04332910000085,None,359.04332910000085,None,359.05365276000066,None,None,359.04332910000085,None,['z'],361.0200726000003,None,z,4.636205299999347,0,0,0.42857142857142855,365.1950196000007,None,None,,365.1950196000007,None,[2.6362052999993466],,,,,,,,,,,,,,,,,,,,,,CBC_1110,001,4,1,0,15,0.95,2024-08-25_14h33.39.375,MSI_AV_v3,2022.1.1,59.95006159868488,
7,0,7,0,,,,,,,,,,2,0,1,b,63,1,3.73326136168326,3.24569326556923,None,367.0036796000004,None,370.25875670000005,None,370.25875670000005,None,370.2697853700006,None,None,370.25875670000005,None,['b'],372.2367453000006,None,b,2.780230699999265,1,1,0.5,375.9557399000005,None,None,,375.9557399000005,None,[0.7802306999992652],,,,,,,,,,,,,,,,,,,,,,CBC_1110,001,4,1,0,15,0.95,2024-08-25_14h33.39.375,MSI_AV_v3,2022.1.1,59.95006159868488,
