trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.auditory_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,ImageLeft_4.started,ImageLeft_4.stopped,ImageRight_4.started,ImageRight_4.stopped,sound_4.started,sound_4.stopped,response_4.keys,response_4.started,response_4.stopped,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,response_4.rt,keys_6.rt,keys_7.keys,keys_7.rt,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,audioPair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],audio set [1-3 / 4-6],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
,,,,26.71793439999965,None,t,56.755591999999524,26.71793439999965,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1111,002,3,3,2,16,0.95,2024-06-04_14h44.38.349,MSI_AV_v3,2022.1.1,59.931486324881014,
,,,,,,,,,,None,83.50509939999938,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1111,002,3,3,2,16,0.95,2024-06-04_14h44.38.349,MSI_AV_v3,2022.1.1,59.931486324881014,
0,0,0,0,,,,,,,,,,2,1.0,0.0,r,63.0,1.0,3.76873691643126,1.12425433982333,None,83.70460599999933,None,84.97734559999935,None,84.97734559999935,None,84.98694112000103,None,None,84.97734559999935,None,['r'],[0.5765882000005149],86.82071519999954,None,r,2.576588200000515,1,1,1.0,90.62334569999985,None,None,90.62334569999985,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1111,002,3,3,2,16,0.95,2024-06-04_14h44.38.349,MSI_AV_v3,2022.1.1,59.931486324881014,
1,0,1,0,,,,,,,,,,0,2.0,3.0,b,63.0,1.0,2.629554641171433,0.979776149765883,None,92.3881365999996,None,93.46993409999959,None,93.46993409999959,None,93.4706821800006,None,None,93.46993409999959,None,['r'],[0.7511623999998847],95.37144089999947,None,r,2.7511623999998847,0,0,0.5,98.00734190000003,None,None,98.00734190000003,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1111,002,3,3,2,16,0.95,2024-06-04_14h44.38.349,MSI_AV_v3,2022.1.1,59.931486324881014,
2,0,2,0,,,,,,,,,,2,2.0,0.0,r,27.0,1.0,3.26539063535182,3.24569326556923,None,99.80428630000006,None,103.06187039999986,None,103.06187039999986,None,103.07110144000016,None,None,103.06187039999986,None,['r'],[0.572012900000118],105.03714379999928,None,r,2.572012900000118,1,1,0.6666666666666666,108.29063349999979,None,None,108.29063349999979,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1111,002,3,3,2,16,0.95,2024-06-04_14h44.38.349,MSI_AV_v3,2022.1.1,59.931486324881014,
3,0,3,0,,,,,,,,,,3,0.0,1.0,r,63.0,1.0,3.02234236141277,2.96653053743745,None,110.10364969999955,None,113.12124339999991,None,113.12124339999991,None,113.12172035000003,None,None,113.12124339999991,None,['r'],[0.2511369999992894],115.07049229999939,None,r,2.2511369999992894,1,1,0.75,118.08401569999933,None,None,118.08401569999933,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1111,002,3,3,2,16,0.95,2024-06-04_14h44.38.349,MSI_AV_v3,2022.1.1,59.931486324881014,
4,0,4,0,,,,,,,,,,3,1.0,0.0,b,63.0,1.0,4.53337421950507,2.49839527409216,None,119.88820309999937,None,122.41098650000004,None,122.41098650000004,None,122.42148773999979,None,None,122.41098650000004,None,['b'],[0.4831795999998576],124.38822699999946,None,b,2.4831795999998576,1,1,0.8,128.9037402999993,None,None,128.9037402999993,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1111,002,3,3,2,16,0.95,2024-06-04_14h44.38.349,MSI_AV_v3,2022.1.1,59.931486324881014,
5,0,5,0,,,,,,,,,,0,2.0,3.0,b,63.0,1.0,2.342239579230602,3.4543169006169,None,130.70476280000003,None,134.1730764999993,None,134.1730764999993,None,134.1712234299999,None,None,134.1730764999993,None,['r'],[0.6390454000002137],136.1551399,None,r,2.6390454000002137,0,0,0.6666666666666666,138.47912949999954,None,None,138.47912949999954,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1111,002,3,3,2,16,0.95,2024-06-04_14h44.38.349,MSI_AV_v3,2022.1.1,59.931486324881014,
6,0,6,0,,,,,,,,,,1,1.0,3.0,r,27.0,1.0,4.82531807167306,1.53243550275999,None,140.28789609999967,None,141.86012289999962,None,141.86012289999962,None,141.87128235,None,None,141.86012289999962,None,['r'],[0.548098299999765],143.8216042999993,None,r,2.548098299999765,1,1,0.7142857142857143,148.6421664999998,None,None,148.6421664999998,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1111,002,3,3,2,16,0.95,2024-06-04_14h44.38.349,MSI_AV_v3,2022.1.1,59.931486324881014,
7,0,7,0,,,,,,,,,,0,2.0,1.0,b,9.0,1.0,2.92731383428727,2.78346932462847,None,150.45560179999939,None,153.24529489999986,None,153.24529489999986,None,153.2537220299997,None,None,153.24529489999986,None,['b'],[0.642177200000333],155.22180539999954,None,b,2.642177200000333,1,1,0.75,158.13167129999965,None,None,158.13167129999965,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1111,002,3,3,2,16,0.95,2024-06-04_14h44.38.349,MSI_AV_v3,2022.1.1,59.931486324881014,
