trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.auditory_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,ImageLeft_4.started,ImageLeft_4.stopped,ImageRight_4.started,ImageRight_4.stopped,sound_4.started,sound_4.stopped,response_4.keys,response_4.started,response_4.stopped,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,keys_6.rt,response_4.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,audioPair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],audio set [1-3 / 4-6],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
,,,,24.062286600000334,None,t,56.86883149999994,24.062286600000334,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1112,002,5,3,1,17,0.95,2024-09-06_17h07.21.236,MSI_AV_v3,2022.1.1,60.37713976562664,
,,,,,,,,,,None,80.95330790000025,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1112,002,5,3,1,17,0.95,2024-09-06_17h07.21.236,MSI_AV_v3,2022.1.1,60.37713976562664,
0,0,0,0,,,,,,,,,,3,1,3,b,27,1,4.46924002178158,2.6299100644723,None,81.15260600000056,None,83.93661119999979,None,83.93661119999979,None,83.93648765000007,None,None,83.93661119999979,None,['z'],[0.5744019999992815],85.7865182000005,None,z,2.5744019999992815,0,0,0.0,90.26330280000002,None,None,90.26330280000002,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1112,002,5,3,1,17,0.95,2024-09-06_17h07.21.236,MSI_AV_v3,2022.1.1,60.37713976562664,
1,0,1,0,,,,,,,,,,1,3,2,z,63,1,4.40017271499661,3.1963008326951,None,92.06877420000001,None,95.33677650000027,None,95.33677650000027,None,95.33627375000006,None,None,95.33677650000027,None,['z'],[0.47562310000012076],97.25230879999981,None,z,2.4756231000001208,1,1,0.5,101.6463461000003,None,None,101.6463461000003,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1112,002,5,3,1,17,0.95,2024-09-06_17h07.21.236,MSI_AV_v3,2022.1.1,60.37713976562664,
2,0,2,0,,,,,,,,,,0,3,2,b,63,1,4.190022164497369,1.43470440954152,None,103.45285520000016,None,104.91356820000055,None,104.91356820000055,None,104.91909110000033,None,None,104.91356820000055,None,['b'],[0.6549706999994669],106.8867479999999,None,b,2.654970699999467,1,1,0.6666666666666666,111.07335800000055,None,None,111.07335800000055,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1112,002,5,3,1,17,0.95,2024-09-06_17h07.21.236,MSI_AV_v3,2022.1.1,60.37713976562664,
3,0,3,0,,,,,,,,,,3,0,1,z,63,1,4.11514536789087,0.974903167432984,None,112.8854779000003,None,113.90016120000018,None,113.90016120000018,None,113.90361675000031,None,None,113.90016120000018,None,['b'],[0.5999468999998498],115.85288670000045,None,b,2.59994689999985,0,0,0.5,119.9627502000003,None,None,119.9627502000003,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1112,002,5,3,1,17,0.95,2024-09-06_17h07.21.236,MSI_AV_v3,2022.1.1,60.37713976562664,
4,0,4,0,,,,,,,,,,2,0,3,b,9,1,4.82531807167306,3.24569326556923,None,121.76980830000048,None,125.05472019999979,None,125.05472019999979,None,125.05344020000011,None,None,125.05472019999979,None,['b'],[1.0684323000004952],127.01940699999977,None,b,3.068432300000495,1,1,0.6,131.83562129999973,None,None,131.83562129999973,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1112,002,5,3,1,17,0.95,2024-09-06_17h07.21.236,MSI_AV_v3,2022.1.1,60.37713976562664,
5,0,5,0,,,,,,,,,,0,3,2,b,63,1,2.666404967794728,1.90743690794447,None,133.63637600000038,None,135.54890780000005,None,135.54890780000005,None,135.55304925000027,None,None,135.54890780000005,None,None,,137.53641010000047,None,[],[],0,3,0.5,140.2090678000004,None,['z'],140.2090678000004,None,[0.016349499999705586],,,,,,,,,,,,,,,,,,,,,,CBC_1112,002,5,3,1,17,0.95,2024-09-06_17h07.21.236,MSI_AV_v3,2022.1.1,60.37713976562664,
6,0,6,0,,,,,,,,,,1,0,2,z,27,1,3.73326136168326,0.77703640172831,None,142.00357369999983,None,142.7923152000003,None,142.7923152000003,None,142.80345680000008,None,None,142.7923152000003,None,['b'],[0.19053489999896556],144.76982229999976,None,b,2.1905348999989656,0,0,0.42857142857142855,148.4831853000005,None,None,148.4831853000005,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1112,002,5,3,1,17,0.95,2024-09-06_17h07.21.236,MSI_AV_v3,2022.1.1,60.37713976562664,
7,0,7,0,,,,,,,,,,2,0,1,b,63,1,2.496959177995529,2.40378712856304,None,150.2863626999997,None,152.70851719999973,None,152.70851719999973,None,152.71982160000042,None,None,152.70851719999973,None,['b'],[1.495609599999625],154.68643020000036,None,b,3.495609599999625,1,1,0.5,157.17085060000045,None,None,157.17085060000045,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1112,002,5,3,1,17,0.95,2024-09-06_17h07.21.236,MSI_AV_v3,2022.1.1,60.37713976562664,
8,0,8,0,,,,,,,,,,3,1,0,b,63,1,4.7533305109883095,3.1424449555106,None,158.98562930000026,None,162.14011500000015,None,162.14011500000015,None,162.13645834999997,None,['b'],162.14011500000015,None,None,,164.1209085999999,None,b,1.869705299999623,1,1,0.5555555555555556,168.88560340000004,None,None,168.88560340000004,None,,[1.869705299999623],,,,,,,,,,,,,,,,,,,,,CBC_1112,002,5,3,1,17,0.95,2024-09-06_17h07.21.236,MSI_AV_v3,2022.1.1,60.37713976562664,
9,0,9,0,,,,,,,,,,0,1,3,z,27,1,2.6391747348430608,1.36309078069689,None,170.68658830000004,None,172.06410070000038,None,172.06410070000038,None,172.07030889999967,None,None,172.06410070000038,None,['z'],[0.36770569999953295],174.03537640000013,None,z,2.367705699999533,1,1,0.6,176.65587630000027,None,None,176.65587630000027,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1112,002,5,3,1,17,0.95,2024-09-06_17h07.21.236,MSI_AV_v3,2022.1.1,60.37713976562664,
10,0,10,0,,,,,,,,,,1,3,2,z,63,1,4.01714354611405,1.52290599571961,None,178.46969360000003,None,180.00756189999993,None,180.00756189999993,None,180.00338455000028,None,None,180.00756189999993,None,['b'],[0.5684743000001617],181.9866434000005,None,b,2.5684743000001617,0,0,0.5454545454545454,185.9886980000001,None,None,185.9886980000001,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1112,002,5,3,1,17,0.95,2024-09-06_17h07.21.236,MSI_AV_v3,2022.1.1,60.37713976562664,
11,0,11,0,,,,,,,,,,3,1,0,b,63,1,4.12485271162806,2.49839527409216,None,187.80341839999983,None,190.32640210000045,None,190.32640210000045,None,190.33661999999984,None,None,190.32640210000045,None,['b'],[0.42922899999939546],192.3025548000005,None,b,2.4292289999993955,1,1,0.5833333333333334,196.41597170000023,None,None,196.41597170000023,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1112,002,5,3,1,17,0.95,2024-09-06_17h07.21.236,MSI_AV_v3,2022.1.1,60.37713976562664,
12,0,12,0,,,,,,,,,,2,0,1,b,63,1,2.342239579230602,0.80788063606262,None,198.22011440000006,None,199.0461961000001,None,199.0461961000001,None,199.05386090000027,None,None,199.0461961000001,None,['b'],[0.9919329999993352],201.02060489999985,None,b,2.991932999999335,1,1,0.6153846153846154,203.3569195,None,None,203.3569195,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1112,002,5,3,1,17,0.95,2024-09-06_17h07.21.236,MSI_AV_v3,2022.1.1,60.37713976562664,
13,0,13,0,,,,,,,,,,1,1,2,z,9,1,3.68371079902891,1.27538462653558,None,205.16986129999987,None,206.4592220000004,None,206.4592220000004,None,206.46997569999965,None,None,206.4592220000004,None,['z'],[0.26467089999914606],208.43663990000005,None,z,2.264670899999146,1,1,0.6428571428571429,212.10859020000044,None,None,212.10859020000044,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1112,002,5,3,1,17,0.95,2024-09-06_17h07.21.236,MSI_AV_v3,2022.1.1,60.37713976562664,
14,0,14,0,,,,,,,,,,2,1,0,z,63,1,3.2062024266105302,1.38289892513751,None,213.9201122000004,None,215.30420400000003,None,215.30420400000003,None,215.30243860000007,None,None,215.30420400000003,None,['b'],[0.7818642000002001],217.30334700000003,None,b,2.7818642000002,0,0,0.6,220.50620470000013,None,None,220.50620470000013,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1112,002,5,3,1,17,0.95,2024-09-06_17h07.21.236,MSI_AV_v3,2022.1.1,60.37713976562664,
15,0,15,0,,,,,,,,,,0,3,1,b,27,1,3.76873691643126,1.21250262048173,None,222.32001899999977,None,223.56043990000035,None,223.56043990000035,None,223.57010309999967,None,None,223.56043990000035,None,['b'],[0.4839821999994456],225.5357313000004,None,b,2.4839821999994456,1,1,0.625,229.28393070000038,None,None,229.28393070000038,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1112,002,5,3,1,17,0.95,2024-09-06_17h07.21.236,MSI_AV_v3,2022.1.1,60.37713976562664,
16,0,16,0,,,,,,,,,,3,0,1,z,63,1,2.91303524001082,0.979776149765883,None,231.08652859999984,None,232.07192829999985,None,232.07192829999985,None,232.07042184999963,None,None,232.07192829999985,None,['z'],[1.5625270000000455],234.05306740000015,None,z,3.5625270000000455,1,1,0.6470588235294118,236.9627271999998,None,None,236.9627271999998,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1112,002,5,3,1,17,0.95,2024-09-06_17h07.21.236,MSI_AV_v3,2022.1.1,60.37713976562664,
17,0,17,0,,,,,,,,,,1,2,3,b,63,0,4.52047235037039,2.09887870490381,None,238.7701648000002,None,240.8746573999997,None,240.8746573999997,None,240.88630294999993,None,None,240.8746573999997,None,['z'],[0.10855240000000776],242.87035939999987,None,z,2.1085524000000078,0,1,0.6111111111111112,247.3865467000005,None,None,247.3865467000005,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1112,002,5,3,1,17,0.95,2024-09-06_17h07.21.236,MSI_AV_v3,2022.1.1,60.37713976562664,
