trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.tactile_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,image_stim_left.started,image_stim_right.started,tactile.started,response_4.keys,allKeys.keys,response_5.keys,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.stopped,feedback_6.started,keys_6.keys,keys_6.started,keys_6.stopped,keys_6.rt,response_4.rt,allKeys.rt,response_5.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,tactilePair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],tactile set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
,,,,281.84690020000016,None,t,71.96602810000013,281.84690020000016,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1112,001,6,1,2,17,0.95,2024-09-06_16h58.36.381,MSI_TV_v3,2022.1.1,59.86554199262929,
,,,,,,,,,,None,353.8310656999997,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1112,001,6,1,2,17,0.95,2024-09-06_16h58.36.381,MSI_TV_v3,2022.1.1,59.86554199262929,
0,0,0,0,,,,,,,,,,2,1.0,0.0,z,63.0,1.0,2.342239579230602,2.10421507306074,None,354.0309709999997,None,356.1145561900002,356.1145561900002,356.13131639000034,None,[],None,358.1253529999999,None,None,[],0,3,0.0,None,360.48487199999954,None,360.48487199999954,None,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1112,001,6,1,2,17,0.95,2024-09-06_16h58.36.381,MSI_TV_v3,2022.1.1,59.86554199262929,
1,0,1,0,,,,,,,,,,1,2.0,3.0,b,63.0,1.0,2.678526077912375,1.36309078069689,None,362.2644987999997,None,363.61415948999996,363.61415948999996,363.63076599000027,None,[],None,365.61716560000013,None,None,[],0,3,0.0,None,368.3098394000003,['z'],368.3098394000003,None,[1.5709226000003582],,,,,,,,,,,,,,,,,,,,,,,,CBC_1112,001,6,1,2,17,0.95,2024-09-06_16h58.36.381,MSI_TV_v3,2022.1.1,59.86554199262929,
2,0,2,0,,,,,,,,,,2,2.0,0.0,z,27.0,1.0,4.11514536789087,1.60731937853708,None,370.11430659999996,None,371.69830969000026,371.69830969000026,371.7144395900004,z,['z'],None,373.74259200000006,None,z,1.109026399999948,1,1,0.3333333333333333,None,377.8606326000004,None,377.8606326000004,None,,1.109026399999948,[1.109026399999948],,,,,,,,,,,,,,,,,,,,,,CBC_1112,001,6,1,2,17,0.95,2024-09-06_16h58.36.381,MSI_TV_v3,2022.1.1,59.86554199262929,
3,0,3,0,,,,,,,,,,3,0.0,1.0,z,63.0,1.0,3.3728785608729996,1.53122835510861,None,379.66419629999973,None,381.18141948999977,381.18141948999977,381.19789118999955,None,[],['z'],383.18676769999956,None,z,2.629400999999689,1,1,0.5,None,386.57257270000036,None,386.57257270000036,None,,,,[0.6294009999996888],,,,,,,,,,,,,,,,,,,,,CBC_1112,001,6,1,2,17,0.95,2024-09-06_16h58.36.381,MSI_TV_v3,2022.1.1,59.86554199262929,
4,0,4,0,,,,,,,,,,3,1.0,0.0,b,63.0,1.0,2.496959177995529,3.1963008326951,None,388.3810134999999,None,391.5644097900003,391.5644097900003,391.5809136899997,None,[],['z'],393.56909829999995,None,z,3.2065113000003294,0,0,0.4,None,396.0783478999997,None,396.0783478999997,None,,,,[1.2065113000003294],,,,,,,,,,,,,,,,,,,,,CBC_1112,001,6,1,2,17,0.95,2024-09-06_16h58.36.381,MSI_TV_v3,2022.1.1,59.86554199262929,
5,0,5,0,,,,,,,,,,1,2.0,3.0,b,63.0,1.0,4.46924002178158,2.49839527409216,None,397.8809219,None,400.3646679900002,400.3646679900002,400.38130599000027,None,[],['z'],402.37009799999987,None,z,2.466205799999898,0,0,0.3333333333333333,None,406.8464909999998,None,406.8464909999998,None,,,,[0.46620579999989786],,,,,,,,,,,,,,,,,,,,,CBC_1112,001,6,1,2,17,0.95,2024-09-06_16h58.36.381,MSI_TV_v3,2022.1.1,59.86554199262929,
6,0,6,0,,,,,,,,,,0,1.0,3.0,z,27.0,1.0,4.01714354611405,2.6299100644723,None,408.64788420000014,None,411.26494309000003,411.26494309000003,411.2814534899998,None,[],['b'],413.27006930000016,None,b,2.0505113000003803,0,0,0.2857142857142857,None,417.2863209000002,None,417.2863209000002,None,,,,[0.05051130000038029],,,,,,,,,,,,,,,,,,,,,CBC_1112,001,6,1,2,17,0.95,2024-09-06_16h58.36.381,MSI_TV_v3,2022.1.1,59.86554199262929,
7,0,7,0,,,,,,,,,,1,2.0,1.0,b,9.0,1.0,4.77723667052879,1.1243895841892,None,419.09795280000026,None,420.1980529900001,420.1980529900001,420.21437188999965,None,[],['b'],422.1994380000001,None,b,2.7428576000006615,1,1,0.375,None,426.97500590000027,None,426.97500590000027,None,,,,[0.7428576000006615],,,,,,,,,,,,,,,,,,,,,CBC_1112,001,6,1,2,17,0.95,2024-09-06_16h58.36.381,MSI_TV_v3,2022.1.1,59.86554199262929,
8,0,8,0,,,,,,,,,,3,1.0,3.0,b,27.0,1.0,3.6438386551209,0.77703640172831,None,428.7810926999996,None,429.53106958999973,429.53106958999973,429.5478883900004,None,[],['b'],431.5365035,None,b,3.1578700000004574,1,1,0.4444444444444444,None,435.18838650000043,None,435.18838650000043,None,,,,[1.1578700000004574],,,,,,,,,,,,,,,,,,,,,CBC_1112,001,6,1,2,17,0.95,2024-09-06_16h58.36.381,MSI_TV_v3,2022.1.1,59.86554199262929,
9,0,9,0,,,,,,,,,,0,2.0,3.0,z,63.0,1.0,2.6391747348430608,3.33124983260532,None,436.99805510000033,None,440.3146637899999,440.3146637899999,440.3314022900003,None,[],['z'],442.31265399999984,None,z,3.0782522000004064,1,1,0.5,None,444.9599124000001,None,444.9599124000001,None,,,,[1.0782522000004064],,,,,,,,,,,,,,,,,,,,,CBC_1112,001,6,1,2,17,0.95,2024-09-06_16h58.36.381,MSI_TV_v3,2022.1.1,59.86554199262929,
10,0,10,0,,,,,,,,,,3,0.0,1.0,z,63.0,1.0,2.433630701072358,2.09887870490381,None,446.76467209999964,None,448.8476449899999,448.8476449899999,448.86423648999966,None,[],['b'],450.8490327000004,None,b,3.0183388000000377,0,0,0.45454545454545453,None,453.28322290000006,None,453.28322290000006,None,,,,[1.0183388000000377],,,,,,,,,,,,,,,,,,,,,CBC_1112,001,6,1,2,17,0.95,2024-09-06_16h58.36.381,MSI_TV_v3,2022.1.1,59.86554199262929,
11,0,11,0,,,,,,,,,,1,2.0,0.0,b,27.0,1.0,3.35133458220192,0.80788063606262,None,455.0966497000004,None,455.8811619899997,455.8811619899997,455.89782689,None,[],['z'],457.88443059999963,None,z,2.784558800000468,0,0,0.4166666666666667,None,461.2520075999996,None,461.2520075999996,None,,,,[0.7845588000004682],,,,,,,,,,,,,,,,,,,,,CBC_1112,001,6,1,2,17,0.95,2024-09-06_16h58.36.381,MSI_TV_v3,2022.1.1,59.86554199262929,
12,0,12,0,,,,,,,,,,0,2.0,3.0,z,63.0,0.0,4.12485271162806,1.18065738546375,None,463.06314020000036,None,464.21466118999973,464.21466118999973,464.23122139000037,None,[],['z'],466.2164109999999,None,z,3.617869700000938,1,0,0.46153846153846156,None,470.34501320000027,None,470.34501320000027,None,,,,[1.6178697000009379],,,,,,,,,,,,,,,,,,,,,CBC_1112,001,6,1,2,17,0.95,2024-09-06_16h58.36.381,MSI_TV_v3,2022.1.1,59.86554199262929,
13,0,13,0,,,,,,,,,,2,0.0,1.0,b,63.0,1.0,3.02234236141277,2.78346932462847,None,472.1481614999998,None,474.91439258999975,474.91439258999975,474.93083119000033,b,['b'],None,476.9591740000001,None,b,1.3359300999995867,1,1,0.5,None,479.99431930000037,None,479.99431930000037,None,,1.3359300999995867,[1.3359300999995867],,,,,,,,,,,,,,,,,,,,,,CBC_1112,001,6,1,2,17,0.95,2024-09-06_16h58.36.381,MSI_TV_v3,2022.1.1,59.86554199262929,
14,0,14,0,,,,,,,,,,1,3.0,2.0,z,63.0,1.0,2.517541937862754,3.1424449555106,None,481.7978399999997,None,484.91448439000027,484.91448439000027,484.93114378999957,None,[],['z'],486.9246367999999,None,z,2.7367088000005424,1,1,0.5333333333333333,None,489.44526089999954,None,489.44526089999954,None,,,,[0.7367088000005424],,,,,,,,,,,,,,,,,,,,,CBC_1112,001,6,1,2,17,0.95,2024-09-06_16h58.36.381,MSI_TV_v3,2022.1.1,59.86554199262929,
15,0,15,0,,,,,,,,,,2,2.0,0.0,z,27.0,1.0,2.2759877950103027,0.761758675042088,None,491.2473433,None,491.9815600900001,491.9815600900001,491.9977972899996,None,[],['z'],493.98579459999974,None,z,2.93911960000014,1,1,0.5625,None,496.2757238999998,None,496.2757238999998,None,,,,[0.93911960000014],,,,,,,,,,,,,,,,,,,,,CBC_1112,001,6,1,2,17,0.95,2024-09-06_16h58.36.381,MSI_TV_v3,2022.1.1,59.86554199262929,
16,0,16,0,,,,,,,,,,0,3.0,2.0,b,63.0,1.0,3.31929419319838,1.90743690794447,None,498.0812917999997,None,499.9645556900004,499.9645556900004,499.98130519,None,[],['b'],501.9700508000001,None,b,2.3541108000003987,1,1,0.5882352941176471,None,505.3043163999996,None,505.3043163999996,None,,,,[0.35411080000039874],,,,,,,,,,,,,,,,,,,,,CBC_1112,001,6,1,2,17,0.95,2024-09-06_16h58.36.381,MSI_TV_v3,2022.1.1,59.86554199262929,
