trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.tactile_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,image_stim_left.started,image_stim_right.started,tactile.started,response_4.keys,allKeys.keys,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.stopped,feedback_6.started,keys_6.keys,keys_6.started,keys_6.stopped,response_4.rt,allKeys.rt,keys_6.rt,keys_3.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,tactilePair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],tactile set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
,,,,311.8113529999973,None,t,74.33471149999241,311.8113529999973,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1114,001,6,1,5,19,0.95,2024-08-09_16h21.37.903,MSI_TV_v3,2022.1.1,59.84895321308817,
,,,,,,,,,,None,386.1777516000002,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1114,001,6,1,5,19,0.95,2024-08-09_16h21.37.903,MSI_TV_v3,2022.1.1,59.84895321308817,
0,0,0,0,,,,,,,,,,0,0,1,z,63,1,4.61004669244928,1.64421109900286,None,386.37756049999734,None,387.994490989999,387.994490989999,388.0111744899972,None,[],['z'],[1.385821699994267],389.9987817999936,None,z,3.385821699994267,1,1,1.0,None,394.6250876999984,None,394.6250876999984,None,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1114,001,6,1,5,19,0.95,2024-08-09_16h21.37.903,MSI_TV_v3,2022.1.1,59.84895321308817,
1,0,1,0,,,,,,,,,,1,2,3,z,63,1,4.52047235037039,1.96568735158996,None,396.4283524999919,None,398.3779567899968,398.3779567899968,398.3943648899934,None,[],['z'],[0.8811405000014929],400.38062999999966,None,z,2.881140500001493,1,1,1.0,None,404.90035630000057,None,404.90035630000057,None,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1114,001,6,1,5,19,0.95,2024-08-09_16h21.37.903,MSI_TV_v3,2022.1.1,59.84895321308817,
2,0,2,0,,,,,,,,,,0,1,3,b,27,1,3.7500315165247198,1.25920145784721,None,406.71125649999885,None,407.94450129000177,407.94450129000177,407.9612008899916,None,[],['b'],[0.20782270000199787],409.9501967999968,None,b,2.207822700001998,1,1,1.0,None,413.68854960000317,None,413.68854960000317,None,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1114,001,6,1,5,19,0.95,2024-08-09_16h21.37.903,MSI_TV_v3,2022.1.1,59.84895321308817,
3,0,3,0,,,,,,,,,,2,3,2,z,63,1,2.6391747348430608,2.15533949826702,None,415.49421219999203,None,417.6280197899963,417.6280197899963,417.6450886900042,None,[],['z'],[0.8549424999946496],419.6322775000008,None,z,2.8549424999946496,1,1,1.0,None,422.268951799997,None,422.268951799997,None,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1114,001,6,1,5,19,0.95,2024-08-09_16h21.37.903,MSI_TV_v3,2022.1.1,59.84895321308817,
4,0,4,0,,,,,,,,,,2,2,0,b,27,1,3.73326136168326,2.96653053743745,None,424.07801630000176,None,427.0280624899955,427.0280624899955,427.0449140899931,None,[],"['b', 'z']","[0.5524996999884024, 1.7034902999876067]",429.03441900000325,None,b,2.5524996999884024,1,1,1.0,None,432.77039550000336,None,432.77039550000336,None,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1114,001,6,1,5,19,0.95,2024-08-09_16h21.37.903,MSI_TV_v3,2022.1.1,59.84895321308817,
5,0,5,0,,,,,,,,,,3,3,0,z,9,1,2.526044641065533,3.1424449555106,None,434.5780805999966,None,437.69447218999846,437.69447218999846,437.71109988999376,None,[],['b'],[1.085149199992884],439.69737510000414,None,b,3.085149199992884,0,0,0.8333333333333334,None,442.2219941999938,None,442.2219941999938,None,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1114,001,6,1,5,19,0.95,2024-08-09_16h21.37.903,MSI_TV_v3,2022.1.1,59.84895321308817,
6,0,6,0,,,,,,,,,,2,3,2,z,63,1,2.342239579230602,1.21250262048173,None,444.0285944999923,None,445.2278611900023,445.2278611900023,445.24498958999754,None,[],['z'],[0.4808776999998372],447.23509190000186,None,z,2.480877699999837,1,1,0.8571428571428571,None,449.565797400006,None,449.565797400006,None,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1114,001,6,1,5,19,0.95,2024-08-09_16h21.37.903,MSI_TV_v3,2022.1.1,59.84895321308817,
7,0,7,0,,,,,,,,,,3,0,1,b,63,1,4.01714354611405,1.34668860557497,None,451.37793899999815,None,452.7113788899936,452.7113788899936,452.7280101900018,None,[],['z'],[1.0914039999915985],454.7153657000017,None,z,3.0914039999915985,0,0,0.75,None,458.7300056999957,None,458.7300056999957,None,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1114,001,6,1,5,19,0.95,2024-08-09_16h21.37.903,MSI_TV_v3,2022.1.1,59.84895321308817,
8,0,8,0,,,,,,,,,,1,3,2,b,63,1,2.82320408183943,2.22427187882546,None,460.5447864000016,None,462.74458349000486,462.74458349000486,462.76101588999734,None,[],None,,464.7462858999934,None,None,[],0,3,0.6666666666666666,None,467.5716650999966,None,467.5716650999966,None,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1114,001,6,1,5,19,0.95,2024-08-09_16h21.37.903,MSI_TV_v3,2022.1.1,59.84895321308817,
9,0,9,0,,,,,,,,,,2,2,3,b,63,1,3.6438386551209,3.24569326556923,None,469.37823180000123,None,472.6114867899945,472.6114867899945,472.6280435900029,None,[],"['b', 'z']","[0.5510011000005761, 0.6303295999969123]",474.6153043999948,None,b,2.551001100000576,1,1,0.7,None,478.25872509999317,None,478.25872509999317,None,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1114,001,6,1,5,19,0.95,2024-08-09_16h21.37.903,MSI_TV_v3,2022.1.1,59.84895321308817,
