trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.auditory_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,ImageLeft_4.started,ImageLeft_4.stopped,ImageRight_4.started,ImageRight_4.stopped,sound_4.started,sound_4.stopped,response_4.keys,response_4.started,response_4.stopped,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,response_4.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,audioPair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],audio set [1-3 / 4-6],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
,,,,28.42411200000788,None,t,58.41284960000485,28.42411200000788,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1117,002,2,3,6,22,0.90,2024-06-12_14h56.14.456,MSI_AV_v3,2022.1.1,59.78744367649312,
,,,,,,,,,,None,86.8574021000095,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1117,002,2,3,6,22,0.90,2024-06-12_14h56.14.456,MSI_AV_v3,2022.1.1,59.78744367649312,
0,0,0,0,,,,,,,,,,3,1,0,z,63,1,2.792365600763554,1.53122835510861,None,87.0574717999989,None,88.70649510000658,None,88.70649510000658,None,88.70752332000994,None,None,88.70649510000658,None,['b'],[0.43491850000282284],90.59142270000302,None,b,2.434918500002823,0,0,0.0,93.38372379999782,None,None,93.38372379999782,None,,,,,,,,,,,,,,,,,,,,,,CBC_1117,002,2,3,6,22,0.90,2024-06-12_14h56.14.456,MSI_AV_v3,2022.1.1,59.78744367649312,
1,0,1,0,,,,,,,,,,1,3,2,b,63,1,4.01714354611405,3.1963008326951,None,95.19118690000323,None,98.45382059999974,None,98.45382059999974,None,98.45743768000685,None,None,98.45382059999974,None,['z'],[0.2821808000007877],100.39091940000071,None,z,2.2821808000007877,0,0,0.0,104.40093760000309,None,None,104.40093760000309,None,,,,,,,,,,,,,,,,,,,,,,CBC_1117,002,2,3,6,22,0.90,2024-06-12_14h56.14.456,MSI_AV_v3,2022.1.1,59.78744367649312,
2,0,2,0,,,,,,,,,,0,2,0,b,27,1,2.592312596923728,2.6299100644723,None,106.20747520000441,None,108.9005826000066,None,108.9005826000066,None,108.90771418001387,None,None,108.9005826000066,None,['b'],[0.9698454000026686],110.84117020000122,None,b,2.9698454000026686,1,1,0.3333333333333333,113.43153610000445,None,None,113.43153610000445,None,,,,,,,,,,,,,,,,,,,,,,CBC_1117,002,2,3,6,22,0.90,2024-06-12_14h56.14.456,MSI_AV_v3,2022.1.1,59.78744367649312,
3,0,3,0,,,,,,,,,,3,1,0,z,63,1,2.517541937862754,1.52290599571961,None,115.24088559999655,None,116.7799595999968,None,116.7799595999968,None,116.79131952000317,None,None,116.7799595999968,None,['z'],[0.7148239000089234],118.75761470000725,None,z,2.7148239000089234,1,1,0.5,121.26454570000351,None,None,121.26454570000351,None,,,,,,,,,,,,,,,,,,,,,,CBC_1117,002,2,3,6,22,0.90,2024-06-12_14h56.14.456,MSI_AV_v3,2022.1.1,59.78744367649312,
4,0,4,0,,,,,,,,,,2,3,1,z,27,1,2.526044641065533,3.33124983260532,None,123.0746000000072,None,126.45598490000702,None,126.45598490000702,None,126.45863040001132,None,None,126.45598490000702,None,['b'],[0.3084079000109341],128.4073073000036,None,b,2.308407900010934,0,0,0.4,130.92610320000676,None,None,130.92610320000676,None,,,,,,,,,,,,,,,,,,,,,,CBC_1117,002,2,3,6,22,0.90,2024-06-12_14h56.14.456,MSI_AV_v3,2022.1.1,59.78744367649312,
5,0,5,0,,,,,,,,,,0,2,3,b,63,1,3.31929419319838,0.979776149765883,None,132.74119680000877,None,133.72660780001024,None,133.72660780001024,None,133.72443704000327,None,None,133.72660780001024,None,['z'],[0.6799044000072172],135.70797980000498,None,z,2.679904400007217,0,0,0.3333333333333333,139.00809329999902,None,None,139.00809329999902,None,,,,,,,,,,,,,,,,,,,,,,CBC_1117,002,2,3,6,22,0.90,2024-06-12_14h56.14.456,MSI_AV_v3,2022.1.1,59.78744367649312,
6,0,6,0,,,,,,,,,,1,2,3,z,63,0,2.91303524001082,1.27538462653558,None,140.80768350001017,None,142.09377950000635,None,142.09377950000635,None,142.09105754000777,None,None,142.09377950000635,None,['b'],[0.26971880000201054],144.07477990000916,None,b,2.2697188000020105,0,1,0.2857142857142857,146.96886020000966,None,None,146.96886020000966,None,,,,,,,,,,,,,,,,,,,,,,CBC_1117,002,2,3,6,22,0.90,2024-06-12_14h56.14.456,MSI_AV_v3,2022.1.1,59.78744367649312,
7,0,7,0,,,,,,,,,,2,1,0,b,63,1,2.693348633324513,2.49839527409216,None,148.77454359999683,None,151.2969532999996,None,151.2969532999996,None,151.30790692001173,None,None,151.2969532999996,None,['b'],[0.3542858000000706],153.27451750000182,None,b,2.3542858000000706,1,1,0.375,155.95838199999707,None,None,155.95838199999707,None,,,,,,,,,,,,,,,,,,,,,,CBC_1117,002,2,3,6,22,0.90,2024-06-12_14h56.14.456,MSI_AV_v3,2022.1.1,59.78744367649312,
