trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.auditory_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,ImageLeft_4.started,ImageLeft_4.stopped,ImageRight_4.started,ImageRight_4.stopped,sound_4.started,sound_4.stopped,response_4.keys,response_4.rt,response_4.started,response_4.stopped,response_5.keys,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,response_5.rt,keys_6.rt,keys_3.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,audioPair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],audio set [1-3 / 4-6],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
,,,,25.169745399998646,None,t,59.17658920000213,25.169745399998646,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1119,3,3,1,4,0,0.90,2024-05-22_16h30.20.038,MSI_AV_v3,2022.1.1,60.03492832167757,
,,,,,,,,,,None,84.36349629999859,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1119,3,3,1,4,0,0.90,2024-05-22_16h30.20.038,MSI_AV_v3,2022.1.1,60.03492832167757,
0,0,0,0,,,,,,,,,,1,1.0,0.0,b,63.0,1.0,2.2759877950103027,1.34668860557497,None,84.56399939999937,None,86.0372157999991,None,86.0372157999991,None,86.04649215999925,None,['b'],[1.7667076000016095],86.0372157999991,None,None,87.91460529999858,None,b,1.7667076000016095,1,1,1.0,90.21761960000003,None,None,90.21761960000003,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1119,3,3,1,4,0,0.90,2024-05-22_16h30.20.038,MSI_AV_v3,2022.1.1,60.03492832167757,
1,0,1,0,,,,,,,,,,0,1.0,0.0,z,63.0,1.0,3.73326136168326,1.25920145784721,None,92.01376899999923,None,93.30270219999875,None,93.30270219999875,None,93.31309469999906,None,None,,93.30270219999875,None,['b'],95.26369429999977,None,b,2.062385800001721,0,0,0.5,98.97973509999974,None,None,98.97973509999974,None,[0.06238580000172078],,,,,,,,,,,,,,,,,,,,,,,CBC_1119,3,3,1,4,0,0.90,2024-05-22_16h30.20.038,MSI_AV_v3,2022.1.1,60.03492832167757,
2,0,2,0,,,,,,,,,,3,3.0,2.0,b,63.0,1.0,2.6391747348430608,0.974903167432984,None,100.78065759999845,None,101.78908489999958,None,101.78908489999958,None,101.79672129999926,None,['b'],[1.2574472000014794],101.78908489999958,None,None,103.76643309999963,None,b,1.2574472000014794,1,1,0.6666666666666666,106.41929229999914,None,None,106.41929229999914,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1119,3,3,1,4,0,0.90,2024-05-22_16h30.20.038,MSI_AV_v3,2022.1.1,60.03492832167757,
3,0,3,0,,,,,,,,,,1,1.0,2.0,b,9.0,1.0,2.792365600763554,1.64421109900286,None,108.23028739999972,None,109.86437309999928,None,109.86437309999928,None,109.86240561999983,None,None,,109.86437309999928,None,['z'],111.8468785999994,None,z,4.055567400000655,0,0,0.5,114.6267603999986,None,"['b', 'b']",114.6267603999986,None,[2.0555674000006547],"[1.153952600001503, 1.602155100001255]",,,,,,,,,,,,,,,,,,,,,,CBC_1119,3,3,1,4,0,0.90,2024-05-22_16h30.20.038,MSI_AV_v3,2022.1.1,60.03492832167757,
4,0,4,0,,,,,,,,,,0,2.0,0.0,z,27.0,1.0,2.82320408183943,0.979776149765883,"['b', 'b']",116.43022149999888,None,117.4159955999985,None,117.4159955999985,None,117.4123953199989,None,['b'],[1.9079543000025296],117.4159955999985,None,None,119.41551939999954,None,b,1.9079543000025296,0,0,0.4,122.24617269999908,None,None,122.24617269999908,None,,,"[0.06430750000072294, 0.5360084000003553]",,,,,,,,,,,,,,,,,,,,,CBC_1119,3,3,1,4,0,0.90,2024-05-22_16h30.20.038,MSI_AV_v3,2022.1.1,60.03492832167757,
5,0,5,0,,,,,,,,,,2,3.0,2.0,z,63.0,1.0,4.82531807167306,1.53122835510861,None,124.04708749999918,None,125.62800519999837,None,125.62800519999837,None,125.63032699999894,None,['b'],[1.8360462000018742],125.62800519999837,None,None,127.58367889999863,None,b,1.8360462000018742,0,0,0.3333333333333333,132.4045604999992,None,None,132.4045604999992,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1119,3,3,1,4,0,0.90,2024-05-22_16h30.20.038,MSI_AV_v3,2022.1.1,60.03492832167757,
6,0,6,0,,,,,,,,,,3,3.0,1.0,b,27.0,1.0,2.666404967794728,1.52290599571961,None,134.21339999999873,None,135.75103959999979,None,135.75103959999979,None,135.74703367999862,None,['b'],[1.4774327000013727],135.75103959999979,None,None,137.73425529999986,None,b,1.4774327000013727,1,1,0.42857142857142855,140.39621819999957,None,None,140.39621819999957,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1119,3,3,1,4,0,0.90,2024-05-22_16h30.20.038,MSI_AV_v3,2022.1.1,60.03492832167757,
7,0,7,0,,,,,,,,,,0,0.0,1.0,b,63.0,1.0,4.77034425507967,1.96568735158996,None,142.19699769999897,None,144.18490289999863,None,144.18490289999863,None,144.19710223999974,None,['z'],[1.7166124000013951],144.18490289999863,None,None,146.18204049999986,None,z,1.7166124000013951,0,0,0.375,150.95400840000002,None,None,150.95400840000002,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1119,3,3,1,4,0,0.90,2024-05-22_16h30.20.038,MSI_AV_v3,2022.1.1,60.03492832167757,
8,0,8,0,,,,,,,,,,2,0.0,2.0,z,27.0,1.0,2.294664843639333,1.90743690794447,None,152.76390619999984,None,154.68363639999916,None,154.68363639999916,None,154.68092817999857,None,['z'],[1.0054835000028106],154.68363639999916,None,None,156.6842758999992,None,z,1.0054835000028106,1,1,0.4444444444444444,158.98729359999925,None,None,158.98729359999925,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1119,3,3,1,4,0,0.90,2024-05-22_16h30.20.038,MSI_AV_v3,2022.1.1,60.03492832167757,
9,0,9,0,,,,,,,,,,3,3.0,2.0,b,63.0,1.0,4.40017271499661,1.18065738546375,None,160.7963639999998,None,161.98342779999984,None,161.98342779999984,None,161.98035857999892,None,['b'],[1.656250000001819],161.98342779999984,None,None,163.9801897999987,None,b,1.656250000001819,1,1,0.5,168.37943709999854,None,None,168.37943709999854,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1119,3,3,1,4,0,0.90,2024-05-22_16h30.20.038,MSI_AV_v3,2022.1.1,60.03492832167757,
10,0,10,0,,,,,,,,,,1,0.0,1.0,z,63.0,0.0,3.35133458220192,2.15533949826702,None,170.18077829999856,None,172.3544155999989,None,172.3544155999989,None,172.36376293999857,None,None,,172.3544155999989,None,"['b', 'z', 'z', 'z']",174.33069849999993,None,b,2.105246500001158,0,1,0.45454545454545453,177.6795418999991,None,None,177.6795418999991,None,"[0.10524650000115798, 0.6217642000010528, 1.0994908000011492, 1.5288700000019162]",,,,,,,,,,,,,,,,,,,,,,,CBC_1119,3,3,1,4,0,0.90,2024-05-22_16h30.20.038,MSI_AV_v3,2022.1.1,60.03492832167757,
11,0,11,0,,,,,,,,,,0,1.0,0.0,z,63.0,1.0,2.433630701072358,2.22427187882546,None,179.48073369999838,None,181.71918379999988,None,181.71918379999988,None,181.73038953999858,None,None,,181.71918379999988,None,['b'],183.69618919999994,None,b,2.0612515000011626,0,0,0.4166666666666667,186.11298389999865,None,None,186.11298389999865,None,[0.06125150000116264],,,,,,,,,,,,,,,,,,,,,,,CBC_1119,3,3,1,4,0,0.90,2024-05-22_16h30.20.038,MSI_AV_v3,2022.1.1,60.03492832167757,
12,0,12,0,,,,,,,,,,3,3.0,2.0,b,63.0,1.0,2.496959177995529,0.80788063606262,None,187.91393939999944,None,188.73826219999864,None,188.73826219999864,None,188.74712753999884,None,None,,188.73826219999864,None,['b'],190.71367439999995,None,b,2.28523370000039,1,1,0.46153846153846156,193.2077107999994,None,None,193.2077107999994,None,[0.28523370000038994],,,,,,,,,,,,,,,,,,,,,,,CBC_1119,3,3,1,4,0,0.90,2024-05-22_16h30.20.038,MSI_AV_v3,2022.1.1,60.03492832167757,
13,0,13,0,,,,,,,,,,2,0.0,2.0,z,27.0,1.0,4.01714354611405,2.78346932462847,None,195.0137595999986,None,197.81982900000003,None,197.81982900000003,None,197.8306180399999,None,['z'],[1.7358240000012302],197.81982900000003,None,None,199.81228999999985,None,z,1.7358240000012302,1,1,0.5,203.83925139999883,None,None,203.83925139999883,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1119,3,3,1,4,0,0.90,2024-05-22_16h30.20.038,MSI_AV_v3,2022.1.1,60.03492832167757,
14,0,14,0,,,,,,,,,,0,1.0,0.0,z,63.0,1.0,2.693348633324513,0.952147612306987,None,205.64722660000007,None,206.61865899999975,None,206.61865899999975,None,206.6305597399991,None,['z'],[0.7784938000004331],206.61865899999975,None,None,208.61805449999883,None,z,0.7784938000004331,1,1,0.5333333333333333,211.32200679999914,None,None,211.32200679999914,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1119,3,3,1,4,0,0.90,2024-05-22_16h30.20.038,MSI_AV_v3,2022.1.1,60.03492832167757,
15,0,15,0,,,,,,,,,,1,3.0,1.0,z,27.0,1.0,3.6438386551209,2.40378712856304,None,213.13074199999937,None,215.55302479999955,None,215.55302479999955,None,215.54731797999992,None,['b'],[1.7521472000007634],215.55302479999955,None,"['z', 'z', 'z']",217.55072569999902,None,b,1.7521472000007634,0,0,0.5,221.2018062999996,None,"['z', 'z']",221.2018062999996,None,"[2.426851700001862, 3.0423933000020043, 3.5758379000017158]","[0.6219973000006576, 1.3005063000000519]",,,,,,,,,,,,,,,,,,,,,,CBC_1119,3,3,1,4,0,0.90,2024-05-22_16h30.20.038,MSI_AV_v3,2022.1.1,60.03492832167757,
16,0,16,0,,,,,,,,,,2,2.0,3.0,b,63.0,1.0,4.46924002178158,3.1963008326951,None,223.01421649999975,None,226.2359775999994,None,226.2359775999994,None,226.24742643999926,None,None,,226.2359775999994,None,"['z', 'b', 'b']",228.2137645999992,None,z,2.451675200001773,0,0,0.47058823529411764,232.66847999999845,None,"['b', 'b']",232.66847999999845,None,"[0.4516752000017732, 3.680157800001325, 4.234643000001597]","[0.38946040000155335, 1.150367100002768]",,,,,,,,,,,,,,,,,,,,,,CBC_1119,3,3,1,4,0,0.90,2024-05-22_16h30.20.038,MSI_AV_v3,2022.1.1,60.03492832167757,
17,0,17,0,,,,,,,,,,3,3.0,2.0,b,63.0,0.0,2.517541937862754,2.10421507306074,None,234.4808710999987,None,236.6018884999994,None,236.6018884999994,None,236.59745207999984,None,None,,236.6018884999994,None,"['z', 'b', 'b', 'b', 'b']",238.5810296999989,None,z,2.3114853000024596,0,1,0.4444444444444444,241.09115089999977,None,None,241.09115089999977,None,"[0.31148530000245955, 1.240621500002817, 1.739626100003079, 1.984051700002965, 2.2373729000028106]",,,,,,,,,,,,,,,,,,,,,,,CBC_1119,3,3,1,4,0,0.90,2024-05-22_16h30.20.038,MSI_AV_v3,2022.1.1,60.03492832167757,
18,0,18,0,,,,,,,,,,1,0.0,1.0,z,63.0,1.0,2.526044641065533,1.78643585472448,None,242.89651869999943,None,244.70091460000003,None,244.70091460000003,None,244.69744007999978,None,['z'],[1.0572602000011102],244.70091460000003,None,None,246.6997309999988,None,z,1.0572602000011102,1,1,0.47368421052631576,249.2343327999988,None,None,249.2343327999988,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1119,3,3,1,4,0,0.90,2024-05-22_16h30.20.038,MSI_AV_v3,2022.1.1,60.03492832167757,
19,0,19,0,,,,,,,,,,0,0.0,2.0,b,27.0,1.0,2.342239579230602,2.09887870490381,None,251.04762559999836,None,253.1511534000001,None,253.1511534000001,None,253.16331907999918,None,['b'],[0.911675400002423],253.1511534000001,None,None,255.1649250999999,None,b,0.911675400002423,1,1,0.5,257.5192526999999,None,None,257.5192526999999,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1119,3,3,1,4,0,0.90,2024-05-22_16h30.20.038,MSI_AV_v3,2022.1.1,60.03492832167757,
