trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.tactile_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,image_stim_left.started,image_stim_right.started,tactile.started,response_4.keys,allKeys.keys,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.stopped,feedback_6.started,keys_6.keys,keys_6.started,keys_6.stopped,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,tactilePair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],tactile set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
,,,,37.75448529999994,None,t,46.46138739999151,37.75448529999994,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1127,003,3,3,0,5,0.95,2024-06-26_17h06.56.696,MSI_TV_v3,2022.1.1,59.95358393696405,
,,,,,,,,,,None,84.2343658000027,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1127,003,3,3,0,5,0.95,2024-06-26_17h06.56.696,MSI_TV_v3,2022.1.1,59.95358393696405,
0,0,0,0,,,,,,,,,,3,0.0,1.0,z,63.0,1.0,2.693348633324513,3.1424449555106,None,84.43434010000055,None,87.55035788999812,87.55035788999812,87.56663829000463,None,[],['z'],[0.890671499997552],89.55050589999883,None,z,2.890671499997552,1,1,1.0,None,92.25274979999813,None,92.25274979999813,None,,,,,,,,,,,,,,,,,,,,,CBC_1127,003,3,3,0,5,0.95,2024-06-26_17h06.56.696,MSI_TV_v3,2022.1.1,59.95358393696405,
1,0,1,0,,,,,,,,,,0,0.0,1.0,b,63.0,1.0,4.46924002178158,3.33124983260532,None,94.05117430000246,None,97.36776409000159,97.36776409000159,97.38441929000255,None,[],['b'],[0.46520139999483945],99.37216830000398,None,b,2.4652013999948394,1,1,1.0,None,103.84006349999981,None,103.84006349999981,None,,,,,,,,,,,,,,,,,,,,,CBC_1127,003,3,3,0,5,0.95,2024-06-26_17h06.56.696,MSI_TV_v3,2022.1.1,59.95358393696405,
2,0,2,0,,,,,,,,,,1,2.0,3.0,z,63.0,1.0,2.6391747348430608,2.15533949826702,None,105.65029589999904,None,107.78433679000155,107.78433679000155,107.80115149000194,None,[],['b'],[0.5407120999952895],109.79225589999987,None,b,2.5407120999952895,0,0,0.6666666666666666,None,112.43727390000277,None,112.43727390000277,None,,,,,,,,,,,,,,,,,,,,,CBC_1127,003,3,3,0,5,0.95,2024-06-26_17h06.56.696,MSI_TV_v3,2022.1.1,59.95358393696405,
3,0,3,0,,,,,,,,,,3,2.0,1.0,z,9.0,1.0,4.190022164497369,1.53243550275999,None,114.25099369999953,None,115.76718759000069,115.76718759000069,115.78374849000393,None,[],['b'],[2.148259199995664],117.76458260000072,None,b,4.148259199995664,0,0,0.5,None,121.94449400000303,None,121.94449400000303,None,,,,,,,,,,,,,,,,,,,,,CBC_1127,003,3,3,0,5,0.95,2024-06-26_17h06.56.696,MSI_TV_v3,2022.1.1,59.95358393696405,
4,0,4,0,,,,,,,,,,0,0.0,2.0,b,27.0,1.0,3.6438386551209,1.1243895841892,None,123.7511783000009,None,124.85122319000511,124.85122319000511,124.86801299000508,None,[],['z'],[1.264313999992737],126.85668350000196,None,z,3.264313999992737,0,0,0.4,None,130.5115444000039,None,130.5115444000039,None,,,,,,,,,,,,,,,,,,,,,CBC_1127,003,3,3,0,5,0.95,2024-06-26_17h06.56.696,MSI_TV_v3,2022.1.1,59.95358393696405,
5,0,5,0,,,,,,,,,,2,2.0,3.0,b,63.0,1.0,2.2759877950103027,1.64421109900286,None,132.31827010000416,None,133.95059849000535,133.95059849000535,133.96736329000413,None,[],['b'],[0.3979749999998603],135.95208139999886,None,b,2.3979749999998603,1,1,0.5,None,138.22919620000175,None,138.22919620000175,None,,,,,,,,,,,,,,,,,,,,,CBC_1127,003,3,3,0,5,0.95,2024-06-26_17h06.56.696,MSI_TV_v3,2022.1.1,59.95358393696405,
6,0,6,0,,,,,,,,,,1,1.0,3.0,z,27.0,1.0,3.7500315165247198,3.4543169006169,None,140.03454580000107,None,143.46814189000287,143.46814189000287,143.48481399000156,None,[],['b'],[0.5356126999977278],145.4741639999993,None,b,2.5356126999977278,0,0,0.42857142857142855,None,149.225153899999,None,149.225153899999,None,,,,,,,,,,,,,,,,,,,,,CBC_1127,003,3,3,0,5,0.95,2024-06-26_17h06.56.696,MSI_TV_v3,2022.1.1,59.95358393696405,
7,0,7,0,,,,,,,,,,0,1.0,0.0,z,63.0,1.0,2.7134565917469198,0.761758675042088,None,151.03473810000287,None,151.76681249000393,151.76681249000393,151.78378429000003,None,[],['b'],[0.8035212999966461],153.76471740000125,None,b,2.803521299996646,0,0,0.375,None,156.48404509999818,None,156.48404509999818,None,,,,,,,,,,,,,,,,,,,,,CBC_1127,003,3,3,0,5,0.95,2024-06-26_17h06.56.696,MSI_TV_v3,2022.1.1,59.95358393696405,
