trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.auditory_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,ImageLeft_4.started,ImageLeft_4.stopped,ImageRight_4.started,ImageRight_4.stopped,sound_4.started,sound_4.stopped,response_4.keys,response_4.started,response_4.stopped,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,keys_6.rt,keys_3.rt,response_4.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,audioPair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],audio set [1-3 / 4-6],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
,,,,34.437405300001046,None,t,39.61724259999937,34.437405300001046,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1136,4,3,3,5,17,0.95,2024-09-11_17h04.04.997,MSI_AV_v3,2022.1.1,60.05295469537539,
,,,,,,,,,,None,74.08242140000038,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1136,4,3,3,5,17,0.95,2024-09-11_17h04.04.997,MSI_AV_v3,2022.1.1,60.05295469537539,
0,0,0,0,,,,,,,,,,3,0,1,z,63,1,2.82320408183943,0.761758675042088,None,74.28263169999991,None,75.24907040000107,None,75.24907040000107,None,75.2490074999987,None,None,75.24907040000107,None,['b'],[0.7116843999992852],77.03265590000046,None,b,2.7116843999992852,0,0,0.0,79.85059349999938,None,None,79.85059349999938,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1136,4,3,3,5,17,0.95,2024-09-11_17h04.04.997,MSI_AV_v3,2022.1.1,60.05295469537539,
1,0,1,0,,,,,,,,,,0,2,3,z,63,1,4.61004669244928,3.40155979865722,None,81.64932360000057,None,85.15841809999984,None,85.15841809999984,None,85.16567479999867,None,None,85.15841809999984,None,['b'],[0.6488748000010673],87.04934150000008,None,b,2.6488748000010673,0,0,0.0,91.64805089999936,None,None,91.64805089999936,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1136,4,3,3,5,17,0.95,2024-09-11_17h04.04.997,MSI_AV_v3,2022.1.1,60.05295469537539,
2,0,2,0,,,,,,,,,,3,1,3,b,27,1,4.01714354611405,0.979776149765883,None,93.44960060000085,None,94.45324509999955,None,94.45324509999955,None,94.44925929999954,None,None,94.45324509999955,None,['b'],[0.5022136999996292],96.43260770000052,None,b,2.502213699999629,1,1,0.3333333333333333,100.44308730000012,None,None,100.44308730000012,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1136,4,3,3,5,17,0.95,2024-09-11_17h04.04.997,MSI_AV_v3,2022.1.1,60.05295469537539,
3,0,3,0,,,,,,,,,,1,3,2,z,63,1,4.7533305109883095,3.1963008326951,None,102.24935379999988,None,105.5235477999995,None,105.5235477999995,None,105.51582219999909,None,None,105.5235477999995,None,['b'],[1.502622899999551],107.44917279999936,None,b,3.502622899999551,0,0,0.25,112.19447519999994,None,None,112.19447519999994,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1136,4,3,3,5,17,0.95,2024-09-11_17h04.04.997,MSI_AV_v3,2022.1.1,60.05295469537539,
4,0,4,0,,,,,,,,,,1,2,0,b,27,1,4.72585056748869,1.43470440954152,None,113.99927019999996,None,115.45497740000064,None,115.45497740000064,None,115.46594580000055,None,None,115.45497740000064,None,['z'],[1.2817785000006552],117.43240420000075,None,z,3.281778500000655,0,0,0.2,122.14662830000088,None,None,122.14662830000088,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1136,4,3,3,5,17,0.95,2024-09-11_17h04.04.997,MSI_AV_v3,2022.1.1,60.05295469537539,
5,0,5,0,,,,,,,,,,2,3,0,z,9,1,3.73326136168326,1.53243550275999,None,123.95017120000011,None,125.54267360000085,None,125.54267360000085,None,125.54949979999947,None,None,125.54267360000085,None,['z'],[0.5190082999997685],127.4825452999994,None,z,2.5190082999997685,1,1,0.3333333333333333,131.2101247999999,None,None,131.2101247999999,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1136,4,3,3,5,17,0.95,2024-09-11_17h04.04.997,MSI_AV_v3,2022.1.1,60.05295469537539,
6,0,6,0,,,,,,,,,,1,3,2,z,63,1,2.294664843639333,1.18065738546375,None,133.01580380000087,None,134.22045059999982,None,134.22045059999982,None,134.21660859999974,None,None,134.22045059999982,None,['z'],[0.5906587000008585],136.19899629999964,None,z,2.5906587000008585,1,1,0.42857142857142855,138.47956320000048,None,None,138.47956320000048,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1136,4,3,3,5,17,0.95,2024-09-11_17h04.04.997,MSI_AV_v3,2022.1.1,60.05295469537539,
7,0,7,0,,,,,,,,,,2,0,1,b,63,1,4.82531807167306,1.21250262048173,None,140.28274729999976,None,141.52215050000086,None,141.52215050000086,None,141.53261340000063,None,None,141.52215050000086,None,['z'],[0.8575717000003351],143.49948940000104,None,z,2.857571700000335,0,0,0.375,148.3152009000005,None,None,148.3152009000005,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1136,4,3,3,5,17,0.95,2024-09-11_17h04.04.997,MSI_AV_v3,2022.1.1,60.05295469537539,
8,0,8,0,,,,,,,,,,0,3,2,b,63,1,3.76873691643126,1.78643585472448,None,150.11610819999987,None,151.9224778000007,None,151.9224778000007,None,151.93281670000033,None,None,151.9224778000007,None,['z'],[1.2792635000005248],153.8994772999995,None,z,3.279263500000525,0,0,0.3333333333333333,157.65379530000064,None,None,157.65379530000064,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1136,4,3,3,5,17,0.95,2024-09-11_17h04.04.997,MSI_AV_v3,2022.1.1,60.05295469537539,
9,0,9,0,,,,,,,,,,1,2,3,b,63,1,3.3728785608729996,1.52290599571961,None,159.46608299999934,None,161.00440890000027,None,161.00440890000027,None,161.00024900000062,None,None,161.00440890000027,None,['b'],[0.4231214999999793],162.9826549999998,None,b,2.4231214999999793,1,1,0.4,166.33630559999983,None,None,166.33630559999983,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1136,4,3,3,5,17,0.95,2024-09-11_17h04.04.997,MSI_AV_v3,2022.1.1,60.05295469537539,
10,0,10,0,,,,,,,,,,0,1,3,z,27,1,4.52047235037039,1.34668860557497,None,168.15011690000028,None,169.52022439999928,None,169.52022439999928,None,169.51606680000077,None,None,169.52022439999928,None,['b'],[0.8098841999981232],171.49825050000072,None,b,2.809884199998123,0,0,0.36363636363636365,175.99952140000096,None,None,175.99952140000096,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1136,4,3,3,5,17,0.95,2024-09-11_17h04.04.997,MSI_AV_v3,2022.1.1,60.05295469537539,
11,0,11,0,,,,,,,,,,2,1,0,z,63,0,2.678526077912375,3.24569326556923,None,177.7995566999998,None,181.06911480000053,None,181.06911480000053,None,181.0659995999995,None,None,181.06911480000053,None,['b'],[1.2154537000005803],183.04963739999948,None,b,3.2154537000005803,0,1,0.3333333333333333,185.71761080000033,None,None,185.71761080000033,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1136,4,3,3,5,17,0.95,2024-09-11_17h04.04.997,MSI_AV_v3,2022.1.1,60.05295469537539,
12,0,12,0,,,,,,,,,,1,2,3,b,63,1,4.40017271499661,1.53122835510861,None,187.53338670000085,None,189.07158829999935,None,189.07158829999935,None,189.08161400000063,None,None,189.07158829999935,None,['z'],[0.9872118999992381],191.0497133000008,None,z,2.987211899999238,0,0,0.3076923076923077,195.43406739999955,None,None,195.43406739999955,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1136,4,3,3,5,17,0.95,2024-09-11_17h04.04.997,MSI_AV_v3,2022.1.1,60.05295469537539,
13,0,13,0,,,,,,,,,,2,0,2,b,27,1,2.792365600763554,0.952147612306987,None,197.24940090000018,None,198.22272580000026,None,198.22272580000026,None,198.2168256999994,None,None,198.22272580000026,None,"['b', 'z']","[1.2933917999998812, 2.066032199998517]",200.19953800000076,None,b,3.293391799999881,1,1,0.35714285714285715,202.98549959999946,None,None,202.98549959999946,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1136,4,3,3,5,17,0.95,2024-09-11_17h04.04.997,MSI_AV_v3,2022.1.1,60.05295469537539,
14,0,14,0,,,,,,,,,,3,0,1,z,63,1,4.77034425507967,2.6299100644723,None,204.799333500001,None,207.45257130000027,None,207.45257130000027,None,207.44965129999946,None,None,207.45257130000027,None,['z'],[1.2424890000002051],209.43276200000037,None,z,3.242489000000205,1,1,0.4,214.20023729999957,None,None,214.20023729999957,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1136,4,3,3,5,17,0.95,2024-09-11_17h04.04.997,MSI_AV_v3,2022.1.1,60.05295469537539,
15,0,15,0,,,,,,,,,,0,3,2,b,63,1,2.91303524001082,2.40378712856304,None,215.99969150000106,None,218.41766749999988,None,218.41766749999988,None,218.41610240000045,None,None,218.41766749999988,None,['z'],[0.8289389000001393],220.39953570000034,None,z,2.8289389000001393,0,0,0.375,223.29520890000094,None,None,223.29520890000094,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1136,4,3,3,5,17,0.95,2024-09-11_17h04.04.997,MSI_AV_v3,2022.1.1,60.05295469537539,
16,0,16,0,,,,,,,,,,3,1,2,b,9,1,2.7134565917469198,1.12425433982333,None,225.09843680000085,None,226.2398659999999,None,226.2398659999999,None,226.24959370000033,None,None,226.2398659999999,None,None,,228.21623910000017,None,[],[],0,3,0.35294117647058826,230.9214979999997,None,['z'],230.9214979999997,None,[1.643314000000828],,,,,,,,,,,,,,,,,,,,,,,CBC_1136,4,3,3,5,17,0.95,2024-09-11_17h04.04.997,MSI_AV_v3,2022.1.1,60.05295469537539,
17,0,17,0,,,,,,,,,,0,1,3,z,27,1,2.517541937862754,3.4543169006169,['b'],232.73330429999987,None,236.2030692999997,None,236.2030692999997,None,236.20011779999913,None,None,236.2030692999997,None,['z'],[0.5104510000001028],238.1829756999996,None,z,2.510451000000103,1,1,0.3888888888888889,240.68339930000002,None,None,240.68339930000002,None,,[0.1927823999994871],,,,,,,,,,,,,,,,,,,,,,CBC_1136,4,3,3,5,17,0.95,2024-09-11_17h04.04.997,MSI_AV_v3,2022.1.1,60.05295469537539,
