trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.tactile_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,image_stim_left.started,image_stim_right.started,tactile.started,response_4.keys,allKeys.keys,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.stopped,feedback_6.started,keys_6.keys,keys_6.started,keys_6.stopped,response_4.rt,allKeys.rt,keys_6.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,tactilePair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],tactile set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
,,,,245.99181640000006,None,t,84.47037470000032,245.99181640000006,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1138,001,4,3,4,19,0.95,2024-07-24_14h19.30.560,MSI_TV_v3,2022.1.1,60.119312788352005,
,,,,,,,,,,None,330.48181360000035,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1138,001,4,3,4,19,0.95,2024-07-24_14h19.30.560,MSI_TV_v3,2022.1.1,60.119312788352005,
0,0,0,0,,,,,,,,,,0,1.0,0.0,b,63.0,1.0,4.11514536789087,0.80788063606262,None,330.68243770000026,None,331.4663865800003,331.4663865800003,331.48277807999966,None,[],['z'],[0.5420387999993181],333.47616930000004,None,z,2.542038799999318,0,0,0.0,None,337.6108178000004,None,337.6108178000004,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1138,001,4,3,4,19,0.95,2024-07-24_14h19.30.560,MSI_TV_v3,2022.1.1,60.119312788352005,
1,0,1,0,,,,,,,,,,3,1.0,0.0,z,63.0,1.0,4.72585056748869,2.15533949826702,None,339.4163779999999,None,341.54922368000007,341.54922368000007,341.5658131800001,None,[],['b'],[1.2675181000004159],343.55153809999956,None,b,3.267518100000416,0,0,0.0,None,348.2730101999996,None,348.2730101999996,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1138,001,4,3,4,19,0.95,2024-07-24_14h19.30.560,MSI_TV_v3,2022.1.1,60.119312788352005,
2,0,2,0,,,,,,,,,,1,3.0,2.0,b,63.0,1.0,2.678526077912375,1.53122835510861,None,350.0834037000004,None,351.59947808000015,351.59947808000015,351.61645917999977,None,[],['z'],[2.6014562999998816],353.60134780000044,None,z,4.601456299999882,0,0,0.0,None,356.27859720000015,None,356.27859720000015,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1138,001,4,3,4,19,0.95,2024-07-24_14h19.30.560,MSI_TV_v3,2022.1.1,60.119312788352005,
3,0,3,0,,,,,,,,,,0,1.0,2.0,b,9.0,1.0,3.2062024266105302,1.25817747924478,None,358.0835624000001,None,359.3162193799999,359.3162193799999,359.33298467999975,None,[],['b'],[0.8859789000007368],361.3158018000004,None,b,2.8859789000007368,1,1,0.25,None,364.52350920000026,None,364.52350920000026,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1138,001,4,3,4,19,0.95,2024-07-24_14h19.30.560,MSI_TV_v3,2022.1.1,60.119312788352005,
4,0,4,0,,,,,,,,,,3,2.0,0.0,z,27.0,1.0,3.73326136168326,1.60731937853708,None,366.3327615999997,None,367.9166426800002,367.9166426800002,367.93324458000006,None,[],['z'],[2.348992299999736],369.92278609999994,None,z,4.348992299999736,1,1,0.4,None,373.65547100000003,None,373.65547100000003,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1138,001,4,3,4,19,0.95,2024-07-24_14h19.30.560,MSI_TV_v3,2022.1.1,60.119312788352005,
5,0,5,0,,,,,,,,,,2,3.0,2.0,z,63.0,1.0,2.92731383428727,0.761758675042088,None,375.4661822999997,None,376.20020097999986,376.20020097999986,376.21662328,None,[],['b'],[1.2507709000001341],378.2039477999997,None,b,3.250770900000134,0,0,0.3333333333333333,None,381.1288894999998,None,381.1288894999998,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1138,001,4,3,4,19,0.95,2024-07-24_14h19.30.560,MSI_TV_v3,2022.1.1,60.119312788352005,
6,0,6,0,,,,,,,,,,1,3.0,1.0,b,27.0,1.0,4.12485271162806,3.06992456303453,None,382.9332162999999,None,385.98318698,385.98318698,385.9998832800002,None,[],['z'],[1.0615152999998827],387.9897560999998,None,z,3.0615152999998827,0,0,0.2857142857142857,None,392.1170954999998,None,392.1170954999998,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1138,001,4,3,4,19,0.95,2024-07-24_14h19.30.560,MSI_TV_v3,2022.1.1,60.119312788352005,
7,0,7,0,,,,,,,,,,3,0.0,1.0,b,63.0,1.0,3.7500315165247198,3.24569326556923,None,393.9165455000002,None,397.1500798799998,397.1500798799998,397.16631398000027,None,[],['b'],[0.8547225000002072],399.15522090000013,None,b,2.854722500000207,1,1,0.375,None,402.9001538000002,None,402.9001538000002,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1138,001,4,3,4,19,0.95,2024-07-24_14h19.30.560,MSI_TV_v3,2022.1.1,60.119312788352005,
8,0,8,0,,,,,,,,,,2,0.0,2.0,z,27.0,1.0,3.02234236141277,3.4543169006169,None,404.6998102999996,None,408.1330832800004,408.1330832800004,408.1501935799997,None,[],['z'],[1.467674700000316],410.13990319999994,None,z,3.467674700000316,1,1,0.4444444444444444,None,413.1624730000003,None,413.1624730000003,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1138,001,4,3,4,19,0.95,2024-07-24_14h19.30.560,MSI_TV_v3,2022.1.1,60.119312788352005,
9,0,9,0,,,,,,,,,,1,3.0,2.0,b,63.0,1.0,3.26539063535182,2.10421507306074,None,414.9651944999996,None,417.0500564800004,417.0500564800004,417.0664343799999,None,[],['z'],[1.4838191999997434],419.0527222999999,None,z,3.4838191999997434,0,0,0.4,None,422.3024357000004,None,422.3024357000004,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1138,001,4,3,4,19,0.95,2024-07-24_14h19.30.560,MSI_TV_v3,2022.1.1,60.119312788352005,
10,0,10,0,,,,,,,,,,0,0.0,1.0,z,63.0,1.0,2.496959177995529,3.1424449555106,None,424.11637940000037,None,427.23333428000024,427.23333428000024,427.2500558800002,None,[],['b'],[1.5691335999999865],429.2383528999999,None,b,3.5691335999999865,0,0,0.36363636363636365,None,431.7257434000003,None,431.7257434000003,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1138,001,4,3,4,19,0.95,2024-07-24_14h19.30.560,MSI_TV_v3,2022.1.1,60.119312788352005,
