trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.tactile_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,image_stim_left.started,image_stim_right.started,tactile.started,response_4.keys,allKeys.keys,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.stopped,feedback_6.started,keys_6.keys,keys_6.started,keys_6.stopped,response_4.rt,allKeys.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,tactilePair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],tactile set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
,,,,47.67889110000033,None,t,14.443602499999542,47.67889110000033,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1143,4,6,3,5,0,0.8,2024-09-27_17h26.52.082,MSI_TV_v3,2022.1.1,59.98580735902263,
,,,,,,,,,,None,62.15135250000094,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1143,4,6,3,5,0,0.8,2024-09-27_17h26.52.082,MSI_TV_v3,2022.1.1,59.98580735902263,
0,0,0,0,,,,,,,,,,1,3,1,z,27,1,3.3728785608729996,2.6299100644723,None,62.35166029999891,None,64.96854585000037,64.96854585000037,64.98499134999801,None,[],['b'],[0.511274799999228],66.97389869999824,None,b,2.511274799999228,0,0,0.0,None,70.35446239999874,None,70.35446239999874,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1143,4,6,3,5,0,0.8,2024-09-27_17h26.52.082,MSI_TV_v3,2022.1.1,59.98580735902263,
1,0,1,0,,,,,,,,,,2,2,3,b,63,1,4.53337421950507,2.96653053743745,None,72.15187639999931,None,75.10163495000015,75.10163495000015,75.1181940500006,None,[],['z'],[1.0329868000007991],77.10696309999912,None,z,3.032986800000799,0,0,0.0,None,81.63571919999958,None,81.63571919999958,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1143,4,6,3,5,0,0.8,2024-09-27_17h26.52.082,MSI_TV_v3,2022.1.1,59.98580735902263,
2,0,2,0,,,,,,,,,,3,2,3,z,63,1,4.82531807167306,0.77703640172831,None,83.43502889999945,None,84.18516444999986,84.18516444999986,84.20185694999745,None,[],['z'],[0.4306116000007023],86.19032809999771,None,z,2.4306116000007023,1,1,0.3333333333333333,None,91.00479260000066,None,91.00479260000066,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1143,4,6,3,5,0,0.8,2024-09-27_17h26.52.082,MSI_TV_v3,2022.1.1,59.98580735902263,
3,0,3,0,,,,,,,,,,1,1,0,b,63,0,2.496959177995529,0.974903167432984,None,92.81822929999908,None,93.76798555000059,93.76798555000059,93.78494255000041,None,[],['b'],[0.539852099998825],95.77245290000064,None,b,2.539852099998825,1,0,0.5,None,98.2636528999974,None,98.2636528999974,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1143,4,6,3,5,0,0.8,2024-09-27_17h26.52.082,MSI_TV_v3,2022.1.1,59.98580735902263,
4,0,4,0,,,,,,,,,,0,3,0,z,9,1,4.12485271162806,1.25817747924478,None,100.06843350000054,None,101.30191195000006,101.30191195000006,101.31845844999916,None,[],['z'],[0.7008432000002358],103.30809460000091,None,z,2.700843200000236,1,1,0.6,None,107.42532829999982,None,107.42532829999982,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1143,4,6,3,5,0,0.8,2024-09-27_17h26.52.082,MSI_TV_v3,2022.1.1,59.98580735902263,
5,0,5,0,,,,,,,,,,3,2,3,z,63,1,3.2062024266105302,1.94858485820231,None,109.23502709999957,None,111.16853245000092,111.16853245000092,111.18495675000085,z,['z'],None,,113.21657019999839,None,z,1.8231995000023744,1,1,0.6666666666666666,None,116.42855299999792,None,116.42855299999792,None,1.8231995000023744,[1.8231995000023744],,,,,,,,,,,,,,,,,,,,,CBC_1143,4,6,3,5,0,0.8,2024-09-27_17h26.52.082,MSI_TV_v3,2022.1.1,59.98580735902263,
6,0,6,0,,,,,,,,,,2,2,0,b,27,1,2.342239579230602,0.761758675042088,None,118.23402580000038,None,118.96862594999911,118.96862594999911,118.98490185000045,None,[],['z'],[0.6412194000004092],120.96708969999963,None,z,2.6412194000004092,0,0,0.5714285714285714,None,123.2959501999976,None,123.2959501999976,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1143,4,6,3,5,0,0.8,2024-09-27_17h26.52.082,MSI_TV_v3,2022.1.1,59.98580735902263,
7,0,7,0,,,,,,,,,,0,1,0,z,63,1,2.678526077912375,1.53122835510861,None,125.10161239999798,None,126.61834495000002,126.61834495000002,126.63468435000104,None,[],['z'],[1.0190261999996437],128.62361139999848,None,z,3.0190261999996437,1,1,0.625,None,131.28669029999946,None,131.28669029999946,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1143,4,6,3,5,0,0.8,2024-09-27_17h26.52.082,MSI_TV_v3,2022.1.1,59.98580735902263,
8,0,8,0,,,,,,,,,,1,0,1,z,63,1,3.26539063535182,1.36309078069689,None,133.1018163000008,None,134.451927650001,134.451927650001,134.4685235499979,None,[],['b'],[0.941154700001789],136.45914959999936,None,b,2.941154700001789,0,0,0.5555555555555556,None,139.7230443999979,None,139.7230443999979,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1143,4,6,3,5,0,0.8,2024-09-27_17h26.52.082,MSI_TV_v3,2022.1.1,59.98580735902263,
9,0,9,0,,,,,,,,,,3,3,1,b,27,0,3.6438386551209,1.64421109900286,None,141.5350843999986,None,143.15180074999952,143.15180074999952,143.1682290500008,b,['b'],None,,145.19492790000004,None,b,1.793521999999939,1,0,0.6,None,148.83420099999785,None,148.83420099999785,None,1.793521999999939,[1.793521999999939],,,,,,,,,,,,,,,,,,,,,CBC_1143,4,6,3,5,0,0.8,2024-09-27_17h26.52.082,MSI_TV_v3,2022.1.1,59.98580735902263,
10,0,10,0,,,,,,,,,,2,2,3,b,63,1,4.77723667052879,3.06992456303453,None,150.63493559999915,None,153.68469174999845,153.68469174999845,153.70151454999868,None,[],['b'],[0.4856011000010767],155.69170219999796,None,b,2.4856011000010767,1,1,0.6363636363636364,None,160.4719170999997,None,160.4719170999997,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1143,4,6,3,5,0,0.8,2024-09-27_17h26.52.082,MSI_TV_v3,2022.1.1,59.98580735902263,
11,0,11,0,,,,,,,,,,1,0,1,z,63,1,2.526044641065533,2.22427187882546,None,162.28517409999768,None,164.48410744999782,164.48410744999782,164.50060674999767,None,[],['b'],[0.7121604000021762],166.4791140999987,None,b,2.712160400002176,0,0,0.5833333333333334,None,168.99796349999815,None,168.99796349999815,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1143,4,6,3,5,0,0.8,2024-09-27_17h26.52.082,MSI_TV_v3,2022.1.1,59.98580735902263,
12,0,12,0,,,,,,,,,,0,1,0,z,63,0,3.73326136168326,2.15533949826702,None,170.80154779999793,None,172.9352495500003,172.9352495500003,172.9515755499975,None,[],"['b', 'z', 'z']","[0.545754400001897, 1.2194127000002482, 2.5249038000001747]",174.94312269999864,None,b,2.545754400001897,0,1,0.5384615384615384,None,178.67312289999973,None,178.67312289999973,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1143,4,6,3,5,0,0.8,2024-09-27_17h26.52.082,MSI_TV_v3,2022.1.1,59.98580735902263,
13,0,13,0,,,,,,,,,,2,2,1,b,9,1,4.46924002178158,3.40155979865722,None,180.48514069999874,None,183.86808085000084,183.86808085000084,183.88527544999815,None,[],['b'],[0.6318240000000515],185.8718998000004,None,b,2.6318240000000515,1,1,0.5714285714285714,None,190.34109759999774,None,190.34109759999774,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1143,4,6,3,5,0,0.8,2024-09-27_17h26.52.082,MSI_TV_v3,2022.1.1,59.98580735902263,
14,0,14,0,,,,,,,,,,0,0,1,b,63,1,3.7500315165247198,1.25920145784721,None,192.1516765999986,None,193.3854656499985,193.3854656499985,193.40221684999923,None,[],['b'],[0.8919776999973692],195.3839502999981,None,b,2.891977699997369,1,1,0.6,None,199.1418421999988,None,199.1418421999988,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1143,4,6,3,5,0,0.8,2024-09-27_17h26.52.082,MSI_TV_v3,2022.1.1,59.98580735902263,
15,0,15,0,,,,,,,,,,3,1,3,z,27,1,4.11514536789087,3.33124983260532,None,200.95203299999775,None,204.26865184999915,204.26865184999915,204.2856263499976,None,[],['z'],[0.48981580000327085],206.27437279999867,None,z,2.489815800003271,1,1,0.625,None,210.38692629999787,None,210.38692629999787,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1143,4,6,3,5,0,0.8,2024-09-27_17h26.52.082,MSI_TV_v3,2022.1.1,59.98580735902263,
16,0,16,0,,,,,,,,,,1,1,0,b,63,1,2.2759877950103027,1.27538462653558,None,212.20210769999903,None,213.452175349999,213.452175349999,213.46893914999745,None,[],['z'],[0.7082823000018834],215.4513479999987,None,z,2.7082823000018834,0,0,0.5882352941176471,None,217.72096099999908,None,217.72096099999908,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1143,4,6,3,5,0,0.8,2024-09-27_17h26.52.082,MSI_TV_v3,2022.1.1,59.98580735902263,
17,0,17,0,,,,,,,,,,2,3,2,z,63,0,2.629554641171433,1.34668860557497,None,219.5357194999997,None,220.86765864999833,220.86765864999833,220.88419324999776,None,[],['z'],[0.731250299999374],222.86480680000022,None,z,2.731250299999374,1,0,0.6111111111111112,None,225.49668539999766,None,225.49668539999766,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1143,4,6,3,5,0,0.8,2024-09-27_17h26.52.082,MSI_TV_v3,2022.1.1,59.98580735902263,
18,0,18,0,,,,,,,,,,0,0,2,b,27,1,4.61004669244928,1.78643585472448,None,227.30208850000054,None,229.06859584999765,229.06859584999765,229.08518844999853,None,[],['b'],[1.2141365999996196],231.06890139999814,None,b,3.2141365999996196,1,1,0.631578947368421,None,235.67390909999813,None,235.67390909999813,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1143,4,6,3,5,0,0.8,2024-09-27_17h26.52.082,MSI_TV_v3,2022.1.1,59.98580735902263,
19,0,19,0,,,,,,,,,,3,2,3,z,63,1,2.693348633324513,3.24569326556923,None,237.48550160000013,None,240.71851295000087,240.71851295000087,240.73522274999922,z,['z'],None,,242.76326379999955,None,z,1.5736055999987002,1,1,0.65,None,245.46279159999904,None,245.46279159999904,None,1.5736055999987002,[1.5736055999987002],,,,,,,,,,,,,,,,,,,,,CBC_1143,4,6,3,5,0,0.8,2024-09-27_17h26.52.082,MSI_TV_v3,2022.1.1,59.98580735902263,
20,0,20,0,,,,,,,,,,1,1,3,b,27,1,2.294664843639333,1.1243895841892,None,247.26901989999897,None,248.36900834999832,248.36900834999832,248.38571965000082,None,[],['b'],[0.6061067999980878],250.37410549999913,None,b,2.606106799998088,1,1,0.6666666666666666,None,252.65373510000063,None,252.65373510000063,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1143,4,6,3,5,0,0.8,2024-09-27_17h26.52.082,MSI_TV_v3,2022.1.1,59.98580735902263,
21,0,21,0,,,,,,,,,,2,2,3,b,63,1,2.792365600763554,2.78346932462847,None,254.4689952000008,None,257.23562905000074,257.23562905000074,257.25215085000093,None,[],['b'],[0.4943175999978848],259.2337575999991,None,b,2.494317599997885,1,1,0.6818181818181818,None,262.034360499998,None,262.034360499998,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1143,4,6,3,5,0,0.8,2024-09-27_17h26.52.082,MSI_TV_v3,2022.1.1,59.98580735902263,
22,0,22,0,,,,,,,,,,0,1,0,z,63,0,2.82320408183943,0.952147612306987,None,263.83535370000027,None,264.7686634500002,264.7686634500002,264.78545565000024,None,[],['z'],[0.8935404000003473],266.7669070999982,None,z,2.8935404000003473,1,0,0.6956521739130435,None,269.6093643999993,None,269.6093643999993,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1143,4,6,3,5,0,0.8,2024-09-27_17h26.52.082,MSI_TV_v3,2022.1.1,59.98580735902263,
23,0,23,0,,,,,,,,,,1,1,2,b,9,1,3.76873691643126,1.90743690794447,None,271.41914180000094,None,273.30239265000057,273.30239265000057,273.31894004999924,None,[],['b'],[0.4226335999992443],275.30672779999804,None,b,2.4226335999992443,1,1,0.7083333333333334,None,279.0643181999985,None,279.0643181999985,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1143,4,6,3,5,0,0.8,2024-09-27_17h26.52.082,MSI_TV_v3,2022.1.1,59.98580735902263,
24,0,24,0,,,,,,,,,,2,3,2,z,63,1,4.190022164497369,1.21250262048173,None,280.869049500001,None,282.067756449998,282.067756449998,282.084632650001,None,[],['z'],[0.6516738999998779],284.0651589000008,None,z,2.651673899999878,1,1,0.72,None,288.25606719999996,None,288.25606719999996,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1143,4,6,3,5,0,0.8,2024-09-27_17h26.52.082,MSI_TV_v3,2022.1.1,59.98580735902263,
25,0,25,0,,,,,,,,,,3,3,2,b,63,0,2.91303524001082,1.96568735158996,None,290.0681371999999,None,292.002052649999,292.002052649999,292.01883464999776,b,['b'],None,,294.04711300000054,None,b,1.8016193000003113,1,0,0.7307692307692307,None,296.9643137999992,None,296.9643137999992,None,1.8016193000003113,[1.8016193000003113],,,,,,,,,,,,,,,,,,,,,CBC_1143,4,6,3,5,0,0.8,2024-09-27_17h26.52.082,MSI_TV_v3,2022.1.1,59.98580735902263,
26,0,26,0,,,,,,,,,,1,1,0,b,63,1,2.6391747348430608,1.95130344756745,None,298.768950499998,None,300.70274434999885,300.70274434999885,300.7188415500001,None,[],['b'],[0.24119079999945825],302.70203799999945,None,b,2.2411907999994582,1,1,0.7407407407407407,None,305.339844099999,None,305.339844099999,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1143,4,6,3,5,0,0.8,2024-09-27_17h26.52.082,MSI_TV_v3,2022.1.1,59.98580735902263,
