ID,mask,file,task,hemisphere,label,number,beta
CBC_1001,MSTACT_uniform,MS_uniform_47_11_28,AV,right,precentral gyrus,10,1.1143885658633
CBC_1002,MSTACT_uniform,MS_uniform_47_11_28,AV,right,precentral gyrus,10,2.1486450675647
CBC_1003,MSTACT_uniform,MS_uniform_47_11_28,AV,right,precentral gyrus,10,0.600511456241537
CBC_1005,MSTACT_uniform,MS_uniform_47_11_28,AV,right,precentral gyrus,10,2.16408037581632
CBC_1006,MSTACT_uniform,MS_uniform_47_11_28,AV,right,precentral gyrus,10,-0.966989389099253
CBC_1007,MSTACT_uniform,MS_uniform_47_11_28,AV,right,precentral gyrus,10,0.30960374353564
CBC_1010,MSTACT_uniform,MS_uniform_47_11_28,AV,right,precentral gyrus,10,0.775468253050041
CBC_1011,MSTACT_uniform,MS_uniform_47_11_28,AV,right,precentral gyrus,10,-0.136099570770302
CBC_1013,MSTACT_uniform,MS_uniform_47_11_28,AV,right,precentral gyrus,10,1.76658190964556
CBC_1014,MSTACT_uniform,MS_uniform_47_11_28,AV,right,precentral gyrus,10,1.1906572472764
CBC_1015,MSTACT_uniform,MS_uniform_47_11_28,AV,right,precentral gyrus,10,2.34749018198371
CBC_1016,MSTACT_uniform,MS_uniform_47_11_28,AV,right,precentral gyrus,10,2.93573076845931
CBC_1017,MSTACT_uniform,MS_uniform_47_11_28,AV,right,precentral gyrus,10,5.20641809180277
CBC_1018,MSTACT_uniform,MS_uniform_47_11_28,AV,right,precentral gyrus,10,1.78157711639464
CBC_1019,MSTACT_uniform,MS_uniform_47_11_28,AV,right,precentral gyrus,10,2.35558934362868
CBC_1020,MSTACT_uniform,MS_uniform_47_11_28,AV,right,precentral gyrus,10,-0.686394798788287
CBC_1021,MSTACT_uniform,MS_uniform_47_11_28,AV,right,precentral gyrus,10,0.808077263472653
CBC_1022,MSTACT_uniform,MS_uniform_47_11_28,AV,right,precentral gyrus,10,1.05029382371634
CBC_1024,MSTACT_uniform,MS_uniform_47_11_28,AV,right,precentral gyrus,10,-0.479042562392131
CBC_1026,MSTACT_uniform,MS_uniform_47_11_28,AV,right,precentral gyrus,10,0.333296489833256
CBC_1027,MSTACT_uniform,MS_uniform_47_11_28,AV,right,precentral gyrus,10,3.86940639159435
CBC_1028,MSTACT_uniform,MS_uniform_47_11_28,AV,right,precentral gyrus,10,1.10744287171785
CBC_1029,MSTACT_uniform,MS_uniform_47_11_28,AV,right,precentral gyrus,10,2.17000797721739
CBC_1030,MSTACT_uniform,MS_uniform_47_11_28,AV,right,precentral gyrus,10,0.641667770995069
CBC_1031,MSTACT_uniform,MS_uniform_47_11_28,AV,right,precentral gyrus,10,0.816013980000089
CBC_1033,MSTACT_uniform,MS_uniform_47_11_28,AV,right,precentral gyrus,10,2.5472840156348
CBC_1034,MSTACT_uniform,MS_uniform_47_11_28,AV,right,precentral gyrus,10,-0.0958006753725466
CBC_1035,MSTACT_uniform,MS_uniform_47_11_28,AV,right,precentral gyrus,10,-0.941913851687384
CBC_1036,MSTACT_uniform,MS_uniform_47_11_28,AV,right,precentral gyrus,10,1.97219528541126
CBC_1037,MSTACT_uniform,MS_uniform_47_11_28,AV,right,precentral gyrus,10,-0.528892337780671
CBC_1038,MSTACT_uniform,MS_uniform_47_11_28,AV,right,precentral gyrus,10,0.273966678203694
CBC_1040,MSTACT_uniform,MS_uniform_47_11_28,AV,right,precentral gyrus,10,0.90161650177545
CBC_1041,MSTACT_uniform,MS_uniform_47_11_28,AV,right,precentral gyrus,10,-0.219374658663045
CBC_1042,MSTACT_uniform,MS_uniform_47_11_28,AV,right,precentral gyrus,10,1.1887468566555
CBC_1044,MSTACT_uniform,MS_uniform_47_11_28,AV,right,precentral gyrus,10,0.830014386131998
CBC_1045,MSTACT_uniform,MS_uniform_47_11_28,AV,right,precentral gyrus,10,1.74441803437429
CBC_1048,MSTACT_uniform,MS_uniform_47_11_28,AV,right,precentral gyrus,10,1.99547482006125
CBC_1051,MSTACT_uniform,MS_uniform_47_11_28,AV,right,precentral gyrus,10,2.43841910340578
CBC_1054,MSTACT_uniform,MS_uniform_47_11_28,AV,right,precentral gyrus,10,-0.592628749983202
CBC_1058,MSTACT_uniform,MS_uniform_47_11_28,AV,right,precentral gyrus,10,2.10389979637928
CBC_1059,MSTACT_uniform,MS_uniform_47_11_28,AV,right,precentral gyrus,10,0.471435217196549
CBC_1064,MSTACT_uniform,MS_uniform_47_11_28,AV,right,precentral gyrus,10,1.50977111673897
CBC_1071,MSTACT_uniform,MS_uniform_47_11_28,AV,right,precentral gyrus,10,0.0468119658983497
CBC_1072,MSTACT_uniform,MS_uniform_47_11_28,AV,right,precentral gyrus,10,0.731571541900715
CBC_1075,MSTACT_uniform,MS_uniform_47_11_28,AV,right,precentral gyrus,10,1.20965562653694
CBC_1076,MSTACT_uniform,MS_uniform_47_11_28,AV,right,precentral gyrus,10,-0.156759346128851
CBC_1087,MSTACT_uniform,MS_uniform_47_11_28,AV,right,precentral gyrus,10,-0.848187167801789
CBC_1090,MSTACT_uniform,MS_uniform_47_11_28,AV,right,precentral gyrus,10,0.289241914918967
CBC_1093,MSTACT_uniform,MS_uniform_47_11_28,AV,right,precentral gyrus,10,0.861589403895822
CBC_1102,MSTACT_uniform,MS_uniform_47_11_28,AV,right,precentral gyrus,10,0.171549747626444
CBC_1108,MSTACT_uniform,MS_uniform_47_11_28,AV,right,precentral gyrus,10,0.146004536628093
CBC_1109,MSTACT_uniform,MS_uniform_47_11_28,AV,right,precentral gyrus,10,0.123342107181486
CBC_1110,MSTACT_uniform,MS_uniform_47_11_28,AV,right,precentral gyrus,10,0.529881063378393
CBC_1111,MSTACT_uniform,MS_uniform_47_11_28,AV,right,precentral gyrus,10,1.13672775943229
CBC_1112,MSTACT_uniform,MS_uniform_47_11_28,AV,right,precentral gyrus,10,1.12541837359953
CBC_1114,MSTACT_uniform,MS_uniform_47_11_28,AV,right,precentral gyrus,10,1.36936011029652
CBC_1115,MSTACT_uniform,MS_uniform_47_11_28,AV,right,precentral gyrus,10,1.8329567182021
CBC_1117,MSTACT_uniform,MS_uniform_47_11_28,AV,right,precentral gyrus,10,2.1892138806317
CBC_1119,MSTACT_uniform,MS_uniform_47_11_28,AV,right,precentral gyrus,10,2.22962660960845
CBC_1122,MSTACT_uniform,MS_uniform_47_11_28,AV,right,precentral gyrus,10,-0.586699650011842
CBC_1127,MSTACT_uniform,MS_uniform_47_11_28,AV,right,precentral gyrus,10,0.553345529710494
CBC_1129,MSTACT_uniform,MS_uniform_47_11_28,AV,right,precentral gyrus,10,1.11069084254856
CBC_1136,MSTACT_uniform,MS_uniform_47_11_28,AV,right,precentral gyrus,10,2.45766121776903
CBC_1138,MSTACT_uniform,MS_uniform_47_11_28,AV,right,precentral gyrus,10,0.39143792640248
CBC_1139,MSTACT_uniform,MS_uniform_47_11_28,AV,right,precentral gyrus,10,-0.139812507530764
CBC_1143,MSTACT_uniform,MS_uniform_47_11_28,AV,right,precentral gyrus,10,1.6521045278428
CBC_1146,MSTACT_uniform,MS_uniform_47_11_28,AV,right,precentral gyrus,10,1.30128214830738
