ID,mask,file,task,hemisphere,label,number,beta
CBC_1001,MSTACT_uniform,MS_uniform_49_-65_-1,AV,right,inferior occipital cortex,11,1.47724187012175
CBC_1002,MSTACT_uniform,MS_uniform_49_-65_-1,AV,right,inferior occipital cortex,11,1.73103198998161
CBC_1003,MSTACT_uniform,MS_uniform_49_-65_-1,AV,right,inferior occipital cortex,11,0.380124956304523
CBC_1005,MSTACT_uniform,MS_uniform_49_-65_-1,AV,right,inferior occipital cortex,11,1.96608241238408
CBC_1006,MSTACT_uniform,MS_uniform_49_-65_-1,AV,right,inferior occipital cortex,11,-0.408399071014424
CBC_1007,MSTACT_uniform,MS_uniform_49_-65_-1,AV,right,inferior occipital cortex,11,0.0678405917642577
CBC_1010,MSTACT_uniform,MS_uniform_49_-65_-1,AV,right,inferior occipital cortex,11,1.60128868490515
CBC_1011,MSTACT_uniform,MS_uniform_49_-65_-1,AV,right,inferior occipital cortex,11,-0.726528977450237
CBC_1013,MSTACT_uniform,MS_uniform_49_-65_-1,AV,right,inferior occipital cortex,11,0.312466898266572
CBC_1014,MSTACT_uniform,MS_uniform_49_-65_-1,AV,right,inferior occipital cortex,11,0.710788660262852
CBC_1015,MSTACT_uniform,MS_uniform_49_-65_-1,AV,right,inferior occipital cortex,11,2.96059570594402
CBC_1016,MSTACT_uniform,MS_uniform_49_-65_-1,AV,right,inferior occipital cortex,11,1.42751754648714
CBC_1017,MSTACT_uniform,MS_uniform_49_-65_-1,AV,right,inferior occipital cortex,11,0.912291616746434
CBC_1018,MSTACT_uniform,MS_uniform_49_-65_-1,AV,right,inferior occipital cortex,11,0.022665645020746
CBC_1019,MSTACT_uniform,MS_uniform_49_-65_-1,AV,right,inferior occipital cortex,11,3.55006435049574
CBC_1020,MSTACT_uniform,MS_uniform_49_-65_-1,AV,right,inferior occipital cortex,11,1.83348640097176
CBC_1021,MSTACT_uniform,MS_uniform_49_-65_-1,AV,right,inferior occipital cortex,11,1.06505253296557
CBC_1022,MSTACT_uniform,MS_uniform_49_-65_-1,AV,right,inferior occipital cortex,11,0.907293320963673
CBC_1024,MSTACT_uniform,MS_uniform_49_-65_-1,AV,right,inferior occipital cortex,11,-0.841318934891903
