ID,mask,file,task,hemisphere,label,number,beta
CBC_1001,MSTACT_uniform,MS_uniform_55_-25_11,AV,right,planum temporale,12,4.42114241756113
CBC_1002,MSTACT_uniform,MS_uniform_55_-25_11,AV,right,planum temporale,12,6.28411472094078
CBC_1003,MSTACT_uniform,MS_uniform_55_-25_11,AV,right,planum temporale,12,2.61699494645502
CBC_1005,MSTACT_uniform,MS_uniform_55_-25_11,AV,right,planum temporale,12,6.42199229453878
CBC_1006,MSTACT_uniform,MS_uniform_55_-25_11,AV,right,planum temporale,12,3.95893187704636
CBC_1007,MSTACT_uniform,MS_uniform_55_-25_11,AV,right,planum temporale,12,5.52331902901809
CBC_1010,MSTACT_uniform,MS_uniform_55_-25_11,AV,right,planum temporale,12,3.98250333628774
CBC_1011,MSTACT_uniform,MS_uniform_55_-25_11,AV,right,planum temporale,12,2.32545004232817
CBC_1013,MSTACT_uniform,MS_uniform_55_-25_11,AV,right,planum temporale,12,4.60299673748719
CBC_1014,MSTACT_uniform,MS_uniform_55_-25_11,AV,right,planum temporale,12,5.63973757886842
CBC_1015,MSTACT_uniform,MS_uniform_55_-25_11,AV,right,planum temporale,12,7.0371285374266
CBC_1016,MSTACT_uniform,MS_uniform_55_-25_11,AV,right,planum temporale,12,7.64180825991917
CBC_1017,MSTACT_uniform,MS_uniform_55_-25_11,AV,right,planum temporale,12,6.28260071880118
CBC_1018,MSTACT_uniform,MS_uniform_55_-25_11,AV,right,planum temporale,12,6.43767294354466
CBC_1019,MSTACT_uniform,MS_uniform_55_-25_11,AV,right,planum temporale,12,6.82622086788847
CBC_1020,MSTACT_uniform,MS_uniform_55_-25_11,AV,right,planum temporale,12,4.8606714909548
CBC_1021,MSTACT_uniform,MS_uniform_55_-25_11,AV,right,planum temporale,12,6.36928320971898
CBC_1022,MSTACT_uniform,MS_uniform_55_-25_11,AV,right,planum temporale,12,2.78964462692033
CBC_1024,MSTACT_uniform,MS_uniform_55_-25_11,AV,right,planum temporale,12,7.29099509230016
CBC_1026,MSTACT_uniform,MS_uniform_55_-25_11,AV,right,planum temporale,12,5.68539745175545
CBC_1027,MSTACT_uniform,MS_uniform_55_-25_11,AV,right,planum temporale,12,8.13959277953353
CBC_1028,MSTACT_uniform,MS_uniform_55_-25_11,AV,right,planum temporale,12,3.61003641423309
CBC_1029,MSTACT_uniform,MS_uniform_55_-25_11,AV,right,planum temporale,12,6.02798784730901
CBC_1030,MSTACT_uniform,MS_uniform_55_-25_11,AV,right,planum temporale,12,2.82453274822447
CBC_1031,MSTACT_uniform,MS_uniform_55_-25_11,AV,right,planum temporale,12,4.51949783682395
CBC_1033,MSTACT_uniform,MS_uniform_55_-25_11,AV,right,planum temporale,12,7.76945539585029
CBC_1034,MSTACT_uniform,MS_uniform_55_-25_11,AV,right,planum temporale,12,4.77999679590966
CBC_1035,MSTACT_uniform,MS_uniform_55_-25_11,AV,right,planum temporale,12,3.93135835474853
CBC_1036,MSTACT_uniform,MS_uniform_55_-25_11,AV,right,planum temporale,12,3.32146194309466
CBC_1037,MSTACT_uniform,MS_uniform_55_-25_11,AV,right,planum temporale,12,3.06883078920391
CBC_1038,MSTACT_uniform,MS_uniform_55_-25_11,AV,right,planum temporale,12,2.52786668325079
CBC_1040,MSTACT_uniform,MS_uniform_55_-25_11,AV,right,planum temporale,12,3.9369219123234
CBC_1041,MSTACT_uniform,MS_uniform_55_-25_11,AV,right,planum temporale,12,2.80749746750845
CBC_1042,MSTACT_uniform,MS_uniform_55_-25_11,AV,right,planum temporale,12,3.3975935938851
CBC_1044,MSTACT_uniform,MS_uniform_55_-25_11,AV,right,planum temporale,12,2.19672478812053
CBC_1045,MSTACT_uniform,MS_uniform_55_-25_11,AV,right,planum temporale,12,4.79074558293874
CBC_1048,MSTACT_uniform,MS_uniform_55_-25_11,AV,right,planum temporale,12,3.28711232111768
CBC_1051,MSTACT_uniform,MS_uniform_55_-25_11,AV,right,planum temporale,12,9.6237179194553
CBC_1054,MSTACT_uniform,MS_uniform_55_-25_11,AV,right,planum temporale,12,1.65246162930489
CBC_1058,MSTACT_uniform,MS_uniform_55_-25_11,AV,right,planum temporale,12,3.99693448336079
CBC_1059,MSTACT_uniform,MS_uniform_55_-25_11,AV,right,planum temporale,12,4.0411559852278
CBC_1064,MSTACT_uniform,MS_uniform_55_-25_11,AV,right,planum temporale,12,7.97673460567969
CBC_1071,MSTACT_uniform,MS_uniform_55_-25_11,AV,right,planum temporale,12,1.4607730618248
CBC_1072,MSTACT_uniform,MS_uniform_55_-25_11,AV,right,planum temporale,12,1.23316693907065
CBC_1075,MSTACT_uniform,MS_uniform_55_-25_11,AV,right,planum temporale,12,1.85205901569326
