ID,mask,file,task,hemisphere,label,number,beta
CBC_1001,MSTACT_uniform,TACT_association_-50_-24_34,AV,left,postcentral gyrus,13,0.893243704164327
CBC_1002,MSTACT_uniform,TACT_association_-50_-24_34,AV,left,postcentral gyrus,13,2.25625463542932
CBC_1003,MSTACT_uniform,TACT_association_-50_-24_34,AV,left,postcentral gyrus,13,0.846385428203106
CBC_1005,MSTACT_uniform,TACT_association_-50_-24_34,AV,left,postcentral gyrus,13,1.19836300363765
CBC_1006,MSTACT_uniform,TACT_association_-50_-24_34,AV,left,postcentral gyrus,13,0.869592439953681
CBC_1007,MSTACT_uniform,TACT_association_-50_-24_34,AV,left,postcentral gyrus,13,1.96508325867392
CBC_1010,MSTACT_uniform,TACT_association_-50_-24_34,AV,left,postcentral gyrus,13,1.1413569545123
CBC_1011,MSTACT_uniform,TACT_association_-50_-24_34,AV,left,postcentral gyrus,13,0.603744153593076
CBC_1013,MSTACT_uniform,TACT_association_-50_-24_34,AV,left,postcentral gyrus,13,0.86381754604499
CBC_1014,MSTACT_uniform,TACT_association_-50_-24_34,AV,left,postcentral gyrus,13,0.897177006419076
CBC_1015,MSTACT_uniform,TACT_association_-50_-24_34,AV,left,postcentral gyrus,13,0.827727326090461
CBC_1016,MSTACT_uniform,TACT_association_-50_-24_34,AV,left,postcentral gyrus,13,1.41952843684037
CBC_1017,MSTACT_uniform,TACT_association_-50_-24_34,AV,left,postcentral gyrus,13,-0.618704924640677
CBC_1018,MSTACT_uniform,TACT_association_-50_-24_34,AV,left,postcentral gyrus,13,2.76727026073709
CBC_1019,MSTACT_uniform,TACT_association_-50_-24_34,AV,left,postcentral gyrus,13,2.45587808867925
CBC_1020,MSTACT_uniform,TACT_association_-50_-24_34,AV,left,postcentral gyrus,13,0.311071894475442
CBC_1021,MSTACT_uniform,TACT_association_-50_-24_34,AV,left,postcentral gyrus,13,2.36119743849667
CBC_1022,MSTACT_uniform,TACT_association_-50_-24_34,AV,left,postcentral gyrus,13,0.0871760767837915
CBC_1024,MSTACT_uniform,TACT_association_-50_-24_34,AV,left,postcentral gyrus,13,1.96996432349965
CBC_1026,MSTACT_uniform,TACT_association_-50_-24_34,AV,left,postcentral gyrus,13,1.0425122371648
CBC_1027,MSTACT_uniform,TACT_association_-50_-24_34,AV,left,postcentral gyrus,13,0.727640022760411
CBC_1028,MSTACT_uniform,TACT_association_-50_-24_34,AV,left,postcentral gyrus,13,0.719644079567673
CBC_1029,MSTACT_uniform,TACT_association_-50_-24_34,AV,left,postcentral gyrus,13,1.60029208719904
CBC_1030,MSTACT_uniform,TACT_association_-50_-24_34,AV,left,postcentral gyrus,13,-0.217908660463365
CBC_1031,MSTACT_uniform,TACT_association_-50_-24_34,AV,left,postcentral gyrus,13,0.818384983623218
CBC_1033,MSTACT_uniform,TACT_association_-50_-24_34,AV,left,postcentral gyrus,13,0.390241028862658
CBC_1034,MSTACT_uniform,TACT_association_-50_-24_34,AV,left,postcentral gyrus,13,1.31551241919842
CBC_1035,MSTACT_uniform,TACT_association_-50_-24_34,AV,left,postcentral gyrus,13,1.45913447564526
CBC_1036,MSTACT_uniform,TACT_association_-50_-24_34,AV,left,postcentral gyrus,13,0.0605876113628852
CBC_1037,MSTACT_uniform,TACT_association_-50_-24_34,AV,left,postcentral gyrus,13,0.20785288745738
CBC_1038,MSTACT_uniform,TACT_association_-50_-24_34,AV,left,postcentral gyrus,13,0.648824291992623
CBC_1040,MSTACT_uniform,TACT_association_-50_-24_34,AV,left,postcentral gyrus,13,1.23103450004639
CBC_1041,MSTACT_uniform,TACT_association_-50_-24_34,AV,left,postcentral gyrus,13,0.933309365536974
CBC_1042,MSTACT_uniform,TACT_association_-50_-24_34,AV,left,postcentral gyrus,13,0.349113261612298
CBC_1044,MSTACT_uniform,TACT_association_-50_-24_34,AV,left,postcentral gyrus,13,0.84543086710904
CBC_1045,MSTACT_uniform,TACT_association_-50_-24_34,AV,left,postcentral gyrus,13,0.790140260904008
CBC_1048,MSTACT_uniform,TACT_association_-50_-24_34,AV,left,postcentral gyrus,13,0.427644426964086
CBC_1051,MSTACT_uniform,TACT_association_-50_-24_34,AV,left,postcentral gyrus,13,3.54321310761153
CBC_1054,MSTACT_uniform,TACT_association_-50_-24_34,AV,left,postcentral gyrus,13,-0.627347699756527
CBC_1058,MSTACT_uniform,TACT_association_-50_-24_34,AV,left,postcentral gyrus,13,1.21814326916561
CBC_1059,MSTACT_uniform,TACT_association_-50_-24_34,AV,left,postcentral gyrus,13,0.758029626257012
CBC_1064,MSTACT_uniform,TACT_association_-50_-24_34,AV,left,postcentral gyrus,13,0.464826507537724
CBC_1071,MSTACT_uniform,TACT_association_-50_-24_34,AV,left,postcentral gyrus,13,-0.0318331657693839
CBC_1072,MSTACT_uniform,TACT_association_-50_-24_34,AV,left,postcentral gyrus,13,0.191579321046008
CBC_1075,MSTACT_uniform,TACT_association_-50_-24_34,AV,left,postcentral gyrus,13,0.648987211598772
CBC_1076,MSTACT_uniform,TACT_association_-50_-24_34,AV,left,postcentral gyrus,13,-0.123963073722763
CBC_1087,MSTACT_uniform,TACT_association_-50_-24_34,AV,left,postcentral gyrus,13,1.68991219981239
CBC_1090,MSTACT_uniform,TACT_association_-50_-24_34,AV,left,postcentral gyrus,13,0.776753105907577
CBC_1093,MSTACT_uniform,TACT_association_-50_-24_34,AV,left,postcentral gyrus,13,0.323489446456246
CBC_1102,MSTACT_uniform,TACT_association_-50_-24_34,AV,left,postcentral gyrus,13,0.420365275928674
CBC_1108,MSTACT_uniform,TACT_association_-50_-24_34,AV,left,postcentral gyrus,13,1.61207045186459
CBC_1109,MSTACT_uniform,TACT_association_-50_-24_34,AV,left,postcentral gyrus,13,-0.0354615472206984
CBC_1110,MSTACT_uniform,TACT_association_-50_-24_34,AV,left,postcentral gyrus,13,-0.31431149738872
CBC_1111,MSTACT_uniform,TACT_association_-50_-24_34,AV,left,postcentral gyrus,13,0.918849661542587
