ID,mask,file,task,hemisphere,label,number,beta
CBC_1001,MSTACT_uniform,TACT_association_30_-42_66,AV,right,superior parietal lobe,14,-1.17725194134276
CBC_1002,MSTACT_uniform,TACT_association_30_-42_66,AV,right,superior parietal lobe,14,-0.778851022776037
CBC_1003,MSTACT_uniform,TACT_association_30_-42_66,AV,right,superior parietal lobe,14,0.893875443287048
CBC_1005,MSTACT_uniform,TACT_association_30_-42_66,AV,right,superior parietal lobe,14,-1.8250378949964
CBC_1006,MSTACT_uniform,TACT_association_30_-42_66,AV,right,superior parietal lobe,14,-3.35816388134244
CBC_1007,MSTACT_uniform,TACT_association_30_-42_66,AV,right,superior parietal lobe,14,2.05699023578515
CBC_1010,MSTACT_uniform,TACT_association_30_-42_66,AV,right,superior parietal lobe,14,1.22269389934472
CBC_1011,MSTACT_uniform,TACT_association_30_-42_66,AV,right,superior parietal lobe,14,-1.11792789773768
CBC_1013,MSTACT_uniform,TACT_association_30_-42_66,AV,right,superior parietal lobe,14,0.596368110170117
CBC_1014,MSTACT_uniform,TACT_association_30_-42_66,AV,right,superior parietal lobe,14,1.56788831897288
CBC_1015,MSTACT_uniform,TACT_association_30_-42_66,AV,right,superior parietal lobe,14,3.68221659103701
CBC_1016,MSTACT_uniform,TACT_association_30_-42_66,AV,right,superior parietal lobe,14,-0.149981277654811
CBC_1017,MSTACT_uniform,TACT_association_30_-42_66,AV,right,superior parietal lobe,14,0.0591358834349223
CBC_1018,MSTACT_uniform,TACT_association_30_-42_66,AV,right,superior parietal lobe,14,-0.562483003314897
CBC_1019,MSTACT_uniform,TACT_association_30_-42_66,AV,right,superior parietal lobe,14,1.39660731983707
CBC_1020,MSTACT_uniform,TACT_association_30_-42_66,AV,right,superior parietal lobe,14,-4.20661720692931
CBC_1021,MSTACT_uniform,TACT_association_30_-42_66,AV,right,superior parietal lobe,14,0.0226026402920549
CBC_1022,MSTACT_uniform,TACT_association_30_-42_66,AV,right,superior parietal lobe,14,0.492857180388098
CBC_1024,MSTACT_uniform,TACT_association_30_-42_66,AV,right,superior parietal lobe,14,-1.16679373932841
CBC_1026,MSTACT_uniform,TACT_association_30_-42_66,AV,right,superior parietal lobe,14,-0.328977400300348
CBC_1027,MSTACT_uniform,TACT_association_30_-42_66,AV,right,superior parietal lobe,14,-0.763163906957854
CBC_1028,MSTACT_uniform,TACT_association_30_-42_66,AV,right,superior parietal lobe,14,0.506970757265954
CBC_1029,MSTACT_uniform,TACT_association_30_-42_66,AV,right,superior parietal lobe,14,-0.844264772042214
CBC_1030,MSTACT_uniform,TACT_association_30_-42_66,AV,right,superior parietal lobe,14,1.87721024793182
CBC_1031,MSTACT_uniform,TACT_association_30_-42_66,AV,right,superior parietal lobe,14,-2.19220789529924
CBC_1033,MSTACT_uniform,TACT_association_30_-42_66,AV,right,superior parietal lobe,14,-1.13740671917665
CBC_1034,MSTACT_uniform,TACT_association_30_-42_66,AV,right,superior parietal lobe,14,-0.393616687445162
CBC_1035,MSTACT_uniform,TACT_association_30_-42_66,AV,right,superior parietal lobe,14,-0.226307573795291
CBC_1036,MSTACT_uniform,TACT_association_30_-42_66,AV,right,superior parietal lobe,14,-0.295973574775315
CBC_1037,MSTACT_uniform,TACT_association_30_-42_66,AV,right,superior parietal lobe,14,-0.926535903999283
CBC_1038,MSTACT_uniform,TACT_association_30_-42_66,AV,right,superior parietal lobe,14,0.500913976320948
CBC_1040,MSTACT_uniform,TACT_association_30_-42_66,AV,right,superior parietal lobe,14,-1.17742071754722
CBC_1041,MSTACT_uniform,TACT_association_30_-42_66,AV,right,superior parietal lobe,14,0.408757341052784
CBC_1042,MSTACT_uniform,TACT_association_30_-42_66,AV,right,superior parietal lobe,14,1.25665400960205
CBC_1044,MSTACT_uniform,TACT_association_30_-42_66,AV,right,superior parietal lobe,14,0.0982927943491882
CBC_1045,MSTACT_uniform,TACT_association_30_-42_66,AV,right,superior parietal lobe,14,-1.0044731010109
CBC_1048,MSTACT_uniform,TACT_association_30_-42_66,AV,right,superior parietal lobe,14,0.628929046275749
CBC_1051,MSTACT_uniform,TACT_association_30_-42_66,AV,right,superior parietal lobe,14,-0.259430360133271
CBC_1054,MSTACT_uniform,TACT_association_30_-42_66,AV,right,superior parietal lobe,14,-0.161258135740269
CBC_1058,MSTACT_uniform,TACT_association_30_-42_66,AV,right,superior parietal lobe,14,2.4859931689744
CBC_1059,MSTACT_uniform,TACT_association_30_-42_66,AV,right,superior parietal lobe,14,0.706791584907802
CBC_1064,MSTACT_uniform,TACT_association_30_-42_66,AV,right,superior parietal lobe,14,1.55362417196854
CBC_1071,MSTACT_uniform,TACT_association_30_-42_66,AV,right,superior parietal lobe,14,0.257047603153927
CBC_1072,MSTACT_uniform,TACT_association_30_-42_66,AV,right,superior parietal lobe,14,-1.14251523565878
CBC_1075,MSTACT_uniform,TACT_association_30_-42_66,AV,right,superior parietal lobe,14,-0.132026835410134
CBC_1076,MSTACT_uniform,TACT_association_30_-42_66,AV,right,superior parietal lobe,14,-1.13254992722952
CBC_1087,MSTACT_uniform,TACT_association_30_-42_66,AV,right,superior parietal lobe,14,-0.341088747568616
CBC_1090,MSTACT_uniform,TACT_association_30_-42_66,AV,right,superior parietal lobe,14,0.128439635385543
CBC_1093,MSTACT_uniform,TACT_association_30_-42_66,AV,right,superior parietal lobe,14,0.336311699959739
CBC_1102,MSTACT_uniform,TACT_association_30_-42_66,AV,right,superior parietal lobe,14,0.595109544031637
CBC_1108,MSTACT_uniform,TACT_association_30_-42_66,AV,right,superior parietal lobe,14,-0.614909388847215
CBC_1109,MSTACT_uniform,TACT_association_30_-42_66,AV,right,superior parietal lobe,14,-0.105295810344068
CBC_1110,MSTACT_uniform,TACT_association_30_-42_66,AV,right,superior parietal lobe,14,-0.501556857968408
CBC_1111,MSTACT_uniform,TACT_association_30_-42_66,AV,right,superior parietal lobe,14,-0.295732820513159
CBC_1112,MSTACT_uniform,TACT_association_30_-42_66,AV,right,superior parietal lobe,14,0.761773744601047
CBC_1114,MSTACT_uniform,TACT_association_30_-42_66,AV,right,superior parietal lobe,14,-0.661275667395714
CBC_1115,MSTACT_uniform,TACT_association_30_-42_66,AV,right,superior parietal lobe,14,0.941413455935406
CBC_1117,MSTACT_uniform,TACT_association_30_-42_66,AV,right,superior parietal lobe,14,1.38727171218419
CBC_1119,MSTACT_uniform,TACT_association_30_-42_66,AV,right,superior parietal lobe,14,2.94154528771917
CBC_1122,MSTACT_uniform,TACT_association_30_-42_66,AV,right,superior parietal lobe,14,-0.374163344557706
CBC_1127,MSTACT_uniform,TACT_association_30_-42_66,AV,right,superior parietal lobe,14,0.212524019901375
CBC_1129,MSTACT_uniform,TACT_association_30_-42_66,AV,right,superior parietal lobe,14,-0.328143443786856
CBC_1136,MSTACT_uniform,TACT_association_30_-42_66,AV,right,superior parietal lobe,14,2.66998662096298
CBC_1138,MSTACT_uniform,TACT_association_30_-42_66,AV,right,superior parietal lobe,14,0.467577775453207
CBC_1139,MSTACT_uniform,TACT_association_30_-42_66,AV,right,superior parietal lobe,14,0.687305173259989
CBC_1143,MSTACT_uniform,TACT_association_30_-42_66,AV,right,superior parietal lobe,14,0.82984480695936
CBC_1146,MSTACT_uniform,TACT_association_30_-42_66,AV,right,superior parietal lobe,14,0.899684016872435
CBC_1001,MSTACT_uniform,TACT_association_30_-42_66,TV,right,superior parietal lobe,14,-0.910852961024695
CBC_1002,MSTACT_uniform,TACT_association_30_-42_66,TV,right,superior parietal lobe,14,0.0455913309245631
CBC_1003,MSTACT_uniform,TACT_association_30_-42_66,TV,right,superior parietal lobe,14,0.295168147453929
CBC_1005,MSTACT_uniform,TACT_association_30_-42_66,TV,right,superior parietal lobe,14,-1.55131727707917
CBC_1006,MSTACT_uniform,TACT_association_30_-42_66,TV,right,superior parietal lobe,14,-1.5065565941456
CBC_1007,MSTACT_uniform,TACT_association_30_-42_66,TV,right,superior parietal lobe,14,-4.20897970274641
CBC_1010,MSTACT_uniform,TACT_association_30_-42_66,TV,right,superior parietal lobe,14,0.562353209458388
CBC_1011,MSTACT_uniform,TACT_association_30_-42_66,TV,right,superior parietal lobe,14,-0.728198941431064
CBC_1013,MSTACT_uniform,TACT_association_30_-42_66,TV,right,superior parietal lobe,14,0.685734382975339
CBC_1014,MSTACT_uniform,TACT_association_30_-42_66,TV,right,superior parietal lobe,14,1.17995231480634
CBC_1015,MSTACT_uniform,TACT_association_30_-42_66,TV,right,superior parietal lobe,14,1.3249101687653
CBC_1016,MSTACT_uniform,TACT_association_30_-42_66,TV,right,superior parietal lobe,14,1.09676789780416
CBC_1017,MSTACT_uniform,TACT_association_30_-42_66,TV,right,superior parietal lobe,14,-2.04772800584712
CBC_1018,MSTACT_uniform,TACT_association_30_-42_66,TV,right,superior parietal lobe,14,-2.02324054018879
CBC_1019,MSTACT_uniform,TACT_association_30_-42_66,TV,right,superior parietal lobe,14,-2.42300937474208
CBC_1020,MSTACT_uniform,TACT_association_30_-42_66,TV,right,superior parietal lobe,14,0.00809213112997309
CBC_1021,MSTACT_uniform,TACT_association_30_-42_66,TV,right,superior parietal lobe,14,-1.44900622070774
CBC_1022,MSTACT_uniform,TACT_association_30_-42_66,TV,right,superior parietal lobe,14,1.495196713363
CBC_1024,MSTACT_uniform,TACT_association_30_-42_66,TV,right,superior parietal lobe,14,-1.2069770546139
CBC_1026,MSTACT_uniform,TACT_association_30_-42_66,TV,right,superior parietal lobe,14,-0.893025070300733
CBC_1027,MSTACT_uniform,TACT_association_30_-42_66,TV,right,superior parietal lobe,14,-2.7273473918401
CBC_1028,MSTACT_uniform,TACT_association_30_-42_66,TV,right,superior parietal lobe,14,0.129894423660789
CBC_1029,MSTACT_uniform,TACT_association_30_-42_66,TV,right,superior parietal lobe,14,-3.13253833958643
CBC_1030,MSTACT_uniform,TACT_association_30_-42_66,TV,right,superior parietal lobe,14,0.908187203793141
CBC_1031,MSTACT_uniform,TACT_association_30_-42_66,TV,right,superior parietal lobe,14,-1.87189392247621
CBC_1033,MSTACT_uniform,TACT_association_30_-42_66,TV,right,superior parietal lobe,14,-0.767409517750916
CBC_1034,MSTACT_uniform,TACT_association_30_-42_66,TV,right,superior parietal lobe,14,0.520621192809607
CBC_1035,MSTACT_uniform,TACT_association_30_-42_66,TV,right,superior parietal lobe,14,0.268067611810674
CBC_1036,MSTACT_uniform,TACT_association_30_-42_66,TV,right,superior parietal lobe,14,0.111580442238722
CBC_1037,MSTACT_uniform,TACT_association_30_-42_66,TV,right,superior parietal lobe,14,0.819431111552506
CBC_1038,MSTACT_uniform,TACT_association_30_-42_66,TV,right,superior parietal lobe,14,0.350201138970565
CBC_1040,MSTACT_uniform,TACT_association_30_-42_66,TV,right,superior parietal lobe,14,-0.00439412002982387
CBC_1041,MSTACT_uniform,TACT_association_30_-42_66,TV,right,superior parietal lobe,14,0.405127573483127
CBC_1042,MSTACT_uniform,TACT_association_30_-42_66,TV,right,superior parietal lobe,14,0.802785668429079
CBC_1044,MSTACT_uniform,TACT_association_30_-42_66,TV,right,superior parietal lobe,14,0.24023829162619
CBC_1045,MSTACT_uniform,TACT_association_30_-42_66,TV,right,superior parietal lobe,14,0.109275632088384
CBC_1048,MSTACT_uniform,TACT_association_30_-42_66,TV,right,superior parietal lobe,14,-0.0678350779429809
CBC_1051,MSTACT_uniform,TACT_association_30_-42_66,TV,right,superior parietal lobe,14,-0.564788782118061
CBC_1054,MSTACT_uniform,TACT_association_30_-42_66,TV,right,superior parietal lobe,14,0.145361324169502
CBC_1058,MSTACT_uniform,TACT_association_30_-42_66,TV,right,superior parietal lobe,14,1.85736835585929
CBC_1059,MSTACT_uniform,TACT_association_30_-42_66,TV,right,superior parietal lobe,14,0.775475889955603
CBC_1064,MSTACT_uniform,TACT_association_30_-42_66,TV,right,superior parietal lobe,14,1.66246152775349
CBC_1071,MSTACT_uniform,TACT_association_30_-42_66,TV,right,superior parietal lobe,14,0.0758986829089165
CBC_1072,MSTACT_uniform,TACT_association_30_-42_66,TV,right,superior parietal lobe,14,-0.89941861843164
CBC_1075,MSTACT_uniform,TACT_association_30_-42_66,TV,right,superior parietal lobe,14,-1.04552155887178
CBC_1076,MSTACT_uniform,TACT_association_30_-42_66,TV,right,superior parietal lobe,14,1.06459401248293
CBC_1087,MSTACT_uniform,TACT_association_30_-42_66,TV,right,superior parietal lobe,14,0.0582597409856547
CBC_1090,MSTACT_uniform,TACT_association_30_-42_66,TV,right,superior parietal lobe,14,0.714255968441742
CBC_1093,MSTACT_uniform,TACT_association_30_-42_66,TV,right,superior parietal lobe,14,0.714127765047802
CBC_1102,MSTACT_uniform,TACT_association_30_-42_66,TV,right,superior parietal lobe,14,-0.0371752751000622
CBC_1108,MSTACT_uniform,TACT_association_30_-42_66,TV,right,superior parietal lobe,14,0.759180215651172
CBC_1109,MSTACT_uniform,TACT_association_30_-42_66,TV,right,superior parietal lobe,14,-0.480279759406899
CBC_1110,MSTACT_uniform,TACT_association_30_-42_66,TV,right,superior parietal lobe,14,0.0898155821994804
CBC_1111,MSTACT_uniform,TACT_association_30_-42_66,TV,right,superior parietal lobe,14,0.0249625166614225
CBC_1112,MSTACT_uniform,TACT_association_30_-42_66,TV,right,superior parietal lobe,14,0.86417980085934
CBC_1114,MSTACT_uniform,TACT_association_30_-42_66,TV,right,superior parietal lobe,14,-0.796753529220243
CBC_1115,MSTACT_uniform,TACT_association_30_-42_66,TV,right,superior parietal lobe,14,0.435133966190778
CBC_1117,MSTACT_uniform,TACT_association_30_-42_66,TV,right,superior parietal lobe,14,1.67834397826265
CBC_1119,MSTACT_uniform,TACT_association_30_-42_66,TV,right,superior parietal lobe,14,3.91681170590982
CBC_1122,MSTACT_uniform,TACT_association_30_-42_66,TV,right,superior parietal lobe,14,-1.30028118907126
CBC_1127,MSTACT_uniform,TACT_association_30_-42_66,TV,right,superior parietal lobe,14,-0.686327491929512
CBC_1129,MSTACT_uniform,TACT_association_30_-42_66,TV,right,superior parietal lobe,14,-1.08057388402666
CBC_1136,MSTACT_uniform,TACT_association_30_-42_66,TV,right,superior parietal lobe,14,-0.220423714029923
CBC_1138,MSTACT_uniform,TACT_association_30_-42_66,TV,right,superior parietal lobe,14,0.704538197259191
CBC_1139,MSTACT_uniform,TACT_association_30_-42_66,TV,right,superior parietal lobe,14,-1.22756267844952
CBC_1143,MSTACT_uniform,TACT_association_30_-42_66,TV,right,superior parietal lobe,14,-2.02716261226841
CBC_1146,MSTACT_uniform,TACT_association_30_-42_66,TV,right,superior parietal lobe,14,-0.516311623205431
